"","data_set","unit","prediction_horizon","model","prediction_time","pred_mean","pred_var","lb50","ub50","lb95","ub95","obs","unit_wise_log_score","unit_wise_pit_l","unit_wise_pit_u","multiv_log_score"
"1","dengue_sj",1,1,"glarma",980,27.4548541804437,63.4578851354374,22,33,14,45,28,3.01139818167525,0.521369499126303,0.57059230732278,3.01139818167525
"2","dengue_sj",1,2,"glarma",980,26.129940311761,112.545169910452,19,32,10,52,22,3.13325454235526,0.372089637602864,0.415665384712264,3.13325454235526
"3","dengue_sj",1,3,"glarma",980,24.2716119561633,144.755517786767,16,30,8,55,26,3.45392195818849,0.630476606685329,0.6620979818378,3.45392195818849
"4","dengue_sj",1,4,"glarma",980,25.8727253202995,258.265217892195,16,31,8,67,24,3.40553642034296,0.541107080428733,0.57429609247363,3.40553642034296
"5","dengue_sj",1,5,"glarma",980,22.6797181769545,314.422126454053,13,27,6,61,9,3.46114122188307,0.085141718155674,0.116535632300926,3.46114122188307
"6","dengue_sj",1,6,"glarma",980,22.5361464038751,669.433088914627,12,27,5,68,21,3.48327136673825,0.598393089647892,0.629099883009283,3.48327136673825
"7","dengue_sj",1,7,"glarma",980,22.2642260402357,1736.89002173114,11,25,4,70,10,3.09365821160158,0.19753874028713,0.242874543008555,3.09365821160158
"8","dengue_sj",1,8,"glarma",980,20.9033184081454,1631.22364729808,9,24,3,68,15,3.24084277277565,0.484128628024227,0.52325953076312,3.24084277277565
"9","dengue_sj",1,1,"glarma",981,25.3521279477142,56.0310967185609,20,30,13,42,22,2.9478508304023,0.311635382718007,0.364087696534577,2.9478508304023
"10","dengue_sj",1,2,"glarma",981,23.9305199894992,99.5819860458263,17,29,9,48,26,3.29612660799841,0.631749012162221,0.66877531956878,3.29612660799841
"11","dengue_sj",1,3,"glarma",981,24.4495972041529,145.98670517333,16,30,8,53,24,3.279557819869,0.54932396153632,0.586968860490162,3.279557819869
"12","dengue_sj",1,4,"glarma",981,21.3947118383289,155.860653202345,13,26,6,51,9,3.53077281501776,0.0719623331154801,0.10124461045227,3.53077281501776
"13","dengue_sj",1,5,"glarma",981,20.9044453454626,200.053416322822,12,26,5,54,21,3.41035317556389,0.602436300634696,0.63546583372643,3.41035317556389
"14","dengue_sj",1,6,"glarma",981,20.4557454940804,387.980491852178,11,25,4,57,10,3.09121806297604,0.185249575700351,0.230696139600385,3.09121806297604
"15","dengue_sj",1,7,"glarma",981,19.6267693522794,475.315622077943,10,23,4,60,15,3.18285347699791,0.475819398830611,0.517286559382618,3.18285347699791
"16","dengue_sj",1,8,"glarma",981,18.946510162813,395.132598336478,9,23,3,62,13,3.11575653111376,0.424629595060902,0.468974541183531,3.11575653111376
"17","dengue_sj",1,1,"glarma",982,21.0002012786628,41.5979312012316,16,25,10,35,26,3.21914203329011,0.769405242868406,0.809394595948741,3.21914203329011
"18","dengue_sj",1,2,"glarma",982,22.1861924002455,79.3531229683712,16,27,9,43,24,3.19010418608288,0.621036832071513,0.662204413698069,3.19010418608288
"19","dengue_sj",1,3,"glarma",982,19.2787347687346,83.1999041838719,13,24,6,42,9,3.45370757891802,0.0709843222281587,0.102612477074654,3.45370757891802
"20","dengue_sj",1,4,"glarma",982,19.1835140094616,112.027483487473,12,24,6,45,21,3.33856963914404,0.645454595052127,0.680942276679001,3.33856963914404
"21","dengue_sj",1,5,"glarma",982,18.3481012713794,131.228728138376,11,23,5,48,10,3.02641275307533,0.182170941306274,0.230660210799721,3.02641275307533
"22","dengue_sj",1,6,"glarma",982,17.5624108889421,163.912779079117,10,21,4,51,15,3.08194134451989,0.499969627538269,0.545839747986312,3.08194134451989
"23","dengue_sj",1,7,"glarma",982,17.4519924148629,243.422025601975,9,21,3,53,13,3.01924293196962,0.434973471957325,0.483811650150392,3.01924293196962
"24","dengue_sj",1,8,"glarma",982,17.8801305245053,531.818860047668,9,21,3,57,11,2.98796975992878,0.346691204034873,0.397080840037011,2.98796975992878
"25","dengue_sj",1,1,"glarma",983,24.3619501500789,52.7060358925842,19,29,12,40,24,2.89377566741514,0.469207972961401,0.524574743917696,2.89377566741514
"26","dengue_sj",1,2,"glarma",983,21.0336084941942,71.3935553031909,15,26,8,41,9,4.02550886703008,0.0307113587106774,0.0485656950688313,4.02550886703008
"27","dengue_sj",1,3,"glarma",983,20.9249091677892,94.6839575287291,14,26,7,45,21,3.16173441746647,0.558712503266281,0.601064724176199,3.16173441746647
"28","dengue_sj",1,4,"glarma",983,19.9544066705361,112.891460879171,13,25,6,47,10,3.25044295770613,0.120548374766677,0.159305411067653,3.25044295770613
"29","dengue_sj",1,5,"glarma",983,19.0512815719862,132.659612772833,11,24,5,49,15,3.03193259203315,0.408404776795571,0.456627130673552,3.03193259203315
"30","dengue_sj",1,6,"glarma",983,19.0732107664992,174.279311774786,11,24,4,52,13,3.03223993854491,0.347031288469012,0.395238823652093,3.03223993854491
"31","dengue_sj",1,7,"glarma",983,18.9647464012294,219.290045118612,10,23,4,58,11,3.02370806812911,0.282239068231526,0.33085966343951,3.02370806812911
"32","dengue_sj",1,8,"glarma",983,19.490908516251,255.572732628017,10,24,4,60,10,3.04431720251772,0.235016631816077,0.282645453543119,3.04431720251772
"33","dengue_sj",1,1,"glarma",984,20.019046115748,38.8534212825226,16,24,9,34,9,4.46168710280059,0.0153727833394551,0.0269156561772588,4.46168710280059
"34","dengue_sj",1,2,"glarma",984,20.3728111979408,68.823110497354,14,25,8,40,21,3.05005631657525,0.568023519384876,0.615379776758687,3.05005631657525
"35","dengue_sj",1,3,"glarma",984,19.2413472189788,83.9368386522181,13,24,6,42,10,3.26158639013691,0.101306541175357,0.139634088496156,3.26158639013691
"36","dengue_sj",1,4,"glarma",984,18.3403667388018,98.7124210884882,12,23,5,43,15,2.96602062643619,0.406383801782019,0.457891673894737,2.96602062643619
