"","data_set","unit","prediction_horizon","model","prediction_time","pred_mean","pred_var","lb50","ub50","lb95","ub95","obs","unit_wise_log_score","multiv_log_score"
"1","dengueSJ",1,1,"naive",980,19.1111111111112,276.297684727617,7,26,1,62,28,4.26929244149452,NA
"2","dengueSJ",1,2,"naive",980,14.1111111111112,154.327520178871,5,20,0,46,22,4.07405168924171,NA
"3","dengueSJ",1,3,"naive",980,12.4444444444445,121.494889936786,4,17,0,41,26,4.54471669733633,NA
"4","dengueSJ",1,4,"naive",980,12.7222222222223,126.695325141226,5,18,0,42,24,4.33572439335615,NA
"5","dengueSJ",1,5,"naive",980,10.8333333333334,93.4752974166861,4,15,0,36,9,3.09327912043672,NA
"6","dengueSJ",1,6,"naive",980,10.0555555555556,81.2569595091313,3,14,0,34,21,4.32780838773777,NA
"7","dengueSJ",1,7,"naive",980,10.2777777777778,84.6609788495134,4,14,0,34,10,3.17186488533563,NA
"8","dengueSJ",1,8,"naive",980,8.72222222222227,62.2933405046828,3,12,0,29,15,3.77676166162749,NA
"9","dengueSJ",1,1,"naive",981,14.1111111111111,154.208078825639,5,20,0,46,22,4.07372137131113,NA
"10","dengueSJ",1,2,"naive",981,12.4444444444445,121.401996866234,4,17,0,41,26,4.5446229661894,NA
"11","dengueSJ",1,3,"naive",981,12.7222222222222,126.598238774977,5,18,0,42,24,4.33552988908089,NA
"12","dengueSJ",1,4,"naive",981,10.8333333333333,93.4049000353131,4,15,0,36,9,3.09287919709888,NA
"13","dengueSJ",1,5,"naive",981,10.0555555555556,81.1963076061425,3,14,0,34,21,4.32770536455788,NA
"14","dengueSJ",1,6,"naive",981,10.2777777777778,84.5976165779162,4,14,0,34,10,3.17144499288292,NA
"15","dengueSJ",1,7,"naive",981,8.72222222222223,62.24770670972,3,12,0,29,15,3.77649095384277,NA
"16","dengueSJ",1,8,"naive",981,9.78947368421056,77.2151014954395,3,14,0,33,13,3.47398311424385,NA
"17","dengueSJ",1,1,"naive",982,12.4444444444444,121.317339933949,4,17,0,41,26,4.5445377460744,NA
"18","dengueSJ",1,2,"naive",982,12.7222222222222,126.509760335366,5,18,0,42,24,4.3353526933275,NA
"19","dengueSJ",1,3,"naive",982,10.8333333333333,93.3407442666164,4,15,0,36,9,3.09251451415203,NA
"20","dengueSJ",1,4,"naive",982,10.0555555555555,81.1410332566808,3,14,0,34,21,4.32761165472554,NA
"21","dengueSJ",1,5,"naive",982,10.2777777777778,84.5398721680898,4,14,0,34,10,3.17106208537298,NA
"22","dengueSJ",1,6,"naive",982,8.7222222222222,62.2061189242471,3,12,0,29,15,3.77624419846404,NA
"23","dengueSJ",1,7,"naive",982,9.78947368421042,77.1627136922888,3,14,0,33,13,3.47362774145374,NA
"24","dengueSJ",1,8,"naive",982,10.4736842105263,87.5938043851117,4,15,0,35,11,3.26157841151372,NA
"25","dengueSJ",1,1,"naive",983,12.7222222222223,126.477705310008,5,18,0,42,24,4.33528851168819,NA
"26","dengueSJ",1,2,"naive",983,10.8333333333334,93.3175011488412,4,15,0,36,9,3.09238234114431,NA
"27","dengueSJ",1,3,"naive",983,10.0555555555556,81.1210078054926,3,14,0,34,21,4.32757774665142,NA
"28","dengueSJ",1,4,"naive",983,10.2777777777778,84.518951833945,4,14,0,34,10,3.17092330363339,NA
"29","dengueSJ",1,5,"naive",983,8.72222222222225,62.1910520048509,3,12,0,29,15,3.7761547894057,NA
"30","dengueSJ",1,6,"naive",983,9.78947368421059,77.14373401356,3,14,0,33,13,3.47349894463809,NA
"31","dengueSJ",1,7,"naive",983,10.4736842105263,87.5720789180806,4,15,0,35,11,3.26143844421315,NA
"32","dengueSJ",1,8,"naive",983,10.0526315789474,81.0767607000881,3,14,0,34,10,3.17047609935322,NA
"33","dengueSJ",1,1,"naive",984,10.8333333333333,93.2770688053442,4,15,0,36,9,3.09215235576096,NA
"34","dengueSJ",1,2,"naive",984,10.0555555555555,81.0861727231701,3,14,0,34,21,4.32751881583291,NA
"35","dengueSJ",1,3,"naive",984,10.2777777777777,84.4825600665237,4,14,0,34,10,3.17068181432738,NA
"36","dengueSJ",1,4,"naive",984,8.72222222222218,62.1648424891412,3,12,0,29,15,3.77599924407831,NA
"37","dengueSJ",1,5,"naive",984,9.78947368421039,77.1107180947247,3,14,0,33,13,3.47327483633524,NA
"38","dengueSJ",1,6,"naive",984,10.4736842105263,87.5342865894379,4,15,0,35,11,3.26119489117801,NA
"39","dengueSJ",1,7,"naive",984,10.0526315789473,81.0419458736643,3,14,0,34,10,3.1702344176113,NA
"40","dengueSJ",1,8,"naive",984,9.78947368421048,77.1107180947262,3,14,0,33,6,2.82523282792071,NA
"41","dengueSJ",1,1,"naive",985,10.0555555555555,81.0210240661075,3,14,0,33,21,4.32740878654098,NA
"42","dengueSJ",1,2,"naive",985,10.2777777777777,84.4145000931417,4,14,0,34,10,3.17022993186072,NA
"43","dengueSJ",1,3,"naive",985,8.72222222222219,62.1158253880778,3,12,0,29,15,3.77570829292828,NA
"44","dengueSJ",1,4,"naive",985,9.78947368421047,77.0489716417169,3,14,0,33,13,3.47285550022556,NA
"45","dengueSJ",1,5,"naive",985,10.4736842105263,87.463607282998,4,15,0,35,11,3.26073914434842,NA
"46","dengueSJ",1,6,"naive",985,10.0526315789473,80.9768350992333,3,14,0,33,10,3.16978217480566,NA
"47","dengueSJ",1,7,"naive",985,9.7894736842105,77.0489716417173,3,14,0,33,6,2.82490982868765,NA
"48","dengueSJ",1,8,"naive",985,12.4210526315789,120.701923201625,4,17,0,41,11,3.26822816496376,NA
"49","dengueSJ",1,1,"naive",986,10.2777777777777,84.3924194578552,4,14,0,34,10,3.1700832583806,NA
"50","dengueSJ",1,2,"naive",986,8.7222222222222,62.0999228145446,3,12,0,29,15,3.77561388595705,NA
"51","dengueSJ",1,3,"naive",986,9.78947368421042,77.0289392961042,3,14,0,33,13,3.47271939704792,NA
"52","dengueSJ",1,4,"naive",986,10.4736842105263,87.4406768598683,4,15,0,35,11,3.26059121581858,NA
"53","dengueSJ",1,5,"naive",986,10.0526315789474,80.9557112698814,3,14,0,33,10,3.16963538429635,NA
"54","dengueSJ",1,6,"naive",986,9.78947368421051,77.0289392961056,3,14,0,33,6,2.82480501186544,NA
"55","dengueSJ",1,7,"naive",986,12.4210526315789,120.669673186558,4,17,0,41,11,3.26808223448478,NA
"56","dengueSJ",1,8,"naive",986,13.9999999999999,151.518661950376,5,19,0,46,13,3.42042969695296,NA
"57","dengueSJ",1,1,"naive",987,8.72222222222222,62.0487051577339,3,12,0,29,15,3.77530978160954,NA
"58","dengueSJ",1,2,"naive",987,9.78947368421052,76.9644208204941,3,14,0,33,13,3.4722808530057,NA
"59","dengueSJ",1,3,"naive",987,10.4736842105263,87.3668245025825,4,15,0,35,11,3.26011454346546,NA
"60","dengueSJ",1,4,"naive",987,10.0526315789474,80.8876774362365,3,14,0,33,10,3.16916238123055,NA
"61","dengueSJ",1,5,"naive",987,9.78947368421052,76.9644208204941,3,14,0,33,6,2.82446733857452,NA
"62","dengueSJ",1,6,"naive",987,12.421052631579,120.56580507991,4,17,0,41,11,3.26761200453646,NA
"63","dengueSJ",1,7,"naive",987,14.0000000000001,151.386708277689,5,19,0,46,13,3.41994690386695,NA
"64","dengueSJ",1,8,"naive",987,13.5789473684211,142.826062097859,5,19,0,45,11,3.28511522879753,NA
"65","dengueSJ",1,1,"naive",988,9.78947368421044,76.9211600357359,3,14,0,33,13,3.47198663502368,NA
"66","dengueSJ",1,2,"naive",988,10.4736842105263,87.3173051842453,4,15,0,35,11,3.25979472362443,NA
"67","dengueSJ",1,3,"naive",988,10.0526315789473,80.842059541429,3,14,0,33,10,3.16884502517726,NA
"68","dengueSJ",1,4,"naive",988,9.78947368421049,76.9211600357367,3,14,0,33,6,2.82424084724192,NA
"69","dengueSJ",1,5,"naive",988,12.4210526315789,120.496159668075,4,17,0,41,11,3.26729651065185,NA
"70","dengueSJ",1,6,"naive",988,13.9999999999999,151.298230994583,5,19,0,46,13,3.41962297414766,NA
"71","dengueSJ",1,7,"naive",988,13.578947368421,142.742826727393,5,19,0,45,11,3.28480990072962,NA
"72","dengueSJ",1,8,"naive",988,16.2105263157894,200.289041001048,6,23,0,53,21,3.92446168406089,NA
"73","dengueSJ",1,1,"naive",989,10.4736842105262,87.2485950342483,4,15,0,35,11,3.25935069032975,NA
"74","dengueSJ",1,2,"naive",989,10.0526315789473,80.7787627817003,3,14,0,33,10,3.16840441511037,NA
"75","dengueSJ",1,3,"naive",989,9.78947368421045,76.8611338659606,3,14,0,33,6,2.82392648065654,NA
"76","dengueSJ",1,4,"naive",989,12.4210526315789,120.399523711552,4,17,0,41,11,3.26685848808006,NA
"77","dengueSJ",1,5,"naive",989,13.9999999999999,151.175465019652,5,19,0,46,13,3.41917323046954,NA
"78","dengueSJ",1,6,"naive",989,13.578947368421,142.627334128105,5,19,0,45,11,3.28438600323443,NA
"79","dengueSJ",1,7,"naive",989,16.2105263157893,200.124446175933,6,23,0,53,21,3.92403304367661,NA
"80","dengueSJ",1,8,"naive",989,18.6842105263156,263.010316850892,7,26,1,61,18,3.72780102378653,NA
"81","dengueSJ",1,1,"naive",990,10.0526315789475,80.7105066088003,4,14,0,33,10,3.16792893666258,NA
"82","dengueSJ",1,2,"naive",990,9.78947368421064,76.7964045395265,3,14,0,33,6,2.82358735224496,NA
