"","data_set","unit","prediction_horizon","lag_structure","prediction_time","pred_mean","pred_var","lb50","ub50","lb95","ub95","obs","unit_wise_log_score","unit_wise_pit_l","unit_wise_pit_u","multiv_log_score"
"1","dengue_sj",1,1,"siraj",980,28.6476345391781,112.718647871479,21,35,11,52,28,3.27263858016206,0.499665839193502,0.537572115450251,3.27263858016206
"2","dengue_sj",1,2,"siraj",980,25.5032218843614,91.3398600709746,19,32,10,48,22,3.15947786984736,0.350650218310706,0.393098116933941,3.15947786984736
"3","dengue_sj",1,3,"siraj",980,22.8396613718314,77.9125555222155,16,28,8,43,26,3.28034225162492,0.654159710748472,0.691775091427176,3.28034225162492
"4","dengue_sj",1,4,"siraj",980,21.0445733741592,78.0273863063923,15,26,7,42,24,3.28026774041108,0.65614123478881,0.69375941833961,3.28026774041108
"5","dengue_sj",1,5,"siraj",980,19.7875240471452,76.4780218072894,13,25,6,40,9,3.59627998890257,0.0658471006362729,0.0932726569283735,3.59627998890257
"6","dengue_sj",1,6,"siraj",980,18.5837291795126,72.4197333685223,12,23,6,39,21,3.22291012900024,0.644573409250234,0.684412362159852,3.22291012900024
"7","dengue_sj",1,7,"siraj",980,17.4801865222518,68.4210915845527,12,22,5,37,10,3.09678467648693,0.154897978502651,0.200092261771895,3.09678467648693
"8","dengue_sj",1,8,"siraj",980,16.8414416169936,70.1570849482171,11,21,5,37,15,2.94425760667798,0.448836386108465,0.501477511842015,2.94425760667798
"9","dengue_sj",1,1,"siraj",981,26.0691632711832,95.5682954656275,19,32,10,48,22,3.1587509715573,0.350704870347789,0.393183635493002,3.1587509715573
"10","dengue_sj",1,2,"siraj",981,22.330583606558,72.4277693221575,17,28,9,42,26,3.26782974194035,0.657624594562156,0.695713594962311,3.26782974194035
"11","dengue_sj",1,3,"siraj",981,20.964961453616,67.4431237174886,15,26,8,40,24,3.21580125523084,0.657068460729137,0.697191632768109,3.21580125523084
"12","dengue_sj",1,4,"siraj",981,19.5183287988922,69.3441784901261,14,24,6,39,9,3.61023558247464,0.0622079571995976,0.0892534318755372,3.61023558247464
"13","dengue_sj",1,5,"siraj",981,18.0961450006754,64.2195623854918,12,23,6,37,21,3.20707512676741,0.667019172753155,0.707493996794588,3.20707512676741
"14","dengue_sj",1,6,"siraj",981,17.5681991655198,66.5261063864826,12,22,5,37,10,3.11492566933604,0.14796435137676,0.192346157330751,3.11492566933604
"15","dengue_sj",1,7,"siraj",981,16.6336366002088,61.9495028252186,11,21,5,35,15,2.90691973718165,0.447195456154438,0.50183924428778,2.90691973718165
