"","data_set","unit","prediction_horizon","lag_structure","prediction_time","pred_mean","pred_var","lb50","ub50","lb95","ub95","obs","unit_wise_log_score","unit_wise_pit_l","unit_wise_pit_u","multiv_log_score"
"1","dengue_sj",1,1,"unres",980,26.8922738544578,66.4328096340735,21,31,13,44,28,3.06409700413797,0.561509710999235,0.608205700116391,3.06409700413797
"2","dengue_sj",1,2,"unres",980,24.4806484600166,75.1389104984008,18,29,10,43,22,3.02027284164434,0.402256907091656,0.451044812265284,3.02027284164434
"3","dengue_sj",1,3,"unres",980,21.7492529132037,70.125263755185,16,26,8,40,26,3.34073304357454,0.711135794777704,0.746546785183893,3.34073304357454
"4","dengue_sj",1,4,"unres",980,19.9332900037589,73.7924001088305,14,24,7,39,24,3.35810812657049,0.708750281420229,0.743551317279612,3.35810812657049
"5","dengue_sj",1,5,"unres",980,18.4095793125733,74.2860606796913,12,22,6,38,9,3.3487635043404,0.0920696163181704,0.127197378902251,3.3487635043404
"6","dengue_sj",1,6,"unres",980,16.9235003296743,70.333643713608,11,20,5,36,21,3.37377057947163,0.720077226175179,0.754337438814453,3.37377057947163
"7","dengue_sj",1,7,"unres",980,16.1258871605542,70.4446064156308,10,20,4,35,10,2.95690742233448,0.222144619712139,0.274124038965419,2.95690742233448
"8","dengue_sj",1,8,"unres",980,15.4742560266118,77.779623323807,9,19,3,36,15,3.05280691062459,0.534446063373503,0.581672241886664,3.05280691062459
"9","dengue_sj",1,1,"unres",981,25.0531093800133,59.2959311087533,20,29,12,41,22,2.94905346165653,0.345383634308178,0.397772905249059,2.94905346165653
"10","dengue_sj",1,2,"unres",981,22.3882359560569,65.316047341362,17,26,9,40,26,3.24435107126184,0.685948518809754,0.724942379195108,3.24435107126184
"11","dengue_sj",1,3,"unres",981,20.2323709997701,63.3861537047255,15,24,8,38,24,3.26862924288076,0.699486898493182,0.737545458871732,3.26862924288076
"12","dengue_sj",1,4,"unres",981,18.4925490221351,64.1703307049978,13,22,6,36,9,3.43685441099735,0.0751907032599948,0.107356409711566,3.43685441099735
"13","dengue_sj",1,5,"unres",981,17.0585137684578,64.6768749760601,11,20,5,35,21,3.31950955882417,0.71455972892944,0.750730295869478,3.31950955882417
"14","dengue_sj",1,6,"unres",981,16.4869912316022,71.944528893351,10,20,4,36,10,2.96603094371551,0.200788896756422,0.252296237450777,2.96603094371551
"15","dengue_sj",1,7,"unres",981,15.4681349067238,66.3001713170343,10,19,4,34,15,2.99364995142755,0.52127237463871,0.57137659922195,2.99364995142755
"16","dengue_sj",1,8,"unres",981,15.1244655311922,73.5911435187737,9,18,3,35,13,2.92993203238582,0.444665056015873,0.498065723553696,2.92993203238582
"17","dengue_sj",1,1,"unres",982,20.7252767359209,44.1190810255011,16,24,9,34,26,3.27459382738522,0.77672891796918,0.814561150495026,3.27459382738522
"18","dengue_sj",1,2,"unres",982,19.1954147170601,50.2781160065946,14,22,8,34,24,3.28812808233601,0.75272311807807,0.790046768923923,3.28812808233601
"19","dengue_sj",1,3,"unres",982,17.6149404224991,51.7821723818278,12,21,6,33,9,3.37601047596161,0.0744190200650439,0.108602579254226,3.37601047596161
"20","dengue_sj",1,4,"unres",982,16.3127500724925,53.9166329563797,11,19,5,33,21,3.34280937748592,0.752848516033428,0.788186057677867,3.34280937748592
"21","dengue_sj",1,5,"unres",982,15.5350559871821,57.9586768945708,10,19,4,33,10,2.88973773890861,0.216503210848198,0.272094000849313,2.88973773890861
"22","dengue_sj",1,6,"unres",982,14.6268169982631,61.5422668361237,9,18,3,33,15,2.98915883172528,0.566883919683086,0.617213674398848,2.98915883172528
"23","dengue_sj",1,7,"unres",982,13.7119532516876,56.0910912415324,8,17,3,31,13,2.87554929751885,0.506130952386859,0.562516111154784,2.87554929751885
"24","dengue_sj",1,8,"unres",982,13.8363164616748,64.0074012908417,8,17,3,32,11,2.84031685986176,0.391941491210041,0.450348647358765,2.84031685986176
"25","dengue_sj",1,1,"unres",983,21.9015427776663,48.0001525957201,17,25,10,36,24,2.97545013474131,0.620857002939656,0.671881463891183,2.97545013474131
"26","dengue_sj",1,2,"unres",983,19.3699347246602,52.1174062966373,14,23,8,35,9,3.82552909359379,0.0394220518671948,0.0612289464571598,3.82552909359379
"27","dengue_sj",1,3,"unres",983,18.3270654741719,54.8488079051899,13,22,7,35,21,3.11727739293966,0.662699130882172,0.706976685728472,3.11727739293966
"28","dengue_sj",1,4,"unres",983,17.331946751707,60.2249842769189,12,21,6,35,10,3.09021011240469,0.140042266640712,0.185534661524598,3.09021011240469
"29","dengue_sj",1,5,"unres",983,16.2069969016019,62.212141335762,11,19,5,34,15,2.90978186367225,0.474354957245999,0.52884257154702,2.90978186367225
"30","dengue_sj",1,6,"unres",983,15.8789046093189,70.8067500037804,10,19,4,35,13,2.8803563871273,0.395888075866892,0.452002836558623,2.8803563871273
"31","dengue_sj",1,7,"unres",983,15.4185074294453,68.6899778464281,9,19,4,34,11,2.88400822345312,0.307493913942047,0.363404126427873,2.88400822345312
"32","dengue_sj",1,8,"unres",983,14.9052835616259,73.8631939911173,9,18,3,35,10,2.88770819554219,0.291952987649306,0.347656716137514,2.88770819554219
"33","dengue_sj",1,1,"unres",984,20.5691701278607,43.5425612049899,16,24,9,34,9,4.44007877756176,0.0165753352269982,0.0283703445280758,4.44007877756176
"34","dengue_sj",1,2,"unres",984,19.2117228285964,50.4835496769443,14,22,8,34,21,2.99410656222442,0.613298108043656,0.663379459719387,2.99410656222442
"35","dengue_sj",1,3,"unres",984,18.2282400678056,54.295560054549,13,21,7,34,10,3.27441865826882,0.0946552301350155,0.132494090280065,3.27441865826882
"36","dengue_sj",1,4,"unres",984,17.2875634173986,59.2671150666566,12,21,6,34,15,2.8567247553264,0.404246374399825,0.461703011370455,2.8567247553264
"37","dengue_sj",1,5,"unres",984,16.2974367517594,64.0746119878494,11,20,5,34,13,2.87175942037725,0.358418731605165,0.415017988644241,2.87175942037725
"38","dengue_sj",1,6,"unres",984,16.3330575390786,73.0320693478971,10,20,4,36,11,2.93530157292087,0.265040771774769,0.318155470710736,2.93530157292087
"39","dengue_sj",1,7,"unres",984,15.9551142986255,74.0109316291814,10,19,4,36,10,2.94279680176439,0.234928874746686,0.287646955089515,2.94279680176439
"40","dengue_sj",1,8,"unres",984,16.7068673079476,96.7267096861257,10,21,3,40,6,3.37165241771388,0.0751537107818942,0.109486569003779,3.37165241771388
"41","dengue_sj",1,1,"unres",985,13.1790703754627,22.6729635299947,10,15,5,23,21,3.89270739898031,0.92731925879161,0.947709325985242,3.89270739898031
"42","dengue_sj",1,2,"unres",985,13.5452969814705,29.6878850572067,10,16,5,25,10,2.62212548381514,0.240066536749164,0.312714822603585,2.62212548381514
