"","h1","h2","h3","h4","h5","h6","h7","h8"
"t_cond=980",3.21004676182952,3.22387226429189,3.82713276363119,3.87134260909873,2.8711960846275,3.95689994950094,2.84967704702895,3.40676660015816
"t_cond=981",2.94000409322552,3.48743694774824,3.6839662747354,2.97589754098613,3.84326528904222,2.89642226620541,3.35189220027174,3.14216411069687
"t_cond=982",3.50861622972595,3.66946669629708,2.9272984862259,3.78748583961385,2.8127032591895,3.33545171564763,3.16010490070139,2.94891519655536
"t_cond=983",3.00293452839638,3.49475735270454,3.46796769413036,2.90818766878764,3.19105086029637,3.09369482244757,2.93400459087516,2.89631625031524
"t_cond=984",4.33502230044421,3.24459395966156,2.95635432466929,3.10812474808354,3.06103175918267,2.94219677180529,2.88460342497611,2.8122487718875
"t_cond=985",6.21707364008587,2.6162767659789,3.6680715711274,3.27168416997653,2.99282880255574,2.85712775526306,2.53647620431042,3.01143841751609
"t_cond=986",3.49984242273793,2.90105785166523,2.95681586924907,2.92142710656557,2.85741536934494,2.87451804128937,3.01891627431634,3.18263819684542
"t_cond=987",3.31266502472766,2.98955167207679,2.82203979019198,2.78360383847245,2.62730107311746,2.9589022793574,3.1838109823144,2.98275702155336
"t_cond=988",2.52834550838109,2.71206586209365,2.78888543832511,2.8391734584131,2.9423012002504,3.12857171283344,3.02677798025761,3.8226869039433
"t_cond=989",2.44352550472536,2.6602159581088,2.84281168676184,2.89776972676062,3.08151071307831,2.9952419625356,3.85083908005074,3.50308585883948
"t_cond=990",2.35374665610816,2.74313078071267,2.81657356630568,3.04823375299725,2.9602973727162,3.89254087680062,3.5274645732128,3.67930272526591
"t_cond=991",2.68081627670935,2.67338393018061,3.00203139976004,2.87592100478733,3.86122533866025,3.53567984723281,3.65494842320207,3.43994238178038
"t_cond=992",3.02289681729518,3.31943828399571,2.88788573756379,4.35042629278564,3.69528995483084,3.81391198261381,3.45794096237315,3.66501996103125
"t_cond=993",2.55157468961296,2.69219157697695,3.80284721937832,3.4336049300734,3.53895943193144,3.39140482742035,3.57298217212828,3.53904452073951
