"","h1","h2","h3","h4","h5","h6","h7","h8"
"t_cond=980",3.07156980315934,2.99681024239407,3.34987599494084,3.36343871995118,3.32073778915219,3.40391126282176,2.92827652989303,3.06297195660669
"t_cond=981",2.93431971079515,3.23550257345882,3.28722651290163,3.41686248446525,3.30040711058698,2.94274783222013,2.98384101328824,2.93357076693682
"t_cond=982",3.23732157337079,3.27608469751295,3.37783095966736,3.30418089526052,2.87256625150596,2.95384527536755,2.87090879720722,2.82497049580957
"t_cond=983",2.99983404444556,3.91018063803523,3.12387911718019,3.04036345666904,2.89202327034197,2.86428350740422,2.85974799157749,2.90779954403313
"t_cond=984",4.5099436106817,2.97018703410765,3.24358590069481,2.86404148361465,2.86451315477273,2.89446119721574,2.92809606036754,3.38776786123192
"t_cond=985",3.73064835103542,2.54413822134107,2.95135426930906,2.79509944152707,2.697404263479,2.6952229864018,2.83449652550919,2.82734947579992
"t_cond=986",3.11834079834248,2.69937805987939,2.72110603266385,2.75033866802357,2.80922105763679,3.30530610593238,2.92240172145526,2.99693921998026
"t_cond=987",2.72132516586404,2.62089769859628,2.57365993067668,2.58364044487559,2.8045143640639,2.78027963928775,2.95205430684744,2.91726918968366
"t_cond=988",2.48304252816367,2.54507675438936,2.63350076078702,3.1461407717467,2.76205538206931,2.92448985052075,2.92256851868924,3.5126747575818
"t_cond=989",2.45322854275219,2.56762146685111,3.15070861468425,2.7220745386462,2.86316179849097,2.90611905161599,3.48434570657294,3.25784140908211
"t_cond=990",2.40876639851366,3.05453489945485,2.60839779631115,2.7992019787376,2.80233663905612,3.55474263540955,3.26908498971955,3.37218690891402
"t_cond=991",2.91611353722376,2.49507696120536,2.71202596689898,2.70253409833242,3.64830692389446,3.29974288453065,3.41354406737825,3.28294041053231
"t_cond=992",2.53824891028824,2.96269868146104,2.64507996536293,4.17324122368407,3.48241970622244,3.62679174212227,3.25227014167913,3.44461504835234
"t_cond=993",2.62654494150167,2.48697762311079,3.94088760294064,3.28985761632286,3.44016950298218,3.14690257610641,3.32428068155305,3.37086910044859
"t_cond=994",2.45716832566252,3.58969778127456,3.07178725769579,3.20163588796581,3.11971699805686,3.31435136325922,3.44565735179064,3.58489026380194
"t_cond=995",3.94954352148158,3.0600974701811,3.24178806841745,3.02847987676203,3.23505323409236,3.30937836703639,3.47946779690318,3.57083376064309
"t_cond=996",2.74847826204832,2.9616181536007,3.22630821553764,3.35594472473551,3.65720856009037,3.9358023788529,3.85876625802208,4.32392306099416
"t_cond=997",2.80497189110219,3.13121675039731,3.24850641583106,3.56007969261746,3.94652406576563,3.80341850592574,4.35573833878694,3.98342795181004
"t_cond=998",3.07768109246754,3.14938697765483,3.57047959408938,3.98897319718633,3.69996705511443,4.35262466518431,3.92167725249268,4.10678199707062
"t_cond=999",2.84023284322979,3.20507471931721,3.53888700051298,3.44433970891177,4.47512158873194,3.72917722579777,4.00486261663301,4.00832105669125
"t_cond=1000",3.06311817227102,3.44914397959428,3.35305486936147,4.63854758970987,3.64900534108394,3.9131731154534,3.96195867508385,4.00931441793059
"t_cond=1001",3.08046452062358,3.09849545537193,5.26118247180092,3.49760634738599,3.986504688083,3.93101910629731,3.96736819146366,3.99298486076757
"t_cond=1002",2.97094634381326,6.58013418902954,3.41460448400012,4.20684632898135,4.04048571148224,3.99100361879725,3.96262985796901,3.76606185928508
"t_cond=1003",7.05957318431936,3.27485490182287,4.07860538554984,3.91200674963255,3.87986624688728,3.8406989991742,3.76064963150066,4.10089788158812
"t_cond=1004",4.16182282171216,3.66931214125311,3.88931563176345,4.01875984591138,4.18016396761654,4.44096017374067,4.21979358194592,4.32527968171217
"t_cond=1005",3.44129850467052,3.55549692249601,3.67056492593938,3.77948448850018,3.95695677524557,3.96777572461347,3.97328666177753,4.018905437211
"t_cond=1006",3.43766051596839,3.61860321002111,3.80691462645989,4.07282966281506,3.9105941955031,3.97928422467761,3.9661922911532,4.00922624268585
"t_cond=1007",3.46408480569924,3.6562721521129,3.96947254402082,3.82436751270693,3.91145130477113,3.92011929678011,3.94054127588903,4.13365647580526
"t_cond=1008",3.46999113773755,3.82006093521077,3.72219960082596,3.82081613701169,3.82670659404081,3.87396830490167,4.08456479948938,3.96965484332368
"t_cond=1009",3.65970847763295,3.61105002568544,3.6475548398109,3.7637784192216,3.78738267335321,4.09797224257453,3.9866566662833,4.65470266252638
"t_cond=1010",3.60812740945453,3.43768247517307,3.67181639891072,3.74358588889314,4.25165621894479,4.07382685069391,4.91743341895718,4.54028910044948
"t_cond=1011",3.43325303133664,3.53710373004197,3.62771263301701,4.02319790666373,3.88978412573177,4.77056053065007,4.36644618884878,5.90387770075639
"t_cond=1012",3.43036375878495,3.57094694274377,4.13191446911566,3.93719823766226,4.96088105517849,4.50318175346456,6.11059749279221,5.0669276681415
"t_cond=1013",3.4166285160984,3.96934035552924,3.78680933110457,4.89419212124456,4.35346603383308,6.26803110967733,4.98075197308637,4.98659258513848
"t_cond=1014",3.83858813067237,3.68254492162355,4.83830783354751,4.33706302277392,6.27092908990721,5.05312404658704,4.86406054622252,3.73816156899162
"t_cond=1015",3.46676090282972,4.43204419289707,4.02498162376276,5.92673817662052,4.65053992397422,4.59638638986835,3.69918545818957,5.38854505471798
"t_cond=1016",4.38065864210249,3.94536168957322,6.03621674388267,4.63286783858289,4.60505653550717,3.63012671321267,5.45822740383133,6.3124363598704
"t_cond=1017",3.57613171071668,5.1854527025363,4.12349884348311,4.15297362516763,3.59229412628594,4.92627283454604,5.69644575977359,4.22081209936445
"t_cond=1018",5.23656356774814,4.05493846017681,4.05345737306772,3.56137200934078,4.94095921210425,5.83409129740911,4.1647804924761,4.81506429660779
"t_cond=1019",3.66152680464964,3.72377221776282,3.98677232161112,4.23254431702967,4.91828069944091,3.83760737810861,4.27694936391341,5.1100934627577
"t_cond=1020",3.6048912379618,3.97083068891128,4.27211159638972,4.97353214702216,3.8138917917408,4.27586036828869,5.21180204028828,5.91031930697254
"t_cond=1021",4.05698571856,4.21104240090771,5.02936450153065,3.73097748457683,4.27427639489418,5.19940535788426,5.95728207522488,4.73222004302086
