"","h1","h2","h3","h4","h5","h6","h7","h8"
"t_cond=980",3.01053321091832,3.11585333102476,3.47967822687173,3.42034677851099,3.30088472684853,3.54984075858387,2.98941748338107,3.22669721358261
"t_cond=981",2.91907751853236,3.3442603037948,3.29377347859018,3.37895093945825,3.45290146736142,2.95637158335592,3.17361770217996,3.08119437864651
"t_cond=982",3.2836424939155,3.23464292027758,3.2470082855749,3.47912846069043,2.81580500806758,3.14826281773984,3.05306055777348,2.92029153089765
"t_cond=983",2.88845258944203,3.83152103443779,3.21836450957093,3.05124644137629,3.02214432274414,2.96686417769819,2.91947231935799,2.92570210679156
"t_cond=984",4.28514977015802,3.09146508657949,3.10473652843622,2.91940256293606,2.86233994960993,2.82312618857938,2.8534331303059,3.06950284380452
"t_cond=985",3.74167653045034,2.59485361235926,3.00126515310943,2.86772655797883,2.72687673144074,2.69964285681208,2.67101608312907,2.88235373707051
"t_cond=986",3.27297472124013,2.72991554485762,2.73938203482205,2.70147907209377,2.79156097562485,3.14532937551258,2.89665005249523,3.04563625022576
"t_cond=987",2.78475195025275,2.63355545664879,2.55553790398397,2.57321699613275,2.81103808440837,2.75186283671219,2.95491212419946,2.86400789671578
"t_cond=988",2.4489484414088,2.48954543688883,2.57439183975908,3.05254566109987,2.74002272516292,2.93556204425258,2.89763328710713,3.65274299369004
"t_cond=989",2.36184115641924,2.52758086818255,3.10048487449242,2.66978132977108,2.82228222038041,2.78981315478546,3.57369960468402,3.34749201370261
"t_cond=990",2.37129121676568,3.07527063536332,2.57760547238161,2.78140948286445,2.73311009589234,3.6456052369191,3.35087332321975,3.48759855194363
"t_cond=991",2.95348564672784,2.47570762879882,2.71461322373968,2.65594952676115,3.68535646585639,3.34763702327973,3.45396653265371,3.24052070584995
"t_cond=992",2.44476061954815,2.80489331644081,2.58778437500982,4.00989059832287,3.51208685264659,3.59106986392481,3.27649149616004,3.50632081720321
"t_cond=993",2.57422733980053,2.47210757021665,3.84648064295702,3.40927070318202,3.51908907691643,3.20021405920207,3.44461828766902,3.34072723975893
"t_cond=994",2.34660463704359,3.64798904952312,3.19038085078148,3.32593197828137,3.09053004433574,3.31320502792,3.30916909521704,3.38740379379752
"t_cond=995",3.89527294709228,3.15361699831139,3.26317552449884,3.03423251292495,3.26399348572924,3.24698811052976,3.33998929926503,3.64095485268914
"t_cond=996",2.67529228470533,2.98721267811748,3.10352270983522,3.24770368842071,3.44464656850292,3.67186122863311,3.74103827784707,4.61755737000069
"t_cond=997",2.75162273548307,3.05744511682865,3.17910328181807,3.46254890095805,3.71823077581585,3.72619994646753,4.54961175960206,3.99888919477478
"t_cond=998",2.98859001202895,3.0730773792105,3.4286267223546,3.74518572452559,3.69853452091974,4.51878917047886,3.93198798755941,4.2763809554947
"t_cond=999",2.7703803227693,3.19446630381252,3.52388157543896,3.51413352500081,4.62698405621055,3.8217185870207,4.22702690078336,4.30822673943355
"t_cond=1000",3.07363157136539,3.47325563749786,3.40672838613562,4.66822936146053,3.74519089261571,4.26291463893717,4.2770525382872,4.32846463707414
"t_cond=1001",3.10134433860541,3.18674799341831,5.02353511748311,3.58835508193912,4.2369530202033,4.25947059173284,4.2903146241685,4.29701458671287
"t_cond=1002",2.8939307543947,5.84059079490215,3.54038476899561,4.3399365459557,4.32926298723359,4.33055555377015,4.33242929164167,4.03791901932357
"t_cond=1003",7.27949717728666,3.37021449985557,4.19733505111917,4.21706262803588,4.25030311414207,4.22382183783339,3.97860359469955,4.47347861435366
"t_cond=1004",4.49779557035972,3.79030583234186,3.90003827759941,4.02526618795189,4.1508859243528,4.26796051409977,4.3798902787036,4.34370378306743
"t_cond=1005",3.41102332643366,3.70862264889519,3.85563366110528,3.99560517364688,3.98516229176756,4.345231897759,4.24260507655963,4.38968511126232
"t_cond=1006",3.34788804413335,3.71489732141381,3.89930456045825,4.01876522054799,4.19763188049953,4.15329791888031,4.29465298294467,4.34871678626464
"t_cond=1007",3.34791161287198,3.70636233498321,3.92779658008647,4.09386835869732,4.05881213766798,4.23329181509551,4.29876200277328,4.57499219030854
"t_cond=1008",3.39550825536191,3.84955597351039,3.96320823002053,3.96224082216317,4.13615477584994,4.22543009034033,4.60616759149857,4.44462691478601
"t_cond=1009",3.72185682283782,3.80800600143928,3.85893906749795,4.0138417551082,4.11432541155654,4.53323131329883,4.42164364615709,5.01416757221013
"t_cond=1010",3.66294449273923,3.60791837757738,3.91533350313874,4.05005577804224,4.64161295779213,4.49049311933557,5.1427949173583,4.92546006807818
"t_cond=1011",3.54834244983379,3.74080886520759,3.8787589013671,4.40512460313542,4.21100298928176,4.87918368633879,4.6694767885115,5.68321420488144
"t_cond=1012",3.39520374706479,3.70940851968462,4.50413420222464,4.27618309443068,5.06502190588635,4.7718278556167,5.77149554900209,5.22913321569392
"t_cond=1013",3.37300279385408,4.28375331022169,4.09125430836697,4.99496977299115,4.70645271711521,5.67714640435485,5.13507245381705,5.0737515942086
"t_cond=1014",4.40399694244314,3.94850051884551,5.01978050482875,4.67946639359952,5.88663865499762,5.14114227193259,5.03410522306342,4.26865362025778
"t_cond=1015",3.42457360791305,4.40165581752821,4.23381022751109,5.35402736900302,4.77952588359562,4.69804823308916,4.06952033546776,5.21167363297415
"t_cond=1016",4.51993475432123,4.16707571778721,5.5604429201944,4.71148237133865,4.64971257868673,3.99660484945834,5.15845354207085,5.59089728871413
"t_cond=1017",3.51862029527207,4.84833517405191,4.32331632640362,4.3743910698995,4.00143417577977,4.85783902140581,5.21754462742382,4.53623809533175
"t_cond=1018",5.27131030385319,4.18414945894752,4.21845495243346,3.85009416930415,4.80176927409599,5.26240393748054,4.43425313672298,4.95065652494496
"t_cond=1019",3.73290328993968,4.06225295800479,4.2144994688418,4.48190594737637,4.84614201792952,4.31822682153741,4.65188652804298,5.07531185646225
"t_cond=1020",3.59071509285096,4.08271722637189,4.36076915872598,4.81509543420868,4.20942227812692,4.57524577151806,4.97633962802998,5.372609663001
"t_cond=1021",4.12098498395706,4.30423333365682,4.87265464112492,4.11624858205911,4.54554938014118,5.03444057648164,5.4420157679561,4.79646561272426
"t_cond=1022",4.96323334457873,5.49548524765039,4.07155266210322,4.84489417418834,5.44893909424301,6.0545610593077,5.20136336707165,6.56169069116914
"t_cond=1023",4.37066176277329,3.76783578534775,4.24419432565045,4.81957183738233,5.32050252596239,4.5843546149596,5.86496622946178,6.12646001304534
"t_cond=1024",4.07458749208244,3.95712903957475,4.42035799672801,4.98789435987484,4.34769930060718,5.53504194989841,5.80807594179248,5.4960773021078
"t_cond=1025",3.78487231947911,4.61933559091185,5.42299295427229,4.43933619873128,6.11103751500343,6.42301981124873,5.94358057001969,5.55605484976812
"t_cond=1026",4.12566219769945,4.99294895144338,4.13387011841421,5.86067984244485,6.18391314637238,5.67741902940853,5.35442278124039,4.78777549738754
"t_cond=1027",4.59445586238804,3.86093085030963,5.50310611638383,5.8039882273294,5.31912365558995,5.04520346624918,4.5564163417661,6.53859294008141
"t_cond=1028",3.71968131870276,4.95113095940311,5.32099811800359,4.9511287182478,4.72178449160227,4.33844511941885,5.98206419774922,5.19841704506481
"t_cond=1029",6.54648022068996,5.97097708654007,5.21139411314306,4.79329031694154,4.31625969468226,6.55171132072432,5.36013506709859,6.39533018517835
"t_cond=1030",4.20032544412411,4.23925558991118,4.17191328661117,3.98308004256037,5.50300826136599,4.72515351638038,5.6028492343799,4.1191711867659
"t_cond=1031",3.65698758598526,4.00137547479823,3.93079075538458,5.29836299947524,4.59916434707121,5.38565450802963,4.04191844538559,4.50573292282467
"t_cond=1032",3.58672947347035,3.82703448815,5.28934473536674,4.37791000159037,5.36383312139253,3.93255346081939,4.49268810371148,4.994601110339
"t_cond=1033",3.52357117229042,5.53347151611667,4.30559056600134,5.42888213813397,3.79342692594899,4.32100504364689,4.93334839669306,5.05838854173501
"t_cond=1034",8.14660828146796,4.39932983535124,5.97725665131402,3.71246479286806,4.40509501672105,5.12920711716419,5.26303218952384,6.26698984365432
"t_cond=1035",3.94281059644003,4.48485297228328,4.00057618128218,3.94708774758434,4.33800568361797,4.51690720125685,5.23001692232857,5.35110928661671
"t_cond=1036",5.01570083475719,3.76826526123747,3.79925964545349,4.32125076731967,4.52397930512392,5.34844427576035,5.45835336420014,5.6077813057377
"t_cond=1037",5.47502710768945,3.77727624873889,4.05594200585792,4.21242872495526,4.96897938118456,5.06826045043426,5.21226306388362,5.59902735843025
"t_cond=1038",3.29358064300085,4.12836702324299,4.38035532789539,5.5136483016064,5.56139890522449,5.65154927526537,6.12566193216734,6.7496343324107
"t_cond=1039",3.82611279983777,4.21791303161633,5.48667162423628,5.54492461404706,5.6213246996616,6.08777133727156,6.72882736203915,7.8385453520163
"t_cond=1040",3.6781664021567,5.24440352966639,5.32988725853477,5.46939147898693,5.91191391097535,6.71079921063845,7.87080028743641,7.59762753902228
