"","h1","h2","h3","h4","h5","h6","h7","h8"
"t_cond=980",3.07733757589782,2.98727378015152,3.39287685555475,3.40629760090984,3.22962204262849,3.46677134568934,2.91058585048979,3.09039632116503
"t_cond=981",2.922488179888,3.25099036575875,3.31368687045595,3.32310696066849,3.38387144824748,2.93226331615428,3.0154104220813,2.95886503073077
"t_cond=982",3.25801236030982,3.29560578285308,3.30139616558991,3.36912716555027,2.84869031247441,3.01944111435833,2.88513176059816,2.8524425991136
"t_cond=983",3.02792927584266,3.89840429492626,3.1393250339902,3.01159661986451,2.91836013980261,2.90517733300751,2.88329951844034,2.86684182830583
"t_cond=984",4.46917120714343,2.95615672477744,3.26274352953384,2.88496589158028,2.8736915406654,2.91429940271962,2.91758619293735,3.35226729710953
"t_cond=985",3.53160415723718,2.51304273299202,3.04309129639523,2.8223866301903,2.71716553648371,2.69680061115593,2.75125169606138,2.84505484411497
"t_cond=986",2.93518645158801,2.68188702831173,2.69970206553668,2.73774924897179,2.79060085387517,3.14461328804737,2.9170801315068,3.00784566847414
"t_cond=987",2.73336783909014,2.60814368212454,2.58449464633972,2.60254458671497,2.82943778976088,2.80042054208108,2.97635582826993,2.9013235265974
"t_cond=988",2.48828255695391,2.52740713268913,2.63544253925591,3.06388584687497,2.79576301805053,2.91918832736518,2.94617743512429,3.56364219927939
"t_cond=989",2.44368024454264,2.56592296442454,3.14017360915469,2.71749719559818,2.87985357287091,2.91845490438089,3.55577386549264,3.24785868713418
"t_cond=990",2.42698104365575,3.06463081325996,2.60452321278878,2.80883896187951,2.82951541019033,3.58761497717984,3.27932531677307,3.40011282590744
"t_cond=991",2.898251607166,2.48271085838709,2.73593995767449,2.71230815476962,3.71866963392433,3.26794448130625,3.41143371018145,3.28878553171724
"t_cond=992",2.54509864508535,3.04670130974858,2.67372618944056,4.26500531531703,3.54788988151454,3.68746883479222,3.27928014088803,3.45412569039237
"t_cond=993",2.70655898483025,2.47575156080614,3.95345288372292,3.32246145559684,3.4572395886404,3.21181372344808,3.3534647721898,3.39988770029781
"t_cond=994",2.44343933512177,3.53669384636361,3.04451727457638,3.21992102618839,3.11816866319672,3.30079394792812,3.43246265760468,3.54114610081652
"t_cond=995",3.7984946315923,3.0078538478724,3.20115061679692,3.06836021036715,3.24621882523149,3.33797697344805,3.52165951632476,3.61478274038582
"t_cond=996",2.74165303380707,2.95066489889699,3.24839563227322,3.34975571303945,3.64960460925187,3.93358839968661,3.86202587580485,4.32355942862126
"t_cond=997",2.82103683901498,3.1686341150727,3.27701082565402,3.57783582107674,3.96414437348257,3.84339207934341,4.33037898830074,4.03745067033135
"t_cond=998",3.12129633899728,3.13924698461001,3.57777763486323,3.96860160020331,3.73129190602361,4.34033415313426,3.9283376193574,4.11263267392641
"t_cond=999",2.85108599612025,3.15908573537127,3.5037949423764,3.41915806201297,4.51930926852372,3.74325341974349,3.99016882618276,4.04300925261339
"t_cond=1000",3.02708321341999,3.38610687423186,3.31136584773659,4.72457106376234,3.63944732102914,3.95846281350415,3.99275058312377,4.02470415577829
"t_cond=1001",3.068233024657,3.0799278692628,5.3562133909262,3.49572253141146,4.03412378695,3.94394550275707,4.01663304222547,3.99573839062941
"t_cond=1002",2.97917277999637,6.76801870779955,3.46030616371914,4.25147609229425,4.08764438482884,3.98180995970272,4.01823188606432,3.81012829242558
"t_cond=1003",7.28124731373265,3.27405925924577,4.10457645882153,3.94831853811787,3.90074879587713,3.8820298575193,3.76902421616627,4.12235778452735
"t_cond=1004",4.00270873409103,3.69766724997344,3.95745014960685,4.05766084456792,4.22283099857462,4.52050495313583,4.24579265312669,4.38944331511589
"t_cond=1005",3.42532727747256,3.55715848491677,3.70003780734476,3.81257449264914,4.0317432741335,4.00365977869691,4.0486965334903,4.07029279909736
