"","h1","h2","h3","h4","h5","h6","h7","h8"
"t=980",NA,NA,NA,NA,NA,NA,NA,3.77676166162749
"t=981",NA,NA,NA,NA,NA,NA,3.77649095384277,3.47398311424385
"t=982",NA,NA,NA,NA,NA,3.77624419846404,3.47362774145374,3.26157841151372
"t=983",NA,NA,NA,NA,3.7761547894057,3.47349894463809,3.26143844421315,3.17047609935322
"t=984",NA,NA,NA,3.77599924407831,3.47327483633524,3.26119489117801,3.1702344176113,2.82523282792071
"t=985",NA,NA,3.77570829292828,3.47285550022556,3.26073914434842,3.16978217480566,2.82490982868765,3.26822816496376
"t=986",NA,3.77561388595705,3.47271939704792,3.26059121581858,3.16963538429635,2.82480501186544,3.26808223448478,3.42042969695296
"t=987",3.77530978160954,3.4722808530057,3.26011454346546,3.16916238123055,2.82446733857452,3.26761200453646,3.41994690386695,3.28511522879753
"t=988",3.47198663502368,3.25979472362443,3.16884502517726,2.82424084724192,3.26729651065185,3.41962297414766,3.28480990072962,3.92446168406089
"t=989",3.25935069032975,3.16840441511037,2.82392648065654,3.26685848808006,3.41917323046954,3.28438600323443,3.92403304367661,3.72780102378653
"t=990",3.16792893666258,2.82358735224496,3.26638580463672,3.41868788662668,3.28392857714718,3.9235704961387,3.7273009110466,3.82843939498093
"t=991",2.8232513999222,3.26591738507474,3.41820690877516,3.28347529223451,3.92311213264,3.7268052828157,3.8279400136136,3.70960058003344
"t=992",3.26557996436497,3.41786043437737,3.28314878281137,3.92278196285856,3.72644824610337,3.82758027096524,3.709269251041,3.84871570828857
"t=993",3.41738298388895,3.2826988668818,3.92232700014891,3.72595622831949,3.82708452110721,3.70881269005487,3.84823885629988,3.84052872345995
"t=994",3.28223763530996,3.92186059130107,3.72545179197295,3.8265762547147,3.70834464160963,3.84774998432341,3.84012969066155,3.98149740431772
"t=995",3.92142079157387,3.72497609694831,3.82609694436478,3.70790329479541,3.8472889815174,3.83975349293813,3.98129534565749,4.24573086485187
"t=996",3.7244940593804,3.82561123979439,3.70745609670032,3.84682184659523,3.83937237776066,3.9810908671229,4.24545805647122,4.79070289780493
"t=997",3.82508923085021,3.70697551342093,3.84631981538238,3.83896288951858,3.98087141440701,4.24516509693853,4.79019056188958,4.35473117868117
"t=998",3.70649184425942,3.84581453675186,3.8385508543946,3.98065085734301,4.24487048161159,4.7896749018986,4.35432700209497,4.57711016950162
"t=999",3.84534844442674,3.83817086494994,3.98044768605073,4.24459892791606,4.78919922442271,4.35395427482323,4.57661419004987,4.57829933707962
"t=1000",3.83777499230954,3.98023625975484,4.24431617506063,4.78870353883096,4.35356598307859,4.57609732601979,4.57780622558567,4.58954402865633
"t=1001",3.98006291134197,4.24408421927639,4.78829660547278,4.35324730129787,4.575672989017,4.57740140761108,4.58914830903101,4.58094491484087
"t=1002",4.24395661521758,4.78807262727619,4.35307193054424,4.57543942514451,4.57717859457062,4.58893050725918,4.58073388293296,4.50391563384416
"t=1003",4.78777808549868,4.35284134586561,4.57513227059455,4.57688558593446,4.58864409245075,4.58045637589837,4.50369981324297,4.73909004488283
"t=1004",4.35244650504893,4.57460616989994,4.57638373509607,4.58815354522519,4.57998109898184,4.5033302829826,4.73865704967072,4.6499552893479
"t=1005",4.57419123613502,4.57598794533081,4.58776667910926,4.57960628799546,4.50303895322279,4.73831561856911,4.6496913570203,4.70191361206244
"t=1006",4.57546718720098,4.58725767424559,4.57911316080152,4.50265577768743,4.737866456488,4.64934426770905,4.70149540680188,4.66396084825494
"t=1007",4.58677171796394,4.57864238082123,4.50229009192666,4.73743770045015,4.64901307560076,4.70109624018325,4.66352573168377,4.77533353872205
"t=1008",4.57818233139059,4.50193285968377,4.7370187655048,4.64868959120591,4.70070625375212,4.66310057359602,4.77485363189313,4.69677717920004
"t=1009",4.50158687150101,4.73661293135774,4.64837633735749,4.70032849766421,4.66268870307368,4.77438865887453,4.69633483982172,4.89448245071604
"t=1010",4.73629499597676,4.6481310094471,4.70003258294671,4.66236603332362,4.77402434264964,4.69598827437107,4.89408804859491,4.76700505826489
"t=1011",4.64784557729711,4.69968821552151,4.66199049508537,4.77360028482536,4.69558489679483,4.89362893947818,4.76655915868868,5.13801604186245
"t=1012",4.69941996097555,4.66169793308376,4.77326988685889,4.69527062543856,4.89327120809574,4.76621172824644,5.13768064370541,4.8493300786957
"t=1013",4.66134836351347,4.77287506628889,4.69489509193103,4.89284369719292,4.76579653708542,5.13727984304188,4.84890820590126,4.82060375670839
"t=1014",4.77244657660134,4.69448755379154,4.8923796957503,4.76534591864699,5.13684485720181,4.84845032915271,4.82016722555244,4.36203772413256
"t=1015",4.69403003272566,4.89185871663632,4.76483998044975,5.13635648834963,4.84793623345378,4.81967711952006,4.3615247865143,5.24199869392084
"t=1016",4.89136277585368,4.76435837200853,5.13589162171198,4.84744685179182,4.81921059711946,4.3610365082899,5.241796838101,5.40138307189082
"t=1017",4.7638133865751,5.13536560163209,4.84689306080317,4.81868270088856,4.36048396717807,5.24156875065633,5.40120684656313,4.67253420407029
"t=1018",5.13485471768579,4.84635517358462,4.81816999215918,4.35994729517523,5.24134755467437,5.40103607964869,4.67207777985622,4.88894351081743
"t=1019",4.8458350641567,4.8176742547266,4.3594283619552,5.24113398961349,5.40087132976336,4.67163652257667,4.88856722581058,5.3251628234683
"t=1020",4.81715461015887,4.35888437578485,5.24091045189187,5.40069901986839,4.67117404754511,4.88817293183613,5.32503693278859,5.69840478607753
"t=1021",4.35836498847353,5.24069734546898,5.40053487828472,4.67073256691382,4.88779661805144,5.32491715418331,5.69855807137401,4.98380601188851
"t=1022",5.24047556341428,5.40036418739813,4.67027250174911,4.88740454723288,5.3247927468582,5.69871857086774,4.98358451419054,6.41031552145443
"t=1023",5.40028688836594,4.67006382950012,4.88722674363307,5.32473645859164,5.69879162534406,4.98348414663292,6.41066095484545,7.1078421478361
"t=1024",4.66989492422639,4.88708283730867,5.32469096098751,5.6988508750871,4.98340295082029,6.4109407875745,7.10834728291059,6.27874964138021
"t=1025",4.8867471996798,5.32458505290112,5.69898949241602,4.98321370463497,6.41159433626514,7.10952677465491,6.27941078203954,5.75665185983383
"t=1026",5.32449389553252,5.69910959074209,4.98305054450679,6.41215930038341,7.11054611202146,6.2799822937062,5.7569505393468,5.50254337018497
"t=1027",5.69915632635621,4.98298725155793,6.41237883652268,7.11094214022036,6.28020437027975,5.75706663872455,5.50266191732501,8.97807382154779
"t=1028",4.9830279771203,6.41223755285485,7.1106872786364,6.280061451948,5.75699191995598,5.50258562365563,8.97749511468742,6.76266635098552
"t=1029",6.41258054461462,7.11130597326321,6.28040841061086,5.75717332826089,5.50277085300502,8.9788999161028,6.76328062932687,9.74304616469336
"t=1030",7.1097179348111,6.27951794971985,5.75670785597904,5.50229555839655,8.97529378620342,6.76170389320054,9.73859817663882,5.36859099679763
"t=1031",6.27789526336022,5.75586053709655,5.50143020759825,8.9687160650132,6.75882886693206,9.73048407447857,5.36753841871654,6.30084615625982
"t=1032",5.75539698302486,5.500956704987,8.96511015415611,6.75725332705214,9.72603547955211,5.36696216139442,6.29949130475328,8.16704842352796
"t=1033",5.50072454076461,8.96334038279273,6.75648019963322,9.72385200711315,5.36667953518469,6.29882647480266,8.16553788369465,7.54967442238222
"t=1034",8.96153042483299,6.75568961444419,9.72161887633747,5.36639062736691,6.29814663547288,8.16399301102134,7.54843622929686,9.13474486627014
"t=1035",6.74937579166009,9.70377158149245,5.36408699690833,6.29271736949313,8.15164708516199,7.53854277962063,9.11909097726593,9.65818292585896
"t=1036",9.69594206506495,5.36307941776852,6.29033786206209,8.14623143170357,7.53420384696635,9.11222401240048,9.65037124538009,10.1054962214023
"t=1037",5.36033593898155,6.28384366884296,8.13143599736595,7.5223528719855,9.09346284850788,9.62902703952224,10.0819411962977,10.049350681503
"t=1038",6.28303957031597,8.12960251983211,7.5208845731113,9.09113784889496,9.62638172882665,10.079021709514,10.0465278589988,10.6418096384702
"t=1039",8.12506668843786,7.51725243740123,9.08538596439346,9.61983722246622,10.0717987226205,10.0395443892049,10.6340631137959,16.5294719394582
"t=1040",7.50908690836953,9.0724522046647,9.60512014482125,10.0555550215957,10.0238412311443,10.6166443350773,16.4918498916632,12.8375630685769
"t=1041",9.06204661307609,9.5932787915365,10.0424844607503,10.0112075289125,10.6026305559418,16.461575471463,12.8177633935372,11.1136957549118
"t=1042",9.57498534959699,10.0222904769408,9.99169184443691,10.5809833567649,16.4147984989291,12.7871768767319,11.090706758637,13.4193405677549
"t=1043",9.99974674892475,9.96991016508837,10.5568231341014,16.362574030584,12.7530369300551,11.0650522929745,13.3827968900385,15.8269634007691
"t=1044",9.94633578458541,10.5306749797715,16.3060317880902,12.7160846748013,11.0372908926019,13.3432462196419,15.7744902012188,15.8326855572914
"t=1045",10.5057433109068,16.2520997260204,12.6808483143081,11.0108248442589,13.3055353118707,15.7244533376645,15.7826628372013,11.4041341873474
"t=1046",16.1935475244849,12.6426046152609,10.9821069524162,13.2646094019481,15.6701455261781,15.7283726946951,11.3748779237016,11.655925495084
"t=1047",12.5673871451179,10.9256462745097,13.1841272533996,15.56333150768,15.6216004820275,11.3173742829898,11.5976192810557,10.0883004203471
"t=1048",10.8880494851453,13.130519607432,15.4921726482696,15.5504746752651,11.2790944096272,11.5588104512626,10.061951664923,11.2661046340168
"t=1049",13.090160598813,15.4385935067789,15.496923171918,11.2502869542376,11.5296077333032,10.042135337662,11.2394343066637,9.31553473668168
"t=1050",15.36576630877,15.42413733755,11.2111521155399,11.4899397907371,10.0152322080657,11.2032120382327,9.2942536659235,8.96415085669319
"t=1051",15.3326988729395,11.1620207708838,11.4401454672993,9.98148567314977,11.1577525316947,9.2675733446375,8.94039795765105,9.00422815593747
"t=1052",11.1142927155826,11.3917800920835,9.94873415803233,11.11360791486,9.24169507282586,8.91736677580948,8.98141014149545,8.62810151738285
"t=1053",11.3648960160222,9.93054067847634,11.0890744386257,9.22732639410601,8.90458227120764,8.96874470079882,8.61735632039139,7.76234766595505
"t=1054",9.91244202547323,11.0646607844448,9.21303746293963,8.89187115098558,8.95615248865821,8.60667675677836,7.75584234992232,7.11028080085452
"t=1055",11.0480410550713,9.20331573301336,8.88322432043278,8.94758684971883,8.59941419602835,7.75142356614774,7.10794330657277,5.89526979285545
"t=1056",9.19058583828889,8.87190367853292,8.93637288084529,8.58990871783464,7.74564647368664,7.10489494537532,5.89700420122436,5.79758825133691
"t=1057",8.86522204569891,8.92975440929147,8.5842999571453,7.74224109632069,7.10310219033858,5.89803797747033,5.79874999825218,5.56578590255979
"t=1058",8.92391405852958,8.57935145689652,7.73923873780447,7.10152418914388,5.89895653498971,5.79978158451809,5.56710728334121,5.63239160851583
"t=1059",8.57449712852655,7.73629548325267,7.09997963175144,5.89986356910953,5.80079960928627,5.56840988089455,5.63353820350926,5.69600773138075
"t=1060",7.73382138423563,7.09868311931592,5.90063109952884,5.80166058316639,5.56951044059752,5.6345074200835,5.69694402592068,5.01610394279132
"t=1061",7.09790824121113,5.90109254202453,5.80217799567522,5.57017135955878,5.63508966645791,5.69750655317665,5.01691042724629,4.71723607652293
"t=1062",5.9013247383237,5.80243829698256,5.57050372213161,5.6353825235703,5.69778950852399,5.01731588519063,4.71759904518008,4.59973417825599
"t=1063",5.80223364480576,5.57024242202375,5.63515227903409,5.69756704783681,5.01699712422349,4.71731368541812,4.59949535808517,4.50261398037999
"t=1064",5.56995387531754,5.6348980537144,5.69732142501242,5.01664507387113,4.71699854856146,4.59923165446597,4.50244580661768,4.59000531706619
"t=1065",5.63458139796451,5.69701549594256,5.0162064387915,4.71660594102513,4.59890317887748,4.50223644633434,4.58960763627672,4.27687958792251
"t=1066",5.69674337818942,5.01581614350188,4.71625663385042,4.59861098173796,4.50205032182361,4.58925381113285,4.27661558693524,4.35446356065407
"t=1067",5.01543825317067,4.71591845855543,4.59832814240307,4.5018702595707,4.58891125804052,4.27636006637914,4.35409630475327,4.11057335504977
"t=1068",4.71544739606175,4.59793423573578,4.50161965585018,4.58843409122531,4.27600424829042,4.35358469426647,4.11014100731646,3.95237094288729
"t=1069",4.59758073046864,4.50139492099312,4.58800576857876,4.27568496678081,4.35312542058896,4.10975295671585,3.95231803564578,3.84788436828503
"t=1070",4.50120613914934,4.58764566665376,4.27541662212014,4.35273927306289,4.10942674242262,3.95227383544705,3.84776765367286,4.10298032452081
"t=1071",4.58741251937895,4.27524292365046,4.35248925078077,4.109215550198,3.95224535478843,3.84769219141121,4.10276623548836,3.75359719172117
"t=1072",4.27492102304203,4.35202575906268,4.10882409282573,3.95219284449453,3.84755252397839,4.10236940415424,3.75387279388821,3.68064472983965
"t=1073",4.35167709589567,4.10852966153715,3.95215358954466,3.8474476511718,4.10207092698205,3.7540805415353,3.68080678382787,3.74033434232885
"t=1074",4.10811210574871,3.95209827317778,3.84729918363078,4.10164762765696,3.75437583650449,3.68103721251849,3.74002681256413,3.78102745013222
"t=1075",3.95205165977327,3.84717343922842,4.10128842482892,3.75462703280336,3.68123330600427,3.73976594931646,3.78069852325215,3.59498168385572
"t=1076",3.84715375139329,4.10123212675574,3.75466645420037,3.68126408621735,3.73972507239345,3.780646972832,3.59494164782681,3.41964975055215
"t=1077",4.1010979574722,3.75476045910005,3.68133749214846,3.73962766382213,3.7805241208483,3.59484624355324,3.41965035139919,3.48872126910706
"t=1078",3.75501501026807,3.68153631333803,3.73936437003331,3.78019199205548,3.5945883706683,3.41965220201406,3.48851780904232,3.11680438494822
"t=1079",3.68140520927221,3.7395378995119,3.78041089888928,3.59475832683801,3.41965094515089,3.48865189559476,3.11679645529862,3.11323080672002
"t=1080",3.73967150412627,3.78057941390061,3.59488918170869,3.41965007538136,3.48875515376413,3.11679044604962,3.11315027109891,3.16224001561433
"t=1081",3.78033602844317,3.59470019481436,3.41965135886797,3.4886060290727,3.11679915169512,3.11326662574335,3.16210192111673,3.09491140265369
"t=1082",3.59446441605655,3.41965320943955,3.48842003431917,3.11681025730869,3.11341216516703,3.16192969496717,3.09469453724574,2.8423018171234
"t=1083",3.41965485104039,3.48827452043915,3.11681913791944,3.11352635209513,3.16179496175839,3.09452483356547,2.84227554693441,2.89152523421945
"t=1084",3.48827029362399,3.11681939840377,3.11352967319221,3.16179104820963,3.09451990359743,2.84227478564369,2.89152210680436,2.85454768011816
"t=1085",3.11682658184375,3.11362064691936,3.16168395809281,3.09438498611006,2.84225399257117,2.89143653704271,2.85444714767529,2.81120315159068
"t=1086",3.11361941561335,3.16168540608361,3.09438681054332,2.84225427321908,2.89143769394045,2.85444850698305,2.81120218423736,2.92537901524828
"t=1087",3.16176089893985,3.09448192279747,2.84226892415208,2.89149801451184,2.85451937681168,2.81115178950763,2.92536976803651,2.87626205762957
"t=1088",3.09435708576197,2.842249702537,2.89141884583028,2.85442636082587,2.81121794817212,2.92538191593987,2.87635277019956,3.03797327707835
"t=1089",2.84222589875071,2.89132045527041,2.85431074018641,2.81130037282038,2.92539714523573,2.87646574723908,3.03779147002165,3.07098603521756
"t=1090",2.89130221823251,2.85428930696746,2.81131567526904,2.92539998413203,2.87648671718068,3.03775775969808,3.0710241398675,3.20309935767414
"t=1091",2.85421459920515,2.8113690697706,2.92540991799589,2.87655987571447,3.03764023975064,3.07115705191666,3.203195147374,3.35970181661076
"t=1092",2.81143122138139,2.92542153607872,2.87664501050067,3.03750365014005,3.07131167338889,3.20330660667171,3.35968134085903,3.48808640630129
"t=1093",2.92541415813079,2.87659099946681,3.03759028402299,3.07121358481619,3.20323589632075,3.35969432006167,3.48812576248768,4.02034708481719
"t=1094",2.87658435602076,3.03760094516876,3.07120151830817,3.20322719848982,3.35969591915646,3.48813060690802,4.02036333319984,3.74775675991426
