"","h1","h2","h3","h4","h5","h6","h7","h8"
"t_cond=980",3.07917934217844,2.99396889684756,3.42858003037139,3.45217169076785,3.1668028470593,3.49505557602381,2.90203494386122,3.11408362696907
"t_cond=981",2.91662450512601,3.2579271292361,3.35965174814821,3.30065552447786,3.39039312709461,2.92159253466905,3.0222061227779,2.93604240096379
"t_cond=982",3.26594772130015,3.34195109423652,3.25245274791182,3.42402052490985,2.82098270304243,3.04263258276665,2.93227990053548,2.83141572912258
"t_cond=983",3.01863653394728,3.89969755516504,3.18195930418822,2.99912321054501,2.94925198760365,2.91233865586882,2.8781227693185,2.86147516724383
"t_cond=984",4.5262625670495,2.978841914538,3.18769431036992,2.8946438754358,2.87886223712345,2.90929221664512,2.91366628337454,3.26604836026656
"t_cond=985",3.75099377869877,2.48171584683217,3.0836824161965,2.84799089450755,2.74774690981835,2.70574780338424,2.75119207833728,2.87380428657817
"t_cond=986",2.96007723059966,2.69673497419633,2.72334943448143,2.75146648797382,2.79957310538572,3.17591272446005,2.92869597167271,3.02210109959874
"t_cond=987",2.7150974190307,2.65149179966758,2.58793414833788,2.60900512562702,2.80712385557464,2.82055934979827,2.99566052651413,2.89444630732811
"t_cond=988",2.48342932090769,2.53778385024678,2.63630402899651,3.05996350441053,2.79881593864049,2.95194721415473,2.92444048435163,3.57243984785153
"t_cond=989",2.45884247684993,2.56393989573801,3.11277353169001,2.75061428213738,2.87363251128557,2.92823047598636,3.58691854743448,3.31832504674217
"t_cond=990",2.40110160975216,3.02727793931151,2.6219025837391,2.84569845050079,2.8108433525763,3.59465313003776,3.29166458217851,3.45867024949326
"t_cond=991",2.87073645175575,2.49759929202634,2.75266199274816,2.7298761819788,3.7333320298633,3.29956688068923,3.44210474462556,3.3052204652341
"t_cond=992",2.57977950500038,3.08259790428171,2.67754962436976,4.30757818244994,3.52708818760588,3.66520997549709,3.31994043709267,3.49722061488048
"t_cond=993",2.68471216852516,2.48957717768389,3.93083324706119,3.29580648439354,3.4352271027978,3.21686688660113,3.38677149857629,3.3758679118677
"t_cond=994",2.46708257086262,3.53911449840546,3.0701767889077,3.24173569981421,3.17491922660686,3.34187865374078,3.46620272371628,3.5444309922659
"t_cond=995",3.86576773902153,3.04629613307678,3.23259098522961,3.05153622350354,3.26480808871028,3.32502209441158,3.4990380837435,3.60954034917772
"t_cond=996",2.74710364787439,2.9723442674139,3.25318757884878,3.35916189529685,3.66836023648589,3.94595402051815,3.85912450149755,4.36516717152817
"t_cond=997",2.81922684924269,3.16471254219152,3.2895622408487,3.59269680129205,3.92359883144066,3.80138083681926,4.3910257026495,4.00898148238036
"t_cond=998",3.07234195984668,3.13858384674454,3.54691554561267,3.93350040508345,3.69692103195102,4.37142263386169,3.95095027535793,4.1321161322138
"t_cond=999",2.83687894106113,3.14595084885317,3.47091354810806,3.45983392148114,4.54914419422828,3.75223105347852,4.07992221050171,4.04799060526755
"t_cond=1000",3.00787593549924,3.40143566731736,3.32801664028908,4.70011821921925,3.67162043324179,3.99753808888315,4.00599531714488,4.04345113675102
"t_cond=1001",3.05346061962203,3.08814789766942,5.33651323100604,3.53064518747257,4.05772141468812,3.96545183625351,4.0050975153647,4.03309121801007
"t_cond=1002",2.99081402105168,6.81099030990309,3.47168899757984,4.27782184562895,4.05644189958038,4.02545678535554,4.01111354379836,3.81319848481154
"t_cond=1003",7.21937130972683,3.28221824089116,4.10465370780428,3.92014817679408,3.92050499295012,3.89454663549872,3.79504184788374,4.13739038976335
"t_cond=1004",4.16515082319373,3.73838436552206,3.97942094554889,4.08777743985164,4.26108183040042,4.50066856172316,4.2830100372804,4.37282313448301
"t_cond=1005",3.42128107884851,3.56233424179557,3.73177449741033,3.83593908216995,3.98337981618115,4.02677405872967,4.04903331677037,4.05335338133662
"t_cond=1006",3.43045057160298,3.61363657620632,3.79148799324655,4.03979823763512,3.94722221354969,4.02959501357142,3.98582794223356,4.04406655325445
"t_cond=1007",3.46411016793248,3.63891433091203,3.94045651796388,3.87335155494593,3.95366475190691,3.94205900163753,3.97736824012149,4.15816849739566
"t_cond=1008",3.46505696583721,3.79823092465995,3.7427390558496,3.8279202031166,3.84083689084383,3.95322537119617,4.13204553677714,4.02116167966533
"t_cond=1009",3.64950946802058,3.62400215678267,3.67956488104828,3.77995073908933,3.84623555762739,4.1129604092899,4.06111051081024,4.69095812957189
