"","h1","h2","h3","h4","h5","h6","h7","h8"
"t_cond=980",3.27263858016206,3.15947786984736,3.28034225162492,3.28026774041108,3.59627998890257,3.22291012900024,3.09678467648693,2.94425760667798
"t_cond=981",3.1587509715573,3.26782974194035,3.21580125523084,3.61023558247464,3.20707512676741,3.11492566933604,2.90691973718165,2.89107468200793
"t_cond=982",3.26892627407298,3.2305224521953,3.53448881836403,3.22661466320822,3.02251858580598,2.8984432026877,2.81637437218669,2.84777154643704
"t_cond=983",3.22848692759229,3.6271074171269,3.08427069840889,3.1068551986748,2.86479302061095,2.86048798960122,2.88389843943736,2.96430629490219
"t_cond=984",3.63338617154642,3.05079482768809,3.34166017028425,2.87178493390187,2.86911963988066,2.94981229887668,3.05794747700213,3.81984376975741
"t_cond=985",3.05471557325517,3.11137005867725,2.7800446538451,2.7533205964949,2.75928002827832,2.83038939841769,3.41027977186078,2.88522809908098
"t_cond=986",3.11409611014969,2.75220119296568,2.71523833842598,2.77028440021893,2.89352108701587,3.48552324341551,2.91397589444061,2.96532015355017
"t_cond=987",2.75333927297847,2.65232507231394,2.55852781084896,2.68941912908603,3.17596019474318,2.76690171391227,2.84973659644714,2.93543836544806
"t_cond=988",2.65209637172654,2.55051300268225,2.69897545569854,3.27512363306106,2.76836409684655,2.84399710320332,2.95208654184522,3.30011463128571
"t_cond=989",2.54977911068992,2.67172672753043,3.29830705741454,2.71392740067108,2.80179290607046,2.92085845210905,3.29193410238799,3.12535487261308
"t_cond=990",2.67013863419809,3.24493976510152,2.63236898173362,2.76238951561621,2.87119952240059,3.32602216120102,3.11536059982773,3.23641687771752
"t_cond=991",3.23874306816483,2.5687254557399,2.65454220537439,2.75396318626237,3.37160147281211,3.0769170558996,3.20424866991752,3.19527493853908
"t_cond=992",2.56584703696498,2.68042886598998,2.53770303562685,3.71938299657456,3.14964532221615,3.2691122402706,3.09448883783692,3.25541417733535
"t_cond=993",2.68088335689852,2.50714402579155,3.93789228530915,3.18607472854435,3.29377120264981,3.03468136984042,3.19863088533191,3.23861347912124
"t_cond=994",2.50669159803646,3.82410117011758,3.00826532059091,3.18791916361568,2.99218657244576,3.17414455816776,3.2810169428464,3.49090268058977
"t_cond=995",3.8237798758841,2.98147880675033,3.10262365174649,2.97557317665541,3.13755698838332,3.29213396522693,3.52242818337614,3.50313382056984
"t_cond=996",2.9774596562205,2.98778339400057,3.18918083189202,3.20622398287624,3.55940531134241,3.94305375225138,3.77149226418207,4.19800158103825
"t_cond=997",2.98701457402883,3.26093917280502,3.26839339006048,3.63890781252579,4.09923335992751,3.8560703602693,4.13318928658259,4.03677377473373
"t_cond=998",3.26161846473899,3.29261986550469,3.7843995683149,4.2141759169339,3.90356613817306,4.10037646131065,4.08431010129293,4.01153545730138
"t_cond=999",3.28782629376221,3.57621636116619,3.82029686330137,3.67110214140124,4.17955303495951,3.87171034980374,3.89244804393445,3.99744578961185
"t_cond=1000",3.57046841029377,3.62574838513888,3.43190143070822,4.35062095652825,3.71481302750592,3.82474443125756,3.87740424533264,3.96353885708988
"t_cond=1001",3.61697776103782,3.25229236747314,5.04250961455061,3.53394769389522,3.82433022754373,3.81689862712424,3.84619463216288,3.88028864444995
"t_cond=1002",3.24893091872627,5.71296161376821,3.36202265436279,3.96137701771405,3.80616765870445,3.8110431108754,3.81295280459408,3.793215886783
"t_cond=1003",5.72177728150908,3.33648006136864,4.0209540699268,3.8398298739391,3.81154177863583,3.76199475619555,3.70461037994265,3.94627169171023
"t_cond=1004",3.33597501424272,3.68418530864004,3.7486399168881,3.75131553810363,3.85110064423377,4.07619560185093,3.96508495469378,4.06806079096787
"t_cond=1005",3.68328561237715,3.75057270112904,3.72668723409241,3.85259953628002,4.11470300080723,3.95743705279043,4.09282544152817,4.00786505429757
"t_cond=1006",3.75099830104452,3.74243573191716,3.89965504473235,4.19705638619635,3.9742291555907,4.1518404129347,4.03228529576834,4.0358820802777
"t_cond=1007",3.74037515346356,3.82025624869703,4.04364521021763,3.89579416069081,4.03898763073998,3.96931736250739,3.95025006323746,3.99393808373234
"t_cond=1008",3.81781882017397,3.96478468708141,3.77758750168594,3.975139858323,3.89197180419257,3.90137728613876,3.97664790449252,3.92447338032826
"t_cond=1009",3.96074509845228,3.72475682410529,3.76301726512629,3.80628907011284,3.81670177321917,3.96208284542372,3.87486832593893,4.41439927141698
"t_cond=1010",3.72364615492175,3.64362800695123,3.67220754626838,3.75272540870993,4.01815636685883,3.89993367926938,4.6217942095445,4.25556845993264
"t_cond=1011",3.6425165575699,3.6458050708431,3.66484918532228,4.01245163627906,3.85428377832784,4.65776816137398,4.2587992460172,5.9371102188765
"t_cond=1012",3.64534128200753,3.64523591260148,4.05001079322726,3.86539153075368,4.75253074016061,4.32973023765592,6.03683992129775,4.89660327702598
"t_cond=1013",3.64447007148684,4.01921980683496,3.77897006470842,4.79166302139181,4.29302795555381,6.19561147086048,4.92991230728874,4.86652032825602
"t_cond=1014",4.01862055359859,3.7607234655767,4.75316074750721,4.30290837788878,6.27720718619515,4.95566433237018,4.81613755227811,3.65732112843923
"t_cond=1015",3.75882039271636,4.58542123756398,4.02042326833652,6.00678869249627,4.70568921252064,4.65000005707026,3.60914737727721,5.59276402588408
"t_cond=1016",4.5828783020856,3.97447280040923,5.86311046800747,4.58578852464738,4.56368064539122,3.58804361459363,5.48900708688227,6.48015452607525
"t_cond=1017",3.96991937850061,5.46835375635174,4.15941460591123,4.23412399581078,3.57814631796411,5.07966235407567,5.96449898837266,4.21485028776146
"t_cond=1018",5.46185490263999,4.07931441920328,4.04446685766113,3.58736782466014,4.94998397067774,5.77270068344188,4.05469440318697,4.82640858502767
"t_cond=1019",4.07190789324646,3.8927465504978,3.95419614481502,4.42479165926125,5.13907092326278,3.86911381173813,4.39453001319219,5.30285674263416
"t_cond=1020",3.89093465017267,4.0476631780829,4.22655110148672,4.93529628953646,3.805476223597,4.27753877235891,5.16032597731906,5.98060099915477
"t_cond=1021",4.05001563841509,4.1788394950067,4.82142059084945,3.75469630617383,4.2072578443812,5.07464393087518,5.90329216404827,4.60109669093998
"t_cond=1022",4.18480227724739,5.07874125811498,3.83645366015053,4.4557212083725,5.55762656718484,6.52569270190171,4.9776685750636,8.09390246967767
"t_cond=1023",5.06912833582487,3.74806950716746,4.10908618646481,5.2379815626364,6.06449319995786,4.68629757003432,7.88591596220476,8.838621004953
"t_cond=1024",3.74303297302707,3.92642190293499,4.47124819010337,5.43731206676877,4.2714261474742,6.92537330722151,8.119112834519,6.734682560044
"t_cond=1025",3.9240925424576,4.40105418338848,5.25640931064049,4.17777331622494,6.89370433589342,7.76909386206957,6.72124260763235,6.25647775871315
"t_cond=1026",4.39565812563449,5.11970527420639,3.97106951739453,6.73831067951397,7.65618082222206,6.53722539741252,6.04712910895122,4.78950731316595
"t_cond=1027",5.1019751374776,3.84765848234921,6.06929299592873,7.08562258961482,6.05413461074636,5.63695684976725,4.49819008886371,8.84836782434784
