"","h1","h2","h3","h4","h5","h6","h7","h8"
"t_cond=980",3.06409700413797,3.02027284164434,3.34073304357454,3.35810812657049,3.3487635043404,3.37377057947163,2.95690742233448,3.05280691062459
"t_cond=981",2.94905346165653,3.24435107126184,3.26862924288076,3.43685441099735,3.31950955882417,2.96603094371551,2.99364995142755,2.92993203238582
"t_cond=982",3.27459382738522,3.28812808233601,3.37601047596161,3.34280937748592,2.88973773890861,2.98915883172528,2.87554929751885,2.84031685986176
"t_cond=983",2.97545013474131,3.82552909359379,3.11727739293966,3.09021011240469,2.90978186367225,2.8803563871273,2.88400822345312,2.88770819554219
"t_cond=984",4.44007877756176,2.99410656222442,3.27441865826882,2.8567247553264,2.87175942037725,2.93530157292087,2.94279680176439,3.37165241771388
"t_cond=985",3.89270739898031,2.62212548381514,2.96268317357206,2.79824416714217,2.70867726720184,2.70170092108525,2.81664216784466,2.83635003361162
"t_cond=986",3.42553666412748,2.73194749606042,2.7059385372224,2.78037086045378,2.83379100867959,3.2905091847815,2.94195086462487,3.01029730362683
"t_cond=987",2.93983683735234,2.61382232513013,2.56661735095122,2.57231399820328,2.83217352772096,2.79318450868869,2.98008772440244,2.91055369253849
"t_cond=988",2.50244324241243,2.5785958832748,2.64323526316471,3.19391231216893,2.80564635314734,2.93855914205692,2.9700457331617,3.52276684189725
"t_cond=989",2.43067657535691,2.57302900255317,3.15501642870445,2.72942602319044,2.86270457364789,2.92303985306557,3.49218184965742,3.27865697779329
"t_cond=990",2.39919943315148,3.09927924252858,2.59864372147998,2.81822792776449,2.84109784635245,3.56358780501655,3.26574763306256,3.39551480817558
"t_cond=991",2.96547520051373,2.51841407167323,2.70942753371371,2.72086292395552,3.61796725353425,3.26408938359089,3.4078608655592,3.26487598023784
"t_cond=992",2.5709374335701,2.94311214904778,2.64589504714441,4.26454668984228,3.48983046027723,3.58207580783614,3.24348035568618,3.4636990953727
