"","data_set","unit","prediction_horizon","lag_structure","prediction_time","pred_mean","pred_var","lb50","ub50","lb95","ub95","obs","unit_wise_log_score","unit_wise_pit_l","unit_wise_pit_u","multiv_log_score"
"1","noroBE",1,4,"ar1",204,6.77072634691103,16.6328765600132,4,9,1,17,8,2.52286315436846,0.633825884676685,0.714055452627113,2.63221923846676
"2","noroBE",2,4,"ar1",204,5.56511959750575,12.4047796285473,3,7,1,14,1,2.73444885572088,0.0247652604567572,0.0896950433793042,2.63221923846676
"3","noroBE",3,4,"ar1",204,8.89466097256635,28.9789863150926,5,12,1,22,2,3.16148499457511,0.0301876162371835,0.0725504020780092,2.63221923846676
"4","noroBE",4,4,"ar1",204,6.34297143723676,16.3144274902279,3,8,1,16,3,2.24791444515267,0.153427065566944,0.259046335370951,2.63221923846676
"5","noroBE",5,4,"ar1",204,8.21140250930616,23.9157290034893,5,11,1,20,3,2.6780907651561,0.0829756511974397,0.151669833556642,2.63221923846676
"6","noroBE",6,4,"ar1",204,7.80926069035915,23.6788688884514,4,10,1,20,4,2.39544209813946,0.176524020860089,0.267656401419537,2.63221923846676
"7","noroBE",7,4,"ar1",204,16.1072595006589,90.9214291403592,9,21,3,40,8,3.06117802352414,0.163535999719987,0.210368492653194,2.63221923846676
"8","noroBE",8,4,"ar1",204,11.2539996302127,46.2506998191498,6,15,2,28,11,2.81492714009798,0.533173693369282,0.59308277692034,2.63221923846676
"9","noroBE",9,4,"ar1",204,8.25547264295191,27.6318446665847,4,11,1,21,5,2.39170331094479,0.25092229448643,0.342396037366225,2.63221923846676
"10","noroBE",10,4,"ar1",204,18.4764263992401,130.679675815254,10,24,4,47,14,3.12576651671218,0.390215675580538,0.43411894371427,2.63221923846676
"11","noroBE",11,4,"ar1",204,11.8365292252901,47.0195735485173,7,15,2,29,3,3.4428245886987,0.0322310921049309,0.0642053356755011,2.63221923846676
"12","noroBE",12,4,"ar1",204,10.118665181634,38.1540710341564,6,13,2,25,4,2.78243102706174,0.103248996340659,0.165136869599708,2.63221923846676
"13","noroBE",1,3,"ar1",205,6.60380018100108,15.768023644721,4,9,1,16,8,2.53214078887501,0.649117992442423,0.728606661991439,2.62602684463082
"14","noroBE",2,3,"ar1",205,5.49491782212907,12.0155710118219,3,7,1,14,1,2.72189685877204,0.0249610517726286,0.0907109695294386,2.62602684463082
"15","noroBE",3,3,"ar1",205,8.68593795561862,27.4078938398383,5,11,1,21,2,3.12532693863958,0.0313556692515456,0.0752782405415757,2.62602684463082
"16","noroBE",4,3,"ar1",205,6.29307374531896,15.6403270874147,3,8,1,16,3,2.24414819491107,0.153560774398814,0.259578582830245,2.62602684463082
"17","noroBE",5,3,"ar1",205,8.00592368850219,22.5306543718315,5,11,1,19,3,2.64028153940086,0.0862038658993216,0.157545047274572,2.62602684463082
"18","noroBE",6,3,"ar1",205,7.86653454427297,23.503074165941,4,10,1,20,4,2.40712357512413,0.171973334827068,0.262047348261159,2.62602684463082
"19","noroBE",7,3,"ar1",205,16.1774032817744,89.792374983708,9,21,3,40,8,3.07127864070001,0.15796282084502,0.204324657655825,2.62602684463082
"20","noroBE",8,3,"ar1",205,10.8539675804617,41.9734007391166,6,14,2,27,11,2.80171095368885,0.554844516387146,0.615550624767206,2.62602684463082
"21","noroBE",9,3,"ar1",205,7.84537460826238,23.8779525177059,4,10,1,20,5,2.34132102511259,0.266781135571879,0.362981606587269,2.62602684463082
"22","noroBE",10,3,"ar1",205,18.213501282526,124.873285780617,10,24,4,46,14,3.11211805144531,0.395796803882126,0.440303392076993,2.62602684463082
"23","noroBE",11,3,"ar1",205,11.7529046425347,45.5567096827446,7,15,2,28,3,3.43996348487047,0.0322617992595458,0.0643276554549216,2.62602684463082
"24","noroBE",12,3,"ar1",205,10.0390572514752,37.3400305482608,6,13,2,25,4,2.77410129027428,0.103271375470125,0.165676911427624,2.62602684463082
"25","noroBE",1,4,"ar1",205,6.03054426519403,13.785747825047,3,8,1,15,9,2.84296459958506,0.779574020619558,0.837826734372681,2.46640398779303
"26","noroBE",2,4,"ar1",205,5.00415437525932,10.660906074163,3,7,0,13,3,1.98295044932098,0.23353252102768,0.371194992417299,2.46640398779303
"27","noroBE",3,4,"ar1",205,7.92419349367588,24.2369813618638,4,10,1,20,4,2.41322909852263,0.172394548374545,0.26192028826368,2.46640398779303
"28","noroBE",4,4,"ar1",205,5.4789563266631,12.5389243895079,3,7,0,14,2,2.24933187212475,0.0954800639392251,0.200949732191125,2.46640398779303
"29","noroBE",5,4,"ar1",205,7.29480479681906,19.9368832632445,4,10,1,18,5,2.27306994256279,0.294943896318226,0.397939400279897,2.46640398779303
"30","noroBE",6,4,"ar1",205,7.0513937360542,20.3251618262252,4,9,1,18,4,2.26949886996144,0.218560481225871,0.321924447120388,2.46640398779303
"31","noroBE",7,4,"ar1",205,14.5963615948344,77.9002741361008,8,19,3,37,7,2.98067464100994,0.153708189130972,0.204466767623473,2.46640398779303
"32","noroBE",8,4,"ar1",205,10.3532141949315,41.7639291738562,6,14,2,26,5,2.66328187141908,0.163257992349925,0.232977029308028,2.46640398779303
"33","noroBE",9,4,"ar1",205,7.6084849357346,23.8120258672962,4,10,1,20,3,2.49011298053972,0.113744950448027,0.196645550339564,2.46640398779303
"34","noroBE",10,4,"ar1",205,17.3601981106221,127.291885648741,10,22,3,46,16,3.21947754885791,0.524473858287623,0.564449796568018,2.46640398779303
"35","noroBE",11,4,"ar1",205,10.7762010346472,41.0394076467941,6,14,2,26,7,2.60401621433552,0.273517611109417,0.347493488928631,2.46640398779303
"36","noroBE",12,4,"ar1",205,9.09717094053807,33.6481383250789,5,12,1,23,7,2.48840162018137,0.37958727274021,0.46262986689911,2.46640398779303
"37","noroBE",1,2,"ar1",206,6.85745653011025,16.3340630122092,4,9,1,17,8,2.49768369824313,0.624018708276006,0.706294060899975,2.71496452663438
"38","noroBE",2,2,"ar1",206,5.72761676104862,12.4632562820034,3,8,1,14,1,2.83695790793435,0.0214421246290263,0.0800457974677602,2.71496452663438
"39","noroBE",3,2,"ar1",206,9.08293282665336,28.3112305312736,5,12,1,22,2,3.27358265540231,0.0257231974470734,0.0635937042141602,2.71496452663438
"40","noroBE",4,2,"ar1",206,6.46167854612045,16.2474107587493,4,9,1,16,3,2.28117567724048,0.143167096564513,0.245331120727943,2.71496452663438
"41","noroBE",5,2,"ar1",206,8.15337579453139,22.1562368285362,5,11,1,19,3,2.69782869595107,0.0784894091584321,0.145841004037081,2.71496452663438
"42","noroBE",6,2,"ar1",206,7.66274617601853,21.0232466125999,4,10,1,19,4,2.38250661317575,0.173863426471859,0.266182305995121,2.71496452663438
"43","noroBE",7,2,"ar1",206,18.1567937908705,107.094806793279,11,23,4,44,8,3.28745094959641,0.116294636457268,0.153643568927613,2.71496452663438
"44","noroBE",8,2,"ar1",206,11.7812986181519,46.0496550247661,7,15,2,28,11,2.77705694358192,0.494744996893803,0.556966356038018,2.71496452663438
"45","noroBE",9,2,"ar1",206,8.3297289474938,25.0859549594769,5,11,1,20,5,2.4004262380073,0.231697558948296,0.322376853037668,2.71496452663438
"46","noroBE",10,2,"ar1",206,19.6840342666499,131.308969764115,11,25,4,48,14,3.1469166752773,0.335938699502002,0.378923157296003,2.71496452663438
"47","noroBE",11,2,"ar1",206,11.8563863935217,43.235370873405,7,15,2,28,3,3.52763566793466,0.0283827472498447,0.0577570316419414,2.71496452663438
"48","noroBE",12,2,"ar1",206,9.8659385731403,33.2000597042775,6,13,2,24,4,2.77859992475928,0.0998046391235658,0.161930065911733,2.71496452663438
"49","noroBE",1,3,"ar1",206,6.10336775418527,13.9269077288203,3,8,1,15,9,2.82344504442271,0.774110128060896,0.833511078955042,2.4798124272062
"50","noroBE",2,3,"ar1",206,5.07384655626934,10.6587902376747,3,7,0,13,3,1.99747076449862,0.225465660630341,0.361143671907165,2.4798124272062
"51","noroBE",3,3,"ar1",206,8.08361905052841,24.949917998833,4,11,1,20,4,2.44154802465926,0.16464914002423,0.251675168720234,2.4798124272062
