"","data_set","unit","prediction_horizon","lag_structure","prediction_time","pred_mean","pred_var","lb50","ub50","lb95","ub95","obs","unit_wise_log_score","unit_wise_pit_l","unit_wise_pit_u","multiv_log_score"
"1","noroBE",1,4,"geom",204,5.6216848045956,12.9907799565033,3,8,1,14,8,2.70060247528394,0.745425875189616,0.812590910463556,2.60176516199937
"2","noroBE",2,4,"geom",204,5.05990346069144,10.4507251641825,3,7,0,13,1,2.5612096715797,0.0302328892143174,0.107444172847547,2.60176516199937
"3","noroBE",3,4,"geom",204,7.71101097993497,22.212085808699,4,10,1,19,2,2.86976599254799,0.0424521138022676,0.0991643099059781,2.60176516199937
"4","noroBE",4,4,"geom",204,5.4818782100674,14.0375805228825,3,7,0,15,3,2.06902197689736,0.215931506192783,0.342240760877425,2.60176516199937
"5","noroBE",5,4,"geom",204,7.32772407108114,19.7992467949857,4,10,1,18,3,2.47583025243376,0.107693330219116,0.191786472948485,2.60176516199937
"6","noroBE",6,4,"geom",204,6.95259932087897,19.3390639959732,4,9,1,18,4,2.25451271671304,0.22118454694965,0.326109206263916,2.60176516199937
"7","noroBE",7,4,"geom",204,15.1541109718594,80.1445284868549,9,20,3,37,8,2.9698575669983,0.184175359358294,0.235485977495125,2.60176516199937
"8","noroBE",8,4,"geom",204,9.45951507659305,32.1497260026638,5,12,2,23,11,2.83876969348274,0.64459568751435,0.703093279192727,2.60176516199937
"9","noroBE",9,4,"geom",204,7.23296485431726,21.2343342372087,4,10,1,18,5,2.27284512064422,0.309823980744783,0.412842642956402,2.60176516199937
"10","noroBE",10,4,"geom",204,16.5800140936474,103.684783037254,9,21,3,42,14,3.07021961601675,0.453634402876965,0.500045364024666,2.60176516199937
"11","noroBE",11,4,"geom",204,10.8951638172476,39.9775697563827,6,14,2,26,3,3.25906265949005,0.0397080050788966,0.0781324029664551,2.60176516199937
"12","noroBE",12,4,"geom",204,10.4409845582025,40.282203256873,6,14,2,26,4,2.84249953195493,0.0935746920425301,0.151854503547843,2.60176516199937
"13","noroBE",1,3,"geom",205,5.44715765188343,12.0566267258016,3,7,0,14,8,2.72450707218621,0.763052677626684,0.828631197855562,2.61162237408716
"14","noroBE",2,3,"geom",205,4.89660369907712,9.77972462117655,3,7,0,12,1,2.51123974123861,0.0318938465307979,0.113061396611262,2.61162237408716
"15","noroBE",3,3,"geom",205,7.45319511729789,20.284783445824,4,10,1,18,2,2.82896963982905,0.0438304705973055,0.102904160096774,2.61162237408716
"16","noroBE",4,3,"geom",205,5.44891537241863,13.2920639286049,3,7,0,14,3,2.06684818149257,0.212309745959673,0.338893869768111,2.61162237408716
"17","noroBE",5,3,"geom",205,7.10929471075293,18.3116481974212,4,9,1,17,3,2.43647139002118,0.112386963083071,0.199855914457815,2.61162237408716
"18","noroBE",6,3,"geom",205,7.2120512944359,19.8233337639207,4,10,1,18,4,2.29607269324416,0.200835446478754,0.301488811632101,2.61162237408716
"19","noroBE",7,3,"geom",205,15.2020026581178,72.7919687305557,9,20,3,36,8,2.99135840750755,0.169227157216465,0.219446329484447,2.61162237408716
"20","noroBE",8,3,"geom",205,9.38024917314512,30.6915815148959,5,12,2,23,11,2.82640224461317,0.649017991555287,0.708243541421936,2.61162237408716
"21","noroBE",9,3,"geom",205,6.82113515243302,18.2180048625831,4,9,1,17,5,2.22284624926696,0.332789720872203,0.441090140612218,2.61162237408716
"22","noroBE",10,3,"geom",205,18.1671215081957,113.307418355806,11,23,4,45,14,3.08113604754337,0.385550846927335,0.431457921322141,2.61162237408716
"23","noroBE",11,3,"geom",205,10.9323542278307,39.1490039966698,6,14,2,26,3,3.29988330918101,0.0370816700261504,0.0739691416055255,2.61162237408716
"24","noroBE",12,3,"geom",205,10.5452401616307,38.6052737091856,6,14,2,26,4,2.8877438705194,0.0867813868988724,0.142483128193283,2.61162237408716
"25","noroBE",1,4,"geom",205,4.77048044780502,10.0067487852334,2,6,0,12,9,3.25563978505231,0.879843089141417,0.918399234266786,2.43681216120622
"26","noroBE",2,4,"geom",205,4.43739430315034,8.72705508242836,2,6,0,12,3,1.87993635757512,0.283133355784227,0.435733173054482,2.43681216120622
"27","noroBE",3,4,"geom",205,6.6253970877984,17.8856477253656,4,9,1,17,4,2.20620890187239,0.242645668389921,0.35276299215795,2.43681216120622
"28","noroBE",4,4,"geom",205,4.48486871452586,10.4419671721641,2,6,0,12,2,1.94497569975352,0.159408015660961,0.302398713666042,2.43681216120622
"29","noroBE",5,4,"geom",205,6.26291276879332,15.6332785600392,3,8,1,16,5,2.17137113096849,0.378031470358208,0.492052642080521,2.43681216120622
"30","noroBE",6,4,"geom",205,6.42772124240981,17.3644452127734,3,9,1,17,4,2.17696718326958,0.258145017797687,0.371529903086176,2.43681216120622
"31","noroBE",7,4,"geom",205,13.8938780731123,73.9940925527928,8,18,3,35,7,2.89508492125951,0.174688030703903,0.229982359935126,2.43681216120622
"32","noroBE",8,4,"geom",205,9.09862032255843,31.3633539288695,5,12,1,23,5,2.49778282438012,0.2029009051745,0.285168102564798,2.43681216120622
"33","noroBE",9,4,"geom",205,6.6507472635188,18.7855486637316,4,9,1,17,3,2.29710650555986,0.146677764900551,0.247227127134397,2.43681216120622
"34","noroBE",10,4,"geom",205,16.7615485270951,107.886036330736,9,22,3,43,16,3.19171773424872,0.53924006788426,0.580341277196854,2.43681216120622
"35","noroBE",11,4,"geom",205,9.95999421817623,36.4172648433623,6,13,2,25,7,2.53076027561561,0.317380038466883,0.396978518958475,2.43681216120622
"36","noroBE",12,4,"geom",205,9.38652467621481,35.4415661427464,5,12,1,24,7,2.50537742970035,0.361652940873457,0.443297717879019,2.43681216120622
"37","noroBE",1,2,"geom",206,5.78787912900758,12.4975587272351,3,8,1,14,8,2.63104600064162,0.729881194674345,0.801884302212765,2.63279542780534
"38","noroBE",2,2,"geom",206,5.19421534520974,10.3508388695293,3,7,0,13,1,2.66156510462115,0.0260259487692606,0.0958647798550651,2.63279542780534
"39","noroBE",3,2,"geom",206,7.50692728086744,19.3934547624277,4,10,1,18,2,2.88702546192184,0.0399567186604284,0.0956984909422654,2.63279542780534
"40","noroBE",4,2,"geom",206,5.77114120115834,13.4351901450573,3,8,1,15,3,2.13194415819193,0.17978448592019,0.29839096571647,2.63279542780534
"41","noroBE",5,2,"geom",206,6.6984968369694,15.8990652733259,4,9,1,16,3,2.35447516775029,0.123364643230035,0.218307966008618,2.63279542780534
"42","noroBE",6,2,"geom",206,6.89341012406867,17.2355504435998,4,9,1,17,4,2.24703135605728,0.210511868201705,0.316224450426665,2.63279542780534
"43","noroBE",7,2,"geom",206,17.3934555873082,85.2956994281673,11,22,4,40,8,3.26286665272555,0.111749217599903,0.150027726993163,2.63279542780534
"44","noroBE",8,2,"geom",206,10.2690750770045,32.754214754816,6,13,2,24,11,2.74123330870267,0.583426000330759,0.647916761140362,2.63279542780534
"45","noroBE",9,2,"geom",206,7.0909359308864,17.9346019393804,4,9,1,17,5,2.23637869764696,0.300572729950668,0.407417451645102,2.63279542780534
"46","noroBE",10,2,"geom",206,19.2063761658066,106.792535997204,12,25,5,44,14,3.09101824571826,0.327655682505351,0.37311132832049,2.63279542780534
"47","noroBE",11,2,"geom",206,10.6464950023343,34.2822585048355,6,14,2,25,3,3.30561732333578,0.0359784994608456,0.0726550630087385,2.63279542780534
"48","noroBE",12,2,"geom",206,9.56321000558375,29.4393156757354,6,13,2,23,4,2.74841603767234,0.0999530517370551,0.163982252505438,2.63279542780534
"49","noroBE",1,3,"geom",206,5.03748285369137,10.5636203470371,3,7,0,13,9,3.1449337690435,0.862068083961416,0.905137860466279,2.45724897408099
"50","noroBE",2,3,"geom",206,4.56382256220973,8.83110617521305,2,6,0,12,3,1.89627520239763,0.265832936290525,0.415959707203148,2.45724897408099
"51","noroBE",3,3,"geom",206,6.76143022210234,17.2334933044879,4,9,1,17,4,2.22429111824741,0.22356442730769,0.331708480122716,2.45724897408099
"52","noroBE",4,3,"geom",206,4.62777204870119,10.3140546071615,2,6,0,12,2,1.99266269493552,0.142546449262963,0.27887838064311,2.45724897408099
"53","noroBE",5,3,"geom",206,6.11134773784632,14.0505822619356,3,8,1,15,5,2.14516143817138,0.38345476845909,0.500503907778837,2.45724897408099
"54","noroBE",6,3,"geom",206,6.09152677247082,14.7618928216271,3,8,1,15,4,2.12617122830199,0.273266803854566,0.392559970734312,2.45724897408099
"55","noroBE",7,3,"geom",206,15.4886805797307,76.4637134314579,9,20,3,37,7,3.12321804570089,0.118770763761693,0.162786060792129,2.45724897408099
"56","noroBE",8,3,"geom",206,10.1071999371635,35.1085732455729,6,13,2,25,5,2.65114934773816,0.153357329642414,0.223927386538175,2.45724897408099
"57","noroBE",9,3,"geom",206,6.97247084111827,18.7274477063494,4,9,1,17,3,2.38715272808417,0.123662359780571,0.215553310055368,2.45724897408099
"58","noroBE",10,3,"geom",206,17.7631854452554,107.521814346546,10,23,4,43,16,3.15849841136638,0.48963045553544,0.532119950480591,2.45724897408099
"59","noroBE",11,3,"geom",206,9.71198291261794,31.8736167414796,6,13,2,23,7,2.49729502490507,0.319393676274191,0.401701013349452,2.45724897408099
"60","noroBE",12,3,"geom",206,8.73269479430612,28.7374102470463,5,11,1,22,7,2.44720609125063,0.392815739354779,0.479350759375047,2.45724897408099
"61","noroBE",1,4,"geom",206,8.22367359837238,20.6191180027859,5,11,1,19,7,2.36053981283734,0.400990053087418,0.495359320789587,2.57160856902707
"62","noroBE",2,4,"geom",206,5.9507756614511,12.5465480741115,3,8,1,14,4,2.09520459679394,0.266520266292735,0.389565332745097,2.57160856902707
"63","noroBE",3,4,"geom",206,8.82279794978681,24.9845692700789,5,12,2,21,9,2.55309764847816,0.540369809371473,0.618209980045686,2.57160856902707
"64","noroBE",4,4,"geom",206,7.41907293663204,18.3689634688798,4,10,1,18,7,2.34100343458698,0.475816196008562,0.572047224234189,2.57160856902707
"65","noroBE",5,4,"geom",206,8.46643753255239,22.5688632714056,5,11,1,20,8,2.44534535469953,0.479816358475088,0.566512547269871,2.57160856902707
"66","noroBE",6,4,"geom",206,7.73976302284989,20.1225808956593,4,10,1,18,4,2.40392505934139,0.161415456724673,0.251778034555222,2.57160856902707
"67","noroBE",7,4,"geom",206,17.5895215230769,91.9420439994313,11,23,4,41,13,3.00936475285118,0.337086032820146,0.386409033926663,2.57160856902707
"68","noroBE",8,4,"geom",206,10.9185634476566,39.7083192946539,6,14,2,26,13,2.98218778763293,0.667021447006362,0.717703278406674,2.57160856902707
"69","noroBE",9,4,"geom",206,8.07637415993691,23.5375278729981,5,11,1,20,4,2.44765733905235,0.157090589337044,0.243586569428759,2.57160856902707
"70","noroBE",10,4,"geom",206,19.7559922141078,128.960270777146,12,25,4,48,13,3.13191613662497,0.284609934342235,0.328244042527956,2.57160856902707
"71","noroBE",11,4,"geom",206,12.3135721049828,44.9852679965948,7,16,3,28,8,2.70718351293076,0.25195209088917,0.318676561812781,2.57160856902707
"72","noroBE",12,4,"geom",206,10.1157939195771,33.8844120526771,6,13,2,24,5,2.66100011020092,0.14900276904923,0.218881069833943,2.57160856902707
"73","noroBE",1,1,"geom",207,6.71243584429394,14.2238604502635,4,9,1,15,8,2.45387871164027,0.635414903291668,0.721374430131957,2.64653020376708
"74","noroBE",2,1,"geom",207,4.72286373248498,8.44140706842056,3,6,0,12,1,2.51181171519446,0.0306999766979649,0.111821114328345,2.64653020376708
"75","noroBE",3,1,"geom",207,7.22948832809802,15.9426774091638,4,10,1,17,2,2.90803626000832,0.0372469221799927,0.091829733323982,2.64653020376708
"76","noroBE",4,1,"geom",207,4.12200122518202,6.95455556300893,2,6,0,10,3,1.80751278641106,0.300479477746794,0.464541163963561,2.64653020376708
"77","noroBE",5,1,"geom",207,6.52110166431972,13.6104115194885,4,9,1,15,3,2.34566852938261,0.118925029854648,0.214708176728078,2.64653020376708
"78","noroBE",6,1,"geom",207,7.02801735231248,15.2623359598141,4,9,1,16,4,2.28456916771262,0.182647646561548,0.284465565666632,2.64653020376708
"79","noroBE",7,1,"geom",207,15.9235736990728,58.1946300851844,10,20,4,34,8,3.17278485862465,0.116074292242139,0.157961078790745,2.64653020376708
"80","noroBE",8,1,"geom",207,14.0451690200853,46.9315403734542,9,18,3,30,11,2.76818567583904,0.338014510493664,0.400790307621918,2.64653020376708
"81","noroBE",9,1,"geom",207,7.78798017321168,17.899389488097,5,10,1,18,5,2.31890043693551,0.230940910958227,0.32932261399761,2.64653020376708
"82","noroBE",10,1,"geom",207,23.7193591250943,117.511817240952,16,30,7,49,14,3.39614982605343,0.168547760109004,0.202049770641606,2.64653020376708
"83","noroBE",11,1,"geom",207,10.246858272676,27.7511069893819,6,13,2,22,3,3.33409318359186,0.0333390442268743,0.0689859409770409,2.64653020376708
"84","noroBE",12,1,"geom",207,7.86332582931654,18.1713293973357,5,10,1,18,4,2.45677129381111,0.140521267302502,0.226232508414592,2.64653020376708
"85","noroBE",1,2,"geom",207,5.81352444264264,12.3252254065857,3,8,1,14,9,2.87556853053372,0.801488820900448,0.857872895222204,2.45735005618705
"86","noroBE",2,2,"geom",207,4.30188580196286,7.73678661222056,2,6,0,11,3,1.84598182409125,0.286672848609772,0.444543092573931,2.45735005618705
