"","data_set","unit","prediction_horizon","lag_structure","prediction_time","pred_mean","pred_var","lb50","ub50","lb95","ub95","obs","unit_wise_log_score","unit_wise_pit_l","unit_wise_pit_u","multiv_log_score"
"1","noroBE",1,4,"unres",204,5.56590388280229,12.6645349718186,3,7,1,14,8,2.70792407727443,0.750877719950643,0.817552795402758,2.56918645653698
"2","noroBE",2,4,"unres",204,4.99705231469236,10.2616110754554,3,7,0,13,1,2.53786279729341,0.0310719385506041,0.110107072069235,2.56918645653698
"3","noroBE",3,4,"unres",204,7.53749553615482,21.6136946127659,4,10,1,19,2,2.82070201175931,0.0451589741314599,0.104723087451772,2.56918645653698
"4","noroBE",4,4,"unres",204,5.33366192363572,13.4520020535591,3,7,0,14,3,2.04339342355701,0.226125519205793,0.355713735408844,2.56918645653698
"5","noroBE",5,4,"unres",204,7.19779286058634,18.9279910509117,4,10,1,18,3,2.45225686816728,0.11122159800298,0.197320650854908,2.56918645653698
"6","noroBE",6,4,"unres",204,6.79271000688343,18.1072492216803,4,9,1,17,4,2.23422751117042,0.228457109570314,0.335531921580002,2.56918645653698
"7","noroBE",7,4,"unres",204,14.7843856538859,74.4887084167577,9,19,3,36,8,2.93869221036834,0.191032611124616,0.243967522343086,2.56918645653698
"8","noroBE",8,4,"unres",204,9.63415568458082,33.0910833583909,5,13,2,24,11,2.82666910317324,0.632885539504065,0.692095286634398,2.56918645653698
"9","noroBE",9,4,"unres",204,7.30904246865726,21.3488830483006,4,10,1,19,5,2.28012278884023,0.303083925225001,0.405355573352465,2.56918645653698
"10","noroBE",10,4,"unres",204,16.5847660342761,103.254129972472,9,21,3,42,14,3.06342041323517,0.452296997873623,0.499024591762758,2.56918645653698
"11","noroBE",11,4,"unres",204,10.7540153717294,40.040200786722,6,14,2,26,3,3.21749407272204,0.041797740552327,0.0818530488405465,2.56918645653698
"12","noroBE",12,4,"unres",204,10.0202597937822,38.1437612794317,6,13,2,25,4,2.75870169899208,0.105869250253185,0.169243243744416,2.56918645653698
"13","noroBE",1,3,"unres",205,5.3798055357246,11.7645692114011,3,7,0,14,8,2.73766026490364,0.76950243481222,0.834224036090794,2.59722656540309
"14","noroBE",2,3,"unres",205,4.90473426345847,9.72851995083796,3,7,0,12,1,2.51719358455113,0.031682869656101,0.112368596634267,2.59722656540309
"15","noroBE",3,3,"unres",205,7.40841683449209,20.222213384895,4,10,1,18,2,2.81011489588924,0.0450726317579886,0.105270707241595,2.59722656540309
"16","noroBE",4,3,"unres",205,5.46448714646942,13.1291028148196,3,7,0,14,3,2.07039952371928,0.20945902982178,0.335594407383488,2.59722656540309
"17","noroBE",5,3,"unres",205,7.00295653956795,17.6662520836278,4,9,1,17,3,2.41494827870759,0.115588647602688,0.204960608838244,2.59722656540309
"18","noroBE",6,3,"unres",205,7.24880239605196,19.6961159545747,4,10,1,18,4,2.30482798739354,0.197550748582514,0.297326710483383,2.59722656540309
"19","noroBE",7,3,"unres",205,15.1794229012989,74.2721661127534,9,20,3,36,8,2.98557152983388,0.173257181759498,0.223767808727265,2.59722656540309
"20","noroBE",8,3,"unres",205,9.40921094311319,29.6121269636263,5,12,2,23,11,2.80824917641108,0.644860300515323,0.705170793558112,2.59722656540309
"21","noroBE",9,3,"unres",205,6.83497559297045,18.348727361206,4,9,1,17,5,2.22463489228877,0.332057713100147,0.440164595186619,2.59722656540309
"22","noroBE",10,3,"unres",205,17.8459947959281,108.275820032105,10,23,4,44,14,3.08035581631738,0.396076909999647,0.442019816504238,2.59722656540309
"23","noroBE",11,3,"unres",205,10.8410824839153,37.9869546696671,6,14,2,26,3,3.28201064276775,0.0380921523553769,0.0756448281887725,2.59722656540309
"24","noroBE",12,3,"unres",205,10.4694958824537,37.9977138406055,6,14,2,26,4,2.87396188316181,0.0876816125864626,0.144156349044584,2.59722656540309
