"X","data_set","unit","prediction_horizon","model","prediction_time","pred_mean","pred_var","lb50","ub50","lb95","ub95","obs","unit_wise_log_score","unit_wise_pit_l","unit_wise_pit_u","multiv_log_score"
1,"noroBE",1,1,"glarma",204,6.25317449333925,9.56824152872776,4,8,1,14,4,2.1235354316833,0.187345039403417,0.306953053563473,NA
2,"noroBE",1,2,"glarma",204,7.78742696880245,14.624957308499,5,10,2,17,10,2.61351027015009,0.709754494583261,0.783031364748903,NA
3,"noroBE",1,3,"glarma",204,8.01530223772004,15.5110149305164,5,10,2,17,12,3.04373813839626,0.824857261080461,0.87251367093619,NA
4,"noroBE",1,4,"glarma",204,6.55827520186357,11.7408340743159,4,9,1,14,8,2.39377877452387,0.655242946616431,0.746527035952027,NA
5,"noroBE",1,1,"glarma",205,7.05290147746494,11.5998949754918,5,9,2,15,10,2.72198228008131,0.781263263482815,0.847007565035439,NA
6,"noroBE",1,2,"glarma",205,7.80685676959705,14.5748839727249,5,10,2,17,12,3.09319097137845,0.840823615109594,0.886180605491077,NA
7,"noroBE",1,3,"glarma",205,6.11154611578487,10.3706388482978,4,8,1,14,8,2.45345538447718,0.70550307365703,0.791498997203271,NA
8,"noroBE",1,4,"glarma",205,6.67648161044985,12.0601300347657,4,9,1,15,9,2.60082928038389,0.7350863583966,0.809298368521612,NA
9,"noroBE",1,1,"glarma",206,8.52169226585568,15.1037412959457,6,11,2,17,12,2.87684581481392,0.792803905266654,0.849116007071092,NA
10,"noroBE",1,2,"glarma",206,6.25766136804369,10.5883108382953,4,8,1,14,8,2.42059840805349,0.689071974597429,0.777940396562692,NA
11,"noroBE",1,3,"glarma",206,7.11792535753076,12.7180097634743,5,9,2,15,9,2.50459700989967,0.690468708356973,0.772177227432684,NA
12,"noroBE",1,4,"glarma",206,9.43902201440213,20.0818294405527,6,12,2,20,7,2.36053762319454,0.275418695388679,0.369788169726062,NA
13,"noroBE",1,1,"glarma",207,6.80190199321454,10.824389550727,4,9,1,14,8,2.30087848167619,0.62272963985885,0.722900446699622,NA
14,"noroBE",1,2,"glarma",207,7.16916820015034,12.7642682119782,5,9,2,15,9,2.49344787341438,0.685529423359873,0.768154019109449,NA
15,"noroBE",1,3,"glarma",207,9.99699185640268,21.197867977183,7,13,3,21,7,2.43010847981388,0.23411993348422,0.322147216365363,NA
16,"noroBE",1,4,"glarma",207,9.60608978124954,20.6857111161112,6,12,2,20,6,2.476818702874,0.180642154449635,0.264652216342461,NA
17,"noroBE",1,1,"glarma",208,8.47989080522549,14.6543192585286,6,11,2,17,9,2.33313826749191,0.540195383041332,0.637186268669287,NA
18,"noroBE",1,2,"glarma",208,10.2014889444394,21.837830406953,7,13,3,21,7,2.46142070390459,0.222234037042443,0.307547696421455,NA
19,"noroBE",1,3,"glarma",208,10.0791213494021,21.8265554205174,7,13,3,21,6,2.56597799725942,0.154592969304451,0.231436960771427,NA
20,"noroBE",1,4,"glarma",208,9.7039072917755,21.1794513077601,6,12,3,20,6,2.49235500893078,0.176216345551743,0.258931288146923,NA
21,"noroBE",1,1,"glarma",209,10.8549879219829,20.9570373842374,8,14,3,21,7,2.59365179999316,0.167014369408452,0.241760950923807,NA
22,"noroBE",1,2,"glarma",209,10.3790065556761,23.106496644407,7,13,3,21,6,2.62131607323701,0.142706405899544,0.215413517849038,NA
23,"noroBE",1,3,"glarma",209,10.1825134853774,22.307457337805,7,13,3,21,6,2.58400029816905,0.15069523955976,0.226166730447832,NA
24,"noroBE",1,4,"glarma",209,9.76760250978649,21.6979941934197,6,12,3,21,8,2.37318805962205,0.347150469172043,0.440333647872939,NA
25,"noroBE",1,1,"glarma",210,9.05145851891492,15.9709878897285,6,12,3,18,6,2.40671537544467,0.187242033945085,0.277352823067991,NA
26,"noroBE",1,2,"glarma",210,9.95686410934301,21.3944815579835,7,13,3,21,6,2.54248468352043,0.160006578610652,0.238677263602809,NA
27,"noroBE",1,3,"glarma",210,9.14267575922696,18.7956306164847,6,12,2,19,8,2.3191148503352,0.392518538733987,0.490879149679249,NA
28,"noroBE",1,4,"glarma",210,9.17192650627149,19.443880629666,6,12,2,19,10,2.49204461942063,0.582557460166856,0.665298080597409,NA
29,"noroBE",1,1,"glarma",211,8.92130267039657,15.5601426324793,6,11,2,18,6,2.37877368320419,0.195003561186753,0.287667704644439,NA
30,"noroBE",1,2,"glarma",211,8.99231969746509,18.2565635927858,6,11,2,19,8,2.30819065304073,0.405231290196824,0.504672302375777,NA
31,"noroBE",1,3,"glarma",211,8.60832845651617,16.8076662913398,6,11,2,18,10,2.50930146550965,0.63277860532258,0.714103633063605,NA
32,"noroBE",1,4,"glarma",211,8.63638907299272,17.5973129585296,6,11,2,18,7,2.27564701045544,0.337419904003713,0.440150323276367,NA
33,"noroBE",1,1,"glarma",212,8.04005743389198,13.3076791064199,5,10,2,16,8,2.23578352204446,0.475839867524919,0.582748199518731,NA
34,"noroBE",1,2,"glarma",212,8.43764162929612,16.1221404859127,6,11,2,18,10,2.52086167497012,0.64864161231496,0.729031918896648,NA
35,"noroBE",1,3,"glarma",212,8.09625116533495,15.3478216089301,5,10,2,17,7,2.22163929202677,0.380077970054894,0.488509182685465,NA
36,"noroBE",1,4,"glarma",212,8.09945494009601,15.7550781675671,5,10,2,17,8,2.29271012644069,0.490487315095738,0.591479703588278,NA
37,"noroBE",1,1,"glarma",213,8.40941562577334,14.1933018101659,6,11,2,17,10,2.465050810293,0.647407886633733,0.732412409790974,NA
38,"noroBE",1,2,"glarma",213,8.23132092155881,15.577511863857,5,11,2,17,7,2.22668578667443,0.366384891994893,0.474270285486337,NA
39,"noroBE",1,3,"glarma",213,8.09527083967761,15.1296224561801,5,10,2,17,8,2.2737164140268,0.487501126626531,0.590430068451549,NA
40,"noroBE",1,4,"glarma",213,7.69586035120044,14.4317023115478,5,10,2,16,2,3.32608802242038,0.0184610079386514,0.0543944090694439,NA
41,"noroBE",1,1,"glarma",214,8.54493805540504,14.214257545076,6,11,2,17,7,2.23157082895127,0.315297146354566,0.422656800313177,NA
42,"noroBE",1,2,"glarma",214,8.13509938211708,15.0882321982876,5,10,2,17,8,2.26983076346488,0.482673759368437,0.586003425126496,NA
43,"noroBE",1,3,"glarma",214,7.91619927375788,14.540281261957,5,10,2,17,2,3.4598097606325,0.0154611489431316,0.0468968907083199,NA
44,"noroBE",1,4,"glarma",214,7.25247348484596,13.132564153098,5,9,2,16,7,2.18771720852685,0.46623479287133,0.578407315916875,NA
45,"noroBE",1,1,"glarma",215,7.64063692386013,12.0235552960569,5,10,2,16,8,2.22227094128982,0.518193910853106,0.626556654614561,NA
46,"noroBE",1,2,"glarma",215,7.81223338386182,13.9222440464718,5,10,2,16,2,3.43753414992254,0.0157734881194903,0.0479173377176489,NA
47,"noroBE",1,3,"glarma",215,7.02901737741809,12.1266359765801,5,9,2,15,7,2.17102570404921,0.487802507835697,0.601863072343363,NA
48,"noroBE",1,4,"glarma",215,6.59640369032923,11.2036149842571,4,9,1,14,2,2.89678620137862,0.0310672704217315,0.0862676084852563,NA
49,"noroBE",1,1,"glarma",216,7.80153967687551,12.2222656067822,5,10,2,16,2,3.59590748873278,0.0125374299059592,0.0399732041254072,NA
50,"noroBE",1,2,"glarma",216,7.01808331440812,11.9723291475689,5,9,2,15,7,2.16504262303566,0.488302237743731,0.603047281454687,NA
51,"noroBE",1,3,"glarma",216,6.62608477748399,10.9660729869693,4,9,1,14,2,2.93430089092341,0.0291832450937301,0.0823511215551804,NA
52,"noroBE",1,4,"glarma",216,6.09496085689762,10.0890071579059,4,8,1,13,9,2.72927524846446,0.795823567401142,0.86109014198244,NA
53,"noroBE",1,1,"glarma",217,5.75804845667091,8.50278883909562,4,8,1,12,7,2.22032507343432,0.638925405222532,0.747499213849376,NA
54,"noroBE",1,2,"glarma",217,6.44621617345665,10.8745507005441,4,8,1,14,2,2.82902316441218,0.0340644050760073,0.09313493276549,NA
55,"noroBE",1,3,"glarma",217,5.47538385128449,8.69204088532925,3,7,1,12,9,2.94275570560773,0.852425794195548,0.905146041093384,NA
56,"noroBE",1,4,"glarma",217,5.36249724023044,8.53220232262472,3,7,1,12,6,2.10581514770813,0.570690921160382,0.69243731367748,NA
57,"noroBE",1,1,"glarma",218,6.67005278254569,10.1117311503362,4,9,1,14,2,3.03763746810757,0.0252809628203751,0.073228997368345,NA
58,"noroBE",1,2,"glarma",218,5.58420002354951,8.82664788626309,3,7,1,12,9,2.89596868469463,0.843356415461762,0.898601899173761,NA
59,"noroBE",1,3,"glarma",218,5.49853045617327,8.64799942841544,3,7,1,12,6,2.0832724924682,0.551135054960129,0.675657102202872,NA
60,"noroBE",1,4,"glarma",218,5.01768578139818,7.80143079695939,3,7,1,11,5,1.9547152535843,0.47724098080488,0.618845773215949,NA
61,"noroBE",1,1,"glarma",219,4.69188820168305,6.64050716247567,3,6,1,11,9,3.34302538472463,0.918331726381115,0.95366163568511,NA
62,"noroBE",1,2,"glarma",219,5.33036172880109,8.39020991939539,3,7,1,12,6,2.10386535702656,0.574398787667084,0.696382791736945,NA
63,"noroBE",1,3,"glarma",219,4.54029332111807,6.76218697819355,3,6,1,11,5,1.97197849972937,0.546465194484574,0.685646408116648,NA
64,"noroBE",1,4,"glarma",219,4.38188019811075,6.50911490967084,3,6,0,10,2,1.99229003563719,0.109488225065345,0.245870971275101,NA
65,"noroBE",1,1,"glarma",220,6.19354387538683,9.397176908303,4,8,1,13,6,2.0537530909467,0.445653836100496,0.573906491414003,NA
66,"noroBE",1,2,"glarma",220,4.84653185242193,7.37235799455765,3,6,1,11,5,1.95746992194363,0.500357885990991,0.641573140930473,NA
67,"noroBE",1,3,"glarma",220,4.81516318868366,7.30201996403153,3,6,1,11,2,2.16071967153153,0.0849326285137984,0.20017478320322,NA
68,"noroBE",1,4,"glarma",220,4.11159915245138,5.96453798723002,2,6,0,10,4,1.81545854190236,0.451144362084143,0.613907619586639,NA
69,"noroBE",1,1,"glarma",221,4.73651066822786,6.5986838339053,3,6,1,11,5,1.93090041933418,0.507152785678919,0.65217034874046,NA
70,"noroBE",1,2,"glarma",221,4.77205044197746,7.09173644444816,3,6,1,11,2,2.15041739464195,0.0854432303093659,0.20187877836496,NA
71,"noroBE",1,3,"glarma",221,4.13745405946914,5.94292201239918,2,6,0,10,4,1.80948582940094,0.445781703180578,0.609520007765285,NA
72,"noroBE",1,4,"glarma",221,3.69229978885473,5.19038185257737,2,5,0,9,4,1.82265790777144,0.521312252602975,0.682907925840891,NA
73,"noroBE",1,1,"glarma",222,4.7448283526664,6.49693999385474,3,6,1,11,2,2.18251365000079,0.079412872688598,0.19217061330928,NA
74,"noroBE",1,2,"glarma",222,4.12192011964864,5.87212597076008,2,6,0,10,4,1.80504901918302,0.447497037650163,0.611963432021433,NA
75,"noroBE",1,3,"glarma",222,3.71034729950279,5.10627414833743,2,5,0,9,4,1.81308991772381,0.516061787197872,0.679211026630074,NA
76,"noroBE",1,4,"glarma",222,3.36891525507663,4.54978008566822,2,5,0,8,1,1.97428285228864,0.0550414220055159,0.193902282297033,NA
77,"noroBE",1,1,"glarma",223,3.61659063587867,4.64540019025901,2,5,0,9,4,1.79916250480138,0.523770808013797,0.689208191246965,NA
78,"noroBE",1,2,"glarma",223,3.58092139463644,4.89538814376254,2,5,0,9,4,1.82347640392818,0.539400628674265,0.7008640905893,NA
79,"noroBE",1,3,"glarma",223,3.1584335397807,4.18802816495255,2,4,0,8,1,1.8654604705913,0.0644159249295145,0.219240826084113,NA
80,"noroBE",1,4,"glarma",223,2.98538291417785,3.93371556462633,2,4,0,8,4,1.92894481520717,0.652289252110762,0.797590689599648,NA
81,"noroBE",1,1,"glarma",224,3.58731369126256,4.58723556267253,2,5,0,9,4,1.79943229464041,0.529322593662573,0.694715349591017,NA
82,"noroBE",1,2,"glarma",224,3.18678260167175,4.19918478760382,2,4,0,8,1,1.88371177536212,0.0624752579152238,0.21450003331576,NA
83,"noroBE",1,3,"glarma",224,2.98309065096307,3.88103786350091,2,4,0,8,4,1.92369560389554,0.652264303198928,0.798330463978205,NA
84,"noroBE",1,4,"glarma",224,2.72974147293258,3.52639874021709,1,4,0,7,3,1.64357820371858,0.509476745427207,0.702763927945406,NA
85,"noroBE",1,1,"glarma",225,3.18808822258092,3.94582881267226,2,4,0,8,1,1.91694439934068,0.0583332980161611,0.205388917586563,NA
86,"noroBE",1,2,"glarma",225,2.99293351437929,3.87988444475195,2,4,0,8,4,1.9188570434696,0.650308614257276,0.797083237568864,NA
87,"noroBE",1,3,"glarma",225,2.72946591528651,3.46101940781133,1,4,0,7,3,1.63714557829317,0.507681097786395,0.702215631920984,NA
88,"noroBE",1,4,"glarma",225,2.49610450927147,3.1389559020627,1,4,0,7,2,1.44122519581813,0.323499981413051,0.560137634950132,NA
89,"noroBE",1,1,"glarma",226,2.65045525593923,3.24441271533238,1,4,0,7,4,2.0171429477402,0.717697767340007,0.850732777948941,NA
90,"noroBE",1,2,"glarma",226,2.66787698271103,3.38648457205853,1,4,0,7,3,1.64431629390339,0.52157500961536,0.714719581397559,NA
91,"noroBE",1,3,"glarma",226,2.34624261825651,2.8972568566535,1,3,0,6,2,1.42016198285923,0.352426998753014,0.594101865293408,NA
92,"noroBE",1,4,"glarma",226,2.25159512103552,2.75208167582373,1,3,0,6,0,2.03328993308705,0,0.13090414605864,NA
93,"noroBE",1,1,"glarma",227,2.81927730856763,3.39035321652986,1,4,0,7,3,1.61553483130839,0.479077181150005,0.67786150707405,NA
94,"noroBE",1,2,"glarma",227,2.39038121529087,2.94335926081718,1,3,0,6,2,1.42371506085498,0.342519445951956,0.583337146532439,NA
95,"noroBE",1,3,"glarma",227,2.33498798548987,2.85425748626054,1,3,0,6,0,2.10750782491426,0,0.121540489486401,NA
96,"noroBE",1,4,"glarma",227,2.13291152051286,2.58304943902953,1,3,0,6,0,1.93636017938186,0,0.144227959449096,NA
97,"noroBE",1,1,"glarma",228,2.37956914384259,2.76613058653799,1,3,0,6,2,1.41716394987997,0.335471570735546,0.577872073693529,NA
98,"noroBE",1,2,"glarma",228,2.34335034628166,2.87036732203208,1,3,0,6,0,2.11590959868463,0,0.120523611560698,NA
99,"noroBE",1,3,"glarma",228,2.14622990836526,2.58712399557342,1,3,0,6,0,1.95275909087823,0,0.141882065532236,NA
100,"noroBE",1,4,"glarma",228,1.99149121505387,2.38868340890066,1,3,0,6,4,2.42837650040437,0.84367749876882,0.931857375197685,NA
101,"noroBE",1,1,"glarma",229,2.25513402564014,2.61191702369129,1,3,0,6,0,2.08122669297684,0,0.124777055142231,NA
102,"noroBE",1,2,"glarma",229,2.12202537186584,2.54643512282828,1,3,0,6,0,1.93514916718541,0,0.144402727068559,NA
103,"noroBE",1,3,"glarma",229,1.97162665477019,2.3490229042656,1,3,0,6,4,2.44435193767164,0.847554810237133,0.934337167295541,NA
104,"noroBE",1,4,"glarma",229,1.87382982556278,2.22298320431862,1,3,0,5,5,3.35246339176821,0.943649132174676,0.978647166130256,NA
105,"noroBE",1,1,"glarma",230,1.81359365397936,2.04191743021897,1,3,0,5,0,1.69873515899987,0,0.182914735856269,NA
106,"noroBE",1,2,"glarma",230,1.89462322805742,2.24706073608864,1,3,0,5,4,2.51360194964544,0.860782361919448,0.941758403611166,NA
107,"noroBE",1,3,"glarma",230,1.74846701409145,2.05409912232308,1,3,0,5,5,3.53850216724947,0.954661099157901,0.983717915913601,NA
108,"noroBE",1,4,"glarma",230,1.77200934795292,2.08548466044168,1,3,0,5,0,1.63225701939844,0,0.19548785594814,NA
109,"noroBE",1,1,"glarma",231,1.63892466016077,1.87258194420329,1,2,0,5,4,2.7913432802116,0.903256119215947,0.964594882619192,NA
110,"noroBE",1,2,"glarma",231,1.68641432520413,1.96991320802233,1,2,0,5,5,3.63933927467821,0.959682700434109,0.985952395719809,NA
111,"noroBE",1,3,"glarma",231,1.64985571126318,1.92246630570222,1,2,0,5,0,1.52795599043522,0,0.216978720939782,NA
112,"noroBE",1,4,"glarma",231,1.6692327602908,1.9455088205201,1,2,0,5,2,1.42524021183272,0.51910248015,0.759553177317933,NA
113,"noroBE",1,1,"glarma",232,2.01839065311301,2.37592184275581,1,3,0,6,5,3.16923839499056,0.930941568468117,0.972977168707164,NA
114,"noroBE",1,2,"glarma",232,1.71982965580178,2.0096097234854,1,3,0,5,0,1.58966358287226,0,0.203994227343874,NA
115,"noroBE",1,3,"glarma",232,1.83193499970903,2.15796351423659,1,3,0,5,2,1.40457896112987,0.47347505734296,0.718945444615723,NA
116,"noroBE",1,4,"glarma",232,1.7150626398068,2.02039472757769,1,3,0,5,4,2.69952482118003,0.889674322353566,0.956911777318089,NA
117,"noroBE",1,1,"glarma",233,2.07530684420671,2.34973280961402,1,3,0,6,0,1.93529797353753,0,0.144381240624205,NA
118,"noroBE",1,2,"glarma",233,1.87838252372241,2.22570390186102,1,3,0,5,2,1.4028790592176,0.461409409495625,0.707297427213943,NA
119,"noroBE",1,3,"glarma",233,1.87295240011731,2.23534912995102,1,3,0,5,4,2.53521456921982,0.863895263175365,0.943139977139305,NA
120,"noroBE",1,4,"glarma",233,1.73987795514391,2.04418590105913,1,3,0,5,1,1.21020789801968,0.201149380050491,0.499284671300342,NA
121,"noroBE",1,1,"glarma",234,1.60730683597465,1.81000498127544,1,2,0,5,2,1.42789020701123,0.533515677185254,0.773330024699172,NA
122,"noroBE",1,2,"glarma",234,1.83355040297959,2.17801961933731,1,3,0,5,4,2.5727003423333,0.87059772415579,0.946926876198199,NA
123,"noroBE",1,3,"glarma",234,1.63960503169977,1.91676489097231,1,2,0,5,1,1.17558576465183,0.219642723907574,0.528280861324153,NA
124,"noroBE",1,4,"glarma",234,1.6923577990544,1.98792701197175,1,2,0,5,2,1.42483889621106,0.513113281064651,0.753660494218986,NA
125,"noroBE",1,1,"glarma",235,1.87955827943951,2.19565590788816,1,3,0,5,4,2.5247940305861,0.864297304427428,0.944372108476199,NA
126,"noroBE",1,2,"glarma",235,1.6364862547143,1.89416133872716,1,2,0,5,1,1.17477626735665,0.21916286771148,0.528050948015883,NA
127,"noroBE",1,3,"glarma",235,1.71102369149661,2.00336656756681,1,3,0,5,2,1.4195047163599,0.507273619985576,0.749107383532595,NA
128,"noroBE",1,4,"glarma",235,1.74536722794892,2.05633323417832,1,3,0,5,2,1.41681846740053,0.498019644557193,0.740503907109856,NA
129,"noroBE",1,1,"glarma",236,1.86163537743321,2.10741881032477,1,3,0,5,1,1.26209192653889,0.175867145737194,0.458928409075735,NA
130,"noroBE",1,2,"glarma",236,1.73734032245754,2.03826572094484,1,3,0,5,2,1.41599137339349,0.499846669333993,0.742531572129751,NA
131,"noroBE",1,3,"glarma",236,1.88079203835392,2.24508159450192,1,3,0,5,2,1.40334722383688,0.461585467788641,0.707358396379194,NA
132,"noroBE",1,4,"glarma",236,1.82900033177767,2.1681350870451,1,3,0,5,3,1.88978953464787,0.719636477549646,0.870740085113608,NA
133,"noroBE",1,1,"glarma",237,1.61883705156137,1.82167750692505,1,2,0,5,2,1.42475418570682,0.529892716854916,0.770460307748059,NA
134,"noroBE",1,2,"glarma",237,1.87469552874082,2.23103059605149,1,3,0,5,2,1.40344259211671,0.462928754402201,0.708678245168955,NA
135,"noroBE",1,3,"glarma",237,1.77425051975284,2.08523324503973,1,3,0,5,3,1.91835384291156,0.733318162074031,0.880166661043552,NA
136,"noroBE",1,4,"glarma",237,1.88868080405237,2.26592918128504,1,3,0,5,1,1.26630220402489,0.178284223878575,0.460156226069416,NA
137,"noroBE",1,1,"glarma",238,1.89176268245096,2.13991682019632,1,3,0,5,2,1.39129608617774,0.450406795174214,0.699159485859236,NA
138,"noroBE",1,2,"glarma",238,1.78491259788788,2.09607392473701,1,3,0,5,3,1.91133690314225,0.730679724972641,0.878562274707786,NA
139,"noroBE",1,3,"glarma",238,1.89144568757209,2.23811353963656,1,3,0,5,1,1.26780865724185,0.176229644799736,0.457677339685902,NA
140,"noroBE",1,4,"glarma",238,2.0091785995876,2.42412252384392,1,3,0,6,0,1.82854662205393,0,0.160646878820323,NA
141,"noroBE",1,1,"glarma",239,1.78053759125872,2.05180624505956,1,3,0,5,3,1.90444240754877,0.731915653678782,0.880821301822494,NA
142,"noroBE",1,2,"glarma",239,1.8974571390433,2.24562404886658,1,3,0,5,1,1.27009272018987,0.175263155369226,0.456068739593434,NA
143,"noroBE",1,3,"glarma",239,1.99908774485843,2.39178367163957,1,3,0,6,0,1.82621921920199,0,0.161021204258321,NA
144,"noroBE",1,4,"glarma",239,2.12226933533828,2.58158248609869,1,3,0,6,1,1.36333913400221,0.146175690853901,0.401980872349018,NA
145,"noroBE",1,1,"glarma",240,2.03194632320093,2.29594251505272,1,3,0,6,1,1.338310190404,0.14998955346257,0.412278065421455,NA
146,"noroBE",1,2,"glarma",240,2.02439559463475,2.42672332764864,1,3,0,6,0,1.84775026827281,0,0.157591305965616,NA
147,"noroBE",1,3,"glarma",240,2.20402352582449,2.6776644029522,1,3,0,6,1,1.39972003265641,0.13553794260788,0.382203955311668,NA
148,"noroBE",1,4,"glarma",240,2.29833898427708,2.83424905262957,1,3,0,6,3,1.7092895262774,0.605549770186867,0.786544108855849,NA
149,"noroBE",1,1,"glarma",241,1.85254292276269,2.09008201141591,1,3,0,5,0,1.7328040971743,0,0.176787983596014,NA
150,"noroBE",1,2,"glarma",241,2.19242596219934,2.66439306242072,1,3,0,6,1,1.39438486176498,0.136985966213676,0.38497150105649,NA
151,"noroBE",1,3,"glarma",241,2.21359954967337,2.68492868700708,1,3,0,6,3,1.7281975410466,0.625004962269991,0.802609208270984,NA
152,"noroBE",1,4,"glarma",241,2.4577693322002,3.07007594616741,1,3,0,7,3,1.67458062341549,0.568485830761768,0.755872579382163,NA
153,"noroBE",1,1,"glarma",242,1.88770832605608,2.13443976335136,1,3,0,5,1,1.27299972292225,0.171498375755334,0.451488842727,NA
154,"noroBE",1,2,"glarma",242,2.19355136122795,2.66382662516086,1,3,0,6,3,1.73564009001638,0.629963705354531,0.806251029762995,NA
155,"noroBE",1,3,"glarma",242,2.29362525531073,2.81745336713467,1,3,0,6,3,1.70856518067953,0.606427904380646,0.787553392995291,NA
156,"noroBE",1,4,"glarma",242,2.62521611514856,3.34284888153198,1,4,0,7,2,1.46440598516081,0.300253079610229,0.531468375619934,NA
157,"noroBE",1,1,"glarma",243,2.04118122911106,2.39062846894266,1,3,0,6,3,1.77627044707644,0.666131095453088,0.83539936191791,NA
158,"noroBE",1,2,"glarma",243,2.2649225128206,2.77194260836293,1,3,0,6,3,1.71517947807912,0.613187827744223,0.793119251812786,NA
159,"noroBE",1,3,"glarma",243,2.53703871873377,3.18299377300829,1,4,0,7,2,1.4475127563902,0.31516322454526,0.55031767226166,NA
160,"noroBE",1,4,"glarma",243,2.85970780124401,3.70376344752118,1,4,0,7,1,1.7126905906794,0.0810067781468148,0.26138658903024,NA
161,"noroBE",1,1,"glarma",244,2.4120097343851,2.87083810050903,1,3,0,6,3,1.66569698559446,0.574401484139904,0.763460324901356,NA
162,"noroBE",1,2,"glarma",244,2.53755239448057,3.17580961756759,1,4,0,7,2,1.44658037752145,0.314653769629998,0.550027572629563,NA
163,"noroBE",1,3,"glarma",244,2.97322332564076,3.86646175109219,2,4,0,8,1,1.77203966881221,0.0737555421267875,0.243741462140239,NA
164,"noroBE",1,4,"glarma",244,3.20721103396812,4.26027271605417,2,4,0,8,1,1.89168362618693,0.0618693668747764,0.21268704125143,NA
165,"noroBE",1,1,"glarma",245,2.62037026186818,3.13483442532817,1,4,0,7,2,1.45768006518642,0.291961008689652,0.524736681880841,NA
166,"noroBE",1,2,"glarma",245,2.97879450193801,3.86588291669258,2,4,0,8,1,1.77580781359631,0.0731629728642329,0.242509566613257,NA
167,"noroBE",1,3,"glarma",245,3.24565793297316,4.26410164289064,2,4,0,8,1,1.91800885237709,0.0591856305580879,0.206084799609602,NA
168,"noroBE",1,4,"glarma",245,3.58109854998906,4.85589682116774,2,5,0,9,1,2.09247025361773,0.0463626749097082,0.169744649200804,NA
169,"noroBE",1,1,"glarma",246,2.80961939742087,3.3736319841759,1,4,0,7,1,1.71664763225838,0.0786184452353414,0.258285896055808,NA
170,"noroBE",1,2,"glarma",246,3.24143032530099,4.27659745522319,2,4,0,8,1,1.91419389289242,0.0594683264949851,0.206928980264505,NA
171,"noroBE",1,3,"glarma",246,3.50583297657248,4.72068819702301,2,5,0,8,1,2.05397706943518,0.0487408500567361,0.176964782751107,NA
172,"noroBE",1,4,"glarma",246,3.89891015424503,5.43774588529452,2,5,0,9,5,2.04813011584688,0.648469026784286,0.77744487492726,NA
173,"noroBE",1,1,"glarma",247,2.87501889176626,3.46155829800089,2,4,0,7,1,1.75325072933025,0.0744251032385399,0.247635071795678,NA
174,"noroBE",1,2,"glarma",247,3.46249956072598,4.63293630940439,2,5,0,8,1,2.03212952114389,0.0502767481472901,0.1813328851094,NA
175,"noroBE",1,3,"glarma",247,3.73107843376296,5.11342294851658,2,5,0,9,5,2.08501595598567,0.675824250351972,0.800129387090947,NA
176,"noroBE",1,4,"glarma",247,4.2609976772167,6.11295072545778,2,6,0,10,5,1.98980492210529,0.589376116863269,0.726098211165773,NA
177,"noroBE",1,1,"glarma",248,3.06671506468175,3.7889079488734,2,4,0,8,1,1.84699495254778,0.0647384827643514,0.222448864885877,NA
178,"noroBE",1,2,"glarma",248,3.7084446755192,5.09775411436576,2,5,0,9,5,2.09314983453843,0.67967724139353,0.80297539613325,NA
179,"noroBE",1,3,"glarma",248,4.09376336265464,5.82633524613486,2,6,0,10,5,2.01556576582369,0.616647520002175,0.749892516573605,NA
180,"noroBE",1,4,"glarma",248,4.66276299215034,6.94905601053899,3,6,1,11,12,4.94980138229996,0.984528437123738,0.991613253082906,NA
181,"noroBE",1,1,"glarma",249,3.2564529050292,4.17866910726564,2,4,0,8,5,2.22453884308879,0.755545867052384,0.863663133217076,NA
182,"noroBE",1,2,"glarma",249,4.00968138487296,5.6596802219217,2,5,0,9,5,2.02920380413393,0.63017040936,0.761610540947173,NA
183,"noroBE",1,3,"glarma",249,4.46201215124904,6.55802852565435,3,6,1,10,12,5.16512657762376,0.987894997948144,0.993607337686993,NA
184,"noroBE",1,4,"glarma",249,5.07549591537271,7.80563486816547,3,7,1,11,9,3.12120581310767,0.88536080715071,0.929464762366962,NA
