"","data_set","unit","prediction_horizon","lag_structure","prediction_time","pred_mean","pred_var","lb50","ub50","lb95","ub95","obs","unit_wise_log_score","unit_wise_pit_l","unit_wise_pit_u","multiv_log_score"
"1","noroBE",1,4,"lin",204,7.48981339913432,21.5272604325177,4,10,1,19,8,2.52399694251066,0.57493046673175,0.655069122896472,2.66003004329162
"2","noroBE",2,4,"lin",204,6.78992029855814,18.2797418329002,4,9,1,17,1,3.1285440785381,0.0155434801721645,0.0593249734611643,2.66003004329162
"3","noroBE",3,4,"lin",204,8.31240004312423,27.1544847968454,5,11,1,21,2,2.98105948928812,0.0377031540652858,0.0884422019646497,2.66003004329162
"4","noroBE",4,4,"lin",204,7.21241358915288,23.5308406386371,4,10,1,19,3,2.38658700771692,0.1334653833134,0.225408332877476,2.66003004329162
"5","noroBE",5,4,"lin",204,8.09965836126988,25.0080951916789,5,11,1,20,3,2.62383456057843,0.0906761025527757,0.163200332950296,2.66003004329162
"6","noroBE",6,4,"lin",204,7.10977119356243,21.089261991644,4,9,1,18,4,2.28224599073153,0.220201235414161,0.322255970541427,2.66003004329162
"7","noroBE",7,4,"lin",204,11.8489491687517,48.2590778656911,7,15,2,29,8,2.68460752479492,0.293550165399501,0.361798139777898,2.66003004329162
"8","noroBE",8,4,"lin",204,7.7267285985439,23.5986434869462,4,10,1,20,11,3.03338104423679,0.764173271735246,0.812325828399654,2.66003004329162
"9","noroBE",9,4,"lin",204,6.84507526529314,20.8908970049057,4,9,1,18,5,2.25014302119405,0.348965954828268,0.454350106145105,2.66003004329162
"10","noroBE",10,4,"lin",204,12.6152364937713,56.8808190052987,7,16,2,31,14,3.05776507350236,0.625425870959672,0.672418473918998,2.66003004329162
"11","noroBE",11,4,"lin",204,9.690809221597,33.925340422008,5,13,2,24,3,2.96714986392077,0.0581270368856405,0.109576777206894,2.66003004329162
"12","noroBE",12,4,"lin",204,9.58007925466249,36.1165965171633,5,13,1,24,4,2.67488853313095,0.121209494759405,0.190124004410579,2.66003004329162
"13","noroBE",1,3,"lin",205,6.99639804444146,18.7572751995439,4,9,1,17,8,2.53704735815467,0.616828306267646,0.695927914411477,2.66077593427543
"14","noroBE",2,3,"lin",205,6.30610924920733,15.3193577919601,3,8,1,16,1,3.00765311561501,0.0176841015221899,0.0670915980060891,2.66077593427543
"15","noroBE",3,3,"lin",205,7.88601612850061,23.8156434947338,4,10,1,20,2,2.89755171273316,0.0415060159292321,0.0966641136769786,2.66077593427543
"16","noroBE",4,3,"lin",205,7.36130096921041,22.5389916116478,4,10,1,19,3,2.44066949130733,0.119055500622869,0.206158018181657,2.66077593427543
"17","noroBE",5,3,"lin",205,7.76544786140065,22.3332985127977,4,10,1,19,3,2.56683623195781,0.0961676025539855,0.172945672133393,2.66077593427543
"18","noroBE",6,3,"lin",205,7.36165300673282,21.0214950350246,4,10,1,19,4,2.32519839583394,0.198150232826248,0.295914278973966,2.66077593427543
"19","noroBE",7,3,"lin",205,12.114062499305,47.8856481571519,7,16,2,29,8,2.69981981593614,0.27453425127792,0.341751874471092,2.66077593427543
"20","noroBE",8,3,"lin",205,7.75261955877087,23.1783015233578,4,10,1,19,11,3.01847886717589,0.763582983886234,0.812458491871222,2.66077593427543
"21","noroBE",9,3,"lin",205,6.15516702855167,16.1436888969292,3,8,1,16,5,2.18554555313409,0.39616027844412,0.508576666253529,2.66077593427543
