"","data_set","unit","prediction_horizon","lag_structure","prediction_time","pred_mean","pred_var","lb50","ub50","lb95","ub95","obs","unit_wise_log_score","unit_wise_pit_l","unit_wise_pit_u","multiv_log_score"
"1","noroBE",1,4,"unres",204,7.559475346106,22.1310171783444,4,10,1,19,8,2.52559149275711,0.570072769197149,0.650083742073697,2.6613042198191
"2","noroBE",2,4,"unres",204,6.73585834179968,17.7609454682086,4,9,1,17,1,3.11104151327659,0.0159175556462144,0.0604720826813986,2.6613042198191
"3","noroBE",3,4,"unres",204,8.27183428161072,27.137897787833,5,11,1,21,2,2.95934460268108,0.0391491133495955,0.0910020036334328,2.6613042198191
"4","noroBE",4,4,"unres",204,7.10516764552981,22.8379657677286,4,9,1,19,3,2.36515675133208,0.137655734147621,0.231590308992273,2.6613042198191
"5","noroBE",5,4,"unres",204,8.21294426286059,25.3268261769491,5,11,1,20,3,2.64997489673277,0.0878707550753222,0.158523741734295,2.6613042198191
"6","noroBE",6,4,"unres",204,6.99705380103514,21.0610158901466,4,9,1,18,4,2.26086134824743,0.229409356036868,0.333669997383256,2.6613042198191
"7","noroBE",7,4,"unres",204,12.015801393354,50.6495396304777,7,16,2,29,8,2.69685979268107,0.287999979776098,0.355416863459425,2.6613042198191
"8","noroBE",8,4,"unres",204,7.72247076152017,24.1410227131552,4,10,1,20,11,3.04393756986827,0.763454193733481,0.811101100348895,2.6613042198191
"9","noroBE",9,4,"unres",204,6.79753989800643,20.5798941048761,4,9,1,18,5,2.24501521900335,0.35174989694903,0.457675825223251,2.6613042198191
"10","noroBE",10,4,"unres",204,12.802026204762,60.0740025263394,7,17,2,32,14,3.06963761514377,0.616942552712058,0.663380532941464,2.6613042198191
"11","noroBE",11,4,"unres",204,9.63579249902531,33.3990629978765,5,13,2,24,3,2.96089002144365,0.0583749391758267,0.110147756918865,2.6613042198191
"12","noroBE",12,4,"unres",204,9.28771145663642,34.1527479915209,5,12,1,24,4,2.62448095380107,0.130708930869765,0.203186297244204,2.6613042198191
"13","noroBE",1,3,"unres",205,6.97679410509232,18.9117146097811,4,9,1,18,8,2.54405394118019,0.619727564437301,0.698274891669804,2.65622021635113
"14","noroBE",2,3,"unres",205,6.30461234972171,15.6472578042342,3,8,1,16,1,2.98641339250829,0.0182348505169156,0.0687029723674235,2.65622021635113
"15","noroBE",3,3,"unres",205,7.79696652900648,22.9309499369217,4,10,1,19,2,2.88412831085197,0.0419773407651667,0.0978808395421295,2.65622021635113
"16","noroBE",4,3,"unres",205,7.447296330883,23.1081105016552,4,10,1,19,3,2.45565224985583,0.117543240934517,0.20335045037925,2.65622021635113
"17","noroBE",5,3,"unres",205,7.78725511387306,22.5117689953813,4,10,1,19,3,2.56962105562784,0.0961264396172557,0.172690993251278,2.65622021635113
"18","noroBE",6,3,"unres",205,7.52586014095773,22.0817699516743,4,10,1,19,4,2.34861776736527,0.190638452439461,0.286139528169952,2.65622021635113
