"","data_set","unit","prediction_horizon","model","prediction_time","pred_mean","pred_var","lb50","ub50","lb95","ub95","obs","unit_wise_log_score","multiv_log_score"
"1","noroBE",1,1,"naive",204,9.95669165258416,36.088506870277,6,13,1,24,4,2.78117539952431,2.8304420576422
"2","noroBE",1,2,"naive",204,11.3139863437862,45.0559818700695,6,15,2,27,10,2.76044071195476,2.91687457357875
"3","noroBE",1,3,"naive",204,10.4996739430462,39.5593713989129,6,14,2,26,12,2.9244124642471,2.9667493419147
"4","noroBE",1,4,"naive",204,6.6670204044361,18.383658933493,4,9,1,17,8,2.59466965623967,2.5494263091655
"5","noroBE",2,1,"naive",204,7.16454902120823,20.6951529109123,4,10,1,18,3,2.43335537589795,2.8304420576422
"6","noroBE",2,2,"naive",204,8.14121925371651,25.6122434482086,4,11,1,20,9,2.66361733777025,2.91687457357875
"7","noroBE",2,3,"naive",204,7.55526346466027,22.6018743546591,4,10,1,19,5,2.35225374939378,2.9667493419147
"8","noroBE",2,4,"naive",204,4.79739618134912,10.8640698331733,2,7,0,13,1,2.35022058550427,2.5494263091655
"9","noroBE",3,1,"naive",204,10.0689918414967,36.793605834573,6,13,1,25,6,2.61303485068025,2.8304420576422
"10","noroBE",3,2,"naive",204,11.4415952773652,45.9490260962351,6,15,2,28,8,2.70829350450103,2.91687457357875
"11","noroBE",3,3,"naive",204,10.6180983563419,40.337013433386,6,14,2,26,10,2.7447764857937,2.9667493419147
"12","noroBE",3,4,"naive",204,6.74221683283082,18.7246466555187,4,9,1,17,2,2.56037161413818,2.5494263091655
"13","noroBE",4,1,"naive",204,9.10594660647986,30.962901802097,5,12,1,22,8,2.5722689253455,2.8304420576422
"14","noroBE",4,2,"naive",204,10.347267862435,38.5694666758323,6,14,1,25,10,2.74146918060148,2.91687457357875
"15","noroBE",4,3,"naive",204,9.60253401901945,33.9084040858271,5,13,1,24,4,2.72268061275696,2.9667493419147
"16","noroBE",4,4,"naive",204,6.09735984054004,15.8972930345973,3,8,0,16,3,2.22113320559044,2.5494263091655
"17","noroBE",5,1,"naive",204,10.1737501528135,37.4573454621185,6,14,1,25,7,2.60575451869192,2.8304420576422
"18","noroBE",5,2,"naive",204,11.5606342257421,46.7898344630141,7,15,2,28,4,3.04361352998731,2.91687457357875
"19","noroBE",5,3,"naive",204,10.7285696002079,41.069095835825,6,14,2,26,7,2.65451311427024,2.9667493419147
"20","noroBE",5,4,"naive",204,6.81236320508513,19.0454216952493,4,9,1,17,3,2.3626461919878,2.5494263091655
"21","noroBE",6,1,"naive",204,9.16904111303877,31.3299364808112,5,12,1,23,10,2.75035752997332,2.8304420576422
"22","noroBE",6,2,"naive",204,10.4189634025284,39.0336166950229,6,14,1,25,7,2.62688836366647,2.91687457357875
"23","noroBE",6,3,"naive",204,9.66906934717676,34.3129338997841,5,13,1,24,10,2.74144009089912,2.9667493419147
"24","noroBE",6,4,"naive",204,6.1396080468031,16.0758179251219,3,8,0,16,4,2.18080684866986,2.5494263091655
"25","noroBE",7,1,"naive",204,18.4462079823648,108.138199083741,11,24,4,43,19,3.31177041674409,2.8304420576422
"26","noroBE",7,2,"naive",204,20.9607922479902,136.773135832796,12,27,4,49,25,3.61753854919456,2.91687457357875
"27","noroBE",7,3,"naive",204,19.4521610248097,119.193495635794,11,25,4,46,17,3.23637010544898,2.9667493419147
"28","noroBE",7,4,"naive",204,12.3516173136666,52.5665289044505,7,16,2,30,8,2.78025511871242,2.5494263091655
"29","noroBE",8,1,"naive",204,11.6700120640784,47.5689890878374,7,15,2,28,7,2.74370974799621,2.8304420576422
"30","noroBE",8,2,"naive",204,13.2608663330992,59.6144438417024,8,18,2,32,11,2.86994265327065,2.91687457357875
"31","noroBE",8,3,"naive",204,12.3064292698506,52.2276288725184,7,16,2,30,21,3.91977535804806,2.9667493419147
"32","noroBE",8,4,"naive",204,7.81426313739794,23.910172810964,4,10,1,20,11,2.99594466705283,2.5494263091655
"33","noroBE",9,1,"naive",204,9.38320245779865,32.5914120107105,5,13,1,23,3,2.87660034469831,2.8304420576422
