"","data_set","unit","prediction_horizon","lag_structure","prediction_time","pred_mean","pred_var","cor1","cor2","cor3","cor4","cor5","cor6","cor7","cor8","cor9","cor10","cor11","cor12","obs","unit_wise_dss","multiv_dss"
"1","noroBE",1,1,"ar1",208,4.98664549940773,9.36101076183405,1,0,0,0,0,0,0,0,0,0,0,0,9,1.3117351324875,1.33139503719838
"2","noroBE",2,1,"ar1",208,2.47885065544011,3.55978366177207,0,1,0,0,0,0,0,0,0,0,0,0,3,0.276216993065639,1.33139503719838
"3","noroBE",3,1,"ar1",208,3.58493906668458,5.8457362849951,0,0,1,0,0,0,0,0,0,0,0,0,4,0.171669146762125,1.33139503719838
"4","noroBE",4,1,"ar1",208,3.3217952672993,5.26287679860282,0,0,0,1,0,0,0,0,0,0,0,0,2,-0.576172585815448,1.33139503719838
"5","noroBE",5,1,"ar1",208,4.19827849338441,7.29884136248883,0,0,0,0,1,0,0,0,0,0,0,0,5,0.296753993218888,1.33139503719838
"6","noroBE",6,1,"ar1",208,3.80290306866535,6.34697018976294,0,0,0,0,0,1,0,0,0,0,0,0,4,0.0782341977370976,1.33139503719838
"7","noroBE",7,1,"ar1",208,8.25699818807823,20.2504013269988,0,0,0,0,0,0,1,0,0,0,0,0,7,-0.279330162728978,1.33139503719838
"8","noroBE",8,1,"ar1",208,8.2151839146335,20.0874230142279,0,0,0,0,0,0,0,1,0,0,0,0,5,-0.717370820953633,1.33139503719838
"9","noroBE",9,1,"ar1",208,5.22174169163321,10.0182899937188,0,0,0,0,0,0,0,0,1,0,0,0,3,-0.701934785919677,1.33139503719838
"10","noroBE",10,1,"ar1",208,12.3174010669394,39.0066417948418,0,0,0,0,0,0,0,0,0,1,0,0,16,0.589637562137672,1.33139503719838
"11","noroBE",11,1,"ar1",208,5.50466973661698,10.835079416637,0,0,0,0,0,0,0,0,0,0,1,0,7,0.45427733931964,1.33139503719838
"12","noroBE",12,1,"ar1",208,4.37925232920297,7.75288654512898,0,0,0,0,0,0,0,0,0,0,0,1,7,0.941225087075959,1.33139503719838
"13","noroBE",1,2,"ar1",208,7.69091679793552,18.6541063362679,1,0.007,0.005,0.002,0.014,0.009,0.01,0.026,0.024,0.031,0.017,0.005,7,-0.159969993648523,1.5983550444716
"14","noroBE",2,2,"ar1",208,4.50970889115308,8.32122638155302,0.007,1,0.016,0.006,0.015,0.018,0.024,0.017,0.01,0.017,0.018,0.019,4,-0.176696741498813,1.5983550444716
"15","noroBE",3,2,"ar1",208,6.53013567214391,14.9163160147913,0.005,0.016,1,0.014,0.011,0.012,0.03,0.018,0.01,0.011,0.011,0.024,9,0.639502593118261,1.5983550444716
"16","noroBE",4,2,"ar1",208,6.63508458712519,14.8861884277526,0.002,0.006,0.014,1,0.004,0.008,0.009,0.007,0.004,0.004,0.004,0.017,7,0.0945802485571963,1.5983550444716
"17","noroBE",5,2,"ar1",208,6.96622796289652,16.2417006731373,0.014,0.015,0.011,0.004,1,0.011,0.027,0.034,0.016,0.018,0.02,0.01,8,0.256512792969681,1.5983550444716
"18","noroBE",6,2,"ar1",208,5.80664032258235,12.720239493898,0.009,0.018,0.012,0.008,0.011,1,0.015,0.012,0.012,0.022,0.024,0.026,4,-0.506552023989112,1.5983550444716
