"","data_set","unit","prediction_horizon","lag_structure","prediction_time","pred_mean","pred_var","cor1","cor2","cor3","cor4","cor5","cor6","cor7","cor8","cor9","cor10","cor11","cor12","obs","unit_wise_dss","multiv_dss"
"1","noroBE",1,1,"end",208,6.86963669269512,20.0800583881129,1,0,0,0,0,0,0,0,0,0,0,0,9,0.475413147247749,1.77639914011364
"2","noroBE",2,1,"end",208,4.90675598061171,11.6464171441276,0,1,0,0,0,0,0,0,0,0,0,0,3,-0.558726083744302,1.77639914011364
"3","noroBE",3,1,"end",208,6.92454061954141,20.3469684132013,0,0,1,0,0,0,0,0,0,0,0,0,4,-0.648347442883635,1.77639914011364
"4","noroBE",4,1,"end",208,6.28697100155862,17.3514777071729,0,0,0,1,0,0,0,0,0,0,0,0,2,-1.02915861185232,1.77639914011364
"5","noroBE",5,1,"end",208,6.87060225873483,20.0847378131414,0,0,0,0,1,0,0,0,0,0,0,0,5,-0.417396084772037,1.77639914011364
"6","noroBE",6,1,"end",208,6.25957815775341,17.2278770031111,0,0,0,0,0,1,0,0,0,0,0,0,4,-0.544391689417433,1.77639914011364
"7","noroBE",7,1,"end",208,12.6608955190635,57.5331605131989,0,0,0,0,0,0,1,0,0,0,0,0,7,-0.74632162091162,1.77639914011364
"8","noroBE",8,1,"end",208,8.04638161254116,26.1702288788828,0,0,0,0,0,0,0,1,0,0,0,0,5,-0.595498325937246,1.77639914011364
"9","noroBE",9,1,"end",208,6.36530669300208,17.70725880485,0,0,0,0,0,0,0,0,1,0,0,0,3,-0.799740301016483,1.77639914011364
"10","noroBE",10,1,"end",208,13.9153340762343,68.119968089807,0,0,0,0,0,0,0,0,0,1,0,0,16,0.252580168998922,1.77639914011364
"11","noroBE",11,1,"end",208,9.64255085264035,35.6700845718461,0,0,0,0,0,0,0,0,0,0,1,0,7,-0.442457217668817,1.77639914011364
"12","noroBE",12,1,"end",208,7.58744736645676,23.7028264088511,0,0,0,0,0,0,0,0,0,0,0,1,7,-0.12066154814876,1.77639914011364
"13","noroBE",1,2,"end",208,11.0736915915381,45.4005445710513,1,0,0,0,0,0,0,0,0,0,0,0,7,-0.60458534465817,2.26199430654213
"14","noroBE",2,2,"end",208,7.90957438870205,25.4223656701485,0,1,0,0,0,0,0,0,0,0,0,0,4,-0.775392329344531,2.26199430654213
"15","noroBE",3,2,"end",208,11.1621954208173,46.0399393811717,0,0,1,0,0,0,0,0,0,0,0,0,9,-0.31866001458206,2.26199430654213
