"","data_set","unit","prediction_horizon","lag_structure","prediction_time","pred_mean","pred_var","cor1","cor2","cor3","cor4","cor5","cor6","cor7","cor8","cor9","cor10","cor11","cor12","obs","unit_wise_dss","multiv_dss"
"1","noroBE",1,1,"geom",208,5.1871056338644,9.68361762379703,1,0,0,0,0,0,0,0,0,0,0,0,9,1.22528172900081,1.37024786863922
"2","noroBE",2,1,"geom",208,2.65325597331968,3.82973414131347,0,1,0,0,0,0,0,0,0,0,0,0,3,0.17718407066558,1.37024786863922
"3","noroBE",3,1,"geom",208,3.80385775758693,6.22195692756218,0,0,1,0,0,0,0,0,0,0,0,0,4,0.0786335053003767,1.37024786863922
"4","noroBE",4,1,"geom",208,2.64405709246903,3.81239166475532,0,0,0,1,0,0,0,0,0,0,0,0,2,-0.329856929081415,1.37024786863922
"5","noroBE",5,1,"geom",208,4.13161524041188,6.98437574070384,0,0,0,0,1,0,0,0,0,0,0,0,5,0.328585500386052,1.37024786863922
"6","noroBE",6,1,"geom",208,4.30263936536379,7.39646236502352,0,0,0,0,0,1,0,0,0,0,0,0,4,-0.111279045460441,1.37024786863922
"7","noroBE",7,1,"geom",208,9.77031928200236,25.7233456636447,0,0,0,0,0,0,1,0,0,0,0,0,7,-0.546218113487303,1.37024786863922
"8","noroBE",8,1,"geom",208,10.3575265004691,28.2857673271663,0,0,0,0,0,0,0,1,0,0,0,0,5,-1.00734989521333,1.37024786863922
"9","noroBE",9,1,"geom",208,5.86852253197877,11.6240234010514,0,0,0,0,0,0,0,0,1,0,0,0,3,-0.841356448670662,1.37024786863922
"10","noroBE",10,1,"geom",208,16.0192631294837,58.9047792627218,0,0,0,0,0,0,0,0,0,1,0,0,16,-0.00250987202219122,1.37024786863922
"11","noroBE",11,1,"geom",208,6.06093949574908,12.2000502480022,0,0,0,0,0,0,0,0,0,0,1,0,7,0.268851686619378,1.37024786863922
"12","noroBE",12,1,"geom",208,4.90652304955693,8.92973819799415,0,0,0,0,0,0,0,0,0,0,0,1,7,0.700565619539363,1.37024786863922
"13","noroBE",1,2,"geom",208,8.20848399034836,20.0413994662862,1,0.004,0.002,0.001,0.009,0.004,0.005,0.015,0.015,0.021,0.011,0.002,7,-0.269945989150262,1.61963951703412
"14","noroBE",2,2,"geom",208,4.53553369808904,8.14985663272103,0.004,1,0.008,0.003,0.008,0.01,0.014,0.007,0.005,0.009,0.01,0.011,4,-0.18759092255507,1.61963951703412
"15","noroBE",3,2,"geom",208,6.72929804589193,14.8603692792598,0.002,0.008,1,0.008,0.005,0.005,0.015,0.007,0.004,0.004,0.005,0.013,9,0.589040739675216,1.61963951703412
"16","noroBE",4,2,"geom",208,6.1115470494286,12.6972923998565,0.001,0.003,0.008,1,0.002,0.004,0.005,0.003,0.002,0.002,0.002,0.011,7,0.249332489634444,1.61963951703412
"17","noroBE",5,2,"geom",208,7.05918526278266,15.9049613033741,0.009,0.008,0.005,0.002,1,0.005,0.015,0.019,0.008,0.009,0.011,0.005,8,0.235905357128247,1.61963951703412
"18","noroBE",6,2,"geom",208,6.29520806730872,13.6569348166966,0.004,0.01,0.005,0.004,0.005,1,0.006,0.004,0.004,0.01,0.013,0.014,4,-0.621076995538624,1.61963951703412
"19","noroBE",7,2,"geom",208,13.5305194178119,48.3358038677234,0.005,0.014,0.015,0.005,0.015,0.006,1,0.022,0.008,0.004,0.006,0.007,13,-0.0763074272866014,1.61963951703412
"20","noroBE",8,2,"geom",208,10.8700667574916,35.0194384176158,0.015,0.007,0.007,0.003,0.019,0.004,0.022,1,0.025,0.011,0.008,0.004,13,0.359924494274683,1.61963951703412
"21","noroBE",9,2,"geom",208,7.24016601638165,17.6918932359067,0.015,0.005,0.004,0.002,0.008,0.004,0.008,0.025,1,0.034,0.01,0.003,4,-0.770335846777966,1.61963951703412
"22","noroBE",10,2,"geom",208,18.3225190670709,88.6930559411649,0.021,0.009,0.004,0.002,0.009,0.01,0.004,0.011,0.034,1,0.028,0.005,13,-0.565161301339761,1.61963951703412
"23","noroBE",11,2,"geom",208,9.44012318381242,25.8172429789446,0.011,0.01,0.005,0.002,0.011,0.013,0.006,0.008,0.01,0.028,1,0.006,8,-0.283429278252404,1.61963951703412
"24","noroBE",12,2,"geom",208,7.06782051334689,16.7117573299373,0.002,0.011,0.013,0.011,0.005,0.014,0.007,0.004,0.003,0.005,0.006,1,5,-0.505826734016716,1.61963951703412
"25","noroBE",1,3,"geom",208,8.65886645742758,22.5774926787543,1,0.01,0.006,0.003,0.019,0.01,0.012,0.03,0.031,0.042,0.025,0.006,6,-0.559575472653759,2.1148764754593
"26","noroBE",2,3,"geom",208,5.15267594475729,10.0398564290912,0.01,1,0.019,0.008,0.019,0.021,0.029,0.016,0.011,0.018,0.023,0.023,3,-0.679383361578518,2.1148764754593
"27","noroBE",3,3,"geom",208,7.68165412969206,19.1120187273251,0.006,0.019,1,0.02,0.011,0.011,0.032,0.015,0.008,0.009,0.011,0.027,4,-0.842150489578785,2.1148764754593
"28","noroBE",4,3,"geom",208,6.93677236286449,16.2363311639875,0.003,0.008,0.02,1,0.005,0.009,0.011,0.006,0.004,0.004,0.005,0.025,8,0.263865315267777,2.1148764754593
"29","noroBE",5,3,"geom",208,7.94035719158304,19.8430660365861,0.019,0.019,0.011,0.005,1,0.011,0.031,0.035,0.017,0.019,0.025,0.011,7,-0.21110011088064,2.1148764754593
"30","noroBE",6,3,"geom",208,6.95079219681042,16.7030287013998,0.01,0.021,0.011,0.009,0.011,1,0.013,0.01,0.01,0.021,0.028,0.029,15,1.96949791714707,2.1148764754593
"31","noroBE",7,3,"geom",208,14.8721200715672,61.6901237313182,0.012,0.029,0.032,0.011,0.031,0.013,1,0.044,0.017,0.01,0.014,0.015,15,0.016281505636145,2.1148764754593
"32","noroBE",8,3,"geom",208,11.1513154648483,39.5058766623586,0.03,0.016,0.015,0.006,0.035,0.01,0.044,1,0.047,0.023,0.018,0.01,19,1.24872274393097,2.1148764754593
"33","noroBE",9,3,"geom",208,7.90958866936619,21.7699265319166,0.031,0.011,0.008,0.004,0.017,0.01,0.017,0.047,1,0.064,0.023,0.007,1,-1.48089311061957,2.1148764754593
"34","noroBE",10,3,"geom",208,19.1926366422761,109.597428558732,0.042,0.018,0.009,0.004,0.019,0.021,0.01,0.023,0.064,1,0.054,0.011,19,-0.0184008852676861,2.1148764754593
"35","noroBE",11,3,"geom",208,10.8120860967833,34.1348157685844,0.025,0.023,0.011,0.005,0.025,0.028,0.014,0.018,0.023,0.054,1,0.013,10,-0.138996317254103,2.1148764754593
"36","noroBE",12,3,"geom",208,8.12958081165965,22.211989926286,0.006,0.023,0.027,0.025,0.011,0.029,0.015,0.01,0.007,0.011,0.013,1,15,1.45777165584116,2.1148764754593
"37","noroBE",1,4,"geom",208,8.88991473475678,24.0024321907434,1,0.016,0.01,0.005,0.028,0.016,0.018,0.042,0.045,0.06,0.037,0.01,6,-0.589871486616574,2.03460072268188
"38","noroBE",2,4,"geom",208,5.56231521630567,11.40299702188,0.016,1,0.028,0.013,0.027,0.029,0.041,0.024,0.017,0.027,0.033,0.033,2,-1.05492805088555,2.03460072268188
"39","noroBE",3,4,"geom",208,8.31666912480403,22.2483865285032,0.01,0.028,1,0.028,0.018,0.017,0.045,0.023,0.013,0.014,0.017,0.039,4,-0.915165206662433,2.03460072268188
