"","data_set","unit","prediction_horizon","lag_structure","prediction_time","pred_mean","pred_var","cor1","cor2","cor3","cor4","cor5","cor6","cor7","cor8","cor9","cor10","cor11","cor12","obs","unit_wise_dss","multiv_dss"
"1","noroBE",1,1,"pois",208,5.25375289502194,9.86723960219246,1,0,0,0,0,0,0,0,0,0,0,0,9,1.1926103754028,1.38353691084049
"2","noroBE",2,1,"pois",208,2.68471118143263,3.88942844030108,0,1,0,0,0,0,0,0,0,0,0,0,3,0.159869521981007,1.38353691084049
"3","noroBE",3,1,"pois",208,3.89836326337276,6.43848540713024,0,0,1,0,0,0,0,0,0,0,0,0,4,0.0400551953681618,1.38353691084049
"4","noroBE",4,1,"pois",208,2.59503639000156,3.7206177529836,0,0,0,1,0,0,0,0,0,0,0,0,2,-0.308486383552405,1.38353691084049
"5","noroBE",5,1,"pois",208,4.19777156560624,7.14305837137504,0,0,0,0,1,0,0,0,0,0,0,0,5,0.300162166689572,1.38353691084049
"6","noroBE",6,1,"pois",208,4.35715226169227,7.53033777130263,0,0,0,0,0,1,0,0,0,0,0,0,4,-0.130150600510339,1.38353691084049
"7","noroBE",7,1,"pois",208,9.71623767474371,25.4954837347045,0,0,0,0,0,0,1,0,0,0,0,0,7,-0.53794285117744,1.38353691084049
"8","noroBE",8,1,"pois",208,10.7481029537956,30.0568291676998,0,0,0,0,0,0,0,1,0,0,0,0,5,-1.04846263241475,1.38353691084049
"9","noroBE",9,1,"pois",208,6.08364861373879,12.2697670742631,0,0,0,0,0,0,0,0,1,0,0,0,3,-0.880332478082276,1.38353691084049
"10","noroBE",10,1,"pois",208,16.5475537492961,62.3150958610536,0,0,0,0,0,0,0,0,0,1,0,0,16,-0.06936336014518,1.38353691084049
"11","noroBE",11,1,"pois",208,6.19527498700809,12.6104892335954,0,0,0,0,0,0,0,0,0,0,1,0,7,0.226611284609917,1.38353691084049
"12","noroBE",12,1,"pois",208,4.82151209992483,8.70709796812045,0,0,0,0,0,0,0,0,0,0,0,1,7,0.738275466339949,1.38353691084049
"13","noroBE",1,2,"pois",208,8.19750742079358,19.9549749450595,1,0.004,0.002,0.001,0.008,0.004,0.005,0.015,0.015,0.021,0.011,0.003,7,-0.268072719388608,1.60415896337264
"14","noroBE",2,2,"pois",208,4.41426260472076,7.83498449548115,0.004,1,0.009,0.003,0.008,0.01,0.014,0.008,0.005,0.009,0.011,0.011,4,-0.147998277501277,1.60415896337264
"15","noroBE",3,2,"pois",208,6.56929492424984,14.3133849425796,0.002,0.009,1,0.008,0.005,0.005,0.015,0.008,0.004,0.004,0.005,0.012,9,0.642482188464863,1.60415896337264
"16","noroBE",4,2,"pois",208,5.97468626232442,12.2540381398451,0.001,0.003,0.008,1,0.002,0.004,0.005,0.003,0.002,0.002,0.002,0.01,7,0.292898510042527,1.60415896337264
"17","noroBE",5,2,"pois",208,6.9947618141497,15.6571215120278,0.008,0.008,0.005,0.002,1,0.005,0.015,0.019,0.008,0.009,0.011,0.005,8,0.25404638340344,1.60415896337264
"18","noroBE",6,2,"pois",208,6.15207309448214,13.1647286677502,0.004,0.01,0.005,0.004,0.005,1,0.006,0.004,0.005,0.011,0.013,0.014,4,-0.593131599068889,1.60415896337264
"19","noroBE",7,2,"pois",208,13.0974010250378,45.5952050507594,0.005,0.014,0.015,0.005,0.015,0.006,1,0.023,0.008,0.005,0.006,0.007,13,-0.0144246053792783,1.60415896337264
"20","noroBE",8,2,"pois",208,10.8007636638525,34.5969196422336,0.015,0.008,0.008,0.003,0.019,0.004,0.023,1,0.026,0.011,0.009,0.004,13,0.373898037763222,1.60415896337264
"21","noroBE",9,2,"pois",208,7.23057885699803,17.6364067182009,0.015,0.005,0.004,0.002,0.008,0.005,0.008,0.026,1,0.035,0.011,0.003,4,-0.769263795951276,1.60415896337264
"22","noroBE",10,2,"pois",208,18.0762003507782,86.7957377699496,0.021,0.009,0.004,0.002,0.009,0.011,0.005,0.011,0.035,1,0.03,0.005,13,-0.544865807759138,1.60415896337264
"23","noroBE",11,2,"pois",208,9.25916364424375,25.0028343985455,0.011,0.011,0.005,0.002,0.011,0.013,0.006,0.009,0.011,0.03,1,0.006,8,-0.251818454176134,1.60415896337264
"24","noroBE",12,2,"pois",208,6.8438626832544,15.8280283524613,0.003,0.011,0.012,0.01,0.005,0.014,0.007,0.004,0.003,0.005,0.006,1,5,-0.463463103231434,1.60415896337264
"25","noroBE",1,3,"pois",208,8.53348087679442,22.0269491155043,1,0.011,0.006,0.003,0.02,0.011,0.013,0.032,0.033,0.045,0.026,0.007,6,-0.539809416577327,2.12441106314193
"26","noroBE",2,3,"pois",208,5.04403592209821,9.72163257056037,0.011,1,0.02,0.009,0.019,0.021,0.03,0.017,0.012,0.02,0.023,0.024,3,-0.655569775281544,2.12441106314193
"27","noroBE",3,3,"pois",208,7.51822672206069,18.4415726936334,0.006,0.02,1,0.02,0.012,0.012,0.033,0.017,0.009,0.01,0.011,0.028,4,-0.819265837200168,2.12441106314193
"28","noroBE",4,3,"pois",208,6.7956309401469,15.6926921792754,0.003,0.009,0.02,1,0.005,0.009,0.011,0.007,0.004,0.005,0.006,0.025,8,0.304026095494419,2.12441106314193
"29","noroBE",5,3,"pois",208,7.84630510103779,19.4450544518369,0.02,0.019,0.012,0.005,1,0.012,0.032,0.037,0.018,0.021,0.025,0.012,7,-0.191920946481258,2.12441106314193
"30","noroBE",6,3,"pois",208,6.7898210682653,16.0931992413784,0.011,0.021,0.012,0.009,0.012,1,0.014,0.011,0.011,0.023,0.029,0.03,15,2.04659273505226,2.12441106314193
"31","noroBE",7,3,"pois",208,14.4407722204358,58.53824916656,0.013,0.03,0.033,0.011,0.032,0.014,1,0.046,0.019,0.011,0.015,0.016,15,0.0730918362105619,2.12441106314193
"32","noroBE",8,3,"pois",208,10.9091812468457,38.5283264160166,0.032,0.017,0.017,0.007,0.037,0.011,0.046,1,0.051,0.026,0.02,0.011,19,1.30347408175832,2.12441106314193
"33","noroBE",9,3,"pois",208,7.83098373662984,21.5771022968718,0.033,0.012,0.009,0.004,0.018,0.011,0.019,0.051,1,0.069,0.025,0.007,1,-1.47057334909923,2.12441106314193
"34","noroBE",10,3,"pois",208,18.8204811622222,107.527238393608,0.045,0.02,0.01,0.005,0.021,0.023,0.011,0.026,0.069,1,0.058,0.012,19,0.0173121410527968,2.12441106314193
"35","noroBE",11,3,"pois",208,10.6403360443852,33.2181784182946,0.026,0.023,0.011,0.006,0.025,0.029,0.015,0.02,0.025,0.058,1,0.014,10,-0.111101530619878,2.12441106314193
"36","noroBE",12,3,"pois",208,7.91876987901584,21.2344533439084,0.007,0.024,0.028,0.025,0.012,0.03,0.016,0.011,0.007,0.012,0.014,1,15,1.53669672422208,2.12441106314193
"37","noroBE",1,4,"pois",208,8.84847108946178,23.7800179186497,1,0.016,0.01,0.005,0.029,0.017,0.019,0.044,0.047,0.062,0.038,0.011,6,-0.584124910084519,2.03138926521681
"38","noroBE",2,4,"pois",208,5.54762555028177,11.3429524617739,0.016,1,0.029,0.013,0.028,0.03,0.042,0.026,0.018,0.029,0.034,0.033,2,-1.05335489570693,2.03138926521681
"39","noroBE",3,4,"pois",208,8.29538176257275,22.0844954884925,0.01,0.029,1,0.029,0.018,0.018,0.045,0.025,0.014,0.015,0.017,0.039,4,-0.914024901363517,2.03138926521681
"40","noroBE",4,4,"pois",208,7.40880991594948,18.4576809307533,0.005,0.013,0.029,1,0.008,0.014,0.017,0.011,0.007,0.008,0.009,0.036,5,-0.56067857794024,2.03138926521681
"41","noroBE",5,4,"pois",208,8.50698318927958,22.5800478997539,0.029,0.028,0.018,0.008,1,0.019,0.044,0.05,0.028,0.031,0.036,0.018,4,-0.948469803434961,2.03138926521681
"42","noroBE",6,4,"pois",208,7.38642221924357,18.8165403642867,0.017,0.03,0.018,0.014,0.019,1,0.021,0.017,0.018,0.033,0.041,0.041,6,-0.319613872901471,2.03138926521681
"43","noroBE",7,4,"pois",208,15.6666942208651,70.6492492754542,0.019,0.042,0.045,0.017,0.044,0.021,1,0.063,0.028,0.017,0.023,0.024,16,0.0396541886357878,2.03138926521681
"44","noroBE",8,4,"pois",208,11.2652449462299,42.3744393575329,0.044,0.026,0.025,0.011,0.05,0.017,0.063,1,0.068,0.039,0.03,0.017,9,-0.347987134249857,2.03138926521681
"45","noroBE",9,4,"pois",208,8.37388573899169,25.1001655559451,0.047,0.018,0.014,0.007,0.028,0.018,0.028,0.068,1,0.095,0.037,0.012,9,0.12497274318832,2.03138926521681
"46","noroBE",10,4,"pois",208,19.6793314968046,126.594413340985,0.062,0.029,0.015,0.008,0.031,0.033,0.017,0.039,0.095,1,0.078,0.018,28,0.739521746962105,2.03138926521681
"47","noroBE",11,4,"pois",208,11.7650398741862,40.6535006280853,0.038,0.034,0.017,0.009,0.036,0.041,0.023,0.03,0.037,0.078,1,0.021,24,1.91890548493494,2.03138926521681
"48","noroBE",12,4,"pois",208,8.90862696871554,26.5948206200165,0.011,0.033,0.039,0.036,0.018,0.041,0.024,0.017,0.012,0.018,0.021,1,9,0.0177181959400125,2.03138926521681
"49","noroBE",1,1,"pois",209,8.68404530564714,21.1845116283014,1,0,0,0,0,0,0,0,0,0,0,0,7,-0.365884947350347,1.58160198254864
"50","noroBE",2,1,"pois",209,4.43646648128896,7.69901112104377,0,1,0,0,0,0,0,0,0,0,0,0,4,-0.157301702807512,1.58160198254864
"51","noroBE",3,1,"pois",209,6.52840743618364,13.5931534800896,0,0,1,0,0,0,0,0,0,0,0,0,9,0.670373394136465,1.58160198254864
"52","noroBE",4,1,"pois",209,5.85667709083928,11.542385888282,0,0,0,1,0,0,0,0,0,0,0,0,7,0.336527927445044,1.58160198254864
"53","noroBE",5,1,"pois",209,7.01458997464949,15.1707668191854,0,0,0,0,1,0,0,0,0,0,0,0,8,0.252995740775749,1.58160198254864
"54","noroBE",6,1,"pois",209,6.117175486664,12.3199205582471,0,0,0,0,0,1,0,0,0,0,0,0,4,-0.603188292056876,1.58160198254864
"55","noroBE",7,1,"pois",209,11.9379329858059,35.5612200034597,0,0,0,0,0,0,1,0,0,0,0,0,13,0.178099866818683,1.58160198254864
"56","noroBE",8,1,"pois",209,8.70665950928247,21.2723157650487,0,0,0,0,0,0,0,1,0,0,0,0,13,0.93086766943808,1.58160198254864
"57","noroBE",9,1,"pois",209,6.10740870534104,12.2903627826452,0,0,0,0,0,0,0,0,1,0,0,0,4,-0.601127253964921,1.58160198254864
"58","noroBE",10,1,"pois",209,17.7273462645608,69.8191635814534,0,0,0,0,0,0,0,0,0,1,0,0,13,-0.565757204936262,1.58160198254864
"59","noroBE",11,1,"pois",209,9.49284694941563,24.4302469588972,0,0,0,0,0,0,0,0,0,0,1,0,8,-0.30203088584145,1.58160198254864
"60","noroBE",12,1,"pois",209,7.46349261454396,16.6969907985931,0,0,0,0,0,0,0,0,0,0,0,1,5,-0.602881782318752,1.58160198254864
"61","noroBE",1,2,"pois",209,8.77627949539057,22.6301534805893,1,0.006,0.003,0.002,0.013,0.006,0.007,0.018,0.02,0.025,0.017,0.004,6,-0.583605580286995,2.15656406706815
"62","noroBE",2,2,"pois",209,5.02580590579151,9.52159732677437,0.006,1,0.013,0.006,0.012,0.014,0.018,0.009,0.006,0.01,0.015,0.016,3,-0.656512391040288,2.15656406706815
"63","noroBE",3,2,"pois",209,7.43829696597034,17.6889296819697,0.003,0.013,1,0.015,0.007,0.007,0.02,0.009,0.004,0.005,0.007,0.019,4,-0.817509119975466,2.15656406706815
"64","noroBE",4,2,"pois",209,6.69407789316946,15.0506144489907,0.002,0.006,0.015,1,0.003,0.006,0.007,0.004,0.002,0.003,0.003,0.018,8,0.336620188184718,2.15656406706815
"65","noroBE",5,2,"pois",209,7.76830754276583,18.7352546519964,0.013,0.012,0.007,0.003,1,0.007,0.019,0.02,0.01,0.011,0.017,0.007,7,-0.177502836144493,2.15656406706815
