"","data_set","unit","prediction_horizon","lag_structure","prediction_time","pred_mean","pred_var","cor1","cor2","cor3","cor4","cor5","cor6","cor7","cor8","cor9","cor10","cor11","cor12","obs","unit_wise_dss","multiv_dss"
"1","noroBE",1,1,"unres",208,5.26858092232155,9.89309150330974,1,0,0,0,0,0,0,0,0,0,0,0,9,1.18633683352539,1.38165432809676
"2","noroBE",2,1,"unres",208,2.73356650702588,3.97847593752232,0,1,0,0,0,0,0,0,0,0,0,0,3,0.133576620201451,1.38165432809676
"3","noroBE",3,1,"unres",208,3.88416890033361,6.39764454222154,0,0,1,0,0,0,0,0,0,0,0,0,4,0.045794690274262,1.38165432809676
"4","noroBE",4,1,"unres",208,2.66411722286796,3.84657360012348,0,0,0,1,0,0,0,0,0,0,0,0,2,-0.338616190762062,1.38165432809676
"5","noroBE",5,1,"unres",208,4.12584700185308,6.96183707067894,0,0,0,0,1,0,0,0,0,0,0,0,5,0.331303118505067,1.38165432809676
"6","noroBE",6,1,"unres",208,4.2850791448266,7.34419667648229,0,0,0,0,0,1,0,0,0,0,0,0,4,-0.105194564014189,1.38165432809676
"7","noroBE",7,1,"unres",208,9.86178818530154,26.0645783738838,0,0,0,0,0,0,1,0,0,0,0,0,7,-0.560547131325088,1.38165432809676
"8","noroBE",8,1,"unres",208,10.6206869802215,29.4131492080335,0,0,0,0,0,0,0,1,0,0,0,0,5,-1.03637907740659,1.38165432809676
"9","noroBE",9,1,"unres",208,6.03749398644624,12.1103346987891,0,0,0,0,0,0,0,0,1,0,0,0,3,-0.872845452817732,1.38165432809676
"10","noroBE",10,1,"unres",208,16.2903607242256,60.5023310561061,0,0,0,0,0,0,0,0,0,1,0,0,16,-0.0373294694192846,1.38165432809676
"11","noroBE",11,1,"unres",208,6.14465711800886,12.4349921134543,0,0,0,0,0,0,0,0,0,0,1,0,7,0.242559053082267,1.38165432809676
"12","noroBE",12,1,"unres",208,4.79864771418755,8.63497988342444,0,0,0,0,0,0,0,0,0,0,0,1,7,0.749132922886506,1.38165432809676
"13","noroBE",1,2,"unres",208,8.32299476022904,20.3987119309466,1,0.004,0.002,0.001,0.008,0.004,0.005,0.015,0.014,0.02,0.011,0.002,7,-0.292925211176213,1.61852941193174
"14","noroBE",2,2,"unres",208,4.49828926477819,8.03794720875266,0.004,1,0.008,0.003,0.008,0.009,0.014,0.007,0.005,0.009,0.01,0.011,4,-0.175755512753098,1.61852941193174
"15","noroBE",3,2,"unres",208,6.74845144392617,14.8636176519854,0.002,0.008,1,0.007,0.005,0.005,0.015,0.007,0.004,0.004,0.004,0.012,9,0.584008347437701,1.61852941193174
"16","noroBE",4,2,"unres",208,6.0389044464336,12.4345816499969,0.001,0.003,0.007,1,0.002,0.003,0.005,0.003,0.002,0.002,0.002,0.01,7,0.272553007615309,1.61852941193174
