"","data_set","unit","prediction_horizon","lag_structure","prediction_time","pred_mean","pred_var","cor1","cor2","cor3","cor4","cor5","cor6","cor7","cor8","cor9","cor10","cor11","cor12","obs","unit_wise_dss","multiv_dss"
"1","noroBE",1,1,"ar1",208,6.4561273497292,14.1321030420178,1,0,0,0,0,0,0,0,0,0,0,0,9,0.676693443268605,1.33184412340052
"2","noroBE",2,1,"ar1",208,2.62691442793485,3.89772630627816,0,1,0,0,0,0,0,0,0,0,0,0,3,0.188974316953027,1.33184412340052
"3","noroBE",3,1,"ar1",208,3.90876898482347,6.72241476156923,0,0,1,0,0,0,0,0,0,0,0,0,4,0.0351868067181808,1.33184412340052
"4","noroBE",4,1,"ar1",208,3.99716739235789,6.93951572463287,0,0,0,1,0,0,0,0,0,0,0,0,2,-0.758140826957534,1.33184412340052
"5","noroBE",5,1,"ar1",208,4.62501275179386,8.56427852710259,0,0,0,0,1,0,0,0,0,0,0,0,5,0.128135983872254,1.33184412340052
"6","noroBE",6,1,"ar1",208,4.16247766718859,7.35323111164681,0,0,0,0,0,1,0,0,0,0,0,0,4,-0.0599176217387613,1.33184412340052
"7","noroBE",7,1,"ar1",208,8.58518623224704,22.1585927048803,0,0,0,0,0,0,1,0,0,0,0,0,7,-0.336751240563029,1.33184412340052
"8","noroBE",8,1,"ar1",208,7.64332674942108,18.4018897093701,0,0,0,0,0,0,0,1,0,0,0,0,5,-0.616197084496657,1.33184412340052
"9","noroBE",9,1,"ar1",208,5.31376603116812,10.5136573934774,0,0,0,0,0,0,0,0,1,0,0,0,3,-0.713579772002394,1.33184412340052
"10","noroBE",10,1,"ar1",208,11.2722813622651,34.6721303585218,0,0,0,0,0,0,0,0,0,1,0,0,16,0.802899816990155,1.33184412340052
"11","noroBE",11,1,"ar1",208,5.8953971182109,12.2959213117448,0,0,0,0,0,0,0,0,0,0,1,0,7,0.315010938306171,1.33184412340052
"12","noroBE",12,1,"ar1",208,4.86612374171392,9.22681873196484,0,0,0,0,0,0,0,0,0,0,0,1,7,0.702494999383366,1.33184412340052
"13","noroBE",1,2,"ar1",208,8.48568406364775,23.8397869729227,1,0.008,0.003,0.002,0.015,0.006,0.005,0.02,0.022,0.019,0.014,0.003,7,-0.304281311672897,1.70128906650857
"14","noroBE",2,2,"ar1",208,4.53537883488517,8.95967453945205,0.008,1,0.016,0.007,0.016,0.017,0.016,0.01,0.006,0.008,0.014,0.016,4,-0.178860763855114,1.70128906650857
"15","noroBE",3,2,"ar1",208,7.29728090653694,18.3193450628501,0.003,0.016,1,0.015,0.006,0.005,0.012,0.007,0.003,0.002,0.004,0.014,9,0.397821302044916,1.70128906650857
