"","data_set","unit","prediction_horizon","lag_structure","prediction_time","pred_mean","pred_var","cor1","cor2","cor3","cor4","cor5","cor6","cor7","cor8","cor9","cor10","cor11","cor12","obs","unit_wise_dss","multiv_dss"
"1","noroBE",1,1,"geom",208,6.85669074245852,15.0636133351021,1,0,0,0,0,0,0,0,0,0,0,0,9,0.552230335768827,1.36121819449866
"2","noroBE",2,1,"geom",208,3.34396793709278,5.29594820274685,0,1,0,0,0,0,0,0,0,0,0,0,3,-0.149467268316728,1.36121819449866
"3","noroBE",3,1,"geom",208,4.36687327294359,7.69570920800057,0,0,1,0,0,0,0,0,0,0,0,0,4,-0.132248802936682,1.36121819449866
"4","noroBE",4,1,"geom",208,3.71989481514055,6.13542535671496,0,0,0,1,0,0,0,0,0,0,0,0,2,-0.694351773042629,1.36121819449866
"5","noroBE",5,1,"geom",208,4.43561600347943,7.87008101844218,0,0,0,0,1,0,0,0,0,0,0,0,5,0.20118013208123,1.36121819449866
"6","noroBE",6,1,"geom",208,4.67776906508491,8.49746478784135,0,0,0,0,0,1,0,0,0,0,0,0,4,-0.232507547896832,1.36121819449866
"7","noroBE",7,1,"geom",208,8.69991717727118,21.9123091587166,0,0,0,0,0,0,1,0,0,0,0,0,7,-0.363148027036744,1.36121819449866
"8","noroBE",8,1,"geom",208,9.22078703570467,24.0626082803474,0,0,0,0,0,0,0,1,0,0,0,0,5,-0.860442967382929,1.36121819449866
"9","noroBE",9,1,"geom",208,5.34100448808228,10.3206347689347,0,0,0,0,0,0,0,0,1,0,0,0,3,-0.728700456594559,1.36121819449866
"10","noroBE",10,1,"geom",208,12.8982435397006,41.9392965192674,0,0,0,0,0,0,0,0,0,1,0,0,16,0.478957661522141,1.36121819449866
"11","noroBE",11,1,"geom",208,5.45184177253017,10.6402925292053,0,0,0,0,0,0,0,0,0,0,1,0,7,0.47461183221563,1.36121819449866
"12","noroBE",12,1,"geom",208,4.73556524375726,8.65023258102204,0,0,0,0,0,0,0,0,0,0,0,1,7,0.7699205646619,1.36121819449866
"13","noroBE",1,2,"geom",208,9.2738214829953,25.9125391805833,1,0.002,0.001,0,0.007,0.002,0.001,0.008,0.009,0.008,0.006,0.001,7,-0.446685010988786,1.68593148643874
"14","noroBE",2,2,"geom",208,4.65813068637808,9.01958055985654,0.002,1,0.007,0.002,0.007,0.008,0.007,0.003,0.001,0.003,0.006,0.007,4,-0.219138644011866,1.68593148643874
"15","noroBE",3,2,"geom",208,7.34946433046671,17.7498071754601,0.001,0.007,1,0.006,0.002,0.002,0.006,0.002,0.001,0.001,0.001,0.006,9,0.391767219718209,1.68593148643874
"16","noroBE",4,2,"geom",208,6.60007695841123,15.1679813686818,0,0.002,0.006,1,0.001,0.002,0.001,0.001,0,0,0,0.007,7,0.102686306591422,1.68593148643874
"17","noroBE",5,2,"geom",208,7.50300103683295,18.1487050304576,0.007,0.007,0.002,0.001,1,0.002,0.006,0.008,0.002,0.002,0.005,0.001,8,0.116662871457368,1.68593148643874
"18","noroBE",6,2,"geom",208,7.01921751715753,16.6616217880214,0.002,0.008,0.002,0.002,0.002,1,0.001,0.001,0.001,0.002,0.005,0.006,4,-0.739666188208168,1.68593148643874
"19","noroBE",7,2,"geom",208,14.7688068744795,55.1150260028753,0.001,0.007,0.006,0.001,0.006,0.001,1,0.006,0.002,0,0.001,0.001,13,-0.238256857390859,1.68593148643874
"20","noroBE",8,2,"geom",208,10.9459146730264,34.9687882618204,0.008,0.003,0.002,0.001,0.008,0.001,0.006,1,0.01,0.002,0.002,0.001,13,0.347358706263791,1.68593148643874
"21","noroBE",9,2,"geom",208,7.16380289125679,17.6862660223908,0.009,0.001,0.001,0,0.002,0.001,0.002,0.01,1,0.01,0.002,0,4,-0.752300485480435,1.68593148643874
"22","noroBE",10,2,"geom",208,17.6024044046306,77.1027955885252,0.008,0.003,0.001,0,0.002,0.002,0,0.002,0.01,1,0.007,0.001,13,-0.524142908348724,1.68593148643874
"23","noroBE",11,2,"geom",208,10.0703809259428,28.8762314764348,0.006,0.006,0.001,0,0.005,0.005,0.001,0.002,0.002,0.007,1,0.001,8,-0.385283136427014,1.68593148643874
"24","noroBE",12,2,"geom",208,7.97731967291971,20.2254029819441,0.001,0.007,0.006,0.007,0.001,0.006,0.001,0.001,0,0.001,0.001,1,5,-0.662028788598547,1.68593148643874
"25","noroBE",1,3,"geom",208,9.8951224476782,30.4973495362471,1,0.006,0.002,0.001,0.014,0.004,0.004,0.017,0.019,0.018,0.014,0.001,6,-0.705326280706761,2.10029708657468
"26","noroBE",2,3,"geom",208,5.46066763854679,11.9215020316871,0.006,1,0.016,0.005,0.015,0.016,0.018,0.007,0.003,0.006,0.015,0.016,3,-0.712668345309976,2.10029708657468
"27","noroBE",3,3,"geom",208,8.42771012143382,23.5058511352128,0.002,0.016,1,0.015,0.004,0.004,0.014,0.005,0.002,0.002,0.003,0.014,4,-0.913253172448633,2.10029708657468
"28","noroBE",4,3,"geom",208,7.62168000541885,20.5992261591136,0.001,0.005,0.015,1,0.002,0.004,0.003,0.002,0.001,0.001,0.001,0.015,8,0.0833554195778658,2.10029708657468
"29","noroBE",5,3,"geom",208,8.56876570472118,23.6195152861289,0.014,0.015,0.004,0.002,1,0.004,0.014,0.017,0.006,0.005,0.012,0.003,7,-0.32279187612965,2.10029708657468
"30","noroBE",6,3,"geom",208,7.71056435121223,20.5956166832151,0.004,0.016,0.004,0.004,0.004,1,0.003,0.002,0.002,0.005,0.013,0.015,15,1.60622546236896,2.10029708657468
"31","noroBE",7,3,"geom",208,16.0449581182247,67.6351509124266,0.004,0.018,0.014,0.003,0.014,0.003,1,0.015,0.004,0.001,0.003,0.003,15,-0.127061112236727,2.10029708657468
"32","noroBE",8,3,"geom",208,11.152242029424,38.7953775498294,0.017,0.007,0.005,0.002,0.017,0.002,0.015,1,0.02,0.005,0.004,0.002,19,1.25995666819088,2.10029708657468
"33","noroBE",9,3,"geom",208,7.86004481220967,22.0728925146773,0.019,0.003,0.002,0.001,0.006,0.002,0.004,0.02,1,0.022,0.006,0.001,1,-1.4601495146977,2.10029708657468
"34","noroBE",10,3,"geom",208,18.2505486870751,88.7560048165394,0.018,0.006,0.002,0.001,0.005,0.005,0.001,0.005,0.022,1,0.016,0.001,19,0.0795508001383552,2.10029708657468
"35","noroBE",11,3,"geom",208,11.4372804660543,37.7102689920163,0.014,0.015,0.003,0.001,0.012,0.013,0.003,0.004,0.006,0.016,1,0.003,10,-0.234051650476411,2.10029708657468
"36","noroBE",12,3,"geom",208,9.03471620749776,26.4615147601928,0.001,0.016,0.014,0.015,0.003,0.015,0.003,0.002,0.001,0.001,0.003,1,15,1.15964152662361,2.10029708657468
"37","noroBE",1,4,"geom",208,10.2774272674978,33.5345028264094,1,0.008,0.003,0.001,0.02,0.006,0.005,0.024,0.026,0.026,0.019,0.002,6,-0.738646590682164,2.11548891659456
"38","noroBE",2,4,"geom",208,6.08757136371288,14.443238862074,0.008,1,0.023,0.008,0.021,0.023,0.025,0.01,0.005,0.008,0.021,0.023,2,-1.07555605892687,2.11548891659456
"39","noroBE",3,4,"geom",208,9.18765524885629,28.0839220768288,0.003,0.023,1,0.022,0.007,0.006,0.02,0.007,0.003,0.002,0.005,0.021,4,-0.978908787685213,2.11548891659456
"40","noroBE",4,4,"geom",208,8.34817986340964,25.0702050452964,0.001,0.008,0.022,1,0.002,0.006,0.005,0.002,0.001,0.001,0.002,0.022,5,-0.668697711863544,2.11548891659456
"41","noroBE",5,4,"geom",208,9.29392825477971,27.7672721885251,0.02,0.021,0.007,0.002,1,0.006,0.019,0.023,0.008,0.007,0.017,0.005,4,-1.00464225970404,2.11548891659456
"42","noroBE",6,4,"geom",208,8.20182437510364,23.5716927243397,0.006,0.023,0.006,0.006,0.006,1,0.005,0.003,0.003,0.007,0.018,0.021,6,-0.453510440560847,2.11548891659456
"43","noroBE",7,4,"geom",208,16.7371609690798,75.3774257303284,0.005,0.025,0.02,0.005,0.019,0.005,1,0.021,0.006,0.002,0.004,0.005,16,-0.0849066452058967,2.11548891659456
