"","data_set","unit","prediction_horizon","lag_structure","prediction_time","pred_mean","pred_var","cor1","cor2","cor3","cor4","cor5","cor6","cor7","cor8","cor9","cor10","cor11","cor12","obs","unit_wise_dss","multiv_dss"
"1","noroBE",1,1,"lin",208,7.12057807622022,15.9867673490266,1,0,0,0,0,0,0,0,0,0,0,0,9,0.470049896344946,1.39074063526323
"2","noroBE",2,1,"lin",208,3.62204386477229,5.91615209918092,0,1,0,0,0,0,0,0,0,0,0,0,3,-0.255741580951757,1.39074063526323
"3","noroBE",3,1,"lin",208,4.67582217986228,8.49898211299164,0,0,1,0,0,0,0,0,0,0,0,0,4,-0.231818976049127,1.39074063526323
"4","noroBE",4,1,"lin",208,3.69263124131104,6.07702717257744,0,0,0,1,0,0,0,0,0,0,0,0,2,-0.686620496254464,1.39074063526323
"5","noroBE",5,1,"lin",208,4.54363097463938,8.15367581040816,0,0,0,0,1,0,0,0,0,0,0,0,5,0.159823059591804,1.39074063526323
"6","noroBE",6,1,"lin",208,4.74677552136506,8.68684500616159,0,0,0,0,0,1,0,0,0,0,0,0,4,-0.253372243748065,1.39074063526323
"7","noroBE",7,1,"lin",208,8.57051349556762,21.4151015079562,0,0,0,0,0,0,1,0,0,0,0,0,7,-0.339376373070521,1.39074063526323
"8","noroBE",8,1,"lin",208,9.78648073246771,26.5343508225325,0,0,0,0,0,0,0,1,0,0,0,0,5,-0.929206163010505,1.39074063526323
"9","noroBE",9,1,"lin",208,5.72086621028428,11.4439496190108,0,0,0,0,0,0,0,0,1,0,0,0,3,-0.804302129751754,1.39074063526323
"10","noroBE",10,1,"lin",208,13.2336552925371,43.8579523482971,0,0,0,0,0,0,0,0,0,1,0,0,16,0.417716970717983,1.39074063526323
"11","noroBE",11,1,"lin",208,5.6236850800185,11.153982369354,0,0,0,0,0,0,0,0,0,0,1,0,7,0.412100214940537,1.39074063526323
"12","noroBE",12,1,"lin",208,4.66618120954827,8.47359162497933,0,0,0,0,0,0,0,0,0,0,0,1,7,0.801739659455936,1.39074063526323
"13","noroBE",1,2,"lin",208,9.33664436207578,25.8993349844641,1,0.003,0.001,0,0.006,0.002,0.001,0.008,0.009,0.008,0.006,0.001,7,-0.459143363370482,1.67574687537343
"14","noroBE",2,2,"lin",208,4.36478299281523,8.19717604364151,0.003,1,0.008,0.003,0.007,0.008,0.007,0.003,0.002,0.003,0.006,0.007,4,-0.127409687658673,1.67574687537343
"15","noroBE",3,2,"lin",208,7.21610898342171,17.171903118416,0.001,0.008,1,0.007,0.002,0.002,0.005,0.002,0.001,0.001,0.001,0.006,9,0.430486070876213,1.67574687537343
"16","noroBE",4,2,"lin",208,6.26963089130651,13.9237149167489,0,0.003,0.007,1,0.001,0.002,0.001,0.001,0,0,0.001,0.006,7,0.195733352577514,1.67574687537343
"17","noroBE",5,2,"lin",208,7.55739986531953,18.1879008974613,0.006,0.007,0.002,0.001,1,0.002,0.005,0.008,0.003,0.002,0.005,0.001,8,0.103781573772404,1.67574687537343
"18","noroBE",6,2,"lin",208,6.93639439812113,16.170261270741,0.002,0.008,0.002,0.002,0.002,1,0.001,0.001,0.001,0.002,0.005,0.006,4,-0.73022360604942,1.67574687537343
"19","noroBE",7,2,"lin",208,14.6636870824753,53.9099967494,0.001,0.007,0.005,0.001,0.005,0.001,1,0.006,0.002,0,0.001,0.001,13,-0.226588044700648,1.67574687537343
"20","noroBE",8,2,"lin",208,11.1352689401805,35.5648504917459,0.008,0.003,0.002,0.001,0.008,0.001,0.006,1,0.011,0.002,0.002,0.001,13,0.312684037441048,1.67574687537343
"21","noroBE",9,2,"lin",208,7.24175083083393,17.8443664067303,0.009,0.002,0.001,0,0.003,0.001,0.002,0.011,1,0.01,0.003,0,4,-0.76741284595023,1.67574687537343
"22","noroBE",10,2,"lin",208,17.8023763326368,77.6435201916078,0.008,0.003,0.001,0,0.002,0.002,0,0.002,0.01,1,0.007,0.001,13,-0.545008883805551,1.67574687537343
"23","noroBE",11,2,"lin",208,10.1423782703106,29.0058863622079,0.006,0.006,0.001,0.001,0.005,0.005,0.001,0.002,0.003,0.007,1,0.001,8,-0.397789288218414,1.67574687537343
"24","noroBE",12,2,"lin",208,7.8232445245915,19.4258081496097,0.001,0.007,0.006,0.006,0.001,0.006,0.001,0.001,0,0.001,0.001,1,5,-0.640558718850865,1.67574687537343
"25","noroBE",1,3,"lin",208,9.67097500269308,29.0712148171289,1,0.007,0.002,0.001,0.015,0.005,0.004,0.019,0.021,0.019,0.014,0.002,6,-0.680847484241375,2.09559926065416
"26","noroBE",2,3,"lin",208,5.11719658411212,10.7733586481917,0.007,1,0.018,0.006,0.016,0.018,0.018,0.008,0.004,0.007,0.015,0.017,3,-0.645038483403632,2.09559926065416
"27","noroBE",3,3,"lin",208,8.14411075696285,22.0646123955841,0.002,0.018,1,0.016,0.005,0.005,0.014,0.006,0.002,0.002,0.004,0.015,4,-0.882232805159424,2.09559926065416
"28","noroBE",4,3,"lin",208,7.26300470587873,18.8497231997685,0.001,0.006,0.016,1,0.002,0.005,0.004,0.002,0.001,0.001,0.002,0.016,8,0.169750954988483,2.09559926065416
"29","noroBE",5,3,"lin",208,8.48330555154268,22.9259439139358,0.015,0.016,0.005,0.002,1,0.005,0.013,0.018,0.007,0.005,0.012,0.004,7,-0.309789725154553,2.09559926065416
"30","noroBE",6,3,"lin",208,7.49042893449092,19.3985663864194,0.005,0.018,0.005,0.005,0.005,1,0.004,0.002,0.003,0.005,0.013,0.015,15,1.70502328267005,2.09559926065416
"31","noroBE",7,3,"lin",208,15.8000556973341,64.650325045898,0.004,0.018,0.014,0.004,0.013,0.004,1,0.015,0.005,0.001,0.003,0.004,15,-0.0995027000940573,2.09559926065416
"32","noroBE",8,3,"lin",208,10.8892384907772,37.2796427422662,0.019,0.008,0.006,0.002,0.018,0.002,0.015,1,0.023,0.005,0.005,0.002,19,1.32839049854839,2.09559926065416
"33","noroBE",9,3,"lin",208,7.74143791401391,21.5337276486929,0.021,0.004,0.002,0.001,0.007,0.003,0.005,0.023,1,0.024,0.007,0.001,1,-1.4527568477707,2.09559926065416
"34","noroBE",10,3,"lin",208,17.9774542504168,85.4012382331555,0.019,0.007,0.002,0.001,0.005,0.005,0.001,0.005,0.024,1,0.016,0.002,19,0.110649807838104,2.09559926065416
"35","noroBE",11,3,"lin",208,11.3785158170089,36.848807156355,0.014,0.015,0.004,0.002,0.012,0.013,0.003,0.005,0.007,0.016,1,0.004,10,-0.227091059573143,2.09559926065416
"36","noroBE",12,3,"lin",208,8.83774446879584,25.1932901424701,0.002,0.017,0.015,0.016,0.004,0.015,0.004,0.002,0.001,0.002,0.004,1,15,1.22771414385688,2.09559926065416
"37","noroBE",1,4,"lin",208,10.1656679107558,32.4375892681195,1,0.01,0.004,0.002,0.02,0.007,0.006,0.026,0.029,0.027,0.02,0.003,6,-0.731409100349282,2.09659911836761
"38","noroBE",2,4,"lin",208,5.92779050796111,13.6783282285055,0.01,1,0.025,0.01,0.022,0.024,0.025,0.012,0.007,0.01,0.022,0.024,2,-1.06201782437779,2.09659911836761
"39","noroBE",3,4,"lin",208,9.14823587562105,27.4309405001628,0.004,0.025,1,0.023,0.008,0.007,0.02,0.008,0.004,0.003,0.005,0.022,4,-0.982965075202761,2.09659911836761
"40","noroBE",4,4,"lin",208,8.17191800133388,23.8039406678067,0.002,0.01,0.023,1,0.003,0.007,0.006,0.003,0.002,0.001,0.002,0.024,5,-0.650125980990827,2.09659911836761
"41","noroBE",5,4,"lin",208,9.37230965339597,27.6326192128778,0.02,0.022,0.008,0.003,1,0.007,0.019,0.025,0.01,0.008,0.017,0.006,4,-1.02199791728301,2.09659911836761
"42","noroBE",6,4,"lin",208,8.16153907474333,22.9049691750762,0.007,0.024,0.007,0.007,0.007,1,0.006,0.004,0.004,0.008,0.018,0.021,6,-0.451646069384361,2.09659911836761
"43","noroBE",7,4,"lin",208,16.9019447479155,74.8331338399461,0.006,0.025,0.02,0.006,0.019,0.006,1,0.022,0.007,0.002,0.005,0.006,16,-0.104263660364547,2.09659911836761
"44","noroBE",8,4,"lin",208,11.1069730684469,39.9405769714448,0.026,0.012,0.008,0.003,0.025,0.004,0.022,1,0.032,0.008,0.007,0.003,9,-0.333389422900745,2.09659911836761
"45","noroBE",9,4,"lin",208,8.29059218612189,25.1188399385846,0.029,0.007,0.004,0.002,0.01,0.004,0.007,0.032,1,0.034,0.01,0.002,9,0.141545536378739,2.09659911836761
"46","noroBE",10,4,"lin",208,18.6287705550813,94.47895754682,0.027,0.01,0.003,0.001,0.008,0.008,0.002,0.008,0.034,1,0.022,0.003,28,0.964115410879794,2.09659911836761
"47","noroBE",11,4,"lin",208,12.5273525685667,44.5048698475399,0.02,0.022,0.005,0.002,0.017,0.018,0.005,0.007,0.01,0.022,1,0.006,24,1.71972846483171,2.09659911836761
"48","noroBE",12,4,"lin",208,9.82780704726531,31.0813634571279,0.003,0.024,0.022,0.024,0.006,0.021,0.006,0.003,0.002,0.003,0.006,1,9,-0.148483805083316,2.09659911836761
"49","noroBE",1,1,"lin",209,9.72217486265624,26.1053588365241,1,0,0,0,0,0,0,0,0,0,0,0,7,-0.532784014160419,1.65609097794151
"50","noroBE",2,1,"lin",209,4.2011430794802,7.26033270284335,0,1,0,0,0,0,0,0,0,0,0,0,4,-0.0746494880322653,1.65609097794151
"51","noroBE",3,1,"lin",209,6.96152709641022,15.3615503422631,0,0,1,0,0,0,0,0,0,0,0,0,9,0.520100676588422,1.65609097794151
"52","noroBE",4,1,"lin",209,5.74115639653323,11.4542351096624,0,0,0,1,0,0,0,0,0,0,0,0,7,0.371953569537909,1.65609097794151
"53","noroBE",5,1,"lin",209,7.58278442706747,17.5489677405048,0,0,0,0,1,0,0,0,0,0,0,0,8,0.0995943548429418,1.65609097794151
"54","noroBE",6,1,"lin",209,6.74486904401802,14.6301740404096,0,0,0,0,0,1,0,0,0,0,0,0,4,-0.717623881707151,1.65609097794151
"55","noroBE",7,1,"lin",209,14.099016370762,48.5537646798734,0,0,0,0,0,0,1,0,0,0,0,0,13,-0.15772215672661,1.65609097794151
"56","noroBE",8,1,"lin",209,9.58725765045761,25.518889051264,0,0,0,0,0,0,0,1,0,0,0,0,13,0.675573522195106,1.65609097794151
"57","noroBE",9,1,"lin",209,6.33743494364768,13.2988652635604,0,0,0,0,0,0,0,0,1,0,0,0,4,-0.640961935813787,1.65609097794151
"58","noroBE",10,1,"lin",209,18.5026256763297,77.8413461955356,0,0,0,0,0,0,0,0,0,1,0,0,13,-0.623684285083064,1.65609097794151
"59","noroBE",11,1,"lin",209,10.5144941902632,29.6768201259387,0,0,0,0,0,0,0,0,0,0,1,0,8,-0.461574655600994,1.65609097794151
"60","noroBE",12,1,"lin",209,8.4583584872913,20.8589850049878,0,0,0,0,0,0,0,0,0,0,0,1,5,-0.757222349124083,1.65609097794151
"61","noroBE",1,2,"lin",209,10.0001879469972,29.5157242592334,1,0.004,0.001,0.001,0.009,0.003,0.002,0.011,0.013,0.012,0.009,0.001,6,-0.736298091391713,2.1199881337628
"62","noroBE",2,2,"lin",209,5.00658796772276,9.99938374196799,0.004,1,0.011,0.004,0.011,0.011,0.012,0.005,0.002,0.005,0.011,0.012,3,-0.634558383235503,2.1199881337628
"63","noroBE",3,2,"lin",209,7.95153334509121,20.4542041601396,0.001,0.011,1,0.011,0.003,0.003,0.01,0.003,0.001,0.001,0.002,0.01,4,-0.873724186111099,2.1199881337628
"64","noroBE",4,2,"lin",209,6.8014153506251,16.2900683309554,0.001,0.004,0.011,1,0.001,0.003,0.003,0.001,0.001,0.001,0.001,0.011,8,0.296966361718729,2.1199881337628
"65","noroBE",5,2,"lin",209,8.5132476489375,22.4661059437032,0.009,0.011,0.003,0.001,1,0.003,0.009,0.011,0.004,0.003,0.008,0.002,7,-0.319261174180269,2.1199881337628
"66","noroBE",6,2,"lin",209,7.37071851602089,18.1931501368135,0.003,0.011,0.003,0.003,0.003,1,0.002,0.001,0.002,0.003,0.009,0.01,15,1.78866779192288,2.1199881337628
"67","noroBE",7,2,"lin",209,15.3411261480791,59.9333441211106,0.002,0.012,0.01,0.003,0.009,0.002,1,0.01,0.003,0.001,0.002,0.002,15,-0.044063679010834,2.1199881337628
"68","noroBE",8,2,"lin",209,9.53956208409701,27.969938073985,0.011,0.005,0.003,0.001,0.011,0.001,0.01,1,0.013,0.003,0.003,0.001,19,1.78881524553775,2.1199881337628
"69","noroBE",9,2,"lin",209,6.92832362452236,16.9172439172668,0.013,0.002,0.001,0.001,0.004,0.002,0.003,0.013,1,0.016,0.004,0.001,1,-1.44134218602363,2.1199881337628
"70","noroBE",10,2,"lin",209,18.6574274147834,86.9052266711639,0.012,0.005,0.001,0.001,0.003,0.003,0.001,0.003,0.016,1,0.011,0.001,19,0.036747657228797,2.1199881337628
"71","noroBE",11,2,"lin",209,11.7502123888005,38.0117618929929,0.009,0.011,0.002,0.001,0.008,0.009,0.002,0.003,0.004,0.011,1,0.002,10,-0.283878010933235,2.1199881337628
"72","noroBE",12,2,"lin",209,9.41035204184721,26.9530813708518,0.001,0.012,0.01,0.011,0.002,0.01,0.002,0.001,0.001,0.001,0.002,1,15,1.07666413202712,2.1199881337628
"73","noroBE",1,3,"lin",209,10.3596535855801,32.8945999527787,1,0.008,0.003,0.001,0.017,0.006,0.005,0.02,0.024,0.023,0.017,0.002,6,-0.76013315795975,2.06282919219777
"74","noroBE",2,3,"lin",209,5.85635877725423,13.1469478886488,0.008,1,0.021,0.008,0.019,0.02,0.022,0.009,0.005,0.008,0.019,0.021,2,-1.06356726283842,2.06282919219777
"75","noroBE",3,3,"lin",209,9.00505423743349,26.1833928564753,0.003,0.021,1,0.02,0.006,0.006,0.018,0.006,0.003,0.002,0.005,0.019,4,-0.978128306005268,2.06282919219777
