"","data_set","unit","prediction_horizon","lag_structure","prediction_time","pred_mean","pred_var","cor1","cor2","cor3","cor4","cor5","cor6","cor7","cor8","cor9","cor10","cor11","cor12","obs","unit_wise_dss","multiv_dss"
"1","noroBE",1,1,"pois",208,7.06104883044027,15.7695229394598,1,0,0,0,0,0,0,0,0,0,0,0,9,0.48826724879588,1.37932636862024
"2","noroBE",2,1,"pois",208,3.4524611006707,5.53436761127569,0,1,0,0,0,0,0,0,0,0,0,0,3,-0.192330095000449,1.37932636862024
"3","noroBE",3,1,"pois",208,4.57655228651511,8.23486218584987,0,0,1,0,0,0,0,0,0,0,0,0,4,-0.2009141531175,1.37932636862024
"4","noroBE",4,1,"pois",208,3.67502606640561,6.03400728346311,0,0,0,1,0,0,0,0,0,0,0,0,2,-0.681896803765835,1.37932636862024
"5","noroBE",5,1,"pois",208,4.56164402263354,8.19615862166735,0,0,0,0,1,0,0,0,0,0,0,0,5,0.153116416180759,1.37932636862024
"6","noroBE",6,1,"pois",208,4.73879471413401,8.66108223316288,0,0,0,0,0,1,0,0,0,0,0,0,4,-0.251036978167764,1.37932636862024
"7","noroBE",7,1,"pois",208,8.57547042076475,21.4200395903679,0,0,0,0,0,0,1,0,0,0,0,0,7,-0.340408283108899,1.37932636862024
"8","noroBE",8,1,"pois",208,9.64410813369316,25.8894097010376,0,0,0,0,0,0,0,1,0,0,0,0,5,-0.912727738295308,1.37932636862024
"9","noroBE",9,1,"pois",208,5.63368600554092,11.1772480293819,0,0,0,0,0,0,0,0,1,0,0,0,3,-0.787764765119968,1.37932636862024
"10","noroBE",10,1,"pois",208,13.1618449125728,43.4196327665449,0,0,0,0,0,0,0,0,0,1,0,0,16,0.430718028421379,1.37932636862024
"11","noroBE",11,1,"pois",208,5.63229207996619,11.1731111902334,0,0,0,0,0,0,0,0,0,0,1,0,7,0.409172371731834,1.37932636862024
"12","noroBE",12,1,"pois",208,4.71121736104209,8.58798631336857,0,0,0,0,0,0,0,0,0,0,0,1,7,0.781014107713267,1.37932636862024
"13","noroBE",1,2,"pois",208,9.23413287219111,25.5932367203147,1,0.003,0.001,0,0.007,0.002,0.002,0.009,0.01,0.009,0.006,0.001,7,-0.441617618941714,1.67075761156303
"14","noroBE",2,2,"pois",208,4.39012690794065,8.28449855284541,0.003,1,0.008,0.003,0.007,0.008,0.008,0.004,0.002,0.003,0.007,0.008,4,-0.135541657567632,1.67075761156303
"15","noroBE",3,2,"pois",208,7.1633921670214,17.0496480942827,0.001,0.008,1,0.007,0.002,0.002,0.006,0.003,0.001,0.001,0.001,0.007,9,0.444793797407722,1.67075761156303
"16","noroBE",4,2,"pois",208,6.34684298422329,14.2474634421708,0,0.003,0.007,1,0.001,0.002,0.002,0.001,0,0,0.001,0.007,7,0.173040922006656,1.67075761156303
"17","noroBE",5,2,"pois",208,7.5036232866274,18.0662798326514,0.007,0.007,0.002,0.001,1,0.002,0.005,0.009,0.003,0.002,0.005,0.002,8,0.116782302261556,1.67075761156303
"18","noroBE",6,2,"pois",208,6.86799815397583,16.027256242888,0.002,0.008,0.002,0.002,0.002,1,0.001,0.001,0.001,0.002,0.006,0.007,4,-0.716389607853885,1.67075761156303
"19","noroBE",7,2,"pois",208,14.5871552516744,53.6153412803321,0.002,0.008,0.006,0.002,0.005,0.001,1,0.007,0.002,0.001,0.001,0.001,13,-0.216757869187129,1.67075761156303
"20","noroBE",8,2,"pois",208,10.8851496506068,34.5802684627369,0.009,0.004,0.003,0.001,0.009,0.001,0.007,1,0.011,0.002,0.002,0.001,13,0.359637906612396,1.67075761156303
"21","noroBE",9,2,"pois",208,7.17941056004174,17.7410555271757,0.01,0.002,0.001,0,0.003,0.001,0.002,0.011,1,0.011,0.003,0,4,-0.754843439344801,1.67075761156303
"22","noroBE",10,2,"pois",208,17.4958069732454,75.8776996088608,0.009,0.003,0.001,0,0.002,0.002,0.001,0.002,0.011,1,0.007,0.001,13,-0.516119869346108,1.67075761156303
"23","noroBE",11,2,"pois",208,10.0886393563384,28.8545470226706,0.006,0.007,0.001,0.001,0.005,0.006,0.001,0.002,0.003,0.007,1,0.001,8,-0.388826921392702,1.67075761156303
"24","noroBE",12,2,"pois",208,7.82562138505483,19.5416269976271,0.001,0.008,0.007,0.007,0.002,0.007,0.001,0.001,0,0.001,0.001,1,5,-0.639195353154573,1.67075761156303
"25","noroBE",1,3,"pois",208,9.72435768375962,29.4945016015671,1,0.007,0.002,0.001,0.015,0.005,0.004,0.019,0.021,0.02,0.014,0.002,6,-0.685773742752275,2.10013165457467
"26","noroBE",2,3,"pois",208,5.24307720052429,11.1869063999783,0.007,1,0.018,0.006,0.017,0.018,0.019,0.008,0.004,0.007,0.016,0.018,3,-0.670639638213452,2.10013165457467
"27","noroBE",3,3,"pois",208,8.26525894327284,22.6803400951677,0.002,0.018,1,0.017,0.005,0.005,0.015,0.006,0.002,0.002,0.004,0.016,4,-0.895613478739512,2.10013165457467
"28","noroBE",4,3,"pois",208,7.39604732020902,19.54604060856,0.001,0.006,0.017,1,0.002,0.005,0.004,0.002,0.001,0.001,0.002,0.017,8,0.13660717623184,2.10013165457467
"29","noroBE",5,3,"pois",208,8.56363042953489,23.394983289194,0.015,0.017,0.005,0.002,1,0.005,0.014,0.019,0.007,0.005,0.012,0.004,7,-0.32327546413757,2.10013165457467
