"","data_set","unit","prediction_horizon","lag_structure","prediction_time","pred_mean","pred_var","cor1","cor2","cor3","cor4","cor5","cor6","cor7","cor8","cor9","cor10","cor11","cor12","obs","unit_wise_dss","multiv_dss"
"1","noroBE",1,1,"unres",208,7.00317121899496,15.5401720481658,1,0,0,0,0,0,0,0,0,0,0,0,9,0.506539032319105,1.37547563666043
"2","noroBE",2,1,"unres",208,3.52936967501631,5.69762356579849,0,1,0,0,0,0,0,0,0,0,0,0,3,-0.221774793114081,1.37547563666043
"3","noroBE",3,1,"unres",208,4.48659149337557,7.99046881260733,0,0,1,0,0,0,0,0,0,0,0,0,4,-0.172138645732959,1.37547563666043
"4","noroBE",4,1,"unres",208,3.73408226999544,6.16115951778525,0,0,0,1,0,0,0,0,0,0,0,0,2,-0.698615909003393,1.37547563666043
"5","noroBE",5,1,"unres",208,4.40392071840476,7.77986149022912,0,0,0,0,1,0,0,0,0,0,0,0,5,0.213706678516702,1.37547563666043
"6","noroBE",6,1,"unres",208,4.60565425191384,8.29796716489517,0,0,0,0,0,1,0,0,0,0,0,0,4,-0.210251408793879,1.37547563666043
"7","noroBE",7,1,"unres",208,8.56406732876714,21.33068876573,0,0,0,0,0,0,1,0,0,0,0,0,7,-0.338651500951303,1.37547563666043
"8","noroBE",8,1,"unres",208,9.45363498919301,25.0101923446491,0,0,0,0,0,0,0,1,0,0,0,0,5,-0.890545481408052,1.37547563666043
"9","noroBE",9,1,"unres",208,5.56359305328335,10.9515801511919,0,0,0,0,0,0,0,0,1,0,0,0,3,-0.774659217991161,1.37547563666043
"10","noroBE",10,1,"unres",208,12.8816861195059,41.7659470898283,0,0,0,0,0,0,0,0,0,1,0,0,16,0.482512602451772,1.37547563666043
"11","noroBE",11,1,"unres",208,5.46598799984929,10.6665847769116,0,0,0,0,0,0,0,0,0,0,1,0,7,0.469695135426314,1.37547563666043
"12","noroBE",12,1,"unres",208,4.58460745812782,8.2432514143761,0,0,0,0,0,0,0,0,0,0,0,1,7,0.841275900408208,1.37547563666043
"13","noroBE",1,2,"unres",208,9.34889416789098,26.0530232221357,1,0.003,0.001,0,0.007,0.002,0.002,0.009,0.01,0.008,0.006,0.001,7,-0.460187042745956,1.68080352143901
"14","noroBE",2,2,"unres",208,4.48974928385142,8.55351894396778,0.003,1,0.008,0.003,0.007,0.008,0.008,0.003,0.002,0.003,0.007,0.008,4,-0.167456264417431,1.68080352143901
"15","noroBE",3,2,"unres",208,7.30728523282045,17.5189592223314,0.001,0.008,1,0.007,0.002,0.002,0.006,0.002,0.001,0.001,0.001,0.006,9,0.404417213141212,1.68080352143901
"16","noroBE",4,2,"unres",208,6.35368756190965,14.2797550982022,0,0.003,0.007,1,0.001,0.002,0.002,0.001,0,0,0.001,0.007,7,0.171033874566963,1.68080352143901
"17","noroBE",5,2,"unres",208,7.56723721952172,18.2515218316097,0.007,0.007,0.002,0.001,1,0.002,0.005,0.009,0.003,0.002,0.005,0.002,8,0.101297881154424,1.68080352143901
"18","noroBE",6,2,"unres",208,6.9789189643872,16.3667485629153,0.002,0.008,0.002,0.002,0.002,1,0.001,0.001,0.001,0.002,0.005,0.007,4,-0.736338458468538,1.68080352143901
"19","noroBE",7,2,"unres",208,14.6287740871759,53.808144394485,0.002,0.008,0.006,0.002,0.005,0.001,1,0.007,0.002,0.001,0.001,0.001,13,-0.222042875881478,1.68080352143901
