"","h1","h2","h3","h4"
"t=204",NA,NA,NA,2.63881659558604
"t=205",NA,NA,2.65212616592327,2.46039292548967
"t=206",NA,2.69551787765655,2.48864493493508,2.59037836619942
"t=207",2.79764529059152,2.51713567075692,2.59618054946003,3.05138193105579
"t=208",2.28843418783077,2.4884705417766,3.02585367496503,2.86247259021861
"t=209",2.51402714965175,3.02458514229811,2.86218337654012,2.96855309029599
"t=210",3.00218472360617,2.86955824796949,2.98374791838219,3.0505836620829
"t=211",2.90277909054586,2.95716341597885,3.06537253161303,3.04305857410007
"t=212",2.82647877837405,3.02835763212697,3.03976975078564,2.95143415092643
"t=213",3.05351705800652,3.01062016590892,2.94668520557147,2.68614798593741
"t=214",2.97217242936994,2.92445584035221,2.67193265865707,2.8160133707641
"t=215",2.75976804517645,2.73897029507356,2.82032408664194,2.9699811338428
"t=216",2.79119836788135,2.76413787361543,2.94721849477962,2.57969357466552
"t=217",2.78254221491465,2.94689420341621,2.56760958658193,2.55194830468002
"t=218",2.76226173534546,2.54258906305823,2.53227110273982,2.50067365328732
"t=219",2.46921005652022,2.47066568538948,2.48226359882215,2.67223518819465
"t=220",2.47696705121458,2.54535528113541,2.6426740459999,2.3078971716527
"t=221",2.4193992278055,2.61606245968522,2.30523107808457,2.44150032798513
"t=222",2.8724112196439,2.34775616740083,2.45978669140543,2.16569896802899
"t=223",2.11345338469319,2.29669871768323,2.09849492588239,2.26040086217531
"t=224",2.30229039636174,2.09096837302472,2.25432370478594,1.68179395948658
"t=225",1.95331113052785,2.22933767088878,1.72994268573982,1.64657711986527
"t=226",2.21473894388711,1.74122468315995,1.66313024150155,1.41330552102406
"t=227",1.79129326020174,1.6996666290046,1.43464794303974,1.53874440370595
"t=228",1.58761234294745,1.31693235848895,1.52194092063042,1.95286225040635
"t=229",1.21866296199689,1.51594138156314,1.95262289842278,1.72306300417842
"t=230",1.5480440787974,2.01185105942552,1.72216268286187,1.93774184744128
"t=231",1.98870323263165,1.73915448260957,1.91176181146205,1.34454584706098
"t=232",1.60313351935422,1.89837380455043,1.3425106013803,1.699047383509
"t=233",1.97761162004105,1.31833671172973,1.70401426257366,1.72457384380054
"t=234",1.48596920892713,1.69383016332755,1.71199282852823,2.0057229482673
"t=235",1.75918782303741,1.77768913154562,2.03035766745312,1.65861537791827
"t=236",1.66879667005609,2.02415499789711,1.65597036708469,1.5709185756357
"t=237",2.05494274477941,1.65325956355056,1.58373974971263,1.40353227336071
"t=238",1.59356450845363,1.58264026693358,1.40059626832205,1.64937328828065
"t=239",1.58649359779852,1.40523456422744,1.64642508649052,1.68601097969484
"t=240",1.39765344577926,1.65221162688438,1.69107744193208,1.90987366287431
"t=241",1.66424617933641,1.702874008488,1.91155279607212,2.00450660781772
"t=242",1.67811594705666,1.91338456729773,2.0081118909316,1.94762199825899
"t=243",1.92642457999578,1.99667050066731,1.94847421703169,2.17602703705172
"t=244",1.92653019980662,1.93036649952463,2.17976269430235,1.90000662104699
"t=245",1.86913877674483,2.16972706816606,1.91430200999111,2.03392106840959
"t=246",2.14323023038071,1.90978836772922,2.02366638810981,2.14085785186456
"t=247",1.9714791835558,2.035297960954,2.13880230269673,2.31316846372851
"t=248",1.90767771505066,2.12224969313499,2.31588029625146,2.47224687661562
"t=249",2.07156967503371,2.29674663418356,2.47466859793394,2.44473734901228
