"","h1","h2","h3","h4"
"t=204",NA,NA,NA,2.59211202032963
"t=205",NA,NA,2.61087411667631,2.43849157856766
"t=206",NA,2.63430341741441,2.45628296604272,2.57877657721328
"t=207",2.64653020376708,2.46148278773657,2.58073765409468,3.02151323360431
"t=208",2.28501721631028,2.46756437147096,3.00173919393011,2.82337295472069
"t=209",2.47248195812525,3.00683162080879,2.81268108562645,2.91800234150819
"t=210",3.01261342667075,2.84758646261634,2.9470451610027,3.04956590842368
"t=211",2.87775674937378,2.87237011076057,3.06267664978084,3.01350177995169
"t=212",2.76803713286214,3.02750014922265,3.02465607942791,2.92134696844538
"t=213",3.07143688544177,3.00656599517113,2.91707137258956,2.69504791291947
"t=214",2.97204084522758,2.89924996016909,2.70908180360576,2.79614193255947
"t=215",2.75187196092043,2.77732688814818,2.77465426723544,2.95232866968529
"t=216",2.81323413258022,2.73034828682335,2.94276340545647,2.54963252667521
"t=217",2.65578876585114,2.9066460950871,2.5441835136603,2.52021665051952
"t=218",2.77909027134691,2.51581631567235,2.46080855212377,2.47564764964666
"t=219",2.46332875492012,2.35859157280909,2.45726936904861,2.58532270147257
"t=220",2.3660500566325,2.51727362364757,2.55606052679472,2.26418907800382
"t=221",2.44638570245718,2.53115979113352,2.25322552864032,2.35466120256083
"t=222",2.67799883963075,2.32387554632279,2.41581491755551,2.12361987267598
"t=223",2.145513377322,2.22974032932466,1.99751936728968,2.24871474657953
"t=224",2.22894317380217,1.97271174061496,2.2052133953817,1.70936646442374
"t=225",1.90532641200613,2.19514848254374,1.77768279195405,1.72125994164106
"t=226",2.2034844702461,1.80543524619494,1.77318314365957,1.51492365915338
"t=227",1.806200781515,1.81161963426277,1.54906513369009,1.5637396884708
"t=228",1.68878106301337,1.4121991118963,1.53517412854864,1.91742863818464
"t=229",1.27171288003875,1.50744621724433,1.91664538903223,1.71441731452243
"t=230",1.52528080259946,2.03152367115375,1.7504784096336,2.00835554336942
"t=231",2.03983934860232,1.79287556539099,1.96947064779284,1.32937407641907
"t=232",1.61366808245436,1.9364129880041,1.31356091405175,1.74248776669652
"t=233",2.00494397091133,1.29552450196613,1.74898865148031,1.75440547200603
"t=234",1.42777510086688,1.73289328165678,1.72509026531138,1.99076538811061
"t=235",1.76949864095814,1.82084829341571,2.04996080334196,1.66418847635704
"t=236",1.7114778295582,2.075321921627,1.65165704048777,1.56226574167755
"t=237",2.11382918076795,1.66875415161781,1.58965133438656,1.39894272710408
"t=238",1.60739151632771,1.58439010412157,1.4049165365558,1.66769381294398
"t=239",1.59597876693608,1.41526174749156,1.66194705026666,1.68762463365071
"t=240",1.40490269207058,1.69176959393316,1.69095353623872,1.89204018047738
"t=241",1.71220925320343,1.71579762701359,1.89748580703853,1.99769542350173
"t=242",1.68624981770331,1.9101878444638,2.02123542381598,1.95265973178296
"t=243",1.92765273833176,2.01526844188526,1.950345369163,2.18602640980233
"t=244",1.93394145311659,1.90417983259115,2.17840355117514,1.9199729581084
"t=245",1.84907807454439,2.16998008401213,1.94967528156867,2.06280322294123
"t=246",2.14640570737823,1.95268990258252,2.04193195093915,2.14513945651227
"t=247",1.98767582154169,2.04752542969255,2.13467629795588,2.29505552201165
"t=248",1.91543340384731,2.10569259385751,2.29933094109709,2.46443496518973
"t=249",2.06243581816525,2.27588391098506,2.45804326811505,2.42091046248728
"t=250",2.24502451953337,2.41381786368978,2.40025418987419,2.43045346238219
"t=251",2.40513541773118,2.40507971810603,2.47774503825537,2.63319974957553
"t=252",2.34711340389607,2.48412764244082,2.67398020732302,2.61539925741263
"t=253",2.51699307070538,2.68054733366392,2.63439094636997,2.88313987713208
"t=254",2.75854234685507,2.56091286195587,2.86285408936098,2.85503634471284
"t=255",2.48101108676437,2.81891790912296,2.85437693159005,3.23375634330462
"t=256",2.76650426866587,2.7781206563245,3.14317017852653,2.66854766125374
"t=257",2.69179871905549,3.11589990703178,2.63008477178807,2.59050408419674
"t=258",2.86434985787936,2.45522230469973,2.5376241716874,2.89665489882315
"t=259",2.33342093909185,2.56708885545602,2.94241706589027,2.458995098326
"t=260",2.74261156668464,3.08487540634684,2.41753461129042,2.94687365625565
"t=261",2.76062607512693,2.44646886427206,2.89776274720893,2.46965079195472
"t=262",2.59682288882444,2.84519189169105,2.59204202832188,2.70518083050199
"t=263",2.8745453273688,2.39259573785718,2.61554124511685,2.60764117588273
"t=264",2.5837997744293,2.685286507508,2.70685824260738,2.59044534386608
"t=265",2.61321738123206,2.59790444525912,2.5114256362554,2.71032831076172
"t=266",2.5713321147461,2.47521587464892,2.70008827080405,3.53630644140811
"t=267",2.42260493704019,2.73128716144782,3.56395604770284,3.11021809722986
"t=268",2.71022917236948,3.58025627938068,3.19421776185227,2.8259666756523
"t=269",3.54687782255088,3.11248252522552,2.78307793015661,2.6119106055925
"t=270",3.23301926935282,2.88603491488122,2.74739885661352,2.71235229952278
