"","h1","h2","h3","h4"
"t=204",NA,NA,NA,2.57319577629454
"t=205",NA,NA,2.60319151944985,2.44448817783503
"t=206",NA,2.63094250471736,2.46124792564579,2.57572072843622
"t=207",2.63839736840111,2.4651320173577,2.59353598109115,3.02341286268849
"t=208",2.2970049791422,2.46551102555504,3.016954545436,2.8229006385905
"t=209",2.46408345610959,3.02559556362147,2.81220217430442,2.92313855580627
"t=210",3.02546867629355,2.85761040517177,2.9618357210083,3.04928640055041
"t=211",2.88530000514117,2.87864495166451,3.06773187134934,3.01543381554582
"t=212",2.77484338954106,3.02512672279162,3.01754364667732,2.9273935364235
"t=213",3.06482573414127,3.01304085903793,2.92648163010812,2.70092449809855
"t=214",2.97938821177275,2.90854945914055,2.72924154673505,2.80968313482256
"t=215",2.76629607092946,2.79187418988594,2.78957483099153,2.96400592252641
"t=216",2.82334482846313,2.72432734135382,2.95581618277273,2.56388201791318
"t=217",2.64767283551325,2.92689798028098,2.55615812996679,2.52616151314409
"t=218",2.79364849734516,2.51947606307399,2.47466890585981,2.48590436919874
"t=219",2.46168840009785,2.34720997630121,2.45867191068078,2.60557222648877
"t=220",2.35385573809882,2.52853189270282,2.58167541618075,2.27403322079267
"t=221",2.46006222950397,2.54415437272811,2.25575200356487,2.36731717667201
"t=222",2.67679293271891,2.34853436464301,2.4363741182068,2.12994042928896
"t=223",2.16675904253615,2.22356054653869,1.99982671748129,2.25365950891678
"t=224",2.2152877778162,1.96883922738906,2.20125035428017,1.71238817665119
"t=225",1.90802842462716,2.19613784002603,1.78925861690466,1.73614270435418
"t=226",2.203545721148,1.81886668877241,1.77625463921125,1.48392642618953
"t=227",1.81502782503636,1.81068478598216,1.5444653214021,1.55559030563229
"t=228",1.69118649024962,1.38808820852633,1.52859783923626,1.92501326961398
"t=229",1.25380097945886,1.51212027848085,1.92975500252277,1.72493024342034
"t=230",1.54590991807846,2.0792310668667,1.76230228580953,2.01473038824131
"t=231",2.07518613156011,1.81316548086923,1.96403000649858,1.32490202123129
"t=232",1.63954290024365,1.92610546276065,1.31536067892385,1.7402431831978
"t=233",1.98990643835015,1.2957748937035,1.73997554666561,1.75116965028956
"t=234",1.41432148932141,1.72724708999661,1.71884428434732,1.99034545984166
"t=235",1.75620936313395,1.83068201057087,2.05335291729791,1.66644702879165
"t=236",1.72876729005691,2.08285382799735,1.6555254189253,1.56639573026416
"t=237",2.1158148696167,1.67735689450926,1.59616316365438,1.39893653558212
"t=238",1.61751521670163,1.59346643207251,1.39887335538093,1.67191250613848
"t=239",1.60117863285494,1.41642601148858,1.66048804505825,1.69308505379729
"t=240",1.4032806188476,1.70113714331114,1.69446973585488,1.89583024469958
"t=241",1.72199403666036,1.73046098712986,1.89886925296361,1.99981450897118
"t=242",1.69886201335181,1.9215936942131,2.01989621939713,1.94389097328571
"t=243",1.93146746165781,2.0130934758505,1.94174347621431,2.18296258307587
"t=244",1.93452865833703,1.89100064974947,2.16909506741936,1.91067076021718
"t=245",1.84270343786977,2.16768134842019,1.94755403493074,2.05412630823333
"t=246",2.14517613995914,1.94973845692022,2.03714923538878,2.14572355534522
"t=247",1.97908627760725,2.03950976472089,2.13405543810318,2.2959279285256
"t=248",1.91771367797498,2.09978827674037,2.30551461975536,2.45918123045492
"t=249",2.06439440383699,2.27446816208815,2.45855585352125,2.420794691771
"t=250",2.24648801455761,2.40295183377508,2.4032881735571,2.43591766934065
"t=251",2.39558018963778,2.40750752982112,2.48834511865331,2.63733842866105
"t=252",2.35505566437791,2.49068868999473,2.67643517392767,2.62392711371933
"t=253",2.51766609470664,2.69025802750593,2.63322504975395,2.90416323916991
"t=254",2.74899294484652,2.55759618412768,2.85940355641914,2.85257529142995
"t=255",2.47324964824361,2.80964657641287,2.859783692185,3.22066228173034
"t=256",2.76334856782957,2.77677068419016,3.15935323875846,2.67141449871281
"t=257",2.69496933147791,3.12903902471276,2.64729825055783,2.58268302553688
"t=258",2.8892304095451,2.44250809981173,2.52121938191451,2.91590654626214
"t=259",2.32295433445867,2.58076353415115,2.95361703436229,2.44720403949755
"t=260",2.74161485086391,3.10101519459417,2.41357392742055,2.95780722923009
"t=261",2.79453088442726,2.43913473425061,2.89985914568557,2.48425173608865
"t=262",2.58473778273602,2.85079886292761,2.62953682957879,2.70946232706946
"t=263",2.85355585591615,2.4060888250744,2.61806206077996,2.61720223011476
"t=264",2.56441979237461,2.68976046205367,2.7066871741163,2.58771809830135
"t=265",2.61337183799972,2.589927067843,2.51070535754211,2.70101967788038
"t=266",2.56027737529464,2.46681270852224,2.69218345754435,3.54469805624999
"t=267",2.42167427258658,2.72814609490551,3.54723444336633,3.08356546271618
"t=268",2.71452366469034,3.59112867325495,3.1841918835522,2.82738134924212
"t=269",3.54284858857271,3.09728494110196,2.78762025574068,2.6089822479413
"t=270",3.21397653546011,2.89938914231124,2.74680428873328,2.69203718727494
"t=271",2.71667792575956,2.6772571726267,2.67760339660109,2.452260351884
"t=272",2.65095503928517,2.67793755167689,2.44421157779997,2.32088417650209
"t=273",2.60507097166057,2.37813578740512,2.27635271381908,2.51956063715838
"t=274",2.39500313412551,2.218050335345,2.61060534057342,2.61869862868337
"t=275",2.1915095263397,2.58463184912095,2.79715574788005,1.83695142039068
"t=276",2.48890632887067,2.68801519666813,1.83995617087194,2.00311413757508
"t=277",2.57257939438311,1.74822253758091,1.96871291869337,2.49085839433748
"t=278",1.86883892649164,1.94452002081421,2.30007315248598,1.80975231303295
"t=279",1.96302904913638,2.43059176758345,1.81091662417367,1.61915585769755
"t=280",2.33206589079811,1.80553928721836,1.63795475487992,1.46598467460316
"t=281",1.68601048772653,1.6928216184457,1.49414697337272,1.4274225501343
"t=282",1.64969608472912,1.52061449716386,1.40940468382064,1.43092870529699
"t=283",1.57169168913426,1.37206153112227,1.38744802953312,1.90206191255717
"t=284",1.42372043875894,1.38122581722337,1.90175871009668,2.13399949617075
"t=285",1.37192433883523,1.86602667328511,2.13766179228156,1.90702242065057
"t=286",1.81604331288453,2.09596640074217,1.89301588742636,1.5797638436909
"t=287",1.97548955718698,1.83618167987265,1.52668528938375,1.36164874939854
"t=288",1.7503061122386,1.48826503074293,1.4160899539305,1.32720062321526
"t=289",1.43312569208027,1.39337413658004,1.33226335572563,1.43043749965836
"t=290",1.37297673637483,1.35049552297323,1.42356462535649,1.62024801333211
"t=291",1.29166479353919,1.35942659102165,1.61382213244808,2.17343015510351
"t=292",1.34226154163259,1.6308487743777,2.20014630270073,1.74244191506898
"t=293",1.60327450362368,2.18850729913756,1.74763054728234,1.91823636595529
"t=294",2.16855066920101,1.75519081392563,1.90773096732063,2.3467387473579
"t=295",1.73550401738216,1.91568024458741,2.29477587150204,2.42249576355441
"t=296",1.90777956403233,2.24414539936547,2.42952827637671,2.10746943443718
"t=297",2.31660875679011,2.49860863266327,2.12460350896834,2.253653387627
"t=298",2.46983389786609,2.07241460003208,2.21868706840328,3.32678942313298
"t=299",2.0409189594794,2.18515744443443,3.2995491353785,2.92658395171741
"t=300",2.17139488208404,3.29126106819296,2.93319216357271,3.16469930009779
"t=301",3.25220573365493,2.90714728462862,3.15451587891596,3.24256987881336
"t=302",2.80830146537806,2.96454399130748,3.00818498017136,3.63708343877094
"t=303",2.86361452510839,3.00667601241663,3.66020238912603,3.56541288704247
"t=304",2.90754154877801,3.59243830274093,3.53334254145566,3.6286206335862
"t=305",3.39042373685436,3.39277792643503,3.56106616719594,3.13376281758851
"t=306",3.12476154218896,3.4014428562694,3.13115783759082,3.19986880122254
"t=307",3.29947706064566,3.09996538123905,3.13296348212852,3.6886791537594
"t=308",3.0528297575815,3.11440293496717,3.63869857311456,3.11512053814866
"t=309",3.1613980127652,3.72362414599211,3.08622516436519,3.14300513625739
"t=310",3.72543076995747,3.18479765323354,3.08538545570423,3.17901289867222
"t=311",3.20999652240731,2.94442258872387,3.16502917070334,3.46224793217349
"t=312",3.02854885045069,3.22454745865464,3.43826653454949,3.10195593350569
"t=313",3.23177243695807,3.39970912267831,3.1716393356972,3.18414059066746
"t=314",3.32620978473784,3.26736601968049,3.18743457973326,3.12343714590684
"t=315",3.29568494729886,3.10644622629631,3.18271140898055,3.0660544757269
"t=316",3.09026061153275,3.19970369497117,2.98061773904236,2.94408554445269
"t=317",3.15204419823971,2.91816319760402,2.92720384399345,3.15873843806051
"t=318",2.90695623459177,2.88116831717705,3.15256471243889,3.04573216000714
"t=319",2.85508517387442,3.19582209847875,2.97828557808306,3.00939287283879
"t=320",3.14297147159846,2.9610768810644,2.94329010243371,2.81212216953157
"t=321",2.96672866088777,2.98966213854357,2.74154277743803,3.55869536428076
"t=322",2.99779314292567,2.84788897913824,3.69447321326564,2.56913927353089
"t=323",2.84802671550338,3.61917431120424,2.59286945989142,2.70111579925709
"t=324",3.63507043125043,2.67098343188333,2.72260117943676,2.64650615614128
"t=325",2.80514535604909,2.75363042910704,2.70553867076885,2.55194540973974
"t=326",2.46511351272497,2.54652604238605,2.60133240840755,2.46245357818649
"t=327",2.46764438275738,2.82061401196865,2.57721012075498,2.04866510654811
"t=328",2.76422251483368,2.56120867253857,2.00781340114753,2.8100413546238
"t=329",2.2164222492779,2.07147077363475,2.64664909556975,1.86261683490446
"t=330",2.01737966373481,2.38620329737685,1.79618922984847,1.72603958646154
"t=331",2.39650846600767,1.75623876226297,1.77179177968101,2.08936682440176
"t=332",1.67103257549338,1.8330817231759,1.98255450567774,1.86053093675482
"t=333",1.86354923850088,2.00217888136156,1.855804380791,1.82127690807515
"t=334",1.97556453494141,1.83147134844758,1.85411449924371,1.53124479306747
"t=335",1.78816656476302,1.81857250115813,1.54077880405372,1.79624760567852
"t=336",1.78348319542934,1.60252722808413,1.74377856960713,1.38801220000005
"t=337",1.66659639350962,1.73852592681699,1.38847217565088,2.38987193091098
"t=338",1.79685517269796,1.38404852960297,2.47536970427895,2.14730224894697
"t=339",1.37067393047191,2.31604756372888,2.11826568502028,1.58272334833744
"t=340",2.39968905426377,2.09123111944153,1.57516883794424,1.70634090124367
"t=341",1.97554514680031,1.62034704419493,1.75414316693493,1.50726144094566
"t=342",1.66479376727996,1.7406241656353,1.48768662117232,1.812250709341
"t=343",1.7322876512966,1.46622721818193,1.78513352149057,1.72496374115685
"t=344",1.44971547967737,1.7374039838873,1.74175784223075,1.5602272818121
"t=345",1.77085683088788,1.7607057373466,1.55289257634307,1.87397018388517
"t=346",1.72121598517969,1.56249844331267,1.88937269862756,1.833069170797
"t=347",1.57261690199656,1.93376893505254,1.83983149546277,2.19743839772503
"t=348",1.8895306298293,1.82268169100712,2.20725978178066,2.07318124529834
"t=349",1.80661859769421,2.19972240881076,2.07201960444489,2.73061640040773
"t=350",2.16167065696111,2.06695418321048,2.74673079405098,2.72605289160702
"t=351",2.0513182693964,2.75034682084658,2.68766083254753,2.4879621972022
"t=352",2.70033929654404,2.7652392498952,2.48840572877656,2.43651341633381
"t=353",2.73685061593349,2.40773962158324,2.46708859510983,2.63453013731578
"t=354",2.38499809203433,2.56387169076219,2.64493944729323,2.67626387560461
"t=355",2.55397068713401,2.62743258957475,2.65708971115638,3.15668308274814
"t=356",2.54492341303767,2.63703590936716,3.20006565831417,3.1302176631557
"t=357",2.65937032679311,3.19869731092199,3.12387697925787,2.90711396894261
"t=358",3.13653043388294,3.06566438452532,2.84677753929338,3.5423793435305
"t=359",2.91381574324748,2.79855038749436,3.41733459229563,3.73634663929531
"t=360",2.77966834428089,3.38246964980401,3.71092223439674,3.84957739877676
"t=361",3.46569636616501,3.80198825995587,4.03780028417694,NA
"t=362",3.58170048895561,4.01983829606887,NA,NA
"t=363",3.68809613801037,NA,NA,NA
