"","h1","h2","h3","h4"
"t=204",NA,NA,NA,2.588544645291
"t=205",NA,NA,2.6047027728515,2.44673938073915
"t=206",NA,2.63131394440785,2.46615203126333,2.57596930187297
"t=207",2.65068466052153,2.4652862473551,2.58595146447324,3.02328539976245
"t=208",2.29266951623996,2.46883646245823,3.02022203133149,2.82313966679845
"t=209",2.46716768338202,3.02333983752209,2.81166037394709,2.92221807381411
"t=210",3.02076811992135,2.8516661658964,2.95536709197858,3.04552220529145
"t=211",2.88416088161817,2.87376481711542,3.07100176830551,3.01906634819509
"t=212",2.77162292472827,3.02702076594066,3.0185104334961,2.92609403274578
"t=213",3.06683147551203,3.01215324559355,2.92486308421956,2.6996247937643
"t=214",2.97547397825427,2.90590148678634,2.72742018811742,2.80586958214041
"t=215",2.76137048685248,2.79942580081433,2.78422121084889,2.95911024799051
"t=216",2.82133448943253,2.72267837789161,2.95512096864046,2.5616638436238
"t=217",2.65266817381333,2.92449475250909,2.55839025743834,2.52713063202073
"t=218",2.78528099835051,2.51505313536205,2.46683926113753,2.47358706504711
"t=219",2.46123532953978,2.35931263792413,2.45914142979366,2.59058546737621
"t=220",2.36155478690697,2.52523148211464,2.57967612755021,2.27403737082468
"t=221",2.45481855740632,2.54045887522939,2.26096534411776,2.36226461926693
"t=222",2.68651476160301,2.34664521374837,2.42908643813701,2.13652481728651
"t=223",2.15835789973364,2.22226170720864,2.00413699429881,2.25086819713005
"t=224",2.21933287023731,1.97252544590198,2.21095110413341,1.70685419691302
"t=225",1.90999377266062,2.19658044482238,1.77502689371941,1.7251502516391
"t=226",2.20538011552683,1.81378151875313,1.78134475979803,1.48189517587758
"t=227",1.80936316800496,1.80197784498708,1.54099989839466,1.56004183137846
"t=228",1.68363128231578,1.38537276130508,1.52954476649989,1.92858400856352
"t=229",1.2485785409731,1.51001807708363,1.93165532050106,1.72095555392354
"t=230",1.54176132779279,2.06429641506416,1.75957258285917,2.01366317844218
"t=231",2.06508414252799,1.80801762158361,1.9621791053278,1.33034258988437
"t=232",1.62821430085098,1.93542195570385,1.31164224154647,1.73460804614422
"t=233",1.99659328835788,1.29904943501648,1.74189204011536,1.74733569833833
"t=234",1.42360529602963,1.72435821341181,1.71576351274892,1.99215338373977
"t=235",1.75834457464438,1.81982738865085,2.04480177676451,1.6711807001151
"t=236",1.72111986529626,2.07364013595148,1.64968952847633,1.56474042839478
"t=237",2.11151096078144,1.67295935226763,1.59221471421329,1.39909475558428
"t=238",1.61360564849127,1.59063167345144,1.40230796686672,1.66093244676595
"t=239",1.59883720398009,1.41450860743233,1.66254469842351,1.68843508648554
"t=240",1.40329360457109,1.69861721729942,1.69280332004636,1.89597094204232
"t=241",1.71827073532687,1.72620441353502,1.90036529132353,1.99587389262896
"t=242",1.6935707403823,1.91552352011304,2.01689140916513,1.94788683442162
"t=243",1.92995553649033,2.00950791784478,1.94806100678909,2.18770260589178
"t=244",1.93139082268211,1.89458489174192,2.17481876348684,1.91295887674244
"t=245",1.84462193051056,2.16491242600974,1.94328976028568,2.05721930660526
"t=246",2.14554317320984,1.94604787927,2.0375831061806,2.14297087480999
"t=247",1.98183969046784,2.04520177544528,2.13428686053457,2.30094938702427
"t=248",1.91335711553725,2.10342090926286,2.30520535244945,2.46388021736716
"t=249",2.06403505629986,2.27809038312633,2.46247404868124,2.42266207707348
"t=250",2.24676283264112,2.40953661198234,2.40589297411105,2.42568436795109
"t=251",2.39967179043735,2.40845740873668,2.48180836945722,2.63975215467695
"t=252",2.3527259327603,2.48546616988509,2.67287829794948,2.62262613098361
"t=253",2.51574722000435,2.68452543529526,2.63593812957511,2.88993281020505
"t=254",2.75624149895797,2.56184404894311,2.85487654058145,2.84201311350469
"t=255",2.47364839127597,2.81525201318682,2.84591419325422,3.20710116026331
"t=256",2.76365953084098,2.7793973871953,3.15078646321425,2.65784525404139
"t=257",2.69228707044514,3.12906481597138,2.64418833367269,2.59758901779102
"t=258",2.87540895753339,2.45040598397592,2.54799900083585,2.92108114044032
"t=259",2.32619525900787,2.58042489287155,2.94205044820744,2.45296213617896
"t=260",2.74902984206211,3.10342009459172,2.41079125293365,2.95675473332064
"t=261",2.7788094969264,2.44476839111503,2.90442246394568,2.48172510134523
"t=262",2.60269659776615,2.85340693947952,2.60584862730888,2.71593433465977
"t=263",2.86180239356425,2.40402116041796,2.61419143634865,2.61511313184043
"t=264",2.57752449019185,2.68757905387045,2.698706092912,2.59293462531538
"t=265",2.61188818730514,2.58988182461658,2.5114898491613,2.70523841787382
"t=266",2.56152827764696,2.46776089458499,2.69948008343414,3.52136694353704
"t=267",2.42213896707399,2.72838739851482,3.56536562331129,3.09788471282999
"t=268",2.71295662141352,3.59056208421379,3.172267821857,2.82201839502305
"t=269",3.54080475618673,3.09820305267678,2.79078005078202,2.62522523608492
"t=270",3.22319197227702,2.88822232438744,2.73486885208069,2.69128308444641
"t=271",2.70788643701517,2.67254421725414,2.68715948167208,2.48993721785586
"t=272",2.65044256136168,2.68807887118417,2.4402544123881,2.31420873869274
"t=273",2.60422277306606,2.38395751239304,2.27816896150437,2.53121443672248
"t=274",2.4002215154966,2.21973773333643,2.60548823804135,2.61329421501687
"t=275",2.19626118991787,2.57312767540908,2.78802549427722,1.83866127621628
"t=276",2.4855823972736,2.67988914060956,1.84233568678392,2.00241883613696
"t=277",2.57355151888007,1.75553761854937,1.97042188400254,2.50108813147952
"t=278",1.87943939662758,1.94450315149803,2.30047185312116,1.79707919832467
"t=279",1.96488899958615,2.42215707367943,1.80262161839273,1.60937417823612
"t=280",2.31492588022775,1.80047336462157,1.64804507090977,1.46686989398277
"t=281",1.68165732538304,1.68984878865635,1.49608228789367,1.42869809657365
"t=282",1.64206703426042,1.5196509713263,1.40893223107814,1.42746643253348
"t=283",1.57249351450037,1.37331614109062,1.38965982985512,1.88660606831005
"t=284",1.42795656826904,1.38068884428105,1.89524727974574,2.13382446928743
"t=285",1.37301105983864,1.86786739836878,2.13384464063262,1.90753748374802
"t=286",1.81507685052764,2.10151538267696,1.88227141000854,1.57604158871213
"t=287",1.97286410096077,1.83723595581535,1.52564491471956,1.36314741036722
"t=288",1.74871923005775,1.48827497107422,1.40676924179397,1.32688718191697
"t=289",1.43124465234495,1.38949980799236,1.33102202181638,1.42772119203623
"t=290",1.37237797952039,1.35082751225827,1.42600170985959,1.6249548701944
"t=291",1.29214818874177,1.36125253156448,1.61727075481916,2.17382917517644
"t=292",1.34408477117676,1.63171923047107,2.19362911893262,1.7451621447384
"t=293",1.60147455115287,2.19319192356433,1.74482699506279,1.91813237133318
"t=294",2.16963034695123,1.7570449472963,1.91072862172315,2.34177622333253
"t=295",1.73310260509958,1.91466721039305,2.29620569224883,2.42358279090219
"t=296",1.90720668416045,2.2518699926841,2.43020035219042,2.1094484265467
"t=297",2.320469405866,2.48715886854128,2.12859497696581,2.25671390726331
"t=298",2.46739580428087,2.07507156340652,2.22485704202323,3.32651422002212
"t=299",2.04383808012697,2.18671743590756,3.30376857824217,2.90779657257153
"t=300",2.17109274712681,3.28589824031018,2.93556785885682,3.19688901508558
"t=301",3.25148883219034,2.90944357471974,3.15637523717407,3.24968761276881
"t=302",2.80776502390312,2.96002104572047,3.02372921400705,3.64139734241794
"t=303",2.8634260812578,3.01161392803354,3.66038212329923,3.57964041608059
"t=304",2.90105741897345,3.59781143633689,3.5139980819746,3.64808483072632
"t=305",3.38202207937074,3.39958065474647,3.57704720389476,3.13400086294868
"t=306",3.12076603332241,3.40537337074692,3.12922475053296,3.2005892751248
"t=307",3.29668207970379,3.09391908593208,3.14357204304366,3.67035507684655
"t=308",3.052280305444,3.11479579983411,3.64263976999779,3.13072149599145
"t=309",3.16224128189842,3.71074761518642,3.08593866395174,3.1544586756259
"t=310",3.72451266479968,3.19298006161967,3.08078195563185,3.17815393422824
"t=311",3.21087385460732,2.95004846655018,3.16498953232304,3.47859756085004
"t=312",3.04924845583076,3.21746549098149,3.42780805386782,3.10607038621283
"t=313",3.22691257409685,3.40228101306434,3.19462746276898,3.18164990366742
"t=314",3.33156806922527,3.26348509838587,3.18484456519236,3.11921625420364
"t=315",3.28814825276271,3.1097423424357,3.17987782398829,3.06701716993169
"t=316",3.09618990174594,3.19598753856541,2.98164288187785,2.94305733306715
"t=317",3.14739450280761,2.92619114623879,2.925926068313,3.16263225978058
"t=318",2.90970638341994,2.88105329523535,3.15986359836243,3.05186664180076
"t=319",2.85309375979187,3.19164911351227,2.97828286558262,2.99244735975567
"t=320",3.13734698385877,2.96295923117033,2.94717307364382,2.82229594780669
"t=321",2.97311356942999,2.99335448248825,2.74686424716721,3.56945377478321
"t=322",3.00149424700149,2.84428843033651,3.67687879891815,2.56575824281751
"t=323",2.84856439878312,3.62561652308994,2.58782181710578,2.64521791861661
"t=324",3.63587245367795,2.66035905831018,2.71865432550847,2.62234907538303
"t=325",2.79980306683797,2.76443435013382,2.71191870323105,2.55188363133797
"t=326",2.45511629888849,2.53751358481268,2.59756859399529,2.46699958169086
"t=327",2.46741493102626,2.80011938519741,2.57514781296479,2.04534796847036
"t=328",2.73238979920987,2.55103130117393,2.01517973913538,2.83348669696512
"t=329",2.21215324660236,2.07550754610758,2.62056657154871,1.87052029601039
"t=330",2.00970397097739,2.39024806742905,1.80477153844394,1.72538565512621
"t=331",2.41329597597374,1.7627701279666,1.76597984488323,2.08224527632887
"t=332",1.67269062040028,1.82968973955505,1.98280702546432,1.85598414935304
"t=333",1.86034427674094,2.0026585358076,1.85556805329746,1.82127212622541
"t=334",1.97977672424887,1.83262915990318,1.85448101975802,1.53011884329578
"t=335",1.78994440444367,1.81442201487414,1.54376382686645,1.79623902051975
"t=336",1.78199514468312,1.59593993188766,1.74775528163623,1.38886253119214
"t=337",1.66687751324569,1.74208093495451,1.3859471933192,2.40075853802403
"t=338",1.80274063349103,1.38025012114491,2.45545145045451,2.14094224836291
"t=339",1.37050147520021,2.31698521515561,2.12670414713689,1.584676560924
"t=340",2.40456374274397,2.09193604917101,1.56972620369844,1.70591705265307
"t=341",1.9739674358645,1.62107164757734,1.7587007196612,1.49948637580787
"t=342",1.66414472261095,1.74099939788419,1.48916996278913,1.81042579596382
"t=343",1.73319368754755,1.47272359464121,1.78866734743876,1.72069252272583
"t=344",1.45107091887417,1.73949019096408,1.74092657270972,1.56204102043258
"t=345",1.77420502515713,1.75565618533261,1.55691759327222,1.8687520259156
"t=346",1.7175318882848,1.56302505819401,1.89148464364815,1.83289878609704
"t=347",1.57277269428051,1.93182695831342,1.84090507066074,2.19873007285913
"t=348",1.8848463233757,1.82210062413408,2.20681951811059,2.0733539934232
"t=349",1.80742123916364,2.20038122667913,2.07296765227669,2.73090533366106
"t=350",2.15933190745355,2.06723486871368,2.74707773935414,2.7320238898763
"t=351",2.05077005833576,2.73814002796375,2.68746643491297,2.48983927929944
"t=352",2.69711077459686,2.76492008303561,2.49298443521174,2.43298580122073
"t=353",2.73429885869497,2.41049795242033,2.4603127298934,2.62728119130836
"t=354",2.38717050168691,2.55304241340924,2.64493280912314,2.67803982913994
"t=355",2.5481686968131,2.62768407546453,2.65254981736572,3.16094657161287
"t=356",2.54281627329401,2.63901818364357,3.20292705165884,3.12814910840224
"t=357",2.65977921441627,3.20134077027138,3.12531367893754,2.90526869460619
"t=358",3.1331772206975,3.0678423366342,2.84383789283758,3.5347560016551
"t=359",2.9121693527947,2.7986123520557,3.44013035994899,3.7642147740529
"t=360",2.7797210263758,3.38932062550162,3.71551764501831,3.96859930168127
"t=361",3.47400289828788,3.81305100859286,3.97410043975351,NA
"t=362",3.58008292083225,3.99753398251918,NA,NA
"t=363",3.67226897477385,NA,NA,NA
