"","h1","h2","h3","h4"
"t=204",NA,NA,NA,2.56918645653698
"t=205",NA,NA,2.59722656540309,2.44952955919012
"t=206",NA,2.64142913960846,2.44810490960261,2.57385629521391
"t=207",2.64134586025993,2.45882250169325,2.58445272085835,3.02271958654191
"t=208",2.29181131124402,2.46656664431138,3.01671362933024,2.8228127798642
"t=209",2.46903999200221,3.01995704504684,2.81536832282091,2.92526637154995
"t=210",3.02547270166753,2.85185838712542,2.95268783703288,3.04950000554895
"t=211",2.88027309089349,2.88247233472887,3.06866042746078,3.00967699199753
"t=212",2.77833322603118,3.03061170773506,3.03084308344302,2.9258232570825
"t=213",3.07190188606535,3.00749080078363,2.92007461671481,2.6960410801259
"t=214",2.9818390659522,2.9037132610232,2.72776861962482,2.80371631630334
"t=215",2.75834489972041,2.7904382352867,2.78768941667589,2.96270499833852
"t=216",2.82014441438945,2.73230265396226,2.952996997082,2.56076440163048
"t=217",2.6542943354633,2.920615969808,2.55483488867463,2.52529032894081
"t=218",2.78747765161652,2.51893520421547,2.46023436330164,2.48910773065594
"t=219",2.4644935040046,2.35604802689945,2.45792396508867,2.61653608546099
"t=220",2.36369095590948,2.52279143937231,2.57911646506009,2.26964129386396
"t=221",2.45145709180779,2.54104558134834,2.25422603064448,2.37444620766808
"t=222",2.67905382072739,2.33506341327027,2.4316474865104,2.13515199187337
"t=223",2.15180140964482,2.23595696553659,1.99524707787431,2.25683541527105
"t=224",2.23174559540945,1.97140990037409,2.20795403929209,1.70842748064239
"t=225",1.90568454369688,2.19050445203903,1.78223018625349,1.72863565833609
"t=226",2.19884610885579,1.81594934798955,1.76564090815708,1.49627407234327
"t=227",1.8162304903887,1.80699213909367,1.55597056892056,1.56037449192342
"t=228",1.68491107738323,1.39904804699196,1.52745110400994,1.9237392181268
"t=229",1.25968911884629,1.51060702971721,1.92278662585075,1.72277006157752
"t=230",1.54555037141137,2.06047181891985,1.7552007229183,2.00843765965123
"t=231",2.0555666729811,1.81059985225942,1.96407030990014,1.33380873328572
