"","h1","h2","h3","h4"
"t_cond=204",NA,NA,NA,2.73422734931585
"t_cond=205",NA,NA,2.72906844696683,2.59808664789401
"t_cond=206",NA,2.74122822027247,2.61905452152269,2.86076190699926
"t_cond=207",2.71108949261929,2.62460016943733,2.83616427176505,3.02788206665991
"t_cond=208",2.3683646835325,2.71888286152397,2.96624565974203,2.94709881091213
"t_cond=209",2.64050273031968,2.93907028025417,2.93728516504523,2.93906150500918
"t_cond=210",2.86097035147444,2.91814623886187,2.90879256075098,3.06606706270812
"t_cond=211",2.94312554126439,2.82565126228007,3.09117451993619,3.03161660514693
"t_cond=212",2.69821243607175,3.00920923905983,3.08511629088386,2.92899714293251
"t_cond=213",3.03276033832283,3.05270723908733,2.87774811447872,2.82329245511503
"t_cond=214",3.09728215777491,2.87393316453364,2.85015591814981,2.75714318994379
"t_cond=215",2.68530302351057,2.8078053035424,2.74540230071899,2.93647421039706
"t_cond=216",2.84735941530609,2.69456212323214,2.95449848699731,2.56823705668997
"t_cond=217",2.67185845337204,2.93732515614199,2.57977126415028,2.56722135107752
"t_cond=218",2.79854667743239,2.5181500020692,2.51884616411793,2.55483185531937
"t_cond=219",2.47663250457615,2.39893263320093,2.51481459232551,2.46572846791016
"t_cond=220",2.37899998526853,2.51024259685279,2.48082336239541,2.23945625907407
"t_cond=221",2.43063887143082,2.47407877773204,2.22481877728216,2.38953490963127
"t_cond=222",2.69078284106885,2.28641318269144,2.40964511485846,2.14633517910766
"t_cond=223",2.09424261995372,2.26861883876299,2.04728989513237,2.22669572418956
"t_cond=224",2.29560578312375,2.03476578932224,2.19725737202959,1.66811322510074
"t_cond=225",1.95520527204682,2.20949755232043,1.71718430265348,1.74730136701278
"t_cond=226",2.21401079096886,1.73932942006132,1.77545015301342,1.57702639102009
"t_cond=227",1.70986723817999,1.77172313520018,1.58962696966639,1.58938532850878
"t_cond=228",1.71071224050283,1.5189604495528,1.57649502785008,1.87876290061942
"t_cond=229",1.41142573041506,1.54191472977232,1.814542343686,1.68674490669879
"t_cond=230",1.50309610724388,1.84282252728644,1.68325373800169,1.96514007593046
"t_cond=231",1.90293607372772,1.72842846544397,1.94470024496861,1.35545863638202
"t_cond=232",1.60090709937412,1.93098553552701,1.35821571218286,1.69086491763825
"t_cond=233",1.96805024745884,1.34781776595743,1.7028149397504,1.71937200320433
"t_cond=234",1.41778263185057,1.71517818687353,1.74254804566792,1.86516667338619
"t_cond=235",1.73525771841049,1.81965514979635,1.91291019386102,1.63519900599086
"t_cond=236",1.70294127028169,1.96798181145113,1.64486955220784,1.53293303979208
"t_cond=237",2.16305416747623,1.70549846490711,1.58278831185786,1.40895090229956
"t_cond=238",1.65363251273284,1.57286551505185,1.41502466336973,1.71384807162136
"t_cond=239",1.55000817899726,1.42663501614406,1.66936747332831,1.73031657186249
"t_cond=240",1.42418291370479,1.74276871455461,1.74250088569373,1.86596149223303
"t_cond=241",1.72017479227097,1.78058405728278,1.88314780674344,2.0028061869747
"t_cond=242",1.72607505204217,1.90852206522887,2.05786092873433,1.99530248513104
