"","h1","h2","h3","h4"
"t=204",NA,NA,NA,2.70333256714872
"t=205",NA,NA,2.68466576613973,2.47177209197506
"t=206",NA,2.72576470564716,2.47743504986988,2.61594553961058
"t=207",2.71211428307358,2.46094298327421,2.61360783211786,3.06073731433959
"t=208",2.26190661981126,2.52064724031667,3.03265806866454,2.92814930801301
"t=209",2.54229230968757,3.03367872541573,2.91846678785757,3.07150938811356
"t=210",3.00643340014626,2.91881280134322,3.06818687263362,3.08983745556486
"t=211",2.93604284591634,3.01637294013002,3.09201490630591,3.08113093099202
"t=212",2.87410927357512,3.04938816414682,3.07841648854098,2.96021041718483
"t=213",3.04864323749045,3.04494194384192,2.94312774152936,2.71641048967078
"t=214",3.016021182586,2.94240480760528,2.7202281452078,2.86635860999856
"t=215",2.75180069063916,2.75910287607622,2.84956825643109,3.02778545959178
"t=216",2.79012219733009,2.81184385405674,3.0197268674415,2.63138959593656
"t=217",2.74468423181369,2.95658580546619,2.60524964363588,2.61095552047054
"t=218",2.82173158409825,2.57511339561226,2.58575314503423,2.53286148600868
"t=219",2.4998553149392,2.51372858399895,2.51742773546058,2.77418255942875
"t=220",2.50342404067302,2.53272972849352,2.75072453171123,2.34462310792537
"t=221",2.42902059772441,2.70599220591278,2.33764817311801,2.49397540987346
"t=222",2.86524502156893,2.36981763492324,2.51478743531213,2.21994939456807
"t=223",2.1028853171881,2.37015442889152,2.18022019334213,2.27261900836188
"t=224",2.35609666789835,2.159363488164,2.25546641031391,1.70316565760229
"t=225",2.01232763515055,2.23009128035208,1.72346576011362,1.6822356053812
"t=226",2.20210526863595,1.72200437579174,1.68740480287797,1.46949571438244
"t=227",1.76152049165395,1.71841979006132,1.50551528407357,1.55408336627868
"t=228",1.63979493378041,1.41143865373376,1.54473196278793,1.92624704702698
"t=229",1.29972136149755,1.52261254180945,1.92809433644867,1.76258548635257
"t=230",1.48275089585696,1.98223301310341,1.761313177407,1.90727044077922
"t=231",2.00553935421181,1.79518639781842,1.89774370800139,1.35871076913496
"t=232",1.60204744883935,1.89921251489283,1.35732671125383,1.72008260265646
"t=233",1.99311322393184,1.33815862539414,1.72825047950386,1.72514468864279
"t=234",1.50217903588399,1.72212392251288,1.72070993042539,2.01301208598339
"t=235",1.78224977663278,1.77549040938735,2.03004002233538,1.69990558198486
"t=236",1.69374285748321,2.01527380402646,1.68542103973026,1.60034059959968
"t=237",2.04680976238257,1.699687613539,1.60381724166289,1.37717202521313
"t=238",1.65859635743186,1.58280065363643,1.37927599163513,1.62013015760371
"t=239",1.59206215452392,1.38351443095699,1.61875314480437,1.72802261945561
"t=240",1.41263585111319,1.63564030719991,1.73824322291088,1.95997403682213
"t=241",1.63459685354543,1.75714444659275,1.96707607614438,2.02339608436053
"t=242",1.73245328686462,1.98718718524871,2.0288324659345,1.96263508592377
"t=243",1.96138089815978,2.01690356491162,1.9603111999599,2.15601362446064
