"","h1","h2","h3","h4"
"t=204",NA,NA,NA,2.67090696422797
"t=205",NA,NA,2.65975534057639,2.4392541729721
"t=206",NA,2.65887042851864,2.44431845865246,2.60765367621758
"t=207",2.58195727802359,2.39847353803874,2.5845438433136,3.02628744281013
"t=208",2.25933343366688,2.498437745112,2.98091766357765,2.87824768633988
"t=209",2.50646308401684,2.98042708670046,2.86087165655376,2.99492730448537
"t=210",2.98854047452898,2.88161304063006,3.0078516499018,3.04967660647808
"t=211",2.91244136243672,2.9170822912554,3.07947175177563,3.02074865698681
"t=212",2.79888826146846,3.02611738185453,3.01956293583462,2.89728301306306
"t=213",3.0608862516374,2.99654729602428,2.8760203058662,2.69734601919964
"t=214",2.9867480124791,2.87301451920614,2.74229972371013,2.82047395457357
"t=215",2.72727776727728,2.77345778273972,2.79807863661362,2.98966685648854
"t=216",2.8070572788028,2.74593969448159,2.99514452126133,2.60768251656126
"t=217",2.67207012534825,2.94075048751035,2.59602634160278,2.56838169317486
"t=218",2.82578633429419,2.54344729109697,2.50672986194523,2.47270170271618
"t=219",2.48781142944971,2.38261127562502,2.45019084086319,2.68483651091709
"t=220",2.37305181135193,2.47234002442605,2.65592346577118,2.31794503097413
"t=221",2.42383959499479,2.61465936851709,2.29670659053146,2.40757655749111
"t=222",2.73507767323618,2.3738071517131,2.45578984204806,2.20611085072834
"t=223",2.15823229993317,2.27053181106654,2.05970476908349,2.22392441946216
"t=224",2.26824311309752,2.02530422378386,2.19134275484867,1.69546613689066
"t=225",1.94489687832306,2.1789434844659,1.7584649309095,1.70984754173833
"t=226",2.18740481171788,1.77942099187908,1.73224962004284,1.51312386577918
"t=227",1.77087798430208,1.77685412311258,1.56476370544901,1.58055777358006
"t=228",1.70331070685775,1.459504451056,1.56790031181256,1.87465448728657
"t=229",1.33255772175299,1.52563976370256,1.86172421408223,1.71510192593091
"t=230",1.49633755922386,1.95375118734153,1.75312569082974,1.95794002281687
"t=231",2.01585032269712,1.8363567844309,1.93929230112869,1.33617882427171
"t=232",1.62326325332138,1.938795650813,1.32517149756115,1.75179638108127
"t=233",2.01659757986222,1.31774845504642,1.75319950186137,1.75040548524796
"t=234",1.4364247816934,1.75349733273296,1.73120715863708,2.012058875693
"t=235",1.78352234700836,1.82372961565199,2.07528589787325,1.69693971742255
"t=236",1.7313913436088,2.07955064211195,1.66823857667563,1.56078332693993
"t=237",2.12252974516334,1.6992616589388,1.58277121756144,1.37812112840838
"t=238",1.65429641395633,1.55305613023014,1.39545147699403,1.65766307471845
"t=239",1.56156670869839,1.41606718646269,1.64447832785655,1.72279714643471
"t=240",1.43178048852975,1.70836862964748,1.73156798493581,1.9199696742804
"t=241",1.7108423285612,1.77364449836336,1.94320772530283,2.01766668887955
"t=242",1.73635872834772,1.99251794380374,2.0604666800414,1.9701036706354
"t=243",1.97381461623523,2.04275139277167,1.96258903161643,2.16448719932091
"t=244",1.93217015190622,1.90551637646879,2.12592535495884,1.86452088177257
"t=245",1.84677604646864,2.11978348079292,1.90193887530032,2.02680029931886
"t=246",2.08745453425395,1.91046931223405,2.01667470691902,2.1430424246261
"t=247",1.95578272412653,2.01119012958213,2.12755376032449,2.31213602085201
"t=248",1.87941961956268,2.10865713989657,2.32115006817124,2.49021385492057
"t=249",2.08309610751074,2.29513546169931,2.48964544761297,2.46062278438242
