"","h1","h2","h3","h4"
"t=204",NA,NA,NA,2.66003004329162
"t=205",NA,NA,2.66077593427543,2.44951348749424
"t=206",NA,2.66500237601487,2.45112147797634,2.60825447938465
"t=207",2.59721680506498,2.41386169491041,2.58716120505158,3.02937170981394
"t=208",2.27233927720852,2.49637676595911,2.97465963364058,2.85720167951129
"t=209",2.50103431663082,2.98181611022125,2.84170922351996,2.98482452922685
"t=210",2.98723292962017,2.87615413831914,3.00576090390227,3.04763621994695
"t=211",2.90871435769304,2.92484001017898,3.07949421670724,3.02472974366004
"t=212",2.80807511518726,3.02532478590815,3.03188701575817,2.90528037979591
"t=213",3.0502676836326,3.01046020992071,2.87997835862944,2.71045695253797
"t=214",2.99934481792868,2.87845637650504,2.74716588842022,2.81321049917917
"t=215",2.74696436273701,2.78844945793868,2.8086757700298,2.99871731581569
"t=216",2.81185074956087,2.73775239959999,3.00358303652914,2.59996634501488
"t=217",2.65988885513988,2.94306244935864,2.59777822405551,2.57599767369382
"t=218",2.83188872358261,2.53129622546178,2.51138414764608,2.4772586035067
"t=219",2.47893163339994,2.38236030709625,2.45128725056618,2.68981587156415
"t=220",2.37095934999377,2.47994231795314,2.66373989452975,2.31666916238372
"t=221",2.42690504280164,2.62886791156868,2.29787672023008,2.42345224023143
"t=222",2.72713521381687,2.38008900070186,2.4782596472803,2.20136060026169
"t=223",2.17992150377378,2.28787014466137,2.06769684868494,2.22546257277309
"t=224",2.27119552747279,2.02114161263663,2.19413888982858,1.69132392961183
"t=225",1.95235095784885,2.18316891957449,1.76069865014554,1.70448500249955
"t=226",2.18298667819077,1.79020848778143,1.73428861547824,1.51296016591563
"t=227",1.78530421519144,1.78598416392644,1.57332883820133,1.57739397264619
"t=228",1.70580987034585,1.45634060032465,1.55684910801138,1.88894226180541
"t=229",1.32428031347938,1.52294506751261,1.87939717640308,1.73284383067833
"t=230",1.50565318160073,2.00464307710899,1.78804063000093,1.95758473119493
"t=231",2.05416425525786,1.87444155507812,1.94006263819689,1.34276298542043
"t=232",1.66049999323561,1.93290557609819,1.33819522935736,1.74231769686617
"t=233",2.00382169212904,1.32590278115719,1.74535240072172,1.73769291358779
"t=234",1.43084796574138,1.75170398668727,1.72258039125502,1.9959246970397
"t=235",1.78014186272222,1.83343963009315,2.08094110998374,1.7057599460225
"t=236",1.74724841553523,2.07705717603785,1.67332652160386,1.56615047062493
"t=237",2.11846873537294,1.71052380219471,1.59102113638798,1.37732327463623
"t=238",1.66739191504137,1.56376411540635,1.4003280542656,1.65422562677904
"t=239",1.56911206683076,1.41977373052084,1.63976786051229,1.73333707120104
"t=240",1.43117317748549,1.71294767303222,1.74639254151768,1.92223324856242
"t=241",1.73154048145495,1.81134190736889,1.96938608538872,2.04439787789428
"t=242",1.76886143201018,2.0396031570628,2.08219442879564,1.9794515066804
"t=243",1.99758306032944,2.04313109561658,1.96646472550639,2.16627156491079
"t=244",1.93349782067105,1.89466931892693,2.12255500215824,1.8485762324885
"t=245",1.83876848061876,2.10415221984661,1.88587830172859,2.01870964482796
"t=246",2.07995366030194,1.89684982920596,1.99658524805146,2.1344317421329
"t=247",1.94877173012087,1.99629840919233,2.12294914410605,2.31804427226602
"t=248",1.86869671322811,2.10787227641773,2.33041110014157,2.48435588881542
"t=249",2.09237265416546,2.3010199372887,2.49344813594333,2.46713149158079
"t=250",2.27448315865261,2.41285846541836,2.43138581576451,2.45780509575443
"t=251",2.40138101891743,2.43062906930407,2.51275748990192,2.64574186372562
"t=252",2.37487891606856,2.50779713858994,2.70442936934208,2.6657419619586
"t=253",2.54552797531346,2.70267111620822,2.68313041890513,2.92733439327976
"t=254",2.76288848540563,2.60367534390696,2.91750957417233,2.97906378026355
"t=255",2.50723193342666,2.83334556909096,2.90348866467262,3.21548385574719
"t=256",2.79299906423208,2.81924113148119,3.14594994753582,2.59162038572361
"t=257",2.72663125909284,3.1380570026413,2.58936702958383,2.61422995031883
"t=258",2.89805772212094,2.41368044007991,2.5965367045583,2.87452333448272
"t=259",2.2814957799671,2.72064951644579,2.91215200573288,2.59876976092911
"t=260",2.89732302369835,2.96901325491191,2.53478304378109,2.91854007051603
"t=261",2.73459722324956,2.57991336351417,2.88630202368189,2.65402012582322
"t=262",2.64804768757809,2.85921688525496,2.7280329311064,2.7943608285935
"t=263",2.8329978497497,2.50946584322249,2.68954136531796,2.66743485237652
"t=264",2.61108467090844,2.74848308400168,2.72960618803381,2.62322455866915
"t=265",2.65504297550627,2.60755910992045,2.54319733147292,2.69982361120962
"t=266",2.56670320680286,2.48159543710751,2.68043848557151,3.46582819079638
"t=267",2.43237414069831,2.71295592739865,3.45596405341464,3.141016525222
"t=268",2.70211088634753,3.51583085343093,3.19249809211139,2.86035319863978
"t=269",3.48766031317083,3.13981946602886,2.82294671725204,2.64611686124135
"t=270",3.22156969224494,2.95602178038501,2.79982903433224,2.70995080952488
"t=271",2.77096691161157,2.6803084876327,2.68835956177303,2.41940764597617
"t=272",2.65483430162385,2.66606235129981,2.39024873667446,2.25915956784163
"t=273",2.61046788196602,2.34823307177049,2.24409194317587,2.48938136948544
"t=274",2.36934751969125,2.18438228615088,2.59398604392938,2.55266305188562
