"","h1","h2","h3","h4"
"t=204",NA,NA,NA,2.66707714326053
"t=205",NA,NA,2.64929981536695,2.44001764070516
"t=206",NA,2.66568338400952,2.45410503070531,2.60470486578833
"t=207",2.60460381845701,2.41186463934065,2.58856341270081,3.03135980850943
"t=208",2.26570908940864,2.49438754044767,2.98832484241186,2.86600506435799
"t=209",2.50086638533425,2.98138239303746,2.84950241741042,2.98786612025456
"t=210",2.98777030913819,2.87801634709937,3.00758913449742,3.05339446299991
"t=211",2.91256937835597,2.92527593191562,3.07577191587039,3.0193122283242
"t=212",2.80447779478826,3.02205346292658,3.03588503282056,2.91056630124406
"t=213",3.0503984862637,3.00556116624462,2.88565546929487,2.70831253609522
"t=214",2.99338944180833,2.88363585360922,2.74697593595643,2.82072534809643
"t=215",2.74347343806551,2.7832041159424,2.80538049435133,2.99583267413297
"t=216",2.81003516033897,2.74435402258198,3.00017354441852,2.60347329978867
"t=217",2.66366906737459,2.9383521612304,2.59787259556016,2.57395050862825
"t=218",2.82659499954414,2.53621142359282,2.51090974762397,2.4823589309137
"t=219",2.47943382935879,2.3810804267933,2.44966435660919,2.70531934278806
"t=220",2.37338056093192,2.47573835296146,2.66705551219633,2.32152286411287
"t=221",2.4260284800575,2.62516463487117,2.30395301068802,2.42897598418866
"t=222",2.73669091490197,2.38464846735361,2.4729548347637,2.21161524792022
"t=223",2.17456997977698,2.27987427953322,2.07483817291309,2.23415017224817
"t=224",2.26914119188212,2.03047922059877,2.20027374895586,1.69506174303943
"t=225",1.95477159481889,2.17989263968141,1.75654953638247,1.69467228925756
"t=226",2.18773529341745,1.7837183007498,1.72763420043246,1.50582459411386
"t=227",1.77838234383255,1.78264976662489,1.56899986304037,1.57973981650413
"t=228",1.70164380850607,1.44320763586843,1.56449616499396,1.88558192325713
"t=229",1.31797356075403,1.52185287620871,1.86768898165686,1.73303391851249
"t=230",1.50108564940081,1.99349642165519,1.77428621373155,1.95477234950896
"t=231",2.04982719300437,1.86223342009537,1.93259999639372,1.33304003562211
"t=232",1.64990611356945,1.93858587640797,1.33995161494761,1.74795806826425
"t=233",2.01124862133876,1.32420125393746,1.75052871031994,1.73784961505064
"t=234",1.43537796035273,1.75284186890066,1.72826625187771,2.01845597197506
"t=235",1.78072082563695,1.83160209199866,2.06853006331495,1.70568538052426
"t=236",1.74473077139685,2.06886948086915,1.67351755920492,1.56413977682858
"t=237",2.11558343480343,1.71327220397812,1.58712645865323,1.371506444242
"t=238",1.66760728975252,1.55488330824763,1.39232059774615,1.65357106672149
"t=239",1.56454133180056,1.41621774291201,1.63994614478607,1.72807112306838
"t=240",1.42807508366852,1.71448970768911,1.74050180824698,1.93076074024288
"t=241",1.72793476947914,1.80103579919465,1.95572692205686,2.03334355852348
"t=242",1.76058054386697,2.02350318556484,2.06763945707242,1.97711775669307
"t=243",1.98900200280804,2.03970462896812,1.96463297388631,2.16339487504341
"t=244",1.92919097970936,1.89499082774434,2.12278343810252,1.85033634211425
"t=245",1.83975336746214,2.11243640442134,1.88673263077598,2.01667140895539
"t=246",2.08274143876574,1.8994178014946,1.99950614963906,2.13151317548665
"t=247",1.94812292789665,2.00064147543283,2.12544054241277,2.31332380866592
"t=248",1.86932739242362,2.11045534110353,2.32757640948444,2.48951551085527
"t=249",2.09133580240091,2.29771086198786,2.48963138913616,2.4649223597735
"t=250",2.27283548831296,2.41341248773734,2.43466281434968,2.453658003352
"t=251",2.40439932555832,2.43453089458855,2.4997725664919,2.64701094866944
