"","h1","h2","h3","h4"
"t=204",NA,NA,NA,2.6613042198191
"t=205",NA,NA,2.65622021635113,2.44099550265783
"t=206",NA,2.6473667665179,2.44781589879632,2.60163468485913
"t=207",2.58940579655773,2.41225045296073,2.58758980365195,3.0223168698
"t=208",2.26931157337986,2.49715046208118,2.98249741225679,2.86109858007586
"t=209",2.50490218514901,2.98335841599232,2.84140885970797,2.99651623641935
"t=210",2.98965893238194,2.87583705740191,3.01164413384044,3.05156565387618
"t=211",2.90870832969565,2.92972245941063,3.08365945962734,3.02139040639418
"t=212",2.81174642187298,3.02851369153869,3.02821390077317,2.90894449325956
"t=213",3.05834705939441,3.01091736689285,2.87157655640186,2.71504467356358
"t=214",3.00105923545039,2.88054509802087,2.75561005474624,2.81974574635754
"t=215",2.73806030125875,2.784412060813,2.79857892969543,3.01009616998932
"t=216",2.81314731610351,2.74900547570303,2.99643782208493,2.60658425850157
"t=217",2.66698757637289,2.9488001711426,2.60706139431144,2.5746507338455
"t=218",2.8330689075188,2.54006575577403,2.50438839155454,2.48233711590809
"t=219",2.48474922558337,2.38549077024633,2.44899658461125,2.6921345830474
"t=220",2.3764913129447,2.47651079889118,2.66066108341132,2.32373348519516
"t=221",2.42496340773757,2.6276818017114,2.2933048331807,2.43133976198909
"t=222",2.73166565353493,2.37251742998407,2.48093165616452,2.20240909717317
"t=223",2.16734017225006,2.29521082090639,2.06063159640792,2.23570178379283
"t=224",2.27961229365741,2.02262702525352,2.1941878233278,1.70163622074511
"t=225",1.9489258055927,2.1807493099411,1.76472835928546,1.70610229228691
"t=226",2.18079727151692,1.78746367245306,1.73726373928669,1.50852961455891
"t=227",1.78580998949833,1.78116493788686,1.57707488308872,1.58003781878327
"t=228",1.70209341339471,1.45659836437237,1.56399351403593,1.88502695689625
"t=229",1.32749006737655,1.52384378818296,1.87025865923833,1.73489708995079
"t=230",1.5053327410086,1.98607734799632,1.77948102129463,1.95101641188055
"t=231",2.04069045282892,1.86746402613709,1.93345751437784,1.3385165801747
"t=232",1.64546225139914,1.93208769220175,1.33424986224869,1.75029480261605
"t=233",2.0003712062701,1.32502025045086,1.74513447979334,1.74151032412141
"t=234",1.43790957531195,1.75381403479572,1.71854873296385,2.00487057898814
"t=235",1.77992971498651,1.81809711539008,2.0927303735778,1.70952002629505
"t=236",1.73360729821671,2.07521097602291,1.67297433792186,1.57107697724046
"t=237",2.12005413509161,1.70671527641519,1.598523540953,1.37465955434118
"t=238",1.65936083069943,1.56798955874251,1.40018632816507,1.65490267789255
"t=239",1.57432981252081,1.41889193108884,1.64562417946664,1.72802972890989
"t=240",1.43292784473111,1.70584783398059,1.74892788949548,1.92725019034304
"t=241",1.71185999199179,1.79692901765614,1.96774943360971,2.03000351867945
"t=242",1.75169878335056,2.02389739198798,2.07234303418969,1.97455368856511
"t=243",1.98877678571472,2.04641307598813,1.96562475630481,2.16232684763296
"t=244",1.93196863190761,1.90165512155967,2.11512562878876,1.8508727079465
"t=245",1.84402368464045,2.11300437967926,1.89868355012715,2.02031363802105
"t=246",2.07852471056303,1.90228397117117,1.99727194578815,2.13693639951108
"t=247",1.95313155281769,1.99643171454314,2.12322960735881,2.31385879185731
"t=248",1.86482524482954,2.10932460888483,2.32565110109347,2.48397898205584
"t=249",2.08425529894717,2.30034731349345,2.49371887822093,2.46830074492169
"t=250",2.2757705082146,2.41885074823292,2.42885512155913,2.4539850638941
"t=251",2.41039490469225,2.42983906898598,2.50662945191158,2.64765358806739
"t=252",2.36834438879259,2.50746174790564,2.7019883621689,2.66246772079922
"t=253",2.55032626923112,2.7046666559559,2.67403026568986,2.92394399014586
"t=254",2.77775874088119,2.60425275086007,2.90795301313915,2.95082340906684
"t=255",2.51301079233465,2.84406798511072,2.90108460813915,3.21533564499973
"t=256",2.7960384207084,2.82182283327273,3.13741701836322,2.60372408734472
"t=257",2.72573200444389,3.12877361824296,2.59064385317512,2.63540417702634
"t=258",2.8771479350377,2.42911697672292,2.5789304021139,2.8798498445801
"t=259",2.29268210334382,2.72757212842947,2.91767751835512,2.59936758079717
"t=260",2.89809180064936,2.96676331826246,2.53735517355759,2.92553016320017
"t=261",2.71859252124266,2.58542636443669,2.88695460788582,2.66527816154989
"t=262",2.65197158466273,2.86078037880544,2.71939516283725,2.7907832211626
"t=263",2.83878223453221,2.50937496950326,2.6820486130861,2.66838657352891
"t=264",2.6399274201529,2.74499953837766,2.73868988311715,2.63570177995272
"t=265",2.64811929724475,2.6157899694072,2.54052006365202,2.70092796683948
"t=266",2.57788977027117,2.48805704428567,2.68085547763029,3.46858274515076
"t=267",2.43270699327584,2.71464910106379,3.46017128046368,3.15399114260683
"t=268",2.69346097540674,3.49655224551919,3.21807438297503,2.85630107831791
"t=269",3.48379524815817,3.12535608916166,2.82363595435861,2.66346411644604
"t=270",3.24386549852487,2.94763870226934,2.81601195824419,2.72777668733778
"t=271",2.75688257646953,2.68845605809533,2.69553843032617,2.41287850069884
"t=272",2.67217606978765,2.6704014665933,2.39547178351523,2.2505027369279
"t=273",2.61360406105943,2.34920060229521,2.2496765133343,2.49262604792914
"t=274",2.37075478477112,2.19135368229534,2.59762642071555,2.54144328956437
"t=275",2.19374002057686,2.58217240653956,2.71792796876459,1.87257427089827
"t=276",2.48614751898962,2.60439407466242,1.88507398863457,1.95043870701767
"t=277",2.486656640151,1.79084292256284,1.91051316808435,2.32435821497215
"t=278",1.92634840748248,1.9288012672824,2.16521081692879,1.75014978651581
"t=279",1.96475144041812,2.28507079408659,1.76545285929236,1.6788544361431
"t=280",2.19949702652352,1.78349948986548,1.70364305704118,1.47280712781584
"t=281",1.67740733702523,1.71776792429541,1.51218311647948,1.47146635789566
