"","h1","h2","h3","h4"
"t=204",NA,NA,NA,2.5494263091655
"t=205",NA,NA,2.5496747995281,2.63996274439465
"t=206",NA,2.54931887453994,2.63976774887642,2.67355176170009
"t=207",2.54705298179638,2.63873404416179,2.67105794456163,3.01711875462931
"t=208",2.63787588176365,2.67011555636961,3.0159140974642,2.85935870359226
"t=209",2.66971331861433,3.01552727629436,2.8581625428351,2.97656747673
"t=210",3.01450773465972,2.85748565227055,2.97607455765807,3.04118700793096
"t=211",2.85690387036905,2.97300609670983,3.04149978714123,3.06088267879931
"t=212",2.97028193077202,3.04039535735462,3.06052734666575,2.93530916627517
"t=213",3.03996868640597,3.058568427999,2.93346007575537,2.89911368354642
"t=214",3.05711653150694,2.9321523948575,2.90040319886477,2.88461296757213
"t=215",2.92767870271572,2.90066569182001,2.88314155907152,3.08619985657226
"t=216",2.90180954938587,2.88157950252205,3.08714180267923,2.68245985515245
"t=217",2.88133773067948,3.08547867377901,2.68313449486725,2.57464924436277
"t=218",3.08377517980121,2.68199425788806,2.57282710829479,2.6041545636949
"t=219",2.68152506843107,2.57038287927384,2.60317054264,2.70244837808418
"t=220",2.56917675856909,2.60284067740199,2.70120494831762,2.31859239250945
"t=221",2.60167049925826,2.69992080572093,2.31756001077662,2.40420181481177
"t=222",2.69970411269874,2.31806859446151,2.40407941237843,2.18836076462716
"t=223",2.31558488207395,2.40003627898975,2.18484879081689,2.30987787218705
"t=224",2.39858581486934,2.18323327506441,2.3083853674392,1.67096458623165
"t=225",2.18066301388624,2.30772487785917,1.67137353060795,1.74735931486772
"t=226",2.30724821963837,1.67163241453247,1.7481060132462,1.80875187681537
"t=227",1.67012700661966,1.74805302889885,1.80881515998658,1.68004292577861
"t=228",1.7483485785956,1.80902315698983,1.68037017673284,1.91060629021581
"t=229",1.80861396455091,1.68035916812534,1.90913837223705,1.81264920661036
"t=230",1.68017295724464,1.90882209943275,1.81236201870133,1.86247361382938
"t=231",1.90901774930205,1.81327320189874,1.86220023632986,1.3278225932765
