"","data_set","unit","prediction_horizon","lag_structure","prediction_time","pred_mean","pred_var","lb50","ub50","lb95","ub95","obs","unit_wise_log_score","unit_wise_pit_l","unit_wise_pit_u","multiv_log_score"
"1","rotaBE",1,4,"ar1",204,1.27617950592478,1.96749914857451,0,2,0,5,0,1.02393891724431,0,0.359177380203519,1.97997688624608
"2","rotaBE",2,4,"ar1",204,0.747986678113306,0.929883994474491,0,1,0,3,0,0.665232123049127,0,0.514154166821038,1.97997688624608
"3","rotaBE",3,4,"ar1",204,0.972451805953732,1.3360613984675,0,2,0,4,1,1.17699377681055,0.438655987859238,0.746859864819435,1.97997688624608
"4","rotaBE",4,4,"ar1",204,0.902707072028055,1.27815977067418,0,1,0,4,11,10.8157788463849,0.999967040415671,0.9999871205646,1.97997688624608
"5","rotaBE",5,4,"ar1",204,1.1181966329248,1.67770460080589,0,2,0,4,0,0.912070396372017,0,0.401691701463789,1.97997688624608
"6","rotaBE",6,4,"ar1",204,1.67732938306888,2.8331193302624,0,2,0,6,0,1.28227063694341,0,0.277406694896216,1.97997688624608
"7","rotaBE",7,4,"ar1",204,1.63711129667409,3.10055748227394,0,2,0,6,0,1.20387311780535,0,0.300029907446834,1.97997688624608
"8","rotaBE",8,4,"ar1",204,0.912045489491094,1.2042151874291,0,1,0,4,2,1.93139681382157,0.764019901671685,0.908965496678102,1.97997688624608
"9","rotaBE",9,4,"ar1",204,1.08082215499509,1.67650931513314,0,2,0,4,0,0.871334488366915,0,0.418392836159841,1.97997688624608
"10","rotaBE",10,4,"ar1",204,1.98489133558882,4.12495869612388,1,3,0,7,0,1.39378279012592,0,0.248134884855429,1.97997688624608
"11","rotaBE",11,4,"ar1",204,1.55178017899799,2.50347772535315,0,2,0,6,0,1.21151130928806,0,0.297746951489925,1.97997688624608
"12","rotaBE",12,4,"ar1",204,1.28856535225116,2.17064410493849,0,2,0,5,1,1.22149061909239,0.368647026493418,0.663437445523694,1.97997688624608
"13","rotaBE",1,3,"ar1",205,1.26417244169994,1.96771216647709,0,2,0,5,0,1.00991146106895,0,0.364251228558266,1.90403250048813
"14","rotaBE",2,3,"ar1",205,0.738212019985839,0.920530902897091,0,1,0,3,0,0.655580316231993,0,0.519140709375086,1.90403250048813
"15","rotaBE",3,3,"ar1",205,0.988399737755973,1.39944962839931,0,2,0,4,1,1.18132613977348,0.436794061551552,0.743665575673848,1.90403250048813
"16","rotaBE",4,3,"ar1",205,0.989888927577453,1.46603474657991,0,2,0,4,11,9.98837768437118,0.999918996454903,0.999964927115163,1.90403250048813
"17","rotaBE",5,3,"ar1",205,1.1488789670957,1.77188614707284,0,2,0,5,0,0.925722743418774,0,0.396244932142262,1.90403250048813
"18","rotaBE",6,3,"ar1",205,1.64935810053485,2.78111102578226,0,2,0,6,0,1.25914934244146,0,0.283895421599149,1.90403250048813
"19","rotaBE",7,3,"ar1",205,1.74743379763023,3.49857880838275,0,3,0,7,0,1.25128493827132,0,0.286136892299732,1.90403250048813
"20","rotaBE",8,3,"ar1",205,0.919655325574463,1.24688448599839,0,1,0,4,2,1.93427958083128,0.763550237500265,0.908078589822868,1.90403250048813
"21","rotaBE",9,3,"ar1",205,1.08056890299389,1.69443651862708,0,2,0,4,0,0.865968206545097,0,0.420644085046464,1.90403250048813
"22","rotaBE",10,3,"ar1",205,1.91958272883236,3.97119625833012,0,3,0,7,0,1.35126238862704,0,0.258913205168173,1.90403250048813
"23","rotaBE",11,3,"ar1",205,1.52550920923361,2.47331210329539,0,2,0,6,0,1.1887287267205,0,0.304608258366404,1.90403250048813
"24","rotaBE",12,3,"ar1",205,1.30410841515734,2.28054114829726,0,2,0,5,1,1.2301270267397,0.369606724759172,0.661862175824936,1.90403250048813
"25","rotaBE",1,4,"ar1",205,1.27266366481512,1.96601660424673,0,2,0,5,2,1.74035929674522,0.661050526838025,0.836507874874333,3.56476203763643
