"","data_set","unit","prediction_horizon","lag_structure","prediction_time","pred_mean","pred_var","lb50","ub50","lb95","ub95","obs","unit_wise_log_score","unit_wise_pit_l","unit_wise_pit_u","multiv_log_score"
"1","rotaBE",1,4,"pois",204,1.26821002838472,1.95194878968544,0,2,0,5,0,1.01866331724339,0,0.361077263496547,1.9528800938993
"2","rotaBE",2,4,"pois",204,0.728673408602702,0.903152891141263,0,1,0,3,0,0.649459498976363,0,0.522328019307062,1.9528800938993
"3","rotaBE",3,4,"pois",204,0.974478041115922,1.37264784707956,0,2,0,4,1,1.18128750601522,0.441025061272424,0.747908431223632,1.9528800938993
"4","rotaBE",4,4,"pois",204,0.888505187255784,1.2716036586651,0,1,0,4,11,10.5339832030704,0.999952957234631,0.999979573628981,1.9528800938993
"5","rotaBE",5,4,"pois",204,1.12306488999226,1.69480507251987,0,2,0,4,0,0.91397124438199,0,0.40092887183372,1.9528800938993
"6","rotaBE",6,4,"pois",204,1.64510036912127,2.78582555752003,0,2,0,6,0,1.25827044165309,0,0.284145047191003,1.9528800938993
"7","rotaBE",7,4,"pois",204,1.61440810106033,3.01181071797343,0,2,0,6,0,1.19286019456653,0,0.303352375248081,1.9528800938993
"8","rotaBE",8,4,"pois",204,0.899098528708863,1.20912210929593,0,1,0,4,2,1.95115211429894,0.770287986204153,0.91239823618715,1.9528800938993
"9","rotaBE",9,4,"pois",204,1.07895654906029,1.69864089010324,0,2,0,4,0,0.865375787266545,0,0.420893356541184,1.9528800938993
"10","rotaBE",10,4,"pois",204,1.95857945990182,4.06637981774944,0,3,0,7,0,1.37910603450216,0,0.25180355616371,1.9528800938993
"11","rotaBE",11,4,"pois",204,1.51985954022858,2.42134835482002,0,2,0,5,0,1.1933898909819,0,0.303191733131852,1.9528800938993
"12","rotaBE",12,4,"pois",204,1.26853400033238,2.10810542610596,0,2,0,5,1,1.21713792951505,0.372139878561426,0.668216225368073,1.9528800938993
"13","rotaBE",1,3,"pois",205,1.22685012638108,1.88991276199842,0,2,0,5,0,0.985843520340048,0,0.373124356171586,1.78710632388743
"14","rotaBE",2,3,"pois",205,0.722982048288945,0.900654308868491,0,1,0,3,0,0.642777266503188,0,0.525830024133493,1.78710632388743
"15","rotaBE",3,3,"pois",205,1.01289969714396,1.45939865541612,0,2,0,4,1,1.18426073128311,0.430772655600804,0.736744947253852,1.78710632388743
"16","rotaBE",4,3,"pois",205,1.25975426535851,2.04760227318022,0,2,0,5,11,8.60734010597089,0.999650140439277,0.999832899824345,1.78710632388743
"17","rotaBE",5,3,"pois",205,1.12698258417,1.71798488413427,0,2,0,4,0,0.913275140279356,0,0.401208057226043,1.78710632388743
"18","rotaBE",6,3,"pois",205,1.59425888160801,2.71427141499971,0,2,0,6,0,1.21777806728792,0,0.295886877803008,1.78710632388743
"19","rotaBE",7,3,"pois",205,1.85726979102133,3.7959042339039,0,3,0,7,0,1.31526403118321,0,0.26840344700319,1.78710632388743
"20","rotaBE",8,3,"pois",205,0.899415190224584,1.21737598549575,0,1,0,4,2,1.95450578176233,0.770196431111493,0.911830888843344,1.78710632388743
"21","rotaBE",9,3,"pois",205,1.09447252215633,1.76731189723789,0,2,0,5,0,0.86813989297644,0,0.419731569202318,1.78710632388743
