"X","data_set","unit","prediction_horizon","model","prediction_time","pred_mean","pred_var","lb50","ub50","lb95","ub95","obs","unit_wise_log_score","unit_wise_pit_l","unit_wise_pit_u","multiv_log_score"
1,"rotaBE",1,1,"glarma",204,0.911666864468181,1.31087241252464,0,1,0,4,0,0.747910821110692,0,0.473354442550974,NA
2,"rotaBE",1,2,"glarma",204,1.3802311148849,2.64416529131017,0,2,0,6,1,1.28134165631823,0.368682828677554,0.646347348757381,NA
3,"rotaBE",1,3,"glarma",204,1.72379365250578,3.76844196907077,0,3,0,7,0,1.16766168171515,0,0.311093527122689,NA
4,"rotaBE",1,4,"glarma",204,0.999382318338301,1.71121272600519,0,2,0,4,0,0.770946310821641,0,0.462575121283811,NA
5,"rotaBE",1,1,"glarma",205,1.11389941073171,1.72773582743775,0,2,0,5,1,1.24513572780972,0.41622276061748,0.704124589811566,NA
6,"rotaBE",1,2,"glarma",205,1.68930566398082,3.63592534088788,0,2,0,7,0,1.15287760522071,0,0.315726923474921,NA
7,"rotaBE",1,3,"glarma",205,1.02289833547187,1.77573086384182,0,2,0,4,0,0.784192543359707,0,0.456488147399526,NA
8,"rotaBE",1,4,"glarma",205,1.20538861964505,2.19569307011458,0,2,0,5,2,1.86369937832111,0.690686642949018,0.84578444527181,NA
9,"rotaBE",1,1,"glarma",206,1.58633027768333,2.84245882274736,0,2,0,6,0,1.1509594259981,0,0.316333125515762,NA
10,"rotaBE",1,2,"glarma",206,1.01908795798133,1.72390426491098,0,2,0,4,0,0.78538646516794,0,0.455943461466051,NA
11,"rotaBE",1,3,"glarma",206,1.19721247232866,2.15708103494723,0,2,0,5,2,1.86349921577331,0.692320149609911,0.84744899981118,NA
12,"rotaBE",1,4,"glarma",206,2.85851603006529,8.44781287722303,1,4,0,10,1,1.59231876178603,0.191446459421982,0.394899764035984,NA
13,"rotaBE",1,1,"glarma",207,0.779757459382121,1.05170372809889,0,1,0,4,0,0.661720727321124,0,0.515962739013997,NA
14,"rotaBE",1,2,"glarma",207,1.23452474617793,2.27498256619536,0,2,0,5,2,1.85357661556842,0.683352765262165,0.84002855918387,NA
15,"rotaBE",1,3,"glarma",207,2.8323691068377,8.39040627021769,1,4,0,10,1,1.58660075639002,0.194163060944788,0.398783045013346,NA
16,"rotaBE",1,4,"glarma",207,3.35575365123031,11.3806635352196,1,5,0,12,2,1.83258925648465,0.344757768393667,0.504756521560711,NA
17,"rotaBE",1,1,"glarma",208,0.887047435332377,1.33009986635563,0,1,0,4,2,2.01675731469629,0.775023433508149,0.908109756706445,NA
18,"rotaBE",1,2,"glarma",208,2.88619133739994,8.88767332731817,1,4,0,11,1,1.59701668130603,0.191332736608028,0.393832475611921,NA
19,"rotaBE",1,3,"glarma",208,3.38876449711458,11.5943057580144,1,5,0,12,2,1.83711906201429,0.341959884356799,0.501235513329488,NA
20,"rotaBE",1,4,"glarma",208,3.99924641004239,15.8220919560908,1,6,0,14,2,1.91550266640045,0.292665370457812,0.439933157866923,NA
21,"rotaBE",1,1,"glarma",209,3.35026098186785,9.08685091499773,1,5,0,12,1,1.75170511790779,0.148523342184789,0.322001233046366,NA
22,"rotaBE",1,2,"glarma",209,3.31995825118405,11.3072846073306,1,5,0,12,2,1.82700416721363,0.34818676149016,0.509081622067465,NA
23,"rotaBE",1,3,"glarma",209,3.8696512176915,14.1191676480524,1,5,0,14,2,1.90047645438927,0.298707847586766,0.448205221158274,NA
