"","data_set","unit","prediction_horizon","lag_structure","prediction_time","pred_mean","pred_var","lb50","ub50","lb95","ub95","obs","unit_wise_log_score","unit_wise_pit_l","unit_wise_pit_u","multiv_log_score"
"1","rotaBE",1,4,"geom",204,1.25722723187917,1.97071426394506,0,2,0,5,0,1.00134852002635,0,0.367383682722965,1.92309967467425
"2","rotaBE",2,4,"geom",204,0.79765647607939,1.10354452336091,0,1,0,4,0,0.678124030942274,0,0.507568282183531,1.92309967467425
"3","rotaBE",3,4,"geom",204,1.16000752300266,1.80593564153659,0,2,0,5,1,1.20035937489713,0.39442915195823,0.695515141678845,1.92309967467425
"4","rotaBE",4,4,"geom",204,0.948140614582595,1.40369526523367,0,1,0,4,11,10.0527832133746,0.999922835572643,0.999965901293659,1.92309967467425
"5","rotaBE",5,4,"geom",204,1.17447338454432,1.80117445982616,0,2,0,5,0,0.945014398060702,0,0.388673974709985,1.92309967467425
"6","rotaBE",6,4,"geom",204,1.79510155322832,3.27115241769686,0,3,0,6,0,1.32513467494662,0,0.265767164499971,1.92309967467425
"7","rotaBE",7,4,"geom",204,1.53117190561398,2.64127551313742,0,2,0,6,0,1.16721663001718,0,0.311232010639042,1.92309967467425
"8","rotaBE",8,4,"geom",204,1.01536134738718,1.51014786246215,0,2,0,4,2,1.89245948847527,0.737429484752028,0.888130190764256,1.92309967467425
"9","rotaBE",9,4,"geom",204,1.1126796625147,1.71226447395813,0,2,0,4,0,0.897163368487852,0,0.407724585324031,1.92309967467425
"10","rotaBE",10,4,"geom",204,1.91838301663016,3.60204790360277,1,3,0,7,0,1.39592927707537,0,0.247602837783711,1.92309967467425
"11","rotaBE",11,4,"geom",204,1.65411031615555,2.92210981108468,0,2,0,6,0,1.24347363000033,0,0.288380748088483,1.92309967467425
"12","rotaBE",12,4,"geom",204,1.20507232423343,1.89419661489489,0,2,0,5,1,1.20241527814348,0.382130002274143,0.682597624201044,1.92309967467425
"13","rotaBE",1,3,"geom",205,1.21929202159623,1.94987214775449,0,2,0,5,0,0.966182189721028,0,0.380533071437671,1.6447631685966
"14","rotaBE",2,3,"geom",205,0.729457260550851,0.995649611158297,0,1,0,3,0,0.624911048556957,0,0.535309042913116,1.6447631685966
"15","rotaBE",3,3,"geom",205,1.09765448425441,1.68919058376371,0,2,0,4,1,1.20049908632138,0.412635955035645,0.713679882542168,1.6447631685966
"16","rotaBE",4,3,"geom",205,1.77847049178206,3.27547760903428,0,3,0,6,11,6.98510385502439,0.997950110707085,0.998875677873914,1.6447631685966
"17","rotaBE",5,3,"geom",205,1.16016515802878,1.80736303838687,0,2,0,5,0,0.929656789441195,0,0.394689148611604,1.6447631685966
"18","rotaBE",6,3,"geom",205,1.6349709699983,2.92151482464804,0,2,0,6,0,1.22496064118346,0,0.293769262506503,1.6447631685966
"19","rotaBE",7,3,"geom",205,1.70611380943623,3.09098421537568,0,3,0,6,0,1.26529059885286,0,0.282157289640908,1.6447631685966
"20","rotaBE",8,3,"geom",205,0.993264452224645,1.47373404849764,0,2,0,4,2,1.90986197110684,0.74419050551937,0.892291332897369,1.6447631685966
"21","rotaBE",9,3,"geom",205,1.09504609640254,1.68979186626234,0,2,0,4,0,0.88238993696514,0,0.413792790303567,1.6447631685966
"22","rotaBE",10,3,"geom",205,1.84562456559263,3.45877182052374,0,3,0,7,0,1.34702636303051,0,0.260012294374052,1.6447631685966
"23","rotaBE",11,3,"geom",205,1.50921853208978,2.57090046074298,0,2,0,6,0,1.15433389531335,0,0.31526746811563,1.6447631685966
"24","rotaBE",12,3,"geom",205,1.16122017095133,1.80572028805587,0,2,0,5,1,1.20254503576247,0.394493701978745,0.694922338471825,1.6447631685966
"25","rotaBE",1,4,"geom",205,1.3404823944577,2.1873748941196,0,2,0,5,2,1.73306940353944,0.6455567644026,0.822297851242563,2.47256307575678
"26","rotaBE",2,4,"geom",205,0.84555741329587,1.20386063320801,0,1,0,4,1,1.21439324629989,0.492236761191388,0.789126860012417,2.47256307575678
"27","rotaBE",3,4,"geom",205,1.16307838967721,1.85417515247809,0,2,0,5,0,0.925187936801781,0,0.39645690323064,2.47256307575678
"28","rotaBE",4,4,"geom",205,1.62382819752411,3.05937150950911,0,2,0,6,33,16.0955855853896,0.999999632517481,0.999999734794014,2.47256307575678
"29","rotaBE",5,4,"geom",205,1.23509469077074,2.01057053890624,0,2,0,5,1,1.21093093551271,0.378228065904484,0.676147872072054,2.47256307575678
"30","rotaBE",6,4,"geom",205,1.84147551651844,3.41569426777352,0,3,0,7,1,1.32244123941569,0.260068540076136,0.526552496182581,2.47256307575678
"31","rotaBE",7,4,"geom",205,1.76880282858163,3.25506888164441,0,3,0,6,0,1.30158671315789,0,0.272099706141696,2.47256307575678
"32","rotaBE",8,4,"geom",205,1.06944045108226,1.64961833744324,0,2,0,4,0,0.864372469261176,0,0.42131585834053,2.47256307575678
"33","rotaBE",9,4,"geom",205,1.16248967334363,1.83615120058524,0,2,0,5,1,1.20502501876967,0.395967308259551,0.695651809941485,2.47256307575678
"34","rotaBE",10,4,"geom",205,2.05555256140382,4.04186390877453,1,3,0,7,0,1.46280497143791,0,0.231585771360486,2.47256307575678
"35","rotaBE",11,4,"geom",205,1.71314151593777,3.0792087384482,0,3,0,6,2,1.65466159596077,0.554358414904992,0.745515147876878,2.47256307575678
"36","rotaBE",12,4,"geom",205,1.272482934678,2.07181685150772,0,2,0,5,2,1.76162973384144,0.665046811124245,0.836811515964773,2.47256307575678
"37","rotaBE",1,2,"geom",206,1.18605578541693,1.82829322458525,0,2,0,5,0,0.954221090861746,0,0.385111995011853,1.67352986564052
"38","rotaBE",2,2,"geom",206,0.761806681744117,1.03615396249544,0,1,0,3,0,0.653537802969009,0,0.520202144788281,1.67352986564052
"39","rotaBE",3,2,"geom",206,0.945773400371965,1.36512717901091,0,1,0,4,1,1.19422325833684,0.455084387022969,0.758023555316402,1.67352986564052
"40","rotaBE",4,2,"geom",206,1.65955036659083,2.88226041081372,0,2,0,6,11,7.50081793056977,0.998874462628377,0.99942709479887,1.67352986564052
"41","rotaBE",5,2,"geom",206,0.998880656062083,1.43769144349495,0,2,0,4,0,0.829409411615863,0,0.436306888025748,1.67352986564052
"42","rotaBE",6,2,"geom",206,1.69843217951512,2.97562858390881,0,3,0,6,0,1.27627255965726,0,0.279075601804699,1.67352986564052
"43","rotaBE",7,2,"geom",206,1.56536650747185,2.65197090065145,0,2,0,6,0,1.19664952046499,0,0.302205049404829,1.67352986564052
"44","rotaBE",8,2,"geom",206,0.989848761324872,1.44365469932308,0,2,0,4,2,1.90467063923002,0.744449483639038,0.893321150674258,1.67352986564052
"45","rotaBE",9,2,"geom",206,1.05942674548937,1.57488048925964,0,2,0,4,0,0.867302620116413,0,0.420083146216115,1.67352986564052
"46","rotaBE",10,2,"geom",206,1.72933631550975,3.05813886057289,0,3,0,6,0,1.29334826508807,0,0.274350644830003,1.67352986564052
"47","rotaBE",11,2,"geom",206,1.58271047092312,2.68959700559081,0,2,0,6,0,1.20785626409114,0,0.298837221333868,1.67352986564052
"48","rotaBE",12,2,"geom",206,1.1196015479173,1.67442026992264,0,2,0,4,1,1.19261167723893,0.401654104797532,0.705081877735657,1.67352986564052
"49","rotaBE",1,3,"geom",206,1.31215698975365,2.11962325150329,0,2,0,5,2,1.74027849087815,0.652940594776193,0.828412121368491,2.87684277016124
"50","rotaBE",2,3,"geom",206,0.837455879989329,1.16432723849973,0,1,0,4,1,1.20592746812941,0.49180742027177,0.791221593864087,2.87684277016124
"51","rotaBE",3,3,"geom",206,1.05331028535587,1.58015089815892,0,2,0,4,0,0.860399164693315,0,0.422993204662179,2.87684277016124
"52","rotaBE",4,3,"geom",206,1.56003642494473,2.75836715401486,0,2,0,6,33,20.0718131764944,0.999999995276768,0.999999997195093,2.87684277016124
"53","rotaBE",5,3,"geom",206,1.11163196859893,1.70616686061527,0,2,0,4,1,1.19561108431327,0.406843913568148,0.709362946619281,2.87684277016124
"54","rotaBE",6,3,"geom",206,1.84883245340723,3.39587266776775,0,3,0,7,1,1.32312697336733,0.257248237686974,0.523549519337346,2.87684277016124
"55","rotaBE",7,3,"geom",206,1.6528927485092,2.87095577403783,0,2,0,6,0,1.24686654815955,0,0.287403953840057,2.87684277016124
"56","rotaBE",8,3,"geom",206,1.06497972306078,1.62316306296687,0,2,0,4,0,0.865208945773824,0,0.420963584875403,2.87684277016124
"57","rotaBE",9,3,"geom",206,1.12177094976762,1.72231246536582,0,2,0,4,1,1.19714352640384,0.404161050962102,0.706216846147047,2.87684277016124
"58","rotaBE",10,3,"geom",206,1.94862170744387,3.66122646664464,1,3,0,7,0,1.41437178165971,0,0.24307827172078,2.87684277016124
"59","rotaBE",11,3,"geom",206,1.72942437829788,3.04180230752448,0,3,0,6,2,1.64576096832386,0.548021791403627,0.740887533620985,2.87684277016124
"60","rotaBE",12,3,"geom",206,1.23988778401243,1.93207652329311,0,2,0,5,2,1.76309087511072,0.671403010538832,0.842916926144382,2.87684277016124
"61","rotaBE",1,4,"geom",206,2.3731112855654,4.77752242478206,1,3,0,8,1,1.46649383370653,0.191296425234296,0.422029482320575,1.70957851427567
"62","rotaBE",2,4,"geom",206,1.48094362532381,2.44609073716944,0,2,0,5,0,1.14780954748872,0,0.317331107365273,1.70957851427567
"63","rotaBE",3,4,"geom",206,1.8701082743095,3.34838358313013,0,3,0,7,0,1.38419846808968,0,0.250524522737318,1.70957851427567
"64","rotaBE",4,4,"geom",206,2.25468231550307,4.58097847765026,1,3,0,8,6,3.41388475121516,0.920397279209237,0.953310371736483,1.70957851427567
"65","rotaBE",5,4,"geom",206,1.97022633305257,3.62440985583606,1,3,0,7,0,1.44005358892388,0,0.236915062318692,1.70957851427567
"66","rotaBE",6,4,"geom",206,3.29978874112982,7.82373528576169,1,5,0,10,1,1.7436071898631,0.123465839974561,0.298354245729698,1.70957851427567
"67","rotaBE",7,4,"geom",206,2.8855294543015,6.47761237693394,1,4,0,9,0,1.89890046876379,0,0.14973316503648,1.70957851427567
"68","rotaBE",8,4,"geom",206,1.86124978942884,3.34794258493319,0,3,0,7,0,1.37620717270123,0,0.252534558900057,1.70957851427567
"69","rotaBE",9,4,"geom",206,1.92535903358013,3.52347230661691,1,3,0,7,1,1.34235329783803,0.243820656402494,0.50505084862069,1.70957851427567
"70","rotaBE",10,4,"geom",206,3.49806805303832,8.61583576917625,1,5,0,11,0,2.17611326544812,0,0.113481748013238,1.70957851427567
"71","rotaBE",11,4,"geom",206,3.04028564161922,6.82736489345029,1,4,0,10,2,1.71389827905044,0.3263497904434,0.5065118902169,1.70957851427567
"72","rotaBE",12,4,"geom",206,2.25887438043528,4.41928434934286,1,3,0,8,1,1.4342040951361,0.202736384817005,0.441041341446915,1.70957851427567
"73","rotaBE",1,1,"geom",207,0.898971717804344,1.21737508516019,0,1,0,4,0,0.769563693831185,0,0.463215127845879,1.73361081655754
"74","rotaBE",2,1,"geom",207,0.57618466573365,0.706985039970159,0,1,0,3,0,0.519254574809405,0,0.594963883779289,1.73361081655754
"75","rotaBE",3,1,"geom",207,0.887582354242517,1.19796891851746,0,1,0,4,1,1.18027473431346,0.467133944872295,0.774328275055611,1.73361081655754
"76","rotaBE",4,1,"geom",207,1.25570914670748,1.87695529614204,0,2,0,5,11,9.63887868422747,0.99989632420995,0.999961470273065,1.73361081655754
"77","rotaBE",5,1,"geom",207,0.760287169464893,0.988028009057146,0,1,0,3,0,0.66502853242773,0,0.514258854443702,1.73361081655754
"78","rotaBE",6,1,"geom",207,1.63359096559803,2.68500129748193,0,2,0,6,0,1.26119982889865,0,0.283313894292589,1.73361081655754
"79","rotaBE",7,1,"geom",207,1.1953488179912,1.7583054080106,0,2,0,5,0,0.979497237757462,0,0.375499838542727,1.73361081655754
"80","rotaBE",8,1,"geom",207,1.25665161265859,1.87883065816686,0,2,0,5,2,1.72930730487589,0.663124624269349,0.840531880828299,1.73361081655754
"81","rotaBE",9,1,"geom",207,0.982578867033634,1.36296128345513,0,2,0,4,0,0.830564520827008,0,0.435803196885647,1.73361081655754
"82","rotaBE",10,1,"geom",207,1.3231383903472,2.01289542040232,0,2,0,5,0,1.06491872375767,0,0.34475587409052,1.73361081655754
"83","rotaBE",11,1,"geom",207,1.1977809570265,1.76303073812108,0,2,0,5,0,0.981150140585425,0,0.374879686464455,1.73361081655754
"84","rotaBE",12,1,"geom",207,0.856348699363205,1.1452748685656,0,1,0,4,1,1.18369182237908,0.478120779867506,0.784267191406142,1.73361081655754
"85","rotaBE",1,2,"geom",207,1.12281510473115,1.67354232496741,0,2,0,4,2,1.81082333400274,0.70396884125271,0.867488291493517,3.24756043724304
"86","rotaBE",2,2,"geom",207,0.711423470109401,0.93590498155232,0,1,0,3,1,1.22982500506,0.538387458721665,0.830731190600351,3.24756043724304
"87","rotaBE",3,2,"geom",207,1.01826489696263,1.48243864570529,0,2,0,4,0,0.842662527106057,0,0.430562611310179,3.24756043724304
"88","rotaBE",4,2,"geom",207,1.27978324469216,2.02894390311704,0,2,0,5,33,24.6136956546637,0.999999999958241,0.999999999978677,3.24756043724304
"89","rotaBE",5,2,"geom",207,0.934497236838797,1.29926041503413,0,1,0,4,1,1.18925747578863,0.454810893664918,0.759258133271578,3.24756043724304
"90","rotaBE",6,2,"geom",207,1.81140850337105,3.21536860865896,0,3,0,6,1,1.31374546780032,0.259774620596111,0.52858596487631,3.24756043724304
"91","rotaBE",7,2,"geom",207,1.40190013019746,2.25258336789351,0,2,0,5,0,1.10026353077023,0,0.332783373482683,3.24756043724304
"92","rotaBE",8,2,"geom",207,1.26797436775125,1.96980500799015,0,2,0,5,0,1.01256330171036,0,0.363286571969774,3.24756043724304
"93","rotaBE",9,2,"geom",207,1.06058879063566,1.53755581602753,0,2,0,4,1,1.18793913875881,0.416537299857351,0.721386168216469,3.24756043724304
"94","rotaBE",10,2,"geom",207,1.64522595418268,2.80866495007977,0,2,0,6,0,1.25100776397581,0,0.286216213083607,3.24756043724304
"95","rotaBE",11,2,"geom",207,1.47728609016293,2.38467146994773,0,2,0,5,2,1.6776126047955,0.605691613331823,0.792511069264563,3.24756043724304
"96","rotaBE",12,2,"geom",207,1.0612771165366,1.55297553625723,0,2,0,4,2,1.84705122298466,0.722035710166796,0.879737218105897,3.24756043724304
"97","rotaBE",1,3,"geom",207,2.16588167640447,4.07384657213451,1,3,0,7,1,1.41081010510355,0.211569950755571,0.45551553227969,1.68145492312999
"98","rotaBE",2,3,"geom",207,1.32403990551714,2.04460267918698,0,2,0,5,0,1.05629815623055,0,0.347740712398957,1.68145492312999
"99","rotaBE",3,3,"geom",207,1.78093377360738,3.11694907121328,0,3,0,6,0,1.33394516391981,0,0.263435910651096,1.68145492312999
"100","rotaBE",4,3,"geom",207,1.9782182800435,3.67245862709005,1,3,0,7,6,3.67028131196809,0.944075747390951,0.969545051509695,1.68145492312999
"101","rotaBE",5,3,"geom",207,1.80453506761522,3.15947127109662,0,3,0,6,0,1.34864158070818,0,0.259592656913925,1.68145492312999
"102","rotaBE",6,3,"geom",207,3.2110701558921,7.54962333626311,1,5,0,10,1,1.71611411763658,0.128850386516198,0.308613718123366,1.68145492312999
"103","rotaBE",7,3,"geom",207,2.57957411883191,5.3240670182505,1,4,0,8,0,1.76222982628263,0,0.17166166106048,1.68145492312999
"104","rotaBE",8,3,"geom",207,2.01100136352628,3.76029689036748,1,3,0,7,0,1.45673621495666,0,0.232995482280927,1.68145492312999
"105","rotaBE",9,3,"geom",207,1.86962434220435,3.39321849796179,0,3,0,7,1,1.3282525683669,0.252159977745466,0.517099799006172,1.68145492312999
"106","rotaBE",10,3,"geom",207,3.19898775158322,7.36807368214079,1,5,0,10,0,2.05204803414649,0,0.128471519910855,1.68145492312999
"107","rotaBE",11,3,"geom",207,2.8165805814841,6.09189663271278,1,4,0,9,2,1.68265026864017,0.35481571573525,0.540696404631077,1.68145492312999
"108","rotaBE",12,3,"geom",207,2.05286301435924,3.81094043226324,1,3,0,7,1,1.37754010788305,0.225764622507479,0.477962793450829,1.68145492312999
"109","rotaBE",1,4,"geom",207,2.70938453695097,5.91867594033265,1,4,0,9,2,1.67416167644664,0.373507499920879,0.560972770098648,1.67641417954602
"110","rotaBE",2,4,"geom",207,1.67145690453428,2.92405274378103,0,2,0,6,0,1.25734965965928,0,0.28440680332576,1.67641417954602
"111","rotaBE",3,4,"geom",207,2.21066710535507,4.4342269896722,1,3,0,8,0,1.55196905583742,0,0.211830456906862,1.67641417954602
"112","rotaBE",4,4,"geom",207,2.27968517966272,4.70079250193348,1,3,0,8,2,1.64337072012372,0.443657959612223,0.63698525021063,1.67641417954602
"113","rotaBE",5,4,"geom",207,2.23965849482758,4.54744011090662,1,3,0,8,1,1.42592897279192,0.20868195124242,0.448967092378341,1.67641417954602
"114","rotaBE",6,4,"geom",207,3.85750477542378,10.2563207316312,2,5,0,12,2,1.85299705468608,0.249680669642036,0.406447293043172,1.67641417954602
"115","rotaBE",7,4,"geom",207,3.18859801451723,7.59049714427222,1,5,0,10,2,1.74048175038624,0.313884371208967,0.489320235169591,1.67641417954602
"116","rotaBE",8,4,"geom",207,2.35299119096205,4.88299771394724,1,3,0,8,1,1.45823448239081,0.197725352677647,0.430372006799358,1.67641417954602
"117","rotaBE",9,4,"geom",207,2.21239638079891,4.3754694936131,1,3,0,8,2,1.63598530311046,0.452287030679571,0.647047409401895,1.67641417954602
"118","rotaBE",10,4,"geom",207,4.03005039046031,11.0711001462518,2,6,0,12,0,2.36669742344813,0,0.0937899638920915,1.67641417954602
"119","rotaBE",11,4,"geom",207,3.53810481125691,9.09030023056521,1,5,0,11,1,1.80337792267143,0.114378062315116,0.279119525673693,1.67641417954602
"120","rotaBE",12,4,"geom",207,2.56801024061659,5.50912880810093,1,4,0,8,0,1.73622168506945,0,0.176184826381731,1.67641417954602
"121","rotaBE",1,1,"geom",208,0.796860323110842,1.0506773628727,0,1,0,3,2,2.05580902943028,0.803292435522437,0.93128168213509,2.46663621903449
"122","rotaBE",2,1,"geom",208,0.51834699648452,0.625745329649786,0,1,0,3,1,1.31648460545853,0.624330345693043,0.892406386206031,2.46663621903449
"123","rotaBE",3,1,"geom",208,1.02061112710696,1.43697876440673,0,2,0,4,0,0.855951294562369,0,0.424878813866549,2.46663621903449
"124","rotaBE",4,1,"geom",208,3.46046353454934,8.2470391338193,1,5,0,11,33,15.1051679060897,0.999999302870064,0.999999578235185,2.46663621903449
"125","rotaBE",5,1,"geom",208,0.677526301010425,0.861014731552089,0,1,0,3,1,1.22854727982805,0.549043759989179,0.841761265569681,2.46663621903449
"126","rotaBE",6,1,"geom",208,1.3600738488851,2.09947708793639,0,2,0,5,1,1.21274265186186,0.337519382147538,0.634899930769895,2.46663621903449
"127","rotaBE",7,1,"geom",208,1.06113508837496,1.51122338392153,0,2,0,4,0,0.884569045740487,0,0.412892072540455,2.46663621903449
"128","rotaBE",8,1,"geom",208,1.39501567560134,2.17289914733125,0,2,0,5,0,1.10866640825267,0,0.329998751371111,2.46663621903449
"129","rotaBE",9,1,"geom",208,0.812519496621037,1.07641011443902,0,1,0,3,1,1.19247127248123,0.494796358682175,0.798266737314193,2.46663621903449
"130","rotaBE",10,1,"geom",208,1.17627367255615,1.72933478358949,0,2,0,4,0,0.964137007910711,0,0.381312127137321,2.46663621903449
"131","rotaBE",11,1,"geom",208,1.06311340239726,1.51488149538735,0,2,0,4,2,1.82869974370131,0.71993864171934,0.880560923908118,2.46663621903449
"132","rotaBE",12,1,"geom",208,1.03540867303694,1.46393742428288,0,2,0,4,2,1.84638838309672,0.728347163566919,0.886153237007135,2.46663621903449
"133","rotaBE",1,2,"geom",208,1.87760629370291,3.31027424647854,1,3,0,6,1,1.33249740124585,0.248143161356595,0.511960740902438,1.53523285615234
"134","rotaBE",2,2,"geom",208,1.17749853150738,1.75771384724556,0,2,0,5,0,0.957533233818766,0,0.383838559094976,1.53523285615234
"135","rotaBE",3,2,"geom",208,1.82300670643124,3.20801114225468,0,3,0,6,0,1.35726457614796,0,0.257363814078602,1.53523285615234
"136","rotaBE",4,2,"geom",208,3.81158167318225,10.1496879617541,1,5,0,12,6,2.68677196633709,0.759989192435449,0.828089607811956,1.53523285615234
"137","rotaBE",5,2,"geom",208,1.5588671334073,2.54328441747739,0,2,0,6,0,1.2057060635202,0,0.299480472609598,1.53523285615234
"138","rotaBE",6,2,"geom",208,2.83304715014251,6.08785826180951,1,4,0,9,1,1.60879540642664,0.151932265764352,0.352060808256084,1.53523285615234
"139","rotaBE",7,2,"geom",208,2.30893039460923,4.46196003826548,1,3,0,8,0,1.62714143265671,0,0.196490453282582,1.53523285615234
"140","rotaBE",8,2,"geom",208,2.1050871343974,3.95282080398947,1,3,0,7,0,1.51248839908921,0,0.220360949156119,1.53523285615234
"141","rotaBE",9,2,"geom",208,1.62403310606604,2.71786544976475,0,2,0,6,1,1.27030087086632,0.288827581999214,0.569574722433884,1.53523285615234
"142","rotaBE",10,2,"geom",208,2.76799677920595,5.86274495243362,1,4,0,9,0,1.85575676066711,0,0.156334590029646,1.53523285615234
"143","rotaBE",11,2,"geom",208,2.47625047956663,4.97887960590881,1,4,0,8,2,1.64608610777132,0.403361809324443,0.596164853474302,1.53523285615234
"144","rotaBE",12,2,"geom",208,2.02843574723044,3.69803859189966,1,3,0,7,1,1.37410677441471,0.228336000650204,0.481401540145218,1.53523285615234
"145","rotaBE",1,3,"geom",208,2.46693179460118,5.16040494910552,1,4,0,8,2,1.65403334259916,0.410405146272647,0.601682011837519,1.65527457045383
"146","rotaBE",2,3,"geom",208,1.55157129448771,2.68385348064155,0,2,0,6,0,1.17814179883217,0,0.307850255143954,1.65527457045383
"147","rotaBE",3,3,"geom",208,2.25578957281045,4.61530845346222,1,3,0,8,0,1.56760498444301,0,0.208544050965898,1.65527457045383
"148","rotaBE",4,3,"geom",208,3.7782341544241,10.8233343168652,1,5,0,12,2,1.83709168029298,0.26728678045783,0.426566770731112,1.65527457045383
"149","rotaBE",5,3,"geom",208,2.0528368999094,4.00573597522659,1,3,0,7,1,1.37680649397411,0.23156571644054,0.483948971351689,1.65527457045383
"150","rotaBE",6,3,"geom",208,3.6296880488478,9.53379393612264,1,5,0,11,2,1.81334216318962,0.272379259163687,0.435487350129966,1.65527457045383
"151","rotaBE",7,3,"geom",208,2.92145093295185,6.71509061184884,1,4,0,10,2,1.70469499893706,0.347400697274994,0.529228532676965,1.65527457045383
"152","rotaBE",8,3,"geom",208,2.46458624526719,5.28334686806243,1,4,0,8,1,1.48997034240741,0.188532144889857,0.413911484538811,1.65527457045383
"153","rotaBE",9,3,"geom",208,2.06118856787996,4.04298352701375,1,3,0,7,2,1.6393639594926,0.48300578521782,0.677109245918629,1.65527457045383
"154","rotaBE",10,3,"geom",208,3.65484598520733,9.60177574455527,1,5,0,11,0,2.20609213827077,0,0.110130182214037,1.65527457045383
"155","rotaBE",11,3,"geom",208,3.21882045974766,7.8000539932798,1,5,0,10,1,1.71189082482149,0.131295005798122,0.311819135998886,1.65527457045383
"156","rotaBE",12,3,"geom",208,2.55304763832278,5.493646267571,1,4,0,9,0,1.72019228958772,0,0.179031718666036,1.65527457045383
"157","rotaBE",1,4,"geom",208,3.06709622659404,7.56289761029293,1,4,0,10,2,1.72673041846564,0.334842495007725,0.512707499444022,1.85927712707208
"158","rotaBE",2,4,"geom",208,1.93732289143172,3.75903862013681,1,3,0,7,1,1.34796122029165,0.249795937598587,0.509565271175786,1.85927712707208
"159","rotaBE",3,4,"geom",208,2.71956822670359,6.43466087925477,1,4,0,9,0,1.76773027593163,0,0.170720036789663,1.85927712707208
"160","rotaBE",4,4,"geom",208,3.95516989875676,12.0255562566077,1,6,0,13,1,1.88836536073436,0.104559172554533,0.255878131246955,1.85927712707208
"161","rotaBE",5,4,"geom",208,2.57555217364076,5.81036043291501,1,4,0,9,0,1.71016529357596,0,0.18083589913416,1.85927712707208
"162","rotaBE",6,4,"geom",208,4.41346717192781,13.7295084962675,2,6,0,14,3,2.01848124269871,0.359608174812748,0.492465264419622,1.85927712707208
"163","rotaBE",7,4,"geom",208,3.62525033653726,9.93852944063194,1,5,0,12,0,2.16285968368959,0,0.114995798773612,1.85927712707208
"164","rotaBE",8,4,"geom",208,2.84596436979468,6.85269603463309,1,4,0,10,2,1.70085001921925,0.364457670071903,0.546985975596864,1.85927712707208
"165","rotaBE",9,4,"geom",208,2.52645527183037,5.58231333035413,1,4,0,9,0,1.68861961896114,0,0.184774407122656,1.85927712707208
"166","rotaBE",10,4,"geom",208,4.54985292734923,14.2389381905067,2,6,0,14,4,2.1704003303004,0.476974389255761,0.591106306555,1.85927712707208
"167","rotaBE",11,4,"geom",208,4.04237287575358,11.6384611038043,2,6,0,13,1,1.93345737597084,0.096973338232414,0.241620571334248,1.85927712707208
"168","rotaBE",12,4,"geom",208,3.09462968499981,7.65877643821941,1,4,0,10,4,2.2286786099341,0.652232730762937,0.759903341815653,1.85927712707208
"169","rotaBE",1,1,"geom",209,2.15943662158609,4.07324541204694,1,3,0,7,1,1.4109873393045,0.21304710494677,0.45694945480185,1.53127478468312
"170","rotaBE",2,1,"geom",209,1.29282622235854,1.97878485373076,0,2,0,5,0,1.03713983943751,0,0.354467066201338,1.53127478468312
"171","rotaBE",3,1,"geom",209,1.78236162877062,3.08615650056943,0,3,0,6,0,1.33765653742528,0,0.262460013671204,1.53127478468312
"172","rotaBE",4,1,"geom",209,12.5810166056449,77.5414766252728,6,17,1,34,6,2.89616844701856,0.2169970556353,0.272231504483299,1.53127478468312
"173","rotaBE",5,1,"geom",209,1.60841575984693,2.67014617878515,0,2,0,6,0,1.2350671063663,0,0.290815246158593,1.53127478468312
