"","data_set","unit","prediction_horizon","lag_structure","prediction_time","pred_mean","pred_var","lb50","ub50","lb95","ub95","obs","unit_wise_log_score","unit_wise_pit_l","unit_wise_pit_u","multiv_log_score"
"1","rotaBE",1,4,"lin",204,1.35590813654897,2.22654528071904,0,2,0,5,0,1.05781957388126,0,0.34721205579696,1.91985804085244
"2","rotaBE",2,4,"lin",204,0.800745085335263,1.11527013225499,0,1,0,4,0,0.678744210471909,0,0.507253596315982,1.91985804085244
"3","rotaBE",3,4,"lin",204,1.0766736422175,1.65248037468902,0,2,0,4,1,1.20004455806258,0.418867243368373,0.720048034949026,1.91985804085244
"4","rotaBE",4,4,"lin",204,0.942397961262215,1.40770237545605,0,1,0,4,11,9.98683972646241,0.999917809476416,0.999963810830446,1.91985804085244
"5","rotaBE",5,4,"lin",204,1.14457336407319,1.81570113216968,0,2,0,5,0,0.912883365294596,0,0.401365271300809,1.91985804085244
"6","rotaBE",6,4,"lin",204,1.74295160168386,3.13910785515057,0,3,0,6,0,1.29329846506202,0,0.274364307839468,1.91985804085244
"7","rotaBE",7,4,"lin",204,1.54120546413908,2.66506656060281,0,2,0,6,0,1.17123706818978,0,0.309983233580506,1.91985804085244
"8","rotaBE",8,4,"lin",204,1.00726178596334,1.50533717337996,0,2,0,4,2,1.90190691885042,0.740176500994404,0.889460176765977,1.91985804085244
"9","rotaBE",9,4,"lin",204,1.0591451344803,1.61784929895938,0,2,0,4,0,0.859218929030952,0,0.423492731048702,1.91985804085244
"10","rotaBE",10,4,"lin",204,1.93882065603897,3.63908436882322,1,3,0,7,0,1.40678604485508,0,0.244929211006339,1.91985804085244
"11","rotaBE",11,4,"lin",204,1.62077417781999,2.80259912453753,0,2,0,6,0,1.22621364988811,0,0.29340139758053,1.91985804085244
"12","rotaBE",12,4,"lin",204,1.28373936479853,2.05810698333535,0,2,0,5,1,1.21244255550863,0.363206035463207,0.660675840295788,1.91985804085244
"13","rotaBE",1,3,"lin",205,1.29225252174208,2.11590114735805,0,2,0,5,0,1.01165180666505,0,0.363617856839474,1.67710719975189
"14","rotaBE",2,3,"lin",205,0.762234330009474,1.05029874311406,0,1,0,3,0,0.649569916945951,0,0.522270348091739,1.67710719975189
"15","rotaBE",3,3,"lin",205,1.05952107602279,1.63470244211491,0,2,0,4,1,1.20239728068231,0.425075789577815,0.725548819207736,1.67710719975189
"16","rotaBE",4,3,"lin",205,1.49206038368314,2.7844734682648,0,2,0,6,11,7.35240485897839,0.998505457743427,0.999146506616454,1.67710719975189
