"","data_set","unit","prediction_horizon","lag_structure","prediction_time","pred_mean","pred_var","lb50","ub50","lb95","ub95","obs","unit_wise_log_score","unit_wise_pit_l","unit_wise_pit_u","multiv_log_score"
"1","rotaBE",1,4,"pois",204,1.33710474106227,2.18202603155359,0,2,0,5,0,1.04692466016804,0,0.351015583113135,1.92379038485616
"2","rotaBE",2,4,"pois",204,0.80502010067384,1.12344708907317,0,1,0,4,0,0.681734868135451,0,0.505738840647626,1.92379038485616
"3","rotaBE",3,4,"pois",204,1.09482904426847,1.68355335264531,0,2,0,4,1,1.19986438357252,0.413334125450419,0.714569187015498,1.92379038485616
"4","rotaBE",4,4,"pois",204,0.92013423144801,1.35683275800034,0,1,0,4,11,10.1060950965858,0.999924732735234,0.999965562668111,1.92379038485616
"5","rotaBE",5,4,"pois",204,1.12241043328457,1.72860983837972,0,2,0,4,0,0.905808040540914,0,0.404215130892461,1.92379038485616
"6","rotaBE",6,4,"pois",204,1.76491243169607,3.25209153395949,0,3,0,6,0,1.30185364916263,0,0.272027082626594,1.92379038485616
"7","rotaBE",7,4,"pois",204,1.54320147269768,2.68425546864849,0,2,0,6,0,1.17039764014412,0,0.31024355144423,1.92379038485616
"8","rotaBE",8,4,"pois",204,0.979484054389556,1.43798200625696,0,2,0,4,2,1.91831811009495,0.747996525878641,0.894850272252398,1.92379038485616
"9","rotaBE",9,4,"pois",204,1.05814379693971,1.59832867160091,0,2,0,4,0,0.860398308544473,0,0.422993566807476,1.92379038485616
"10","rotaBE",10,4,"pois",204,1.95332799017786,3.7439261491408,1,3,0,7,0,1.40919951320134,0,0.244338794870418,1.92379038485616
"11","rotaBE",11,4,"pois",204,1.64667942647074,2.89549585977165,0,2,0,6,0,1.23830875610737,0,0.289874051327371,1.92379038485616
"12","rotaBE",12,4,"pois",204,1.2604459063376,2.02433338076734,0,2,0,5,1,1.20987275829744,0.369450709475203,0.667685934448702,1.92379038485616
"13","rotaBE",1,3,"pois",205,1.26652109015082,2.03896473314536,0,2,0,5,0,0.997835523052206,0,0.368676570113825,1.66489419340926
"14","rotaBE",2,3,"pois",205,0.757556006980323,1.04393148772568,0,1,0,3,0,0.645699602609406,0,0.524295615189558,1.66489419340926
"15","rotaBE",3,3,"pois",205,1.05402814954993,1.62934000836511,0,2,0,4,1,1.20236682179662,0.426938166704112,0.72742034854708,1.66489419340926
"16","rotaBE",4,3,"pois",205,1.57189604121786,2.89836699496433,0,2,0,6,11,7.28951060710089,0.998425518116464,0.999108180177448,1.66489419340926
"17","rotaBE",5,3,"pois",205,1.12141472218953,1.74028053270846,0,2,0,5,0,0.901117267193883,0,0.406115666460868,1.66489419340926
"18","rotaBE",6,3,"pois",205,1.6575101609266,2.96923926330857,0,2,0,6,0,1.23721978476848,0,0.290189887798376,1.66489419340926
"19","rotaBE",7,3,"pois",205,1.66887777284185,3.04020859495264,0,2,0,6,0,1.2373239467811,0,0.290159662609805,1.66489419340926
"20","rotaBE",8,3,"pois",205,0.997478798036305,1.50289160716623,0,2,0,4,2,1.91453331047437,0.74359840651211,0.891009018036184,1.66489419340926
"21","rotaBE",9,3,"pois",205,1.03749410831349,1.59303989830155,0,2,0,4,0,0.840120415434597,0,0.43165854194853,1.66489419340926
"22","rotaBE",10,3,"pois",205,1.88766305554649,3.57604878412622,0,3,0,7,0,1.36671556303749,0,0.254942929937698,1.66489419340926
"23","rotaBE",11,3,"pois",205,1.55636521283537,2.69961638099909,0,2,0,6,0,1.17921463043027,0,0.307520160762254,1.66489419340926
