"","data_set","unit","prediction_horizon","model","prediction_time","pred_mean","pred_var","lb50","ub50","lb95","ub95","obs","unit_wise_log_score","multiv_log_score"
"1","rotaBE",1,1,"naive",204,1.53557116709647,2.53093973822132,0,2,0,6,0,1.18373673055166,2.17298907049474
"2","rotaBE",1,2,"naive",204,1.41235911644873,2.25440217679584,0,2,0,5,1,1.23013858194827,1.33343588460906
"3","rotaBE",1,3,"naive",204,2.44659410334645,4.97337668981975,1,4,0,8,0,1.68053848036844,1.70824277228704
"4","rotaBE",1,4,"naive",204,1.64871645927601,2.79617227908176,0,2,0,6,0,1.25140838867755,2.094411409554
"5","rotaBE",2,1,"naive",204,0.905184754822113,1.25105920975906,0,1,0,4,0,0.766608392413808,2.17298907049474
"6","rotaBE",2,2,"naive",204,0.832554015038436,1.12515033863128,0,1,0,4,1,1.19789690662172,1.33343588460906
"7","rotaBE",2,3,"naive",204,1.44221233834078,2.3202283569227,0,2,0,5,0,1.12640591674177,1.70824277228704
"8","rotaBE",2,4,"naive",204,0.971881366321057,1.37060367658151,0,2,0,4,0,0.81438076119718,2.094411409554
"9","rotaBE",3,1,"naive",204,1.16034522452897,1.72869862710982,0,2,0,4,0,0.944385214422301,2.17298907049474
"10","rotaBE",3,2,"naive",204,1.06724077086574,1.54804562280821,0,2,0,4,0,0.881052104458395,1.33343588460906
"11","rotaBE",3,3,"naive",204,1.8487542909175,3.29154193989984,0,3,0,6,1,1.3288470368086,1.70824277228704
"12","rotaBE",3,4,"naive",204,1.24584279199549,1.90103770010957,0,2,0,5,1,1.20386461425266,2.094411409554
"13","rotaBE",4,1,"naive",204,1.07184169921562,1.55680103452561,0,2,0,4,12,11.546647359626,2.17298907049474
"14","rotaBE",4,2,"naive",204,0.985838642789503,1.39609536044621,0,2,0,4,2,1.88965900883316,1.33343588460906
"15","rotaBE",4,3,"naive",204,1.70774343593612,2.93883193838318,0,3,0,6,0,1.28595947055963,1.70824277228704
"16","rotaBE",4,4,"naive",204,1.15081807284555,1.70987672490016,0,2,0,4,11,10.0096992077438,2.094411409554
"17","rotaBE",5,1,"naive",204,1.4446658339738,2.32567176018958,0,2,0,5,1,1.23618332526396,2.17298907049474
"18","rotaBE",5,2,"naive",204,1.32874789821235,2.07404461323351,0,2,0,5,0,1.05480728363286,1.33343588460906
"19","rotaBE",5,3,"naive",204,2.30175649715384,4.53822497478127,1,3,0,8,0,1.60819382942448,1.70824277228704
"20","rotaBE",5,4,"naive",204,1.55111296022184,2.56673210537652,0,2,0,6,0,1.19314752639954,2.094411409554
"21","rotaBE",6,1,"naive",204,1.97720645413353,3.6274500831524,1,3,0,7,0,1.43758567507514,2.17298907049474
"22","rotaBE",6,2,"naive",204,1.81855821497157,3.21460007927016,0,3,0,6,2,1.63371669776561,1.33343588460906
"23","rotaBE",6,3,"naive",204,3.15024256474447,7.33945145299694,1,5,0,10,2,1.7412252419775,1.70824277228704
"24","rotaBE",6,4,"naive",204,2.12289270218624,4.02528515373328,1,3,0,7,0,1.51569265952221,2.094411409554
"25","rotaBE",7,1,"naive",204,2.21059312122982,4.27341464595277,1,3,0,7,4,2.42070342137076,2.17298907049474
"26","rotaBE",7,2,"naive",204,2.03321826720106,3.77828496914108,1,3,0,7,1,1.3779512693081,1.33343588460906
"27","rotaBE",7,3,"naive",204,3.52209276338889,8.75864699955681,1,5,0,11,0,2.15808090078761,1.70824277228704
"28","rotaBE",7,4,"naive",204,2.37347596896169,4.75148611759339,1,3,0,8,0,1.64429300183864,2.094411409554
"29","rotaBE",8,1,"naive",204,1.09108478952225,1.5936136734139,0,2,0,4,1,1.18909302478873,2.17298907049474
"30","rotaBE",8,2,"naive",204,1.00353769484621,1.4286575666006,0,2,0,4,1,1.18639459920334,1.33343588460906
"31","rotaBE",8,3,"naive",204,1.73840305776492,3.01409255595987,0,3,0,6,3,2.12333338123241,1.70824277228704
"32","rotaBE",8,4,"naive",204,1.17147904929243,1.75079178747777,0,2,0,5,2,1.77990757095079,2.094411409554
"33","rotaBE",9,1,"naive",204,1.42137040666946,2.27419273819345,0,2,0,5,1,1.23179757934867,2.17298907049474
"34","rotaBE",9,2,"naive",204,1.30732166292618,2.02877615405732,0,2,0,5,1,1.21251223299541,1.33343588460906
"35","rotaBE",9,3,"naive",204,2.26464036974861,4.42956367470604,1,3,0,8,1,1.44276273646326,1.70824277228704
"36","rotaBE",9,4,"naive",204,1.5261010589531,2.5092302996741,0,2,0,6,0,1.1779840495901,2.094411409554
"37","rotaBE",10,1,"naive",204,2.48973603146979,5.10641615094039,1,4,0,8,1,1.50781157100386,2.17298907049474
"38","rotaBE",10,2,"naive",204,2.28996314657706,4.50357265733193,1,3,0,8,1,1.45000431600655,1.33343588460906
"39","rotaBE",10,3,"naive",204,3.96684544748326,10.6093916881962,2,6,0,12,0,2.33049866392238,1.70824277228704
"40","rotaBE",10,4,"naive",204,2.67318693024072,5.68968244633226,1,4,0,9,0,1.78946505210697,2.094411409554
"41","rotaBE",11,1,"naive",204,1.86478569970252,3.33270400433641,0,3,0,6,0,1.37550228153623,2.17298907049474
"42","rotaBE",11,2,"naive",204,1.71515794229069,2.95695968029072,0,3,0,6,2,1.64155955482691,1.33343588460906
"43","rotaBE",11,3,"naive",204,2.97112487825865,6.69749370093775,1,4,0,9,0,1.92546574771534,1.70824277228704
"44","rotaBE",11,4,"naive",204,2.00218846381148,3.6943972099125,1,3,0,7,0,1.45116357954107,2.094411409554
"45","rotaBE",12,1,"naive",204,1.62235617200517,2.73341341926901,0,2,0,6,0,1.2358142705357,2.17298907049474
"46","rotaBE",12,2,"naive",204,1.49218061575809,2.43209179222773,0,2,0,5,1,1.2455380597084,1.33343588460906
"47","rotaBE",12,3,"naive",204,2.58486687494974,5.40532975312623,1,4,0,8,0,1.7476018614431,1.70824277228704
"48","rotaBE",12,4,"naive",204,1.74189603250405,3.02271716900981,0,3,0,6,1,1.30193050282745,2.094411409554
"49","rotaBE",1,1,"naive",205,1.40596764713521,2.25430216436138,0,2,0,5,1,1.23148600393113,1.33212994047963
"50","rotaBE",1,2,"naive",205,2.4365568751165,4.98438184893271,1,4,0,8,0,1.66774164532224,1.70491105815033
"51","rotaBE",1,3,"naive",205,1.64070207346348,2.79595196790247,0,2,0,6,0,1.24208169578594,2.0618967911572
"52","rotaBE",1,4,"naive",205,1.47357399754337,2.40545483753553,0,2,0,5,2,1.68266229100012,4.10467088793554
