"","data_set","unit","prediction_horizon","lag_structure","prediction_time","pred_mean","pred_var","cor1","cor2","cor3","cor4","cor5","cor6","cor7","cor8","cor9","cor10","cor11","cor12","obs","unit_wise_dss","multiv_dss"
"1","rotaBE",1,4,"ar1",204,1.27351002828193,1.97803475678104,1,0.002,0.002,0.002,0.013,0.004,0.008,0.006,0.017,0.021,0.009,0.004,0,-0.905493651820591,3.96714755640479
"2","rotaBE",2,4,"ar1",204,0.758680835985047,0.981789871305064,0.002,1,0.004,0.002,0.005,0.004,0.008,0.001,0.002,0.004,0.004,0.008,0,-0.765684473157668,3.96714755640479
"3","rotaBE",3,4,"ar1",204,0.985939298780652,1.39121795137986,0.002,0.004,1,0.009,0.005,0.003,0.014,0.002,0.003,0.003,0.003,0.014,1,0.0119209095677325,3.96714755640479
"4","rotaBE",4,4,"ar1",204,0.90207101740748,1.27805453674276,0.002,0.002,0.009,1,0.003,0.004,0.008,0.001,0.002,0.002,0.002,0.018,11,8.93218313769886,3.96714755640479
"5","rotaBE",5,4,"ar1",204,1.11998330048983,1.6935812767595,0.013,0.005,0.005,0.003,1,0.005,0.022,0.007,0.009,0.011,0.01,0.009,0,-0.860614235089973,3.96714755640479
"6","rotaBE",6,4,"ar1",204,1.67757487558254,2.8509073419105,0.004,0.004,0.003,0.004,0.005,1,0.006,0.001,0.003,0.007,0.007,0.016,0,-0.993551451200724,3.96714755640479
"7","rotaBE",7,4,"ar1",204,1.62797598693652,3.06180489393485,0.008,0.008,0.014,0.008,0.022,0.006,1,0.01,0.011,0.008,0.006,0.013,0,-0.93037758401307,3.96714755640479
"8","rotaBE",8,4,"ar1",204,0.922401289890067,1.26043133072614,0.006,0.001,0.002,0.001,0.007,0.001,0.01,1,0.009,0.005,0.002,0.002,2,0.959836957321451,3.96714755640479
"9","rotaBE",9,4,"ar1",204,1.08184422635622,1.69739960768297,0.017,0.002,0.003,0.002,0.009,0.003,0.011,0.009,1,0.03,0.006,0.004,0,-0.830371974199155,3.96714755640479
"10","rotaBE",10,4,"ar1",204,1.95279915817363,4.04405547248183,0.021,0.004,0.003,0.002,0.011,0.007,0.008,0.005,0.03,1,0.015,0.007,0,-0.971066623132427,3.96714755640479
"11","rotaBE",11,4,"ar1",204,1.55700462225792,2.53860856105198,0.009,0.004,0.003,0.002,0.01,0.007,0.006,0.002,0.006,0.015,1,0.006,0,-0.977219291077939,3.96714755640479
"12","rotaBE",12,4,"ar1",204,1.27606748348202,2.15932477218015,0.004,0.008,0.014,0.018,0.009,0.016,0.013,0.002,0.004,0.007,0.006,1,1,-0.187869497118656,3.96714755640479
"13","rotaBE",1,3,"ar1",205,1.26196925257863,1.97578479482883,1,0.003,0.003,0.002,0.014,0.005,0.009,0.007,0.018,0.022,0.01,0.005,0,-0.897798662698016,3.51721393985327
"14","rotaBE",2,3,"ar1",205,0.750406672380282,0.974403797171203,0.003,1,0.004,0.003,0.006,0.005,0.01,0.002,0.002,0.004,0.004,0.009,0,-0.760198841009703,3.51721393985327
"15","rotaBE",3,3,"ar1",205,0.989926988294003,1.41142166270245,0.003,0.004,1,0.01,0.006,0.004,0.017,0.002,0.003,0.004,0.003,0.016,1,0.00847873280405211,3.51721393985327
"16","rotaBE",4,3,"ar1",205,0.990972741483215,1.4580171124132,0.002,0.003,0.01,1,0.004,0.004,0.009,0.002,0.002,0.003,0.002,0.021,11,8.28916074028112,3.51721393985327
"17","rotaBE",5,3,"ar1",205,1.13010702338882,1.73257145046572,0.014,0.006,0.006,0.004,1,0.006,0.025,0.008,0.01,0.012,0.011,0.01,0,-0.858566614978806,3.51721393985327
"18","rotaBE",6,3,"ar1",205,1.66155510293571,2.85295788922636,0.005,0.005,0.004,0.004,0.006,1,0.007,0.002,0.004,0.007,0.008,0.018,0,-0.983709958363144,3.51721393985327
"19","rotaBE",7,3,"ar1",205,1.72733474212041,3.43245491740526,0.009,0.01,0.017,0.009,0.025,0.007,1,0.012,0.012,0.008,0.007,0.015,0,-0.932339506554855,3.51721393985327
"20","rotaBE",8,3,"ar1",205,0.917543356083776,1.26087177496228,0.007,0.002,0.002,0.002,0.008,0.002,0.012,1,0.01,0.005,0.002,0.003,2,0.963995593901995,3.51721393985327
"21","rotaBE",9,3,"ar1",205,1.08555251442532,1.72561774117213,0.018,0.002,0.003,0.002,0.01,0.004,0.012,0.01,1,0.032,0.006,0.005,0,-0.826377604731233,3.51721393985327
"22","rotaBE",10,3,"ar1",205,1.93677613546813,4.06081290375091,0.022,0.004,0.004,0.003,0.012,0.007,0.008,0.005,0.032,1,0.016,0.007,0,-0.96110964372964,3.51721393985327
"23","rotaBE",11,3,"ar1",205,1.53768674696711,2.52274709296149,0.01,0.004,0.003,0.002,0.011,0.008,0.007,0.002,0.006,0.016,1,0.007,0,-0.968124061460778,3.51721393985327
"24","rotaBE",12,3,"ar1",205,1.31813950332546,2.30486950231466,0.005,0.009,0.016,0.021,0.01,0.018,0.015,0.003,0.005,0.007,0.007,1,1,-0.20955326314148,3.51721393985327
"25","rotaBE",1,4,"ar1",205,1.26811981767244,1.9762984882596,1,0.003,0.002,0.002,0.014,0.004,0.01,0.006,0.018,0.023,0.008,0.005,2,0.520611453478753,30.8903225230673
"26","rotaBE",2,4,"ar1",205,0.782115763856022,1.02291314406634,0.003,1,0.004,0.002,0.006,0.004,0.009,0.001,0.002,0.004,0.003,0.008,1,0.215430123654602,30.8903225230673
"27","rotaBE",3,4,"ar1",205,1.00115070808594,1.42149885988905,0.002,0.004,1,0.008,0.005,0.003,0.016,0.002,0.003,0.004,0.003,0.015,0,-0.839703959439248,30.8903225230673
"28","rotaBE",4,4,"ar1",205,0.977523395352746,1.4076107415189,0.002,0.002,0.008,1,0.003,0.004,0.008,0.001,0.002,0.003,0.002,0.019,33,26.9906678579998,30.8903225230673
"29","rotaBE",5,4,"ar1",205,1.11079430907097,1.69008933962431,0.014,0.006,0.005,0.003,1,0.005,0.026,0.007,0.01,0.013,0.009,0.011,1,-0.0852241389918873,30.8903225230673
