"","data_set","unit","prediction_horizon","lag_structure","prediction_time","pred_mean","pred_var","cor1","cor2","cor3","cor4","cor5","cor6","cor7","cor8","cor9","cor10","cor11","cor12","obs","unit_wise_dss","multiv_dss"
"1","rotaBE",1,4,"end",204,1.38754023215387,2.27726624969222,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.919472362233146,3.66613681962153
"2","rotaBE",2,4,"end",204,0.812212913570713,1.11707604193366,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.768472837303437,3.66613681962153
"3","rotaBE",3,4,"end",204,1.06344164404851,1.58606937245022,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.0503748005332692,3.66613681962153
"4","rotaBE",4,4,"end",204,0.982306618099593,1.42822899015917,0,0,0,1,0,0,0,0,0,0,0,0,11,8.38240833143423,3.66613681962153
"5","rotaBE",5,4,"end",204,1.3158459765043,2.11600302497155,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.904579861185461,3.66613681962153
"6","rotaBE",6,4,"end",204,1.79162769430396,3.27503582635817,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.990010360166063,3.66613681962153
"7","rotaBE",7,4,"end",204,2.02763016219937,3.92758206739126,0,0,0,0,0,0,1,0,0,0,0,0,0,-1.0231189031353,3.66613681962153
"8","rotaBE",8,4,"end",204,0.988648592137157,1.44034748492933,0,0,0,0,0,0,0,1,0,0,0,0,2,0.842691171545719,3.66613681962153
"9","rotaBE",9,4,"end",204,1.30067662333659,2.08249125008367,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.901317372968024,3.66613681962153
"10","rotaBE",10,4,"end",204,2.28043734196629,4.68370094594056,0,0,0,0,0,0,0,0,0,1,0,0,0,-1.05371597704471,3.66613681962153
"11","rotaBE",11,4,"end",204,1.70789451791689,3.05588619440122,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.976995259079245,3.66613681962153
"12","rotaBE",12,4,"end",204,1.50492779403845,2.55156567173777,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.316101023499404,3.66613681962153
"13","rotaBE",1,3,"end",205,1.38037750980831,2.27539060119716,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.915102822540857,3.45269236553959
"14","rotaBE",2,3,"end",205,0.808930914245646,1.11629739441872,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.765634469109405,3.45269236553959
"15","rotaBE",3,3,"end",205,1.05835671600562,1.58449242472455,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.0463602490762293,3.45269236553959
"16","rotaBE",4,3,"end",205,1.02918653657848,1.5267194669098,0,0,0,1,0,0,0,0,0,0,0,0,11,8.06958071300419,3.45269236553959
"17","rotaBE",5,3,"end",205,1.31334828056936,2.12355055473063,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.901256910114762,3.45269236553959
"18","rotaBE",6,3,"end",205,1.78245104544681,3.27479475732503,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.984975816529695,3.45269236553959
"19","rotaBE",7,3,"end",205,2.03440087653147,3.97844763646955,0,0,0,0,0,0,1,0,0,0,0,0,0,-1.01995194650772,3.45269236553959
"20","rotaBE",8,3,"end",205,0.989059272192146,1.44855161193402,0,0,0,0,0,0,0,1,0,0,0,0,2,0.839960196474328,3.45269236553959
"21","rotaBE",9,3,"end",205,1.29868082140578,2.09088748703081,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.89812564058564,3.45269236553959
"22","rotaBE",10,3,"end",205,2.27258361077519,4.6984863164382,0,0,0,0,0,0,0,0,0,1,0,0,0,-1.04843349491293,3.45269236553959
"23","rotaBE",11,3,"end",205,1.69952493117629,3.05624021620042,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.972151155598139,3.45269236553959
"24","rotaBE",12,3,"end",205,1.49726497262854,2.55027126800615,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.311382843013496,3.45269236553959
"25","rotaBE",1,4,"end",205,1.63767612982094,2.89744152979601,1,0,0,0,0,0,0,0,0,0,0,0,2,0.212857818194412,22.6176274382771
"26","rotaBE",2,4,"end",205,0.959713440360449,1.39234360025376,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0341418437087623,22.6176274382771
"27","rotaBE",3,4,"end",205,1.25563153436104,1.99618780992005,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.888712962296976,22.6176274382771
"28","rotaBE",4,4,"end",205,1.22102411268764,1.92132087595285,0,0,0,1,0,0,0,0,0,0,0,0,33,22.9266154558554,22.6176274382771
"29","rotaBE",5,4,"end",205,1.55815283424061,2.69854374225029,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.339772638957127,22.6176274382771
"30","rotaBE",6,4,"end",205,2.11469508084638,4.21522633696156,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.542932244601194,22.6176274382771
"31","rotaBE",7,4,"end",205,2.41360767638488,5.14992837120656,0,0,0,0,0,0,1,0,0,0,0,0,0,-1.06357001318253,22.6176274382771
"32","rotaBE",8,4,"end",205,1.17341723516785,1.82017040194238,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.869754008258537,22.6176274382771
"33","rotaBE",9,4,"end",205,1.54075140051205,2.65581279635754,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.331817222227878,22.6176274382771
"34","rotaBE",10,4,"end",205,2.69618702560985,6.11073852402187,0,0,0,0,0,0,0,0,0,1,0,0,0,-1.09069460278021,22.6176274382771
"35","rotaBE",11,4,"end",205,2.0163117640257,3.92594078524875,0,0,0,0,0,0,0,0,0,0,1,0,2,-0.00823244916518375,22.6176274382771
"36","rotaBE",12,4,"end",205,1.77635109835372,3.25849801847771,0,0,0,0,0,0,0,0,0,0,0,1,2,0.123896215018464,22.6176274382771
"37","rotaBE",1,2,"end",206,1.38018321649805,2.27087239693781,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.915883797653202,3.43694378764987
"38","rotaBE",2,2,"end",206,0.810273472972395,1.11725761037463,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.766575544651971,3.43694378764987
"39","rotaBE",3,2,"end",206,1.05512837901197,1.57567939819917,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.0439178725823163,3.43694378764987
"40","rotaBE",4,2,"end",206,1.03401556735744,1.53394286049702,0,0,0,1,0,0,0,0,0,0,0,0,11,8.04665929619244,3.43694378764987
"41","rotaBE",5,2,"end",206,1.30938756403957,2.11104553782299,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.901196322927621,3.43694378764987
"42","rotaBE",6,2,"end",206,1.78510734912005,3.27509053944062,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.986399134878699,3.43694378764987
"43","rotaBE",7,2,"end",206,2.03215931365916,3.96309672493708,0,0,0,0,0,0,1,0,0,0,0,0,0,-1.02079942321869,3.43694378764987
"44","rotaBE",8,2,"end",206,0.989706637933344,1.44770682889748,0,0,0,0,0,0,0,1,0,0,0,0,2,0.839667198890566,3.43694378764987
"45","rotaBE",9,2,"end",206,1.29853865038373,2.08696740396182,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.898870334818961,3.43694378764987
"46","rotaBE",10,2,"end",206,2.26923158485101,4.67697571336292,0,0,0,0,0,0,0,0,0,1,0,0,0,-1.04929176004075,3.43694378764987
"47","rotaBE",11,2,"end",206,1.7023131208224,3.05728906836069,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.973578993692996,3.43694378764987
"48","rotaBE",12,2,"end",206,1.49646785730299,2.54356621643876,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.311293184507163,3.43694378764987
