"","data_set","unit","prediction_horizon","lag_structure","prediction_time","pred_mean","pred_var","cor1","cor2","cor3","cor4","cor5","cor6","cor7","cor8","cor9","cor10","cor11","cor12","obs","unit_wise_dss","multiv_dss"
"1","rotaBE",1,4,"geom",204,1.2696139800359,1.98545470664648,1,0.003,0.002,0.001,0.013,0.004,0.007,0.007,0.017,0.019,0.009,0.003,0,-0.901035088579677,3.8586743377961
"2","rotaBE",2,4,"geom",204,0.743344704653736,0.958944342067291,0.003,1,0.005,0.003,0.006,0.006,0.009,0.002,0.002,0.003,0.005,0.008,0,-0.759090491582601,3.8586743377961
"3","rotaBE",3,4,"geom",204,1.00008695238703,1.43653420036818,0.002,0.005,1,0.011,0.005,0.004,0.015,0.002,0.002,0.003,0.003,0.015,1,-7.25476791908385e-05,3.8586743377961
"4","rotaBE",4,4,"geom",204,0.910365539244888,1.3203757026119,0.001,0.003,0.011,1,0.003,0.004,0.007,0.001,0.002,0.002,0.002,0.018,11,8.78065008247119,3.8586743377961
"5","rotaBE",5,4,"geom",204,1.13745227798919,1.74006955328034,0.013,0.006,0.005,0.003,1,0.005,0.02,0.008,0.008,0.008,0.01,0.007,0,-0.862283112694255,3.8586743377961
"6","rotaBE",6,4,"geom",204,1.65605758794987,2.83633718122861,0.004,0.006,0.004,0.004,0.005,1,0.006,0.001,0.003,0.005,0.008,0.016,0,-0.983323698272982,3.8586743377961
"7","rotaBE",7,4,"geom",204,1.63116357920632,3.08011815121734,0.007,0.009,0.015,0.007,0.02,0.006,1,0.011,0.009,0.005,0.005,0.01,0,-0.929423882387755,3.8586743377961
"8","rotaBE",8,4,"geom",204,0.909109860156416,1.24525289357515,0.007,0.002,0.002,0.001,0.008,0.001,0.011,1,0.01,0.005,0.002,0.002,2,0.977579839421316,3.8586743377961
"9","rotaBE",9,4,"geom",204,1.12414098075635,1.80765451797183,0.017,0.002,0.002,0.002,0.008,0.003,0.009,0.01,1,0.026,0.005,0.003,0,-0.83610932080466,3.8586743377961
"10","rotaBE",10,4,"geom",204,1.94380750985698,3.94440880478864,0.019,0.003,0.003,0.002,0.008,0.005,0.005,0.005,0.026,1,0.014,0.004,0,-0.978728637448594,3.8586743377961
"11","rotaBE",11,4,"geom",204,1.53484126673971,2.50468669871712,0.009,0.005,0.003,0.002,0.01,0.008,0.005,0.002,0.005,0.014,1,0.005,0,-0.969810233908849,3.8586743377961
"12","rotaBE",12,4,"geom",204,1.26950955589417,2.14454396361346,0.003,0.008,0.015,0.018,0.007,0.016,0.01,0.002,0.003,0.004,0.005,1,1,-0.184037655271036,3.8586743377961
"13","rotaBE",1,3,"geom",205,1.20833405393878,1.87707492242202,1,0.003,0.002,0.001,0.014,0.004,0.007,0.008,0.017,0.02,0.01,0.004,0,-0.881954562778606,2.29035605608087
"14","rotaBE",2,3,"geom",205,0.728102796476444,0.940891877788804,0.003,1,0.006,0.003,0.007,0.007,0.011,0.002,0.002,0.004,0.005,0.009,0,-0.750624679514101,2.29035605608087
"15","rotaBE",3,3,"geom",205,1.03042013213119,1.50553330469827,0.002,0.006,1,0.014,0.005,0.004,0.017,0.003,0.003,0.003,0.003,0.016,1,-0.0247922482817864,2.29035605608087
"16","rotaBE",4,3,"geom",205,1.40006322123414,2.36938161467339,0.001,0.003,0.014,1,0.003,0.005,0.007,0.002,0.002,0.002,0.002,0.023,11,6.2366427290007,2.29035605608087
"17","rotaBE",5,3,"geom",205,1.13915940375962,1.75773255721115,0.014,0.007,0.005,0.003,1,0.005,0.022,0.009,0.008,0.008,0.011,0.007,0,-0.859227366969931,2.29035605608087
