"","data_set","unit","prediction_horizon","lag_structure","prediction_time","pred_mean","pred_var","cor1","cor2","cor3","cor4","cor5","cor6","cor7","cor8","cor9","cor10","cor11","cor12","obs","unit_wise_dss","multiv_dss"
"1","rotaBE",1,4,"lin",204,1.27777001799892,1.99498054841648,1,0.003,0.002,0.002,0.014,0.004,0.008,0.007,0.017,0.02,0.01,0.004,0,-0.904655776658859,3.92169832048015
"2","rotaBE",2,4,"lin",204,0.741840893554046,0.95605560046015,0.003,1,0.005,0.003,0.006,0.006,0.009,0.002,0.002,0.004,0.005,0.009,0,-0.7586984467379,3.92169832048015
"3","rotaBE",3,4,"lin",204,0.977780171789096,1.39101562741396,0.002,0.005,1,0.011,0.005,0.004,0.016,0.002,0.003,0.003,0.003,0.015,1,0.0188397307779684,3.92169832048015
"4","rotaBE",4,4,"lin",204,0.898971833480048,1.29733755109805,0.002,0.003,0.011,1,0.003,0.005,0.008,0.001,0.002,0.002,0.002,0.02,11,8.86827369021747,3.92169832048015
"5","rotaBE",5,4,"lin",204,1.12143621090959,1.70930859212778,0.014,0.006,0.005,0.003,1,0.005,0.022,0.008,0.009,0.01,0.011,0.008,0,-0.857757131281486,3.92169832048015
"6","rotaBE",6,4,"lin",204,1.65707553624353,2.83911796726987,0.004,0.006,0.004,0.005,0.005,1,0.006,0.001,0.003,0.006,0.009,0.017,0,-0.983446155035201,3.92169832048015
"7","rotaBE",7,4,"lin",204,1.62435268539313,3.07557745325121,0.008,0.009,0.016,0.008,0.022,0.006,1,0.012,0.01,0.006,0.006,0.012,0,-0.926226061091002,3.92169832048015
"8","rotaBE",8,4,"lin",204,0.904987825423415,1.23505467960574,0.007,0.002,0.002,0.001,0.008,0.001,0.012,1,0.01,0.005,0.003,0.002,2,0.985316725760237,3.92169832048015
"9","rotaBE",9,4,"lin",204,1.08847073930662,1.73667071247956,0.017,0.002,0.003,0.002,0.009,0.003,0.01,0.01,1,0.029,0.006,0.003,0,-0.825958103664481,3.92169832048015
"10","rotaBE",10,4,"lin",204,1.96511325002976,4.05476145290248,0.02,0.004,0.003,0.002,0.01,0.006,0.006,0.005,0.029,1,0.015,0.005,0,-0.97589912669197,3.92169832048015
