"","data_set","unit","prediction_horizon","lag_structure","prediction_time","pred_mean","pred_var","cor1","cor2","cor3","cor4","cor5","cor6","cor7","cor8","cor9","cor10","cor11","cor12","obs","unit_wise_dss","multiv_dss"
"1","rotaBE",1,4,"pois",204,1.27590415839364,1.99344418792859,1,0.003,0.002,0.001,0.013,0.004,0.007,0.007,0.017,0.02,0.01,0.004,0,-0.903682791897983,3.90382628752815
"2","rotaBE",2,4,"pois",204,0.742914313136946,0.957892876654503,0.003,1,0.005,0.003,0.006,0.006,0.009,0.002,0.002,0.004,0.005,0.009,0,-0.759067249368969,3.90382628752815
"3","rotaBE",3,4,"pois",204,0.983160020439203,1.40232594280402,0.002,0.005,1,0.011,0.005,0.004,0.016,0.002,0.003,0.003,0.003,0.015,1,0.014220572335642,3.90382628752815
"4","rotaBE",4,4,"pois",204,0.902140149906945,1.30368382935832,0.001,0.003,0.011,1,0.003,0.004,0.007,0.001,0.002,0.002,0.002,0.019,11,8.84388729623015,3.90382628752815
"5","rotaBE",5,4,"pois",204,1.1252278582996,1.71638631048516,0.013,0.006,0.005,0.003,1,0.005,0.021,0.008,0.008,0.009,0.011,0.008,0,-0.858880919639864,3.90382628752815
"6","rotaBE",6,4,"pois",204,1.65797619686051,2.83986432522729,0.004,0.006,0.004,0.004,0.005,1,0.006,0.001,0.003,0.006,0.009,0.017,0,-0.983851371029682,3.90382628752815
"7","rotaBE",7,4,"pois",204,1.62538065967232,3.07436021480498,0.007,0.009,0.016,0.007,0.021,0.006,1,0.011,0.01,0.006,0.006,0.011,0,-0.926995684063812,3.90382628752815
"8","rotaBE",8,4,"pois",204,0.906789386340453,1.23912102555435,0.007,0.002,0.002,0.001,0.008,0.001,0.011,1,0.01,0.005,0.002,0.002,2,0.982080247899294,3.90382628752815
"9","rotaBE",9,4,"pois",204,1.09725159502998,1.75432826772406,0.017,0.002,0.003,0.002,0.008,0.003,0.01,0.01,1,0.028,0.006,0.003,0,-0.828420410038888,3.90382628752815
"10","rotaBE",10,4,"pois",204,1.95960708045362,4.02117036862723,0.02,0.004,0.003,0.002,0.009,0.006,0.006,0.005,0.028,1,0.015,0.005,0,-0.977220936950593,3.90382628752815
"11","rotaBE",11,4,"pois",204,1.53807112153645,2.51051061301455,0.01,0.005,0.003,0.002,0.011,0.009,0.006,0.002,0.006,0.015,1,0.006,0,-0.970723150677692,3.90382628752815
"12","rotaBE",12,4,"pois",204,1.28869450059218,2.19065534509398,0.004,0.009,0.015,0.019,0.008,0.017,0.011,0.002,0.003,0.005,0.006,1,1,-0.195052482996185,3.90382628752815
"13","rotaBE",1,3,"pois",205,1.22943652868095,1.91584786407423,1,0.003,0.002,0.002,0.014,0.005,0.008,0.008,0.018,0.02,0.01,0.004,0,-0.888230338788639,2.54765207534422
"14","rotaBE",2,3,"pois",205,0.732054947377086,0.946795460765021,0.003,1,0.006,0.004,0.007,0.007,0.011,0.002,0.002,0.004,0.005,0.01,0,-0.752342500977118,2.54765207534422
