"","data_set","unit","prediction_horizon","lag_structure","prediction_time","pred_mean","pred_var","cor1","cor2","cor3","cor4","cor5","cor6","cor7","cor8","cor9","cor10","cor11","cor12","obs","unit_wise_dss","multiv_dss"
"1","rotaBE",1,4,"unres",204,1.25309945524677,1.953706352236,1,0.003,0.002,0.001,0.012,0.004,0.006,0.008,0.014,0.017,0.009,0.003,0,-0.896511566182038,3.70287647477684
"2","rotaBE",2,4,"unres",204,0.751654029093341,0.971131714104328,0.003,1,0.005,0.002,0.006,0.006,0.009,0.002,0.001,0.003,0.005,0.009,0,-0.762744212879727,3.70287647477684
"3","rotaBE",3,4,"unres",204,1.09298901590913,1.60499890532083,0.002,0.005,1,0.01,0.004,0.003,0.014,0.002,0.002,0.002,0.003,0.014,1,-0.0733996994117699,3.70287647477684
"4","rotaBE",4,4,"unres",204,0.951972585556762,1.38219206672285,0.001,0.002,0.01,1,0.002,0.003,0.005,0.001,0.001,0.001,0.001,0.016,11,8.54666365958581,3.70287647477684
"5","rotaBE",5,4,"unres",204,1.21802333693489,1.88424928598499,0.012,0.006,0.004,0.002,1,0.004,0.017,0.008,0.005,0.006,0.009,0.006,0,-0.88733258393008,3.70287647477684
"6","rotaBE",6,4,"unres",204,1.69212348836622,2.91697016491508,0.004,0.006,0.003,0.003,0.004,1,0.005,0.001,0.002,0.005,0.008,0.016,0,-0.990754515537018,3.70287647477684
"7","rotaBE",7,4,"unres",204,1.67311022470829,3.1527042651269,0.006,0.009,0.014,0.005,0.017,0.005,1,0.011,0.006,0.004,0.004,0.008,0,-0.942286428494826,3.70287647477684
"8","rotaBE",8,4,"unres",204,0.941657708739433,1.30289852145116,0.008,0.002,0.002,0.001,0.008,0.001,0.011,1,0.009,0.004,0.002,0.002,2,0.92719451801515,3.70287647477684
"9","rotaBE",9,4,"unres",204,1.28194086438183,2.0879745182092,0.014,0.001,0.002,0.001,0.005,0.002,0.006,0.009,1,0.02,0.004,0.002,0,-0.887167032031392,3.70287647477684
"10","rotaBE",10,4,"unres",204,1.82040396165469,3.53918704860033,0.017,0.003,0.002,0.001,0.006,0.005,0.004,0.004,0.02,1,0.013,0.003,0,-0.967644904374783,3.70287647477684
"11","rotaBE",11,4,"unres",204,1.52353714590939,2.47710445602196,0.009,0.005,0.003,0.001,0.009,0.008,0.004,0.002,0.004,0.013,1,0.005,0,-0.968012325438947,3.70287647477684
"12","rotaBE",12,4,"unres",204,1.23190573009151,2.07695466477753,0.003,0.009,0.014,0.016,0.006,0.016,0.008,0.002,0.002,0.003,0.005,1,1,-0.160915534129422,3.70287647477684
"13","rotaBE",1,3,"unres",205,1.21844487912914,1.89857828456824,1,0.003,0.002,0.001,0.012,0.004,0.007,0.008,0.015,0.018,0.01,0.003,0,-0.884283725847083,2.59429969741429
"14","rotaBE",2,3,"unres",205,0.740380211149815,0.959906882936301,0.003,1,0.006,0.003,0.007,0.007,0.011,0.002,0.002,0.003,0.006,0.01,0,-0.755684039146944,2.59429969741429
"15","rotaBE",3,3,"unres",205,1.12304142108459,1.67862406418981,0.002,0.006,1,0.014,0.005,0.004,0.017,0.003,0.002,0.002,0.003,0.016,1,-0.0949674148564843,2.59429969741429
"16","rotaBE",4,3,"unres",205,1.24942320706362,2.07280420203807,0.001,0.003,0.014,1,0.003,0.004,0.007,0.002,0.001,0.001,0.002,0.023,11,6.77253357669517,2.59429969741429
"17","rotaBE",5,3,"unres",205,1.23063183986476,1.92833592868967,0.012,0.007,0.005,0.003,1,0.004,0.02,0.009,0.006,0.007,0.01,0.006,0,-0.886210315173207,2.59429969741429
"18","rotaBE",6,3,"unres",205,1.65259278773643,2.86200859994476,0.004,0.007,0.004,0.004,0.004,1,0.005,0.001,0.002,0.005,0.009,0.017,0,-0.976855634513355,2.59429969741429
"19","rotaBE",7,3,"unres",205,1.8817817200985,3.86369932299879,0.007,0.011,0.017,0.007,0.02,0.005,1,0.013,0.007,0.004,0.005,0.01,0,-0.957343040543893,2.59429969741429
"20","rotaBE",8,3,"unres",205,0.940872751511886,1.31337674668484,0.008,0.002,0.003,0.002,0.009,0.001,0.013,1,0.01,0.004,0.003,0.002,2,0.924173433397457,2.59429969741429
"21","rotaBE",9,3,"unres",205,1.28621797004088,2.11371508844199,0.015,0.002,0.002,0.001,0.006,0.002,0.007,0.01,1,0.021,0.005,0.002,0,-0.884690470232087,2.59429969741429
"22","rotaBE",10,3,"unres",205,1.76358270145778,3.42732347679014,0.018,0.003,0.002,0.001,0.007,0.005,0.004,0.004,0.021,1,0.014,0.004,0,-0.952616901051642,2.59429969741429
"23","rotaBE",11,3,"unres",205,1.47445503182605,2.39627829246106,0.01,0.006,0.003,0.002,0.01,0.009,0.005,0.003,0.005,0.014,1,0.005,0,-0.952495439834161,2.59429969741429
"24","rotaBE",12,3,"unres",205,1.29235139125818,2.24187017373801,0.003,0.01,0.016,0.023,0.006,0.017,0.01,0.002,0.002,0.004,0.005,1,1,-0.195253998079081,2.59429969741429
"25","rotaBE",1,4,"unres",205,1.2097855397444,1.89630178974676,1,0.003,0.002,0.001,0.015,0.005,0.008,0.009,0.019,0.022,0.011,0.004,2,0.573840564654853,17.6419954683953
"26","rotaBE",2,4,"unres",205,0.75980608143573,0.987844346505112,0.003,1,0.006,0.003,0.007,0.007,0.012,0.002,0.002,0.004,0.005,0.011,1,0.241667220991712,17.6419954683953
"27","rotaBE",3,4,"unres",205,1.15704391573802,1.74451662164802,0.002,0.006,1,0.011,0.005,0.004,0.018,0.003,0.003,0.003,0.003,0.018,0,-0.876016501613361,17.6419954683953
"28","rotaBE",4,4,"unres",205,1.46358848038223,2.4301479753085,0.001,0.003,0.011,1,0.002,0.004,0.006,0.001,0.001,0.001,0.002,0.02,33,20.2300014768607,17.6419954683953
"29","rotaBE",5,4,"unres",205,1.24684249628358,1.97789671266142,0.015,0.007,0.005,0.002,1,0.005,0.022,0.01,0.007,0.008,0.011,0.008,1,-0.175516570890908,17.6419954683953
"30","rotaBE",6,4,"unres",205,1.60237813482404,2.7413837725456,0.005,0.007,0.004,0.004,0.005,1,0.006,0.002,0.003,0.006,0.009,0.019,1,-0.363818082500209,17.6419954683953
"31","rotaBE",7,4,"unres",205,1.9975229064494,4.20224309933799,0.008,0.012,0.018,0.006,0.022,0.006,1,0.014,0.009,0.005,0.006,0.011,0,-0.974431201938041,17.6419954683953
"32","rotaBE",8,4,"unres",205,0.947808879408556,1.31924196710126,0.009,0.002,0.003,0.001,0.01,0.002,0.014,1,0.011,0.005,0.003,0.003,0,-0.825198716473072,17.6419954683953
"33","rotaBE",9,4,"unres",205,1.27291445697622,2.15031713890352,0.019,0.002,0.003,0.001,0.007,0.003,0.009,0.011,1,0.026,0.006,0.003,1,-0.186112388933133,17.6419954683953
"34","rotaBE",10,4,"unres",205,1.90524342997981,3.8685526094263,0.022,0.004,0.003,0.001,0.008,0.006,0.005,0.005,0.026,1,0.015,0.005,0,-0.96867082373252,17.6419954683953
"35","rotaBE",11,4,"unres",205,1.49552504751207,2.42505233856332,0.011,0.005,0.003,0.002,0.011,0.009,0.006,0.003,0.006,0.015,1,0.006,2,0.323950794954879,17.6419954683953
"36","rotaBE",12,4,"unres",205,1.33721821020041,2.39909377159124,0.004,0.011,0.018,0.02,0.008,0.019,0.011,0.003,0.003,0.005,0.006,1,2,0.427904600660178,17.6419954683953
