"","data_set","unit","prediction_horizon","lag_structure","prediction_time","pred_mean","pred_var","cor1","cor2","cor3","cor4","cor5","cor6","cor7","cor8","cor9","cor10","cor11","cor12","obs","unit_wise_dss","multiv_dss"
"1","rotaBE",1,4,"ar1",204,1.32784392177959,2.15751074780489,1,0.001,0,0,0.004,0.001,0.001,0.003,0.003,0.004,0.004,0,0,-0.904004403552506,3.75893176910367
"2","rotaBE",2,4,"ar1",204,0.791462262461548,1.09331205142152,0.001,1,0.003,0.001,0.003,0.004,0.004,0.001,0,0.001,0.004,0.003,0,-0.756934228680875,3.75893176910367
"3","rotaBE",3,4,"ar1",204,1.04691639847043,1.56890788468157,0,0.003,1,0.003,0.001,0.001,0.004,0.001,0,0,0.001,0.003,1,-0.0374563921633992,3.75893176910367
"4","rotaBE",4,4,"ar1",204,0.933029043789174,1.36154399687089,0,0.001,0.003,1,0,0.001,0.001,0,0,0,0,0.003,11,8.62746042488403,3.75893176910367
"5","rotaBE",5,4,"ar1",204,1.13633022265578,1.7547483125187,0.004,0.003,0.001,0,1,0.001,0.004,0.003,0.001,0.001,0.004,0.001,0,-0.857821922587892,3.75893176910367
"6","rotaBE",6,4,"ar1",204,1.76850688088022,3.22728439657755,0.001,0.004,0.001,0.001,0.001,1,0.001,0,0,0.001,0.004,0.003,0,-0.984437468121504,3.75893176910367
"7","rotaBE",7,4,"ar1",204,1.59439851226439,2.79813980273716,0.001,0.004,0.004,0.001,0.004,0.001,1,0.004,0.001,0,0.001,0.001,0,-0.953152027086086,3.75893176910367
"8","rotaBE",8,4,"ar1",204,0.976330213253485,1.42933486789664,0.003,0.001,0.001,0,0.003,0,0.004,1,0.003,0.001,0.001,0,2,0.856234832330053,3.75893176910367
"9","rotaBE",9,4,"ar1",204,1.0912699518624,1.6542937969008,0.003,0,0,0,0.001,0,0.001,0.003,1,0.004,0.001,0,0,-0.848449262349933,3.75893176910367
"10","rotaBE",10,4,"ar1",204,1.96429244507022,3.74507531565687,0.004,0.001,0,0,0.001,0.001,0,0.001,0.004,1,0.004,0,0,-1.01502296489916,3.75893176910367
"11","rotaBE",11,4,"ar1",204,1.65459440845233,2.92261559406228,0.004,0.004,0.001,0,0.004,0.004,0.001,0.001,0.001,0.004,1,0.001,0,-0.967844761429883,3.75893176910367
"12","rotaBE",12,4,"ar1",204,1.27314343212452,2.02636695920173,0,0.003,0.003,0.003,0.001,0.003,0.001,0,0,0,0.001,1,1,-0.191880885677444,3.75893176910367
"13","rotaBE",1,3,"ar1",205,1.31104173364582,2.1494515521934,1,0.001,0,0,0.004,0.001,0.001,0.004,0.004,0.005,0.004,0,0,-0.894237104797788,3.20207121963757
"14","rotaBE",2,3,"ar1",205,0.783920740142142,1.09063243979425,0.001,1,0.004,0.001,0.004,0.005,0.005,0.001,0,0.001,0.005,0.004,0,-0.750642153224362,3.20207121963757
"15","rotaBE",3,3,"ar1",205,1.04129005576744,1.57755246749113,0,0.004,1,0.005,0.001,0.001,0.005,0.001,0,0,0.001,0.004,1,-0.0328740766409304,3.20207121963757
"16","rotaBE",4,3,"ar1",205,1.04513190768963,1.62539170011373,0,0.001,0.005,1,0,0.001,0.001,0,0,0,0,0.005,11,7.80830000038667,3.20207121963757
"17","rotaBE",5,3,"ar1",205,1.13209844785143,1.77071102901559,0.004,0.004,0.001,0,1,0.001,0.005,0.004,0.001,0.001,0.005,0.001,0,-0.850766437544164,3.20207121963757
"18","rotaBE",6,3,"ar1",205,1.74345122927304,3.21400847519649,0.001,0.005,0.001,0.001,0.001,1,0.001,0,0,0.001,0.004,0.004,0,-0.972492575193813,3.20207121963757
"19","rotaBE",7,3,"ar1",205,1.62407255475708,2.93251209901088,0.001,0.005,0.005,0.001,0.005,0.001,1,0.005,0.001,0,0.001,0.001,0,-0.948386844285737,3.20207121963757
"20","rotaBE",8,3,"ar1",205,0.975807624010863,1.4457847624005,0.004,0.001,0.001,0,0.004,0,0.005,1,0.004,0.001,0.001,0,2,0.851784468834786,3.20207121963757
"21","rotaBE",9,3,"ar1",205,1.08639387252842,1.66562986476156,0.004,0,0,0,0.001,0,0.001,0.004,1,0.005,0.001,0,0,-0.841778943280634,3.20207121963757
"22","rotaBE",10,3,"ar1",205,1.93795403445935,3.73656864098403,0.005,0.001,0,0,0.001,0.001,0,0.001,0.005,1,0.005,0,0,-1.00255218915437,3.20207121963757
"23","rotaBE",11,3,"ar1",205,1.63265676512307,2.91047947476747,0.004,0.005,0.001,0,0.005,0.004,0.001,0.001,0.001,0.005,1,0.001,0,-0.957001507220444,3.20207121963757
"24","rotaBE",12,3,"ar1",205,1.26122280179849,2.02704077184239,0,0.004,0.004,0.005,0.001,0.004,0.001,0,0,0,0.001,1,1,-0.183476244085371,3.20207121963757
"25","rotaBE",1,4,"ar1",205,1.37712039587502,2.27717531570951,1,0.001,0,0,0.004,0.001,0.001,0.004,0.004,0.004,0.004,0,2,0.412767862706347,26.8911564355346
"26","rotaBE",2,4,"ar1",205,0.818266326297187,1.14534487279388,0.001,1,0.004,0.001,0.004,0.004,0.004,0.001,0,0.001,0.004,0.004,1,0.169811566300651,26.8911564355346
"27","rotaBE",3,4,"ar1",205,1.09046247869852,1.66020483970038,0,0.004,1,0.004,0.001,0.001,0.004,0.001,0,0,0.001,0.003,0,-0.84631081143459,26.8911564355346
"28","rotaBE",4,4,"ar1",205,1.05856164878443,1.61430817023516,0,0.001,0.004,1,0,0.001,0.001,0,0,0,0,0.004,33,25.1397668994138,26.8911564355346
"29","rotaBE",5,4,"ar1",205,1.18389405527396,1.86225612876269,0.004,0.004,0.001,0,1,0.001,0.004,0.004,0.001,0.001,0.004,0.001,1,-0.134755960511849,26.8911564355346
"30","rotaBE",6,4,"ar1",205,1.83601543852156,3.41740657372334,0.001,0.004,0.001,0.001,0.001,1,0.001,0,0,0.001,0.004,0.004,1,-0.452236875874122,26.8911564355346
"31","rotaBE",7,4,"ar1",205,1.69097532498929,3.05698299357288,0.001,0.004,0.004,0.001,0.004,0.001,1,0.004,0.001,0,0.001,0.001,0,-0.967143147368661,26.8911564355346
"32","rotaBE",8,4,"ar1",205,1.02325705595919,1.52361446572311,0.004,0.001,0.001,0,0.004,0,0.004,1,0.003,0.001,0.001,0,0,-0.828986015586256,26.8911564355346
"33","rotaBE",9,4,"ar1",205,1.14225832800318,1.76144908548779,0.004,0,0,0,0.001,0,0.001,0.003,1,0.004,0.001,0,1,-0.107187132520353,26.8911564355346
"34","rotaBE",10,4,"ar1",205,2.03946061525746,3.96839761053743,0.004,0.001,0,0,0.001,0.001,0,0.001,0.004,1,0.004,0,0,-1.02378257428678,26.8911564355346
"35","rotaBE",11,4,"ar1",205,1.7174710985111,3.09298194111943,0.004,0.004,0.001,0,0.004,0.004,0.001,0.001,0.001,0.004,1,0.001,2,0.16064758037521,26.8911564355346
"36","rotaBE",12,4,"ar1",205,1.32630176191799,2.14689216705683,0,0.004,0.003,0.004,0.001,0.004,0.001,0,0,0,0.001,1,2,0.459790819724861,26.8911564355346
"37","rotaBE",1,2,"ar1",206,1.29399066679889,2.09342387782002,1,0.001,0,0,0.004,0.001,0.001,0.003,0.004,0.004,0.004,0,0,-0.894339797863157,3.33712057532106
"38","rotaBE",2,2,"ar1",206,0.781849423729239,1.08272621571791,0.001,1,0.003,0.001,0.003,0.004,0.004,0.001,0,0.001,0.004,0.004,0,-0.751387202961654,3.33712057532106
"39","rotaBE",3,2,"ar1",206,1.00074964367967,1.47842309875555,0,0.003,1,0.004,0.001,0.001,0.004,0.001,0,0,0.001,0.003,1,-0.000616531845695083,3.33712057532106
"40","rotaBE",4,2,"ar1",206,1.01787093907841,1.54312816116841,0,0.001,0.004,1,0,0.001,0.001,0,0,0,0,0.004,11,8.03567164404542,3.33712057532106
"41","rotaBE",5,2,"ar1",206,1.08355884520059,1.64605296682126,0.004,0.003,0.001,0,1,0.001,0.004,0.003,0.001,0.001,0.004,0.001,0,-0.844560175403341,3.33712057532106
"42","rotaBE",6,2,"ar1",206,1.75220229135509,3.21584533491419,0.001,0.004,0.001,0.001,0.001,1,0.001,0,0,0.001,0.004,0.004,0,-0.97709472180946,3.33712057532106
"43","rotaBE",7,2,"ar1",206,1.57064116207283,2.75134604854586,0.001,0.004,0.004,0.001,0.004,0.001,1,0.004,0.001,0,0.001,0.001,0,-0.946900544856523,3.33712057532106
