"","data_set","unit","prediction_horizon","lag_structure","prediction_time","pred_mean","pred_var","cor1","cor2","cor3","cor4","cor5","cor6","cor7","cor8","cor9","cor10","cor11","cor12","obs","unit_wise_dss","multiv_dss"
"1","rotaBE",1,4,"lin",204,1.34918911125103,2.22628299226072,1,0.001,0,0,0.004,0.001,0.001,0.004,0.004,0.004,0.004,0,0,-0.904237769392446,3.71732737817172
"2","rotaBE",2,4,"lin",204,0.796540631853603,1.11615153278855,0.001,1,0.004,0.001,0.004,0.004,0.004,0.001,0,0.001,0.004,0.004,0,-0.753956612043057,3.71732737817172
"3","rotaBE",3,4,"lin",204,1.07516002885627,1.65938001918827,0,0.004,1,0.004,0.001,0.001,0.004,0.001,0,0,0.001,0.004,1,-0.0583463926022828,3.71732737817172
"4","rotaBE",4,4,"lin",204,0.928668202573532,1.38037486945158,0,0.001,0.004,1,0,0.001,0.001,0,0,0,0,0.004,11,8.57212275992505,3.71732737817172
"5","rotaBE",5,4,"lin",204,1.13100651431441,1.76985836064681,0.004,0.004,0.001,0,1,0.001,0.004,0.004,0.001,0.001,0.004,0.001,0,-0.850150570283972,3.71732737817172
"6","rotaBE",6,4,"lin",204,1.75151406397153,3.21437305927827,0.001,0.004,0.001,0.001,0.001,1,0.001,0,0,0.001,0.004,0.004,0,-0.976934595305776,3.71732737817172
"7","rotaBE",7,4,"lin",204,1.54464796678481,2.70264985981823,0.001,0.004,0.004,0.001,0.004,0.001,1,0.004,0.001,0,0.001,0.001,0,-0.939581862820823,3.71732737817172
"8","rotaBE",8,4,"lin",204,0.988561027843615,1.47522871496348,0.004,0.001,0.001,0,0.004,0,0.004,1,0.004,0.001,0.001,0,2,0.832741109882952,3.71732737817172
"9","rotaBE",9,4,"lin",204,1.06182738390066,1.63172864631312,0.004,0,0,0,0.001,0,0.001,0.004,1,0.004,0.001,0,0,-0.831246734759204,3.71732737817172
"10","rotaBE",10,4,"lin",204,1.93944224375475,3.71706611383203,0.004,0.001,0,0,0.001,0.001,0,0.001,0.004,1,0.004,0,0,-1.00595072513692,3.71732737817172
"11","rotaBE",11,4,"lin",204,1.64299997017779,2.91651511765225,0.004,0.004,0.001,0,0.004,0.004,0.001,0.001,0.001,0.004,1,0.001,0,-0.962067269120351,3.71732737817172
"12","rotaBE",12,4,"lin",204,1.26941751671726,2.04687244762946,0,0.004,0.004,0.004,0.001,0.004,0.001,0,0,0,0.001,1,1,-0.188313059242562,3.71732737817172
"13","rotaBE",1,3,"lin",205,1.28476883825218,2.09994361853274,1,0.001,0,0,0.004,0.001,0.001,0.004,0.004,0.005,0.004,0,0,-0.886586628753757,2.06685529255631
"14","rotaBE",2,3,"lin",205,0.764348746238144,1.06556975339304,0.001,1,0.004,0.001,0.004,0.005,0.005,0.001,0,0.001,0.004,0.004,0,-0.740458316598076,2.06685529255631
"15","rotaBE",3,3,"lin",205,1.05167595061057,1.62190109621128,0,0.004,1,0.006,0.001,0.001,0.005,0.001,0,0,0.001,0.004,1,-0.0405766595209665,2.06685529255631
