"","data_set","unit","prediction_horizon","lag_structure","prediction_time","pred_mean","pred_var","cor1","cor2","cor3","cor4","cor5","cor6","cor7","cor8","cor9","cor10","cor11","cor12","obs","unit_wise_dss","multiv_dss"
"1","rotaBE",1,4,"pois",204,1.33726730114444,2.19501898996159,1,0.001,0,0,0.003,0,0,0.003,0.003,0.003,0.003,0,0,-0.902607804646007,3.69560224077086
"2","rotaBE",2,4,"pois",204,0.798193916741562,1.11855805235495,0.001,1,0.003,0.001,0.003,0.004,0.003,0.001,0,0.001,0.003,0.003,0,-0.754708340075566,3.69560224077086
"3","rotaBE",3,4,"pois",204,1.09093616994277,1.6879308312855,0,0.003,1,0.003,0.001,0,0.003,0,0,0,0,0.003,1,-0.0699937618672535,3.69560224077086
"4","rotaBE",4,4,"pois",204,0.934869341432501,1.38872822590565,0,0.001,0.003,1,0,0,0,0,0,0,0,0.003,11,8.54104058739095,3.69560224077086
"5","rotaBE",5,4,"pois",204,1.13848341423711,1.78077736739864,0.003,0.003,0.001,0,1,0.001,0.003,0.003,0.001,0.001,0.003,0,0,-0.853143122980217,3.69560224077086
"6","rotaBE",6,4,"pois",204,1.76028941866824,3.22771759737484,0,0.004,0,0,0.001,1,0,0,0,0,0.003,0.003,0,-0.979797469282999,3.69560224077086
"7","rotaBE",7,4,"pois",204,1.53951509290418,2.68048884441614,0,0.003,0.003,0,0.003,0,1,0.003,0,0,0,0,0,-0.940322761687557,3.69560224077086
"8","rotaBE",8,4,"pois",204,0.989833696873534,1.47666620025754,0.003,0.001,0,0,0.003,0,0.003,1,0.003,0.001,0,0,2,0.831288380615894,3.69560224077086
"9","rotaBE",9,4,"pois",204,1.06901085878104,1.64420374126314,0.003,0,0,0,0.001,0,0,0.003,1,0.004,0.001,0,0,-0.833689440307401,3.69560224077086
"10","rotaBE",10,4,"pois",204,1.93481249028624,3.69258836091231,0.003,0.001,0,0,0.001,0,0,0.001,0.004,1,0.003,0,0,-1.00687007650073,3.69560224077086
"11","rotaBE",11,4,"pois",204,1.64810146032317,2.92249927347884,0.003,0.003,0,0,0.003,0.003,0,0,0.001,0.003,1,0,0,-0.964065936779477,3.69560224077086
"12","rotaBE",12,4,"pois",204,1.24941745532004,2.00173145605736,0,0.003,0.003,0.003,0,0.003,0,0,0,0,0,1,1,-0.176288481571827,3.69560224077086
"13","rotaBE",1,3,"pois",205,1.26445048135552,2.05302645972611,1,0.001,0,0,0.004,0.001,0.001,0.004,0.004,0.004,0.004,0,0,-0.882479352164566,1.95833873425747
"14","rotaBE",2,3,"pois",205,0.759294765417451,1.05687962171453,0.001,1,0.004,0.001,0.004,0.004,0.005,0.001,0,0.001,0.004,0.004,0,-0.73858017106311,1.95833873425747
"15","rotaBE",3,3,"pois",205,1.05417339417113,1.62425938468542,0,0.004,1,0.005,0.001,0.001,0.004,0.001,0,0,0.001,0.004,1,-0.0425067943903944,1.95833873425747
"16","rotaBE",4,3,"pois",205,1.55967460380597,2.8764876252355,0,0.001,0.005,1,0,0.001,0.001,0,0,0,0,0.005,11,5.56616029615151,1.95833873425747
"17","rotaBE",5,3,"pois",205,1.12321820708219,1.76743100421722,0.004,0.004,0.001,0,1,0.001,0.004,0.004,0.001,0.001,0.004,0.001,0,-0.844875857225111,1.95833873425747
"18","rotaBE",6,3,"pois",205,1.6568942927313,2.99416788086915,0.001,0.004,0.001,0.001,0.001,1,0.001,0,0,0.001,0.004,0.004,0,-0.957539566190333,1.95833873425747
"19","rotaBE",7,3,"pois",205,1.68100600296269,3.09617246719886,0.001,0.005,0.004,0.001,0.004,0.001,1,0.004,0.001,0,0.001,0.001,0,-0.95533720667419,1.95833873425747
"20","rotaBE",8,3,"pois",205,0.994359777982809,1.50081753296535,0.004,0.001,0.001,0,0.004,0,0.004,1,0.004,0.001,0.001,0,2,0.820878135080268,1.95833873425747
"21","rotaBE",9,3,"pois",205,1.05120459246524,1.62361324590769,0.004,0,0,0,0.001,0,0.001,0.004,1,0.004,0.001,0,0,-0.824984818503473,1.95833873425747
"22","rotaBE",10,3,"pois",205,1.87280866093601,3.57127210420211,0.004,0.001,0,0,0.001,0.001,0,0.001,0.004,1,0.004,0,0,-0.991018902923765,1.95833873425747
"23","rotaBE",11,3,"pois",205,1.55451631348615,2.71960059967285,0.004,0.004,0.001,0,0.004,0.004,0.001,0.001,0.001,0.004,1,0.001,0,-0.942633174194709,1.95833873425747
"24","rotaBE",12,3,"pois",205,1.20816624620941,1.93030316384473,0,0.004,0.004,0.005,0.001,0.004,0.001,0,0,0,0.001,1,1,-0.149829575664519,1.95833873425747
"25","rotaBE",1,4,"pois",205,1.3886425121022,2.33260422788711,1,0.001,0,0,0.004,0.001,0.001,0.004,0.004,0.004,0.004,0,2,0.40028996850971,17.9046224069989
"26","rotaBE",2,4,"pois",205,0.833131284361615,1.19064842786725,0.001,1,0.004,0.001,0.004,0.005,0.005,0.001,0,0.001,0.004,0.004,1,0.152926641838656,17.9046224069989
