"","data_set","unit","prediction_horizon","lag_structure","prediction_time","pred_mean","pred_var","cor1","cor2","cor3","cor4","cor5","cor6","cor7","cor8","cor9","cor10","cor11","cor12","obs","unit_wise_dss","multiv_dss"
"1","rotaBE",1,4,"unres",204,1.31049631862027,2.11983621781869,1,0,0,0,0.002,0,0,0.002,0.002,0.003,0.003,0,0,-0.900087336022605,3.5225874619236
"2","rotaBE",2,4,"unres",204,0.813292690473368,1.14848722579091,0,1,0.003,0,0.003,0.003,0.003,0,0,0,0.003,0.003,0,-0.75889865746642,3.5225874619236
"3","rotaBE",3,4,"unres",204,1.16895653919574,1.82435935416697,0,0.003,1,0.003,0,0,0.003,0,0,0,0,0.003,1,-0.12508919890182,3.5225874619236
"4","rotaBE",4,4,"unres",204,0.983921707788965,1.46842471121059,0,0,0.003,1,0,0,0,0,0,0,0,0.003,11,8.26555211372045,3.5225874619236
"5","rotaBE",5,4,"unres",204,1.22323136232755,1.93378813868617,0.002,0.003,0,0,1,0,0.003,0.002,0,0,0.003,0,0,-0.879638362388643,3.5225874619236
"6","rotaBE",6,4,"unres",204,1.86965798728191,3.47721457754225,0,0.003,0,0,0,1,0,0,0,0,0.003,0.003,0,-1.00264322454401,3.5225874619236
"7","rotaBE",7,4,"unres",204,1.54373429698703,2.67811399031633,0,0.003,0.003,0,0.003,0,1,0.003,0,0,0,0,0,-0.943317787751581,3.5225874619236
"8","rotaBE",8,4,"unres",204,1.05745471650252,1.60157321190502,0.002,0,0,0,0.002,0,0.003,1,0.002,0,0,0,2,0.744781407457185,3.5225874619236
"9","rotaBE",9,4,"unres",204,1.20234659688926,1.88452305101786,0.002,0,0,0,0,0,0,0.002,1,0.003,0,0,0,-0.875848421294324,3.5225874619236
"10","rotaBE",10,4,"unres",204,1.84371723760967,3.42919032501555,0.003,0,0,0,0,0,0,0,0.003,1,0.003,0,0,-0.995631254138901,3.5225874619236
"11","rotaBE",11,4,"unres",204,1.67615396443807,2.99519335327263,0.003,0.003,0,0,0.003,0.003,0,0,0,0.003,1,0,0,-0.968504129802021,3.5225874619236
"12","rotaBE",12,4,"unres",204,1.24682937935903,1.99879910296016,0,0.003,0.003,0.003,0,0.003,0,0,0,0,0,1,1,-0.174587151109614,3.5225874619236
"13","rotaBE",1,3,"unres",205,1.23027574144075,1.96737295318304,1,0,0,0,0.003,0,0,0.003,0.003,0.003,0.003,0,0,-0.877120199023708,2.16572307472733
"14","rotaBE",2,3,"unres",205,0.77201479404171,1.08556807061499,0,1,0.003,0.001,0.003,0.003,0.004,0,0,0,0.003,0.003,0,-0.740963972810119,2.16572307472733
"15","rotaBE",3,3,"unres",205,1.2039047171563,1.89732269016125,0,0.003,1,0.004,0,0,0.003,0,0,0,0,0.003,1,-0.148032363324106,2.16572307472733
"16","rotaBE",4,3,"unres",205,1.42362073621676,2.57799376153055,0,0.001,0.004,1,0,0,0,0,0,0,0,0.004,11,5.96431272406016,2.16572307472733
"17","rotaBE",5,3,"unres",205,1.24121620680946,1.98946542297151,0.003,0.003,0,0,1,0,0.003,0.003,0,0,0.003,0,0,-0.879993045299721,2.16572307472733
"18","rotaBE",6,3,"unres",205,1.76088834293178,3.23344513940637,0,0.003,0,0,0,1,0,0,0,0,0.003,0.003,0,-0.979262378512356,2.16572307472733
"19","rotaBE",7,3,"unres",205,1.63258719388771,2.97355720741829,0,0.004,0.003,0,0.003,0,1,0.003,0,0,0,0,0,-0.946756371340129,2.16572307472733
"20","rotaBE",8,3,"unres",205,1.04196074921402,1.59681247206145,0.003,0,0,0,0.003,0,0.003,1,0.003,0,0,0,2,0.758152103774657,2.16572307472733
"21","rotaBE",9,3,"unres",205,1.23528452620633,1.97268306931716,0.003,0,0,0,0,0,0,0.003,1,0.003,0,0,0,-0.87950506050166,2.16572307472733
"22","rotaBE",10,3,"unres",205,1.76502002743784,3.26335386820438,0.003,0,0,0,0,0,0,0,0.003,1,0.003,0,0,-0.97705171790658,2.16572307472733
"23","rotaBE",11,3,"unres",205,1.57626448724383,2.78103745548926,0.003,0.003,0,0,0.003,0.003,0,0,0,0.003,1,0,0,-0.94520426392288,2.16572307472733
"24","rotaBE",12,3,"unres",205,1.15275704135836,1.82123862307822,0,0.003,0.003,0.004,0,0.003,0,0,0,0,0,1,1,-0.113192541794455,2.16572307472733
