"","h1","h2","h3","h4"
"t=204",NA,NA,NA,1.97742279291444
"t=205",NA,NA,1.91678095100871,3.55871296013096
"t=206",NA,1.92805627078691,3.60152074417948,1.71280720496081
"t=207",2.07586681561619,3.83702977678614,1.6858404077972,1.69335734294853
"t=208",2.78400255954463,1.64543821030755,1.69260833470412,1.88723197852238
"t=209",1.6705425559764,1.78950656875504,1.9279359967826,2.12285437537587
"t=210",1.5445327730159,1.82012686900225,2.04898699960985,2.02687067025503
"t=211",1.77890636596631,1.9790398947057,1.97590197514866,2.30453688253601
"t=212",1.92406050774811,1.90411101857422,2.27358868857868,2.34359651087087
"t=213",1.80981465816325,2.22475140061805,2.32102268784374,2.41806952890724
"t=214",2.12445378448296,2.25148103558502,2.39681796565631,2.5295272384159
"t=215",2.14511671075416,2.40360259019953,2.54281237449792,2.4763100399412
"t=216",2.37069378453141,2.49244941812299,2.44900129221569,2.56946803176048
"t=217",2.5837917667662,2.44608658470894,2.56216965402707,2.73266304002287
"t=218",2.38724621384607,2.47316864976733,2.68709883638949,2.57774440860635
"t=219",2.44911217825985,2.70013743603946,2.56582369093183,2.58361234543672
"t=220",2.71121427947615,2.52839649052588,2.56138073748375,2.69606370126085
"t=221",2.5719362914348,2.58728565293731,2.70257818570442,2.53001668692429
"t=222",2.46738662728357,2.70818218133607,2.51874053126689,2.89772480804638
"t=223",2.78270701228477,2.49843512437185,2.91023064740504,2.79807502290063
"t=224",2.44214651210783,2.81316885308957,2.816826983537,2.5890576047079
"t=225",2.95228478476974,2.88280314758028,2.58647955583866,1.92612600369801
"t=226",3.02234952802142,2.62649316006039,1.92648161550255,1.89600512435253
"t=227",2.44988542137548,1.946171209424,1.87946582017339,1.89375372810509
"t=228",1.99212518730365,1.90553956711095,1.89708994750248,1.9617579314836
"t=229",1.78049653515081,1.87914595219198,1.98797758673092,2.10243458671478
"t=230",1.82541961588523,2.01280953314583,2.08148226722666,1.59865350405594
"t=231",2.0025816611079,2.06808353501402,1.59724055614883,1.54082366326274
"t=232",2.10069363721246,1.64580315534237,1.54183908119829,1.85206273444149
"t=233",1.54611426789813,1.50385835571075,1.82231584241967,2.34790481364673
"t=234",1.46026487123277,1.81825013888508,2.35892181701115,1.89090304969123
"t=235",1.72265220635782,2.31775032982671,1.89046461106797,1.5580542848769
"t=236",2.22650769270277,1.86463258978281,1.55669452399088,1.70052514029392
"t=237",1.49021601248378,1.46846684830496,1.64947096710229,2.15416731173192
"t=238",1.2732920961025,1.5520960776024,2.12942789365405,1.39781493315926
"t=239",1.34147298645986,2.07943147338436,1.39749575056285,1.04690689686018
"t=240",1.85358781282327,1.37645102694837,1.04693849169015,1.26282980991596
"t=241",1.222836864423,1.04870959159323,1.26323788209505,0.84166331963901
"t=242",1.04633350275249,1.25922242551387,0.843392193734603,1.05318567215917
"t=243",1.23435361088389,0.845578870104179,1.0562306746993,0.81410973063497
"t=244",0.845336986697727,1.04556439058052,0.816054011664066,1.04225264333014
"t=245",1.12668288078389,0.820053741642518,1.0442802256024,0.808190652829236
"t=246",0.823485575239533,1.04285976337967,0.809475726206032,0.983130603841528
"t=247",1.04165527525278,0.807755584183753,0.982357221787199,1.58486764408623
"t=248",0.815020307589758,0.977939730179516,1.5774055017291,1.34126566476403
"t=249",1.00017470492264,1.58158610558527,1.34497347190474,1.24360590004045
"t=250",1.57060820879691,1.33192995495191,1.24931123924514,1.59613103457622
"t=251",1.27799187261034,1.26103772186893,1.58945202308388,1.44779137501444
"t=252",1.28782029068053,1.59748232526721,1.44598258117791,1.04846121576272
"t=253",1.51178155588874,1.44174700814598,1.04608124178611,1.56298341675585
"t=254",1.43784358557315,1.06581790297132,1.56868712616089,1.12659571154315
"t=255",1.08806665161195,1.56525946640281,1.12793572677541,1.36736573272281
"t=256",1.52410409170341,1.09327439719998,1.3528463166039,1.29557158836433
"t=257",1.14347068272898,1.36492852958297,1.29585381237638,1.27804694530313
"t=258",1.27786621628707,1.25854175433216,1.25048864194741,1.61809783631526
"t=259",1.14769095776588,1.22777711794673,1.61004364588405,1.57715395444447
"t=260",1.20735553983812,1.59023746621124,1.56444823107004,3.38874755206123
"t=261",1.54185047762675,1.52878625174321,3.40777216280421,2.08903238231138
"t=262",1.4425989042263,3.36880875982674,2.06974299468463,2.18801806502245
"t=263",4.12072545805555,1.99118788178311,2.14944549861471,2.19637544786159
"t=264",2.25868937506025,2.20266169774512,2.27813109590935,2.59279390416633
"t=265",1.99072836844976,2.15627349405951,2.58152556920604,2.87067782352369
"t=266",2.08216837956539,2.52091495130825,2.83990742187884,2.5179429565218
"t=267",2.56030189423252,2.88107811935634,2.51904670223466,2.34087855213729
"t=268",2.68332724040336,2.5391728436199,2.38750870550392,2.55740467471356
"t=269",2.50785786125249,2.34928806027058,2.52135167706926,3.13210667991161
"t=270",2.23081956097566,2.44274711694931,3.13339062176602,2.63690650613193
"t=271",2.27641670513258,3.08926063229086,2.59346865274895,3.11978200736005
"t=272",3.00529642515411,2.55340571123931,3.11882989402819,2.58483478608337
"t=273",2.80925068377165,3.19275434986191,2.5961218608452,2.46482109893116
"t=274",2.94684400831879,2.52508140637385,2.48282090463355,2.65855767646625
"t=275",2.53406550361577,2.56527888781669,2.65080242225814,3.87041376709339
"t=276",2.40452088082824,2.61108883068621,3.8967738495089,2.25056868920246
"t=277",2.61078031025525,3.8179042697646,2.25071725598331,2.52389800022171
"t=278",3.89224847771851,2.22737917802242,2.48577218956897,2.19924077354033
"t=279",2.30764876020176,2.38645338982157,2.16800763113519,1.63092607942406
"t=280",2.8153017203635,2.19455725377359,1.5975116836564,1.56372616071713
"t=281",2.06106107219535,1.62114761455796,1.58041795088568,1.41384288438059
"t=282",1.61707698132787,1.58688590521297,1.41555438944272,1.72147336714347
"t=283",1.55057582346302,1.39172897619855,1.73680006788742,1.0341171173475
"t=284",1.33481573898905,1.75920713096398,1.02299164882747,1.24896138692689
"t=285",1.89717205155758,1.0041435112168,1.2498513763541,0.896436446470429
"t=286",1.10545594029277,1.24898300818369,0.911691237573956,1.05396740627347
"t=287",1.37099827535895,0.88527397336397,1.05410646340825,1.10943545782696
"t=288",0.868618752472586,1.02012771204567,1.11403118741025,1.01107079728202
"t=289",1.0236956728882,1.11607835448285,1.01087379362405,0.654750748363655
"t=290",1.18728369308012,0.990378719844259,0.658628056332791,1.00703959543116
