"","h1","h2","h3","h4"
"t=204",NA,NA,NA,1.92792757164392
"t=205",NA,NA,1.75584481709635,3.03252874803409
"t=206",NA,1.76849553372802,3.20735191539388,1.68798938585656
"t=207",1.90183361621603,3.67858858078315,1.64336299672746,1.63513688849709
"t=208",2.5357256378123,1.49806740041347,1.62060469352141,1.81514261715179
"t=209",1.5845014967444,1.84690131339907,2.01269650574816,2.24861516111405
"t=210",1.63334233369944,1.84865244404357,2.10494328712253,2.05385710184513
"t=211",1.77876244554463,1.96422594315356,1.92871213016668,2.29433295853812
"t=212",1.89947493230469,1.82401978570705,2.21238756956854,2.29477584515346
"t=213",1.75073586726529,2.14530547321133,2.24048981481451,2.37535879614292
"t=214",2.07245894670476,2.18463944958294,2.39022289658024,2.4469068113181
"t=215",2.07393569291084,2.40248954600654,2.43048825188133,2.42980995556479
"t=216",2.41773172463772,2.40147605001046,2.42085509518876,2.47765764327208
"t=217",2.51826340805626,2.40697443637326,2.49638291021502,2.71536614798033
"t=218",2.36424198083912,2.42182512529659,2.65883526609987,2.53649863136475
"t=219",2.3937581052843,2.66487600293244,2.51662990095013,2.54447672737828
"t=220",2.6952757259356,2.50870615916459,2.54415712498603,2.66163826429709
"t=221",2.51680536003462,2.54480353508532,2.62858053368555,2.4588995566225
"t=222",2.46870260233808,2.66914958924535,2.47287256282393,2.87209540386238
"t=223",2.7700881837309,2.47291613155492,2.93301409840976,2.92949365660321
"t=224",2.4253674549603,2.75950608186512,2.93100868283795,2.62962938565167
"t=225",2.81686951969696,3.00101091197033,2.6201494667401,1.89529773289765
"t=226",3.15262974339981,2.70270318822355,1.91455110518384,1.88731027653601
"t=227",2.48505279348111,1.91847589197,1.82581661332476,1.85073579771938
"t=228",1.95934626202852,1.85789545762869,1.87484984573288,1.97615615605092
"t=229",1.78703583974994,1.85138688152003,2.00943714366666,2.09732015484612
"t=230",1.79923072754067,2.06054312758265,2.11519077443619,1.55677593154609
"t=231",2.06898915173376,2.08895978718372,1.55488399891506,1.53480957483125
"t=232",2.0744937931443,1.6506170970177,1.57118490801563,1.90579899938616
"t=233",1.57886660855848,1.50151524887633,1.82540437702435,2.36494005624264
"t=234",1.46385302068446,1.79962250533453,2.3481363825638,1.88867180656124
"t=235",1.73214344289427,2.29655270846737,1.86628675454301,1.57224580657411
"t=236",2.23363030742044,1.82742868357237,1.55814676759238,1.70736920621622
"t=237",1.49590254503997,1.36058156791269,1.48869107838715,2.04986617619264
"t=238",1.23155117089587,1.34509753413332,1.95346373280111,1.3624214885368
"t=239",1.22780452476829,1.90388422504619,1.35458023824425,1.05604009078577
"t=240",1.79829055206217,1.34248426726632,1.07833901912877,1.24199939990493
"t=241",1.23637275680636,1.09997200623895,1.23654667142889,0.864196364794242
"t=242",1.10196973100073,1.23557170845747,0.873240539469694,1.02978771666893
"t=243",1.21456990360452,0.866348119019616,1.05498946356297,0.813440048499842
"t=244",0.857766914656641,1.05631873008851,0.813865882780425,1.045234626234
"t=245",1.12241396607261,0.821922047963866,1.05155894621605,0.819481695165734
"t=246",0.833208334413612,1.04550234542777,0.816044736827645,0.983377620120728
"t=247",1.04290755787025,0.813661750867963,0.981771778440114,1.59526069716469
"t=248",0.819827373539095,0.96734832894532,1.56835051384672,1.32763001191004
"t=249",0.986546938459992,1.56840279053166,1.33712262443622,1.25343241603471
"t=250",1.56451207087515,1.29197664030984,1.26015744079066,1.61712824723942
"t=251",1.26112084471328,1.30595342696943,1.57978139128901,1.43064113702004
"t=252",1.33557141403981,1.60689291889182,1.44476539415577,1.06199709676024
"t=253",1.52369454512798,1.42737355861931,1.05557494973406,1.56086910923458
"t=254",1.43226195524295,1.09803637541996,1.58550602218561,1.15093005445557
"t=255",1.12359836843192,1.58357028356167,1.1540565389115,1.38910472699694
"t=256",1.52716236792309,1.07838682336756,1.35137185917755,1.2462055728744
"t=257",1.11552857084047,1.37120522590546,1.23671936655216,1.25856504767721
"t=258",1.29806540693167,1.17728276257994,1.20651551109966,1.57418852736782
"t=259",1.06762128970393,1.16207497197311,1.56490432066697,1.47781406177943
"t=260",1.19535498751471,1.56311674601388,1.46980046272896,3.3312580189783
"t=261",1.53861779294117,1.4360693823825,3.33985664850091,2.00979295657129
"t=262",1.36550639683459,3.52801449664729,1.99845707786161,2.12715696894003
"t=263",4.32850001643477,1.91605531578971,2.05177099140262,2.14205182003214
"t=264",2.06508475432286,2.06132955621191,2.26249323529919,2.52566413947052
"t=265",1.89725295060716,2.10596755166665,2.4777771318183,2.77211866911968
"t=266",2.04132245669097,2.42283611877832,2.73118279720072,2.45450922043635
"t=267",2.44513218574525,2.79194571045091,2.48663053759585,2.27672020821493
"t=268",2.64832967563701,2.52167687670727,2.32232764613059,2.49391064015244
"t=269",2.51970303595512,2.3149268041283,2.44191015677391,2.99460254132898
"t=270",2.24712187793207,2.38243150598354,3.00382416961867,2.64701999157989
"t=271",2.25402453183434,2.99663107761143,2.57134886552553,3.1185986608168
"t=272",2.96487503044989,2.49954955517745,3.12643390829953,2.51598219783721
"t=273",2.65353423896653,3.23968577775788,2.50644640214739,2.37100962631699
"t=274",3.09166571773876,2.44472199373119,2.37954409797507,2.58850283437145
"t=275",2.41739308111533,2.53554718427538,2.60163185700658,3.92883919570248
"t=276",2.48749450501071,2.56703244467978,4.10722281851773,2.2658690831346
"t=277",2.56172625251077,4.03126197425788,2.22481856467576,2.53523097986831
"t=278",4.01620456530307,2.20646538509326,2.42453526674792,2.12848116395369
"t=279",2.1837354278658,2.32002487619983,2.05956604156021,1.61001102954472
"t=280",2.44562449892924,2.08373032356408,1.57130514640722,1.61336441186274
"t=281",2.00612928659739,1.59170239905581,1.62930556974055,1.44389124151416
"t=282",1.6054914660753,1.63724555248002,1.45811792095174,1.72036302151825
"t=283",1.61107382725825,1.43419594498913,1.74339720331166,1.00024773098195
"t=284",1.3819333326392,1.78225860464692,0.976109873348618,1.26916517592052
"t=285",1.87047344902497,0.959225470219248,1.28882037605445,0.860033654570286
"t=286",1.01015659508016,1.2694860494292,0.891530128000936,1.04559606632472
"t=287",1.31458463876991,0.869779411517237,1.04809513307901,1.12405725505334
"t=288",0.84526619697939,0.991055689706143,1.13121490812027,0.979453414655523
"t=289",0.987950224566372,1.14707937802849,0.971440297235481,0.642598863306019
"t=290",1.20561490022854,0.938926738586941,0.649654175144037,0.99592507959649
"t=291",0.989287923049804,0.654560770337642,1.00266268483566,1.29182385900005
"t=292",0.656736821414194,0.989354765861935,1.2832098762497,1.24571047946043
"t=293",1.00312987195681,1.30980859517665,1.25895007322591,1.17220446177865
"t=294",1.30137722605345,1.24513932856132,1.15932567082452,0.951975733996576
"t=295",1.20277764167316,1.14654162888143,0.941936822763927,1.42924004573272
"t=296",1.09261700051613,0.943076697384665,1.41403433338782,0.700810675098555
"t=297",0.958481134654687,1.41504930499885,0.694478747771179,1.04325146091668
"t=298",1.40340273119297,0.698429678821673,1.04375841817649,1.05422294700323
"t=299",0.735802420659275,1.05614081668161,1.07070186639016,0.864536682272758
"t=300",1.07727636146209,1.08468921643304,0.862057680559522,1.10579661527724
"t=301",1.05523118947821,0.837588152125138,1.11362409140424,1.1767580210535
"t=302",0.846812040612434,1.08530886859081,1.17227584578474,0.982966167444556
"t=303",1.08017367333848,1.16154659232642,0.968774410578842,0.885435521908869
"t=304",1.08415628849978,0.923453806356369,0.893652865566952,1.00337767963539
"t=305",0.895905601380592,0.880496523049085,0.996211275270361,1.08248176232781
"t=306",0.842869496432474,0.951082517104605,1.06180457311655,1.31014223422377
"t=307",0.920805919627942,1.02554599475514,1.28683177365876,1.26137881881866
"t=308",0.999335559124818,1.27953734352503,1.25118546814765,1.11137047178707
"t=309",1.24346806713457,1.22654944845607,1.08348154527867,1.14845542253704
"t=310",1.19907973368193,1.08323547040772,1.12796196359255,1.39482495498819
"t=311",1.08416578398019,1.11241755229978,1.34778097528588,1.58511101550069
"t=312",1.0753021863884,1.34380467239298,1.57599304898062,1.81708959476221
