"","h1","h2","h3","h4"
"t=204",NA,NA,NA,1.93659285956483
"t=205",NA,NA,1.80293812879347,3.24124285411308
"t=206",NA,1.81713503754542,3.36194058802265,1.69908493292738
"t=207",2.05351415754346,3.86477021815102,1.65431921789307,1.65078082164808
"t=208",2.73837200854352,1.56615847428975,1.65661115098442,1.84873516885116
"t=209",1.61817944776406,1.83159999906575,1.97012739432704,2.16300146276461
"t=210",1.61555351160378,1.80743547109303,2.05623565051531,2.02049403238682
"t=211",1.74733213878057,1.93640999677029,1.9239673714624,2.28260201842482
"t=212",1.88824671683431,1.84049179086995,2.2311692747929,2.31635284336886
"t=213",1.76813343867561,2.17435241055078,2.2754505845656,2.39599969692295
"t=214",2.09167676832874,2.21109367773086,2.38272413390754,2.48624491821026
"t=215",2.09718606269088,2.3890592259264,2.48531980554768,2.4448259294821
"t=216",2.40906832037111,2.42320722985089,2.42283216381385,2.50273231789508
"t=217",2.54587257144784,2.422778803385,2.5359082189587,2.73109302433648
"t=218",2.36186583373752,2.43151692807385,2.66580937666496,2.5441727857957
"t=219",2.3979092989857,2.67714080717426,2.52579762639673,2.55226386395473
"t=220",2.70652782719416,2.51501432380056,2.55097525098945,2.67256256404068
"t=221",2.52463377443057,2.54839107846861,2.64242773321843,2.48151776477671
"t=222",2.47503066910141,2.67542092635839,2.49550578728021,2.85223764750039
"t=223",2.78423531506179,2.49170746759991,2.90245366929735,2.87103616218245
"t=224",2.43897155011032,2.73726641710226,2.91336339645988,2.60272416647721
"t=225",2.78108174436127,2.98968676077488,2.59264984744768,1.9081009347192
"t=226",3.12214733186622,2.70011336574449,1.92358777730605,1.88487040051381
"t=227",2.50814199521794,1.93981530307299,1.83476754860446,1.85183493947528
"t=228",1.97997576038309,1.87458492706515,1.88453946096027,1.96609425676497
"t=229",1.79631137296446,1.85740744555152,1.99516192438135,2.10395143738746
"t=230",1.7991661652063,2.07205158466656,2.11347407037695,1.5758305611911
"t=231",2.07326587550998,2.08233539946848,1.57330531637095,1.54416753864933
"t=232",2.06897074797922,1.69279163961141,1.57305051473743,1.88756882026775
"t=233",1.60706550662415,1.49370414174329,1.81514283192452,2.3407748827827
"t=234",1.45597861844047,1.78965804416129,2.33232654202554,1.89456335336536
"t=235",1.7232390857646,2.30851124815542,1.88948235166314,1.57128352812814
"t=236",2.22737039480775,1.83239212066728,1.56617844621295,1.72576292941636
"t=237",1.49440107046686,1.33455414250909,1.49188308506806,2.08360919082968
"t=238",1.21604160450316,1.32698672960472,1.99743637291857,1.38684585130459
"t=239",1.21874096158783,1.93621414035587,1.37311960722996,1.05312407357395
"t=240",1.82102654527745,1.35228566157003,1.07390572932944,1.25557832022362
"t=241",1.23944137850696,1.10033210140533,1.24601381015364,0.850509822205197
"t=242",1.10301484003103,1.24399594685517,0.859378703341768,1.04794012066037
"t=243",1.22420234696763,0.850921767136577,1.07952752318078,0.811636591427834
"t=244",0.845521086268288,1.06593896900923,0.812265997985854,1.04248070990857
"t=245",1.1344965931045,0.823913873661084,1.04689192310389,0.816383425735802
"t=246",0.836446431707204,1.04123710071195,0.812461673427263,0.972831593467734
"t=247",1.03777201594433,0.812289545968129,0.970873495024183,1.60403218908622
"t=248",0.819201742406696,0.955344280506507,1.5850857324552,1.32666610570924
"t=249",0.976461037665974,1.57578097594613,1.33187367700462,1.25248822979957
"t=250",1.57642505146635,1.28740732694286,1.26181768763648,1.62089528968875
"t=251",1.25463618278059,1.311355084589,1.58199482030188,1.43985103501132
"t=252",1.33964928322487,1.61994413330968,1.45260883943472,1.05055960068121
"t=253",1.54130917844156,1.43640502079788,1.04771234465339,1.55530032013004
"t=254",1.43753253553565,1.09621750484932,1.57764535951091,1.13836397280883
"t=255",1.11881151884005,1.57284586111006,1.14532327864263,1.3872049999223
"t=256",1.52144597747498,1.06323925573614,1.35300492450311,1.25363220677894
"t=257",1.09483803068919,1.37517764529666,1.24660527811149,1.27919886278364
"t=258",1.30866952166999,1.18607229625979,1.21424211943931,1.58182189511786
"t=259",1.08115894288662,1.17130243109551,1.5700025499099,1.49458326182993
"t=260",1.19255497731809,1.57164166632384,1.48129976323414,3.53684671155756
"t=261",1.54015464837368,1.44359893949222,3.43395722863451,2.03246144164745
"t=262",1.37046855048909,3.56116821425461,2.02186503946937,2.13976359903596
"t=263",4.27192594651408,1.9254360785603,2.06739861992544,2.15273771037183
"t=264",2.06718369331665,2.09334316690744,2.28161223341726,2.54584371176605
"t=265",1.92820481783044,2.11950696614283,2.50368661143567,2.80137912130751
"t=266",2.03548810175076,2.43999300708151,2.75677158785524,2.47202960338247
"t=267",2.45788451361413,2.82949588462268,2.50273365578156,2.29729075548672
"t=268",2.67726867790059,2.53629646341163,2.35115691664317,2.52068251678326
"t=269",2.520635964669,2.334443522938,2.47712925114348,3.03581392707652
"t=270",2.26239577913095,2.39556987011631,3.04008984165615,2.65523873553896
"t=271",2.26125237237036,3.0518755389439,2.56162822067079,3.11333570495984
"t=272",3.01255068434312,2.50394991709059,3.13746097759543,2.52785107672859
"t=273",2.67182930538389,3.24663315178206,2.52603858896582,2.40546119634197
"t=274",3.09823668220491,2.44658392670088,2.40492089238056,2.61910981164291
"t=275",2.44270812756109,2.61886266410265,2.62299025910542,3.91842278614255
"t=276",2.54103149426088,2.58351540489834,3.98906823465659,2.26018642485288
"t=277",2.57274157462488,3.97602958794904,2.22674470163927,2.53393272761217
"t=278",3.93243633345472,2.1999082865909,2.44357861657865,2.1535408133214
"t=279",2.19819731144441,2.33186560233871,2.09421067253565,1.62069944195177
"t=280",2.43917915962831,2.11999985268123,1.58519962555884,1.58755826593726
"t=281",2.02128550785434,1.60880449508557,1.59550464267731,1.42452880234109
"t=282",1.62025555839931,1.61150414721702,1.44324796972565,1.71576569539578
"t=283",1.58263693027497,1.41556081237406,1.73470915582406,1.0071053315289
"t=284",1.36558060127783,1.78790905951741,0.985341523091918,1.25343521193183
"t=285",1.88802571382952,0.966282411107297,1.27625591219361,0.870599505274003
"t=286",1.02338388641258,1.26472688170734,0.906279454006611,1.0380639560399
"t=287",1.29391596909453,0.87398554474484,1.04126341632637,1.12551955627402
"t=288",0.848343391029074,0.975407809590499,1.1328524024362,0.98572696101622
"t=289",0.972984303653746,1.15463940132368,0.979973977498568,0.648730948279436
"t=290",1.22017252552908,0.943382147442825,0.653416890138491,0.997625490007862
"t=291",0.997568390914749,0.65815730344638,1.00458128088428,1.29588883737687
"t=292",0.661428585465586,0.985217355573034,1.287261773517,1.24712618483178
"t=293",0.999552167565219,1.32131498309471,1.26070121810624,1.17485155231945
"t=294",1.31027297743984,1.24284603967624,1.16535758217838,0.950084801334006
"t=295",1.19779570695897,1.14942193600802,0.942083334632668,1.43920245679572
"t=296",1.09281182484215,0.94347288183463,1.42433114034848,0.700370877592611
"t=297",0.958221311288477,1.42557872942671,0.69522722667551,1.04334476019105
"t=298",1.41228155929445,0.700781874266123,1.04072181885802,1.04835329154592
"t=299",0.73754982037476,1.05822170084845,1.06222066396896,0.855670941337658
"t=300",1.08049456271662,1.07836192021879,0.850636625453334,1.09006482473399
"t=301",1.04416930333835,0.825435082609602,1.09673781295069,1.16644714384987
"t=302",0.834817811792648,1.06707371169543,1.15808269953489,0.975702236331354
"t=303",1.06311782005205,1.14889014564938,0.96396481760184,0.888504509858503
"t=304",1.07568965058763,0.921179094275209,0.896383971352592,1.00466942982481
"t=305",0.896617713376171,0.878653462085904,0.996491917344736,1.08321177592444
"t=306",0.841896781247564,0.948641012344556,1.06309345267244,1.31850660614436
"t=307",0.916506303786503,1.02387115205438,1.293827436475,1.27716698663857
"t=308",0.995884617674252,1.28416053709455,1.26580734707143,1.1191469169411
"t=309",1.24885489495864,1.2409247302892,1.10083496320501,1.17098869855618
"t=310",1.21138962555454,1.09417731163927,1.15634769940428,1.40651558241519
"t=311",1.08716489196016,1.13581138562152,1.36200647335547,1.59092915383389
"t=312",1.09357677022229,1.34975051475167,1.57748628933,1.83504322098755
"t=313",1.37927250796406,1.58555105565153,1.83239248707596,1.89606643250372
"t=314",1.48128024385251,1.74386635598147,1.83852066925487,2.09361617730762
"t=315",1.77381995669853,1.83476528093053,2.10479050657785,2.11866104942424
"t=316",1.7234917818886,2.14614727793948,2.09004803015131,2.76385685650556
"t=317",2.17872052752438,2.06035002137507,2.76174994685129,2.98667077343349
"t=318",2.08428365049075,2.7243288152587,2.92123228855674,3.13270778228164
"t=319",2.70811104483423,2.96098680872036,3.17129161711137,3.19697637324371
"t=320",2.92736540598234,3.16283148339658,3.2920494539124,3.30807648817946
"t=321",2.97938558788613,3.12169242336186,3.16715962169771,3.32100427579298
"t=322",3.32903922603965,3.13129024170987,3.23236103963375,3.55727985652129
"t=323",3.11477633415194,3.29802892629931,3.52289138034701,2.69088275692203
"t=324",3.27634728339987,3.53281879890444,2.65428289007879,2.78768941041261
"t=325",3.58260701235466,2.69306803647073,2.79567626369705,3.13700238241162
"t=326",2.76561520742027,2.78371657364233,2.99863686959754,3.21351867001511
