"","h1","h2","h3","h4"
"t=204",NA,NA,NA,1.94109059507804
"t=205",NA,NA,1.77142137529028,3.31463571806362
"t=206",NA,1.78846977682315,3.34988899659579,1.69414374216008
"t=207",1.98476924364001,3.70668713885174,1.65000308878753,1.65047071994287
"t=208",2.66407569156318,1.54079511881875,1.6446481125424,1.84307008705534
"t=209",1.60766340119287,1.85801555036634,2.00826425645721,2.20560401528925
"t=210",1.63962295211969,1.83841292868681,2.08168268576215,2.04566800596726
"t=211",1.75832600005563,1.94110042509416,1.9191047297988,2.28340432001831
"t=212",1.88121799775238,1.82347044803526,2.21769642675123,2.31121107685178
"t=213",1.75359390017362,2.15647979103365,2.26389902699993,2.3893480245752
"t=214",2.07846040195613,2.19518591419358,2.39187266505872,2.46358812480406
"t=215",2.0851829784363,2.39466248996683,2.45561464883147,2.4390226457626
"t=216",2.40377992064717,2.42648566058454,2.42732173486129,2.51116106189366
"t=217",2.53591248872938,2.41630720125308,2.51720435348259,2.72818244002663
"t=218",2.36300548829769,2.43325702244856,2.66276622451191,2.53723698867853
"t=219",2.40174813459151,2.68134977152737,2.52482410632489,2.5538675532876
"t=220",2.7071811564704,2.51306420937287,2.54873077288708,2.6626632741623
"t=221",2.52613846140454,2.55258316947105,2.64621969835232,2.48373590718783
"t=222",2.46982894210043,2.68120414485239,2.49826446394175,2.85938089715367
"t=223",2.78935783014488,2.48713858570802,2.92262827563457,2.88665016120945
"t=224",2.43525125941701,2.74352308724571,2.87110689375398,2.60537954132873
"t=225",2.80370231132434,2.98826101949346,2.58678481628553,1.90724646627816
"t=226",3.1220172578723,2.69233466023248,1.92319874978193,1.88437831243125
"t=227",2.49549913723306,1.93503713943965,1.83548313453513,1.85847854477321
"t=228",1.97973127258214,1.87296922496798,1.89108952281058,1.96186352984614
"t=229",1.78860007080541,1.85948478246131,1.99635025133682,2.09995808096408
"t=230",1.79910779660864,2.05987864632085,2.11235161224605,1.57769539416554
"t=231",2.06518425073342,2.08781815993328,1.5736374880548,1.5410486325555
"t=232",2.07438009383541,1.68463183711662,1.56578879961926,1.88817816697704
"t=233",1.59407805839154,1.49485596792301,1.81774187585485,2.3439939038726
"t=234",1.45459451951721,1.79674618467751,2.31997066071739,1.89446958052055
"t=235",1.72138301493103,2.30043870810362,1.88108041031953,1.5714421593913
"t=236",2.2251874581685,1.84181886282296,1.56474349440772,1.71266422867822
"t=237",1.48518643015676,1.35238594515228,1.49817557749675,2.08238361481336
"t=238",1.21989022347969,1.35505257962128,2.01093011137497,1.38618389188839
"t=239",1.22937391663543,1.94146194649335,1.37537837576529,1.05273801829092
"t=240",1.81713302264366,1.35033660737795,1.06981463200439,1.25437682764026
"t=241",1.23252412540699,1.09212062829549,1.24531787336324,0.851112101519324
"t=242",1.09607500631081,1.24137245139663,0.860316002310848,1.04977875645994
"t=243",1.22214162562842,0.85192821933298,1.07641703593805,0.811953722273226
"t=244",0.847172660857676,1.0611790951797,0.812484651222522,1.04117726787049
"t=245",1.13675427413188,0.823488223581487,1.0463056064497,0.815789650270185
"t=246",0.835120996585932,1.04041301787975,0.813413576452154,0.975316735502458
"t=247",1.03777654737873,0.813292138523948,0.974922134922302,1.60108144206357
"t=248",0.819654806478524,0.960135496962219,1.58248608947465,1.32565222781434
