"","h1","h2","h3","h4"
"t=204",NA,NA,NA,1.94275983679408
"t=205",NA,NA,1.79358363628549,3.07438549956886
"t=206",NA,1.81914277389244,3.09504655393352,1.62615736018681
"t=207",2.034739396713,3.63879244574021,1.58603091042528,1.61989413718108
"t=208",2.55929226166514,1.53228932545183,1.62294251367133,1.80372802128537
"t=209",1.59521005345694,1.77721843219735,1.89796983305915,2.18434141053718
"t=210",1.56043534688563,1.76095722596761,2.08827174011181,2.05661989858248
"t=211",1.73565537025405,1.9948053980123,1.96870604645189,2.30498653567879
"t=212",1.970967710024,1.92188459852516,2.27135978870854,2.30694877211692
"t=213",1.83681512926724,2.19835724417195,2.25631690059114,2.34700400152382
"t=214",2.10803285054039,2.20000002396963,2.37775722919275,2.44313847047863
"t=215",2.07258026720614,2.38979773348635,2.42767815274942,2.42198680393934
"t=216",2.40594619810352,2.39522365145238,2.41297052963844,2.46746366433996
"t=217",2.51545983203861,2.40058267357398,2.47839028237621,2.69824920215064
"t=218",2.37316220501743,2.42347542715515,2.64893499090368,2.53062269381487
"t=219",2.39624736189686,2.66887577471993,2.5239356343406,2.52916182705824
"t=220",2.69406491789125,2.51703799342716,2.53359624679487,2.66547226593242
"t=221",2.51941574995155,2.5350969555048,2.63738410763552,2.44231562556634
"t=222",2.45732809327902,2.67759719254243,2.45481004034429,2.86298305495189
"t=223",2.78024094706938,2.45129460470436,2.90692857285145,2.99293107488446
"t=224",2.40324013932934,2.76245084055849,2.96176877944805,2.64167659480731
"t=225",2.85801072917787,3.03706602067409,2.63860361983496,1.88445487375704
"t=226",3.19618537492468,2.71509587890254,1.89502893279379,1.90082277608412
"t=227",2.46741548571181,1.89197685440921,1.84225321432917,1.837397859905
"t=228",1.93500385237059,1.86207993959166,1.85467455517775,1.9987433792047
"t=229",1.79492661717136,1.83017932133608,2.02149340842041,2.09069762814755
"t=230",1.7940763925217,2.0569307847649,2.09620929630756,1.52799508999056
"t=231",2.06504155925617,2.0873885479833,1.53156611743929,1.52840936955895
"t=232",2.08292160906252,1.60024606764872,1.5501878928872,1.91968261380225
"t=233",1.54016738312516,1.4987603851851,1.86783125297121,2.36418428768966
"t=234",1.46230267456073,1.84438417191845,2.35120070759715,1.86383752504515
"t=235",1.76893698900549,2.3179312832407,1.84676266183947,1.54987061600659
"t=236",2.24091132394024,1.82874059838276,1.54821612122819,1.69285064560345
"t=237",1.50792406352234,1.40219105506806,1.55511063948159,2.01620193997598
"t=238",1.25271542056266,1.42538263646731,1.95697108046128,1.34323269294294
"t=239",1.28014138594956,1.90320275080209,1.33937901612122,1.05845274543813
"t=240",1.78658849844759,1.33138109660337,1.07340092321186,1.23330689849753
"t=241",1.23347048434515,1.09014416239866,1.23035780208149,0.874349625334716
"t=242",1.09237558363782,1.22915088358,0.881276412705299,1.00299466790694
"t=243",1.20826447550351,0.877236906464874,1.02017182142057,0.818566989997525
"t=244",0.868234998705068,1.02037906084281,0.818896690546925,1.05152078038619
"t=245",1.08022562799581,0.824699307591925,1.05550071575149,0.822448017639996
"t=246",0.831657586179027,1.05163742877138,0.822000313656241,0.993155015230147
"t=247",1.0493958412348,0.819548417348366,0.990498401371398,1.59333404212852
"t=248",0.824662077338068,0.978479286621171,1.56542526846032,1.32589891077773
"t=249",0.997195660422012,1.56114530869037,1.33728200691519,1.24992019598805
"t=250",1.55788952685993,1.29913141646942,1.25814261345552,1.60615997820411
"t=251",1.26580012878149,1.29273454955244,1.57586360314308,1.42156937877123
"t=252",1.32639971634343,1.60502980326664,1.43367578166015,1.07420079953623
"t=253",1.51951553030775,1.41480459270141,1.07126385325282,1.565307804555
"t=254",1.42231539944525,1.10493647266422,1.58371490869321,1.15406137050803
"t=255",1.13096039011711,1.58157733024624,1.16059161061197,1.394846986444
"t=256",1.52471862727588,1.09706142301852,1.35653527391838,1.25111010496009
"t=257",1.1373409784828,1.37866389185264,1.2485191741307,1.26271417285745
"t=258",1.29273824376485,1.18870184207849,1.20678902565918,1.57433676857033
"t=259",1.07306729373997,1.17097540795112,1.56812224940897,1.4761906385649
"t=260",1.19716406412289,1.56334045665796,1.46867668963106,3.36797226299967
"t=261",1.53281853108245,1.43231981222507,3.47069338272263,1.99553770015386
"t=262",1.36294876797915,3.59973840719667,1.98332164730545,2.10291506791758
"t=263",4.38068911524696,1.90577703069562,2.05940961834357,2.13726119348699
"t=264",2.05888891411523,2.04363278001081,2.22711927480385,2.50115813740133
"t=265",1.88018919798759,2.08696631267947,2.47758336165549,2.73064138498165
"t=266",2.02806953425564,2.42068732638359,2.69924140001276,2.44402216239809
"t=267",2.43774641768129,2.7546792031334,2.47926771921051,2.26012989677898
"t=268",2.61790950056847,2.50639902146706,2.29666338787876,2.45471807777517
"t=269",2.51174900676819,2.28695204707401,2.42017059436177,2.95569757635921
"t=270",2.21818394934227,2.3687178157141,2.96454886852284,2.64151518969763
"t=271",2.25225044985459,2.93248681907157,2.560505126539,3.1282718430468
"t=272",2.88062715473133,2.50943147893755,3.1332877487549,2.50559698964866
"t=273",2.66187041684158,3.2174472677927,2.49000435071659,2.3588452715375
"t=274",3.06195563320125,2.45360459293176,2.37575688195512,2.58766021951451
"t=275",2.43340029999916,2.48494599788857,2.57439260635793,4.04953423307727
"t=276",2.42509783381046,2.54696134144315,4.10867131085871,2.27847653364547
"t=277",2.54974486947741,4.03966863254333,2.25155590245065,2.52502179343997
"t=278",4.06702732284198,2.24442953778945,2.4416067114566,2.10148291534871
"t=279",2.20078580683192,2.32296096019878,2.04099783935961,1.58909652229945
"t=280",2.49894790548233,2.06453264519325,1.56687127661679,1.65178449553585
"t=281",1.98880723492924,1.59340193439132,1.67286155324202,1.45307982014637
"t=282",1.60810286756709,1.68089759409981,1.46664975776478,1.73556645704659
"t=283",1.65374497854804,1.44142629536124,1.74975117055014,1.00132352806402
"t=284",1.38371581456387,1.77690881493391,0.984334760353008,1.28264060966283
"t=285",1.85523908180347,0.967980154551565,1.29097395477586,0.854998036059541
"t=286",1.01711136301369,1.27785653773972,0.874144542878498,1.05228203892778
"t=287",1.32741937169228,0.853873177087789,1.05382760186283,1.12385592554459
"t=288",0.829856177357293,1.00285375587961,1.12674721739884,0.979849368775225
"t=289",1.00275115236464,1.13800304711882,0.973756144057065,0.644480469962703
"t=290",1.19715938384023,0.945166062506437,0.64718441489847,1.00011670020881
"t=291",0.993982855581844,0.651002275001764,1.00336569300285,1.28599072523399
"t=292",0.653418902582237,0.99263195033289,1.27957003849062,1.24490064208209
"t=293",1.00726353555766,1.3014641749042,1.25191890738704,1.17026123116729
"t=294",1.29327997998834,1.2404241138344,1.16063503503186,0.950799553299946
"t=295",1.2011474715003,1.15275838384516,0.944756849734473,1.42363412827651
"t=296",1.09398335789485,0.946358219123804,1.4140264221503,0.704011900551218
"t=297",0.962613914675104,1.41462263244492,0.700923786687704,1.0508423918913
"t=298",1.4013847964817,0.704163932195667,1.04815500384479,1.06365432332745
"t=299",0.740284301442724,1.05902118185385,1.07330851672702,0.868306715012268
"t=300",1.08162001849407,1.08430878641422,0.866007743889978,1.11502940844289
"t=301",1.05617259068188,0.8468424142129,1.12162220599173,1.18540621487312
"t=302",0.857453883855281,1.09535144604185,1.18293705184574,0.984827685404757
"t=303",1.09139734143511,1.17640177044655,0.974056632521167,0.886425263321477
"t=304",1.08790279057739,0.936999264396834,0.889899265803647,1.00317008893234
"t=305",0.902399178715915,0.876503958569224,0.995517293342257,1.08594351743022
"t=306",0.839821304208149,0.956831688308766,1.06809023401329,1.30898395787764
"t=307",0.925743809887992,1.03868539216773,1.28854198917705,1.25718074509928
"t=308",1.00907717395835,1.28285293350413,1.24859707798837,1.11775893778657
"t=309",1.24326043315324,1.22215203244647,1.09811957856669,1.14445874680937
"t=310",1.19138393284008,1.09219585715452,1.12507870033505,1.39402220445277
"t=311",1.09060725076448,1.10477346547731,1.35825389709641,1.60030624796182
"t=312",1.06572309543499,1.35481213712949,1.58774901665372,1.82120518165497
"t=313",1.38826003223503,1.60002661749498,1.81944844873757,1.87696677267844
"t=314",1.49282996825199,1.74421856617017,1.81754722670261,2.08375417811361
"t=315",1.79344560587806,1.8271068950895,2.10880540701858,2.08573696370247
"t=316",1.70250269592243,2.14174155906059,2.05680217408201,2.80093816108179
"t=317",2.18433765650059,2.03027508454754,2.77603760504516,3.05359983517766
"t=318",2.06593014902482,2.73939924774047,2.96880174140289,3.15351006065133
"t=319",2.75362079537214,3.01855886851757,3.16574741483925,3.25177549995988
"t=320",2.96801042377491,3.18395493503145,3.29524590322746,3.34043335213177
"t=321",2.97220336558105,3.16037894746135,3.20068281606938,3.34658203361428
"t=322",3.42263294168089,3.149278866252,3.2444725508366,3.56614401470688
"t=323",3.12289101017593,3.30770703519666,3.50874023478314,2.65505114382421
"t=324",3.28124340807277,3.49826942465982,2.63288607616743,2.78606965221549
"t=325",3.55857188279291,2.6727458425926,2.80646631990835,3.10828943555328
