"","h1","h2","h3","h4"
"t_cond=204",NA,NA,NA,1.7524626868168
"t_cond=205",NA,NA,1.5039783954683,1.99780351360487
"t_cond=206",NA,1.55551239451822,2.06418882609085,1.93545214470647
"t_cond=207",1.56920494027353,2.42832178002297,1.91095025841826,1.85545198263409
"t_cond=208",1.90695921615724,1.8049460555414,1.84075833707579,2.08536995570349
"t_cond=209",1.77765218249183,1.88115397870453,2.11991260420014,2.21721130129272
"t_cond=210",1.71950618163329,2.00392823665697,2.1674457552527,2.14060612947564
"t_cond=211",1.92234067201752,2.09494749219646,2.08903786285363,2.28269867257259
"t_cond=212",2.03881064841824,1.99202401640345,2.23807758159638,2.35313026354579
"t_cond=213",1.90622726688057,2.19447107560927,2.33099764501901,2.44934969389881
"t_cond=214",2.11422703360537,2.27653461837934,2.43948321858334,2.4960897410069
"t_cond=215",2.18779682796469,2.4281676376846,2.47419874776402,2.46179594755567
"t_cond=216",2.39510649739972,2.4180490399779,2.4515384677722,2.62387389002297
"t_cond=217",2.43683588405403,2.41315823953023,2.59792394407521,2.71341278792678
"t_cond=218",2.35610242734918,2.52462550437653,2.67889799934192,2.56127992363628
"t_cond=219",2.46129233542001,2.67127476259969,2.5587006178469,2.54982708513767
"t_cond=220",2.66838710106198,2.53307380712284,2.54912354482382,2.66367119389428
"t_cond=221",2.57629082764194,2.5906490649237,2.63988241387844,2.42014953957241
"t_cond=222",2.53378966857661,2.68801460193775,2.43899531936193,2.83805493239925
"t_cond=223",2.78177788343299,2.4363457350053,2.88752013896739,2.83736359621311
"t_cond=224",2.31622320412608,2.66878576954552,2.82493948497842,2.56770154619901
"t_cond=225",2.65381142667557,2.85239890157664,2.56615984843184,2.00372633071154
"t_cond=226",3.04158714831283,2.67718491657881,2.02260313814513,2.00344234893991
"t_cond=227",2.49013417495283,1.96727094869663,1.98141297222809,1.89004740528782
"t_cond=228",2.00133604572336,1.97970213177088,1.88701516133804,1.93686619346577
"t_cond=229",1.87057868315176,1.84488434282354,1.94543740123645,2.03777118636927
"t_cond=230",1.77621426743439,1.99078669296846,2.04043296722564,1.58467026052474
"t_cond=231",1.98877001566879,2.03224021942828,1.57748061909547,1.54362130437196
"t_cond=232",2.00414328568256,1.65552274196172,1.57424324253749,1.79524003235879
"t_cond=233",1.64320069244866,1.55759148221692,1.77120065403865,1.96660837836034
"t_cond=234",1.50833012691282,1.76662168205946,1.95807473467035,1.64529748269064
"t_cond=235",1.69150108014999,2.00679279880939,1.6384270046337,1.41454039775147
"t_cond=236",2.01705506222746,1.70362864059252,1.42659503846111,1.44644229734403
"t_cond=237",1.39527973162829,1.19204921786876,1.21636610545331,1.86188613123819
"t_cond=238",1.13059942770455,1.17536986181317,1.86347653485315,1.39333740451727
"t_cond=239",1.16463259438014,1.92727132829015,1.40627849629607,1.08641820571824
"t_cond=240",1.85943428557681,1.41069369420107,1.11422291983919,1.27178355696275
"t_cond=241",1.27251289139214,1.14320494034547,1.28314574472993,0.843476852470838
"t_cond=242",1.13486214598143,1.27406398358683,0.855418119049174,1.02527910761964
"t_cond=243",1.22587329822889,0.844067184345793,1.05360548670271,0.819785333463477
"t_cond=244",0.826150397790097,1.07354044211282,0.818408575227005,1.09149866311298
"t_cond=245",1.13297394483816,0.825865289140118,1.0921571507823,0.829671765253802
"t_cond=246",0.833214662449931,1.1059454238222,0.820762376253444,1.05261720652179
"t_cond=247",1.10320795888417,0.808951159902463,1.05205190994799,1.71516997041739
"t_cond=248",0.805451465725026,1.02006413413597,1.68900332508357,1.41301998571971
"t_cond=249",1.03888401796977,1.67220199694555,1.42018378990928,1.21932855376083
"t_cond=250",1.61221343331588,1.37752150860792,1.23138254640771,1.66067585860395
"t_cond=251",1.31895806079798,1.3355290836638,1.64320157917069,1.43575685132839
"t_cond=252",1.38753218720557,1.70167297808718,1.44290400111537,1.05469119152593
"t_cond=253",1.54084033019618,1.43438002105941,1.07591665268671,1.61184688599727
"t_cond=254",1.43913671935137,1.1263068339483,1.63628597233726,1.13652991902868
"t_cond=255",1.14557229314575,1.64071056365198,1.13625252456623,1.41287698962889
"t_cond=256",1.55681170862182,1.06972176530825,1.39727905722469,1.37520080825146
"t_cond=257",1.07169061317536,1.39523134310996,1.37725587473177,1.28109413781051
"t_cond=258",1.33966522947161,1.34009471075052,1.261994105241,1.81577242028585
"t_cond=259",1.26591831407336,1.25567165921821,1.81657696824286,1.78161145477852
"t_cond=260",1.25423137224471,1.84011871898891,1.77889186313201,3.5748684182509
"t_cond=261",1.75630309403389,1.69763358541058,3.37921256833549,2.15906844508035
"t_cond=262",1.57007809076267,4.01599433984913,2.12745471976448,2.2891878853689
"t_cond=263",4.88202283857568,2.04389762052992,2.25153367685892,2.1694462304814
"t_cond=264",1.97355713662758,2.11479105541531,2.17893586746711,2.61849071330268
"t_cond=265",2.01585814863499,2.07822209574106,2.58132300624362,2.7998640918855
"t_cond=266",1.99282245476733,2.52083169662995,2.76290273325639,2.59714737518351
"t_cond=267",2.50009329143677,2.76398083560636,2.62072398755082,2.38536822280181
"t_cond=268",2.639317875672,2.60836278601396,2.36805581318845,2.53806822785853
"t_cond=269",2.55843336453953,2.30090789753489,2.49604876272906,3.0849400515108
"t_cond=270",2.21652589897733,2.48250983770016,3.08383127294081,2.66117968500105
"t_cond=271",2.40127595814034,3.05580630406217,2.61902647660402,3.24856069207543
"t_cond=272",3.03540709884634,2.55997165771155,3.25993092032014,2.56259847847343
"t_cond=273",2.57332447987559,3.29026657475014,2.54062688558345,2.50428456047126
"t_cond=274",3.16682276202783,2.4909466382701,2.47885887412234,2.52213973605649
"t_cond=275",2.49827866596678,2.54978466656209,2.56621201460036,3.72332719600573
"t_cond=276",2.50738517187414,2.52276308045201,3.70283920747664,2.22397899971547
"t_cond=277",2.45994805388552,3.62477196511292,2.19161663570519,2.45185279497424
"t_cond=278",4.33719401539155,2.16506982337469,2.44622744238476,2.18802068906126
"t_cond=279",2.20961428393745,2.71710276742211,2.18773049282455,1.6590382608187
"t_cond=280",2.80665476729002,2.15019767800578,1.64813932350258,1.63189671848578
"t_cond=281",2.05420534088151,1.6572437822742,1.62900737172937,1.46281729868427
"t_cond=282",1.63067419682295,1.61239835237819,1.45060724213033,1.69375422477589
"t_cond=283",1.59477537057287,1.4388109172807,1.70126383773694,1.12389110133212
"t_cond=284",1.37707105899191,1.7328739925809,1.10139327340838,1.26325667896696
"t_cond=285",1.79349748807455,1.07063943079739,1.27609606040741,0.888846780852977
